Beneificary Name                                               ,Operation Name/Summary  ,Operation start date ,Operation end date ,Total eligible expenditure allocated to the operation,"Union co-financing rate, as per priority axis                   ",Operation postcode  ,Country              ,priority number,priority label 
Cloughbane Farm Foods Limited, Manufacture of food products and beverages ,16.10.2015,30.10.2018,"49.000,00 ","29.400,00",BT70 3HS,Northern Ireland,1,Generic productive investment in small and medium sized enterprises (SMEs)
Nu Print Technologies Limited, Unspecified manufacturing industries ,31.03.2015,31.10.2020,"270.000,00 ","162.000,00",BT48 0LY,Northern Ireland,1,Generic productive investment in small and medium sized enterprises (SMEs)
JJ Loughran Limited, Unspecified manufacturing industries ,19.10.2015,10.11.2018,"45.590,00 ","27.354,00",BT80 9DW,Northern Ireland,1,Generic productive investment in small and medium sized enterprises (SMEs)
Gourmet Island Limited, Manufacture of food products and beverages ,08.10.2015,11.11.2018,"75.000,00 ","45.000,00",BT34 2QX,Northern Ireland,1,Generic productive investment in small and medium sized enterprises (SMEs)
Naturelle Consumer Products Limited, Unspecified manufacturing industries ,18.12.2015,18.12.2018,"60.000,00 ","36.000,00",BT79 0NZ,Northern Ireland,1,Generic productive investment in small and medium sized enterprises (SMEs)
Lenalea Electronics Limited,"Manufacture of computer, electronic and optical products ",12.01.2016,12.01.2019,"49.600,00 ","29.760,00",BT60 1PW,Northern Ireland,1,Generic productive investment in small and medium sized enterprises (SMEs)
Industrial Paint Solutions Limited, Unspecified manufacturing industries ,18.02.2016,18.02.2019,"75.000,00 ","45.000,00",BT63 5WJ,Northern Ireland,1,Generic productive investment in small and medium sized enterprises (SMEs)
Tasty Foods Cuisine Limited, Manufacture of food products and beverages ,09.03.2016,09.03.2019,"48.600,00 ","29.160,00",BT17 0QL,Northern Ireland,1,Generic productive investment in small and medium sized enterprises (SMEs)
Critical Power Systems Limited, Unspecified manufacturing industries ,01.08.2015,18.03.2019,"110.021,00 ","66.012,60",BT35 6QH,Northern Ireland,1,Generic productive investment in small and medium sized enterprises (SMEs)
Strawhill Estate Distillery Limited, Manufacture of food products and beverages ,27.04.2016,27.04.2019,"19.500,00 ","11.700,00",BT66 7LJ,Northern Ireland,1,Generic productive investment in small and medium sized enterprises (SMEs)
William Clark & Sons Limited, Manufacture of textiles and textile products ,28.04.2016,31.08.2020,"250.000,00 ","150.000,00",BT46 5RZ,Northern Ireland,1,Generic productive investment in small and medium sized enterprises (SMEs)
Sean Nugent Engineering Limited,Manufacture of transport equipment ,05.05.2016,05.05.2019,"95.000,00 ","57.000,00",BT70 2PN,Northern Ireland,1,Generic productive investment in small and medium sized enterprises (SMEs)
NC Engineering (Hamiltonsbawn) Limited, Unspecified manufacturing industries ,01.09.2015,06.05.2019,"35.000,00 ","21.000,00",BT61 9SF,Northern Ireland,1,Generic productive investment in small and medium sized enterprises (SMEs)
Sauce Works Limited, Manufacture of food products and beverages ,16.05.2016,16.05.2019,"90.000,00 ","54.000,00",BT30 9DG,Northern Ireland,1,Generic productive investment in small and medium sized enterprises (SMEs)
G.P.S. Colour Graphics Limited, Unspecified manufacturing industries ,17.05.2016,17.05.2019,"87.750,00 ","52.650,00",BT6 9HP,Northern Ireland,1,Generic productive investment in small and medium sized enterprises (SMEs)
Crilco Confections Limited, Manufacture of food products and beverages ,20.05.2016,20.05.2019,"18.600,00 ","11.160,00",BT35 8NR,Northern Ireland,1,Generic productive investment in small and medium sized enterprises (SMEs)
Bradfor Limited, Unspecified manufacturing industries ,27.05.2016,27.05.2019,"58.000,00 ","34.800,00",BT34 3BX,Northern Ireland,1,Generic productive investment in small and medium sized enterprises (SMEs)
Clinty Re-Gen Limited," Water supply, sewerage, waste management and remediation activities ",31.05.2016,31.05.2019,"16.230,00 ","9.738,00",BT3 9AL,Northern Ireland,1,Generic productive investment in small and medium sized enterprises (SMEs)
Orchard Fresh Foods Limited, Manufacture of food products and beverages ,13.06.2016,13.06.2019,"22.500,00 ","13.500,00",BT61 8PY,Northern Ireland,1,Generic productive investment in small and medium sized enterprises (SMEs)
Mullaghmore Bakery Limited, Manufacture of food products and beverages ,16.06.2016,16.06.2019,"18.519,00 ","11.111,40",BT78 5EJ,Northern Ireland,1,Generic productive investment in small and medium sized enterprises (SMEs)
McCauley Trailers Limited,Manufacture of transport equipment ,27.06.2016,27.06.2019,"80.000,00 ","48.000,00",BT41 3RB,Northern Ireland,1,Generic productive investment in small and medium sized enterprises (SMEs)
RW Powder Coatings Limited, Unspecified manufacturing industries ,27.01.2016,27.01.2019,"49.000,00 ","29.400,00",BT23 5PR,Northern Ireland,1,Generic productive investment in small and medium sized enterprises (SMEs)
Datum Tool Design Limited, Unspecified manufacturing industries ,24.03.2016,24.03.2019,"177.500,00 ","106.500,00",BT24 8AW,Northern Ireland,1,Generic productive investment in small and medium sized enterprises (SMEs)
Co Investment Fund - NI,Access to Finance,01.04.2014,01.06.2017,"9.979.757,53","5.987.854,52",TBC,Northern Ireland,67,"SME business development, support to entrepreneurship and incubation (including support to spin offs and spin outs)"
Development Fund II - Kernal Fund,Access to Finance,01.04.2014,31.12.2023,"3.393.701,67","2.036.221,00",TBC,Northern Ireland,67,"SME business development, support to entrepreneurship and incubation (including support to spin offs and spin outs)"
Development Fund I - Crescent Capital,Access to Finance,01.04.2014,31.12.2023,"3.593.770,83","2.156.262,50",TBC,Northern Ireland,67,"SME business development, support to entrepreneurship and incubation (including support to spin offs and spin outs)"
Techstart NI SME Equity Fund,Access to Finance,09.07.2014,31.12.2023,"3.146.126,28","1.887.675,77",TBC,Northern Ireland,67,"SME business development, support to entrepreneurship and incubation (including support to spin offs and spin outs)"
Techstart NI Queen's University of Belfast SME Equity Fund,Access to Finance,09.07.2014,31.12.2023,"600.000,00","360.000,00",TBC,Northern Ireland,67,"SME business development, support to entrepreneurship and incubation (including support to spin offs and spin outs)"
Techstart NI University of Ulster SME Equity Fund,Access to Finance,09.07.2014,31.12.2023,"230.000,00","138.000,00",TBC,Northern Ireland,67,"SME business development, support to entrepreneurship and incubation (including support to spin offs and spin outs)"
Acksen Limited,"Design consultation from a design expert on a one-to-one basis including advice, guidance and signposting to further assistance regarding  specific design needs",15.04.2015,02.09.2015,"3.292,80","1.975,68",TBC,Northern Ireland,64,"Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)"
APT Innovations (Kristal Oak Consultancy),"Design consultation from a design expert on a one-to-one basis including advice, guidance and signposting to further assistance regarding  specific design needs",15.04.2015,02.09.2015,"4.620,00","2.772,00",TBC,Northern Ireland,64,"Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)"
Bags of Respect Limited,"Design consultation from a design expert on a one-to-one basis including advice, guidance and signposting to further assistance regarding  specific design needs",15.04.2015,02.09.2015,"4.200,00","2.520,00",TBC,Northern Ireland,64,"Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)"
Bailies Coffee Co. Limited,"Design consultation from a design expert on a one-to-one basis including advice, guidance and signposting to further assistance regarding  specific design needs",15.04.2015,02.09.2015,"5.040,00","3.024,00",TBC,Northern Ireland,64,"Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)"
Bairnsdale Developments Limited,"Design consultation from a design expert on a one-to-one basis including advice, guidance and signposting to further assistance regarding  specific design needs",28.10.2015,02.03.2016,"5.040,00","3.024,00",TBC,Northern Ireland,64,"Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)"
Biznet Solutions Limited,"Design consultation from a design expert on a one-to-one basis including advice, guidance and signposting to further assistance regarding  specific design needs",28.10.2015,02.03.2016,"3.360,00","2.016,00",TBC,Northern Ireland,64,"Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)"
Blue Zinc IT Limited,"Design consultation from a design expert on a one-to-one basis including advice, guidance and signposting to further assistance regarding  specific design needs",28.10.2015,02.03.2016,"2.688,00","1.612,80",TBC,Northern Ireland,64,"Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)"
CADshare Technology Limited,"Design consultation from a design expert on a one-to-one basis including advice, guidance and signposting to further assistance regarding  specific design needs",15.04.2015,02.09.2015,"3.360,00","2.016,00",TBC,Northern Ireland,64,"Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)"
Cavanagh Free Range Eggs,"Design consultation from a design expert on a one-to-one basis including advice, guidance and signposting to further assistance regarding  specific design needs",28.10.2015,02.03.2016,"5.040,00","3.024,00",TBC,Northern Ireland,64,"Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)"
Mulholland Business Consultants,"Design consultation from a design expert on a one-to-one basis including advice, guidance and signposting to further assistance regarding  specific design needs",28.10.2015,02.03.2016,"2.688,00","1.612,80",TBC,Northern Ireland,64,"Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)"
Enviroform Solutions Limited,"Design consultation from a design expert on a one-to-one basis including advice, guidance and signposting to further assistance regarding  specific design needs",15.04.2015,02.09.2015,"2.646,00","1.587,60",TBC,Northern Ireland,64,"Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)"
Heatherlea Fine Foods,"Design consultation from a design expert on a one-to-one basis including advice, guidance and signposting to further assistance regarding  specific design needs",28.10.2015,02.03.2016,"2.646,00","1.587,60",TBC,Northern Ireland,64,"Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)"
HMC Global Limited,"Design consultation from a design expert on a one-to-one basis including advice, guidance and signposting to further assistance regarding  specific design needs",28.10.2015,02.03.2016,"5.040,00","3.024,00",TBC,Northern Ireland,64,"Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)"
Hoy & Dorman Limited,"Design consultation from a design expert on a one-to-one basis including advice, guidance and signposting to further assistance regarding  specific design needs",15.04.2015,02.09.2015,"5.040,00","3.024,00",TBC,Northern Ireland,64,"Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)"
Maurice Flynn & Sons Limited,"Design consultation from a design expert on a one-to-one basis including advice, guidance and signposting to further assistance regarding  specific design needs",15.04.2015,02.09.2015,"5.040,00","3.024,00",TBC,Northern Ireland,64,"Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)"
No 8 Jewellers,"Design consultation from a design expert on a one-to-one basis including advice, guidance and signposting to further assistance regarding  specific design needs",15.04.2015,02.09.2015,"4.410,00","2.646,00",TBC,Northern Ireland,64,"Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)"
Nonglak McFadden Limited,"Design consultation from a design expert on a one-to-one basis including advice, guidance and signposting to further assistance regarding  specific design needs",28.10.2015,02.03.2016,"4.704,00","2.822,40",TBC,Northern Ireland,64,"Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)"
Oran Oak Engineering,"Design consultation from a design expert on a one-to-one basis including advice, guidance and signposting to further assistance regarding  specific design needs",15.04.2015,02.09.2015,"2.688,00","1.612,80",TBC,Northern Ireland,64,"Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)"
Petal Postforming Limited,"Design consultation from a design expert on a one-to-one basis including advice, guidance and signposting to further assistance regarding  specific design needs",28.10.2015,02.03.2016,"6.300,00","3.780,00",TBC,Northern Ireland,64,"Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)"
Pokertree Brewing Co Limited,"Design consultation from a design expert on a one-to-one basis including advice, guidance and signposting to further assistance regarding  specific design needs",28.10.2015,02.03.2016,"4.200,00","2.520,00",TBC,Northern Ireland,64,"Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)"
Risk & Resilience Limited,"Design consultation from a design expert on a one-to-one basis including advice, guidance and signposting to further assistance regarding  specific design needs",15.04.2015,02.09.2015,"4.704,00","2.822,40",TBC,Northern Ireland,64,"Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)"
Rubber & Plastic Products (NI) Limited,"Design consultation from a design expert on a one-to-one basis including advice, guidance and signposting to further assistance regarding  specific design needs",15.04.2015,02.09.2015,"5.040,00","3.024,00",TBC,Northern Ireland,64,"Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)"
Taxi Zapp Limited,"Design consultation from a design expert on a one-to-one basis including advice, guidance and signposting to further assistance regarding  specific design needs",15.04.2015,02.09.2015,"2.688,00","1.612,80",TBC,Northern Ireland,64,"Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)"
TechMet Appointments,"Design consultation from a design expert on a one-to-one basis including advice, guidance and signposting to further assistance regarding  specific design needs",15.04.2015,02.09.2015,"4.200,00","2.520,00",TBC,Northern Ireland,64,"Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)"
Tripfish Limited,"Design consultation from a design expert on a one-to-one basis including advice, guidance and signposting to further assistance regarding  specific design needs",15.04.2015,02.09.2015,"4.200,00","2.520,00",TBC,Northern Ireland,64,"Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)"
Allsop Consulting,"Design consultation from a design expert on a one-to-one basis including advice, guidance and signposting to further assistance regarding  specific design needs",27.01.2016,01.06.2016,"2.688,00","1.612,80",TBC,Northern Ireland,64,"Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)"
Francis Dinsmore Limited,"Design consultation from a design expert on a one-to-one basis including advice, guidance and signposting to further assistance regarding  specific design needs",27.01.2016,06.07.2016,"4.620,00","2.772,00",TBC,Northern Ireland,64,"Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)"
Hill Engineering Limited,"Design consultation from a design expert on a one-to-one basis including advice, guidance and signposting to further assistance regarding  specific design needs",27.01.2016,01.06.2016,"6.300,00","3.780,00",TBC,Northern Ireland,64,"Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)"
Marcomm Training Limited,"Design consultation from a design expert on a one-to-one basis including advice, guidance and signposting to further assistance regarding  specific design needs",27.01.2016,01.06.2016,"4.704,00","2.822,40",TBC,Northern Ireland,64,"Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)"
McElwaine Security Services Limited,"Design consultation from a design expert on a one-to-one basis including advice, guidance and signposting to further assistance regarding  specific design needs",27.01.2016,01.06.2016,"4.410,00","2.646,00",TBC,Northern Ireland,64,"Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)"
NewCMI Limited,"Design consultation from a design expert on a one-to-one basis including advice, guidance and signposting to further assistance regarding  specific design needs",27.01.2016,06.07.2016,"4.704,00","2.822,40",TBC,Northern Ireland,64,"Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)"
Nourish Foods Limited,"Design consultation from a design expert on a one-to-one basis including advice, guidance and signposting to further assistance regarding  specific design needs",27.01.2016,06.07.2016,"5.040,00","3.024,00",TBC,Northern Ireland,64,"Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)"
Pop Notch Limited,"Design consultation from a design expert on a one-to-one basis including advice, guidance and signposting to further assistance regarding  specific design needs",27.01.2016,06.07.2016,"5.040,00","3.024,00",TBC,Northern Ireland,64,"Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)"
R Thompson & Sons (Armagh) Limited,"Design consultation from a design expert on a one-to-one basis including advice, guidance and signposting to further assistance regarding  specific design needs",27.01.2016,01.06.2016,"2.688,00","1.612,80",TBC,Northern Ireland,64,"Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)"
Repstor Limited,"Design consultation from a design expert on a one-to-one basis including advice, guidance and signposting to further assistance regarding  specific design needs",27.01.2016,06.07.2016,"4.200,00","2.520,00",TBC,Northern Ireland,64,"Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)"
Sauce Works Limited,"Design consultation from a design expert on a one-to-one basis including advice, guidance and signposting to further assistance regarding  specific design needs",27.01.2016,06.07.2016,"2.352,00","1.411,20",TBC,Northern Ireland,64,"Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)"
Segmat Limited,"Design consultation from a design expert on a one-to-one basis including advice, guidance and signposting to further assistance regarding  specific design needs",27.01.2016,06.07.2016,"6.300,00","3.780,00",TBC,Northern Ireland,64,"Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)"
Solid Fabrications Limited,"Design consultation from a design expert on a one-to-one basis including advice, guidance and signposting to further assistance regarding  specific design needs",27.01.2016,01.06.2016,"6.300,00","3.780,00",TBC,Northern Ireland,64,"Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)"
The Landscape Centre,"Design consultation from a design expert on a one-to-one basis including advice, guidance and signposting to further assistance regarding  specific design needs",27.01.2016,01.06.2016,"4.410,00","2.646,00",TBC,Northern Ireland,64,"Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)"
The Postcard Co Limited,"Design consultation from a design expert on a one-to-one basis including advice, guidance and signposting to further assistance regarding  specific design needs",27.01.2016,01.06.2016,"2.688,00","1.612,80",TBC,Northern Ireland,64,"Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)"
Western Brand Poultry Products,"Design consultation from a design expert on a one-to-one basis including advice, guidance and signposting to further assistance regarding  specific design needs",27.01.2016,01.06.2016,"5.040,00","3.024,00",TBC,Northern Ireland,64,"Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)"
QUB,Provision of Design services to help companies access design support up to the value of £10k to explore potential for new business ideas,18.07.2016,17.07.2021,124.883,"74.929,80",TBC,Northern Ireland,64,"Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)"
