Name des Begünstigten,Bezeichnung des Vorhabens,Jahr der Bewilligung,Jahr der Restzahlung,Gewährte Beträge,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
AWO Sozialdienst Altmark GmbH,"""Lerncamp - Qualifikation und Motivation II"" an der
Förderschule ""J.H.Pestalozzi""  in Salzwedel",2013,,4628,
AWO Sozialdienst Altmark GmbH,"""Schüler helfen Schülern "" an der Sekundarschule ""Dr. S.
Allende"" in Klötze",2012,2013,"845,96","845,96"
AWO Sozialdienst Altmark GmbH,"Bildungsbezogenes Angebot ""Bedarfsorientierte Fortbildung
für Lehrkräfte - Umgang mit sozial abweichendem und
aggressivem Verhalten"" an der Förderschule
""Zinnbergschule"""" in Klötze",2011,2012,2300,2300
AWO Sozialdienst Altmark GmbH,"Bildungsbezogenes Angebot ""Gewaltfrei zum Schulerfolg"" an
der Förderschule ""Zinnbergschule"" in Klötze",2011,2012,4810,4810
AWO Sozialdienst Altmark GmbH,"Bildungsbezogenes Angebot ""Hip-Hop"" an der Förderschule
""J.H.Pestalozzi"" in Salzwedel",2010,2011,"2325,95","2325,95"
AWO Sozialdienst Altmark GmbH,"Bildungsbezogenes Angebot ""Individuelle Förderung in Form
von Förder- und Nachhilfeunterricht in den Klassen 5-9"" an
der Sekundarschule ""J.F.Daneill"" in Kalbe/Milde",2010,2014,"4520,75","4520,75"
AWO Sozialdienst Altmark GmbH,"Bildungsbezogenes Angebot ""Schule als Kulturstätte""
Salzwedel",2010,2014,"1850,81","1850,81"
AWO Sozialdienst Altmark GmbH,"Bildungsbezogenes Angebot ""Schule als Kulturstätte"" an der
Ganztagsschule ""G.-E.-Lessing"" in Salzwedel",2010,,"2498,33",
AWO Sozialdienst Altmark GmbH,"Bildungsbezogenes Angebot ""Schüler helfen Schülern"" an
der Sekundarschule ""Dr. S. Allende"" in  Klötze",2011,2012,"2028,95","2028,95"
AWO Sozialdienst Altmark GmbH,"Bildungsbezogenes Angebot ""Schüler helfen Schülern"" an
der Sekundarschule ""Dr. Salvador Allende"" in Klötze",2010,2013,"1406,11","1406,11"
AWO Sozialdienst Altmark GmbH,"Bildungsbezogenes Angebot ""Schüler helfen Schülern"" in der
Sekundarschule ""Allende"" Klötze",2010,2012,"464,73","464,73"
AWO Sozialdienst Altmark GmbH,"Errichtung und Unterhaltung der regionalen Netzwekstelle für
den Altmarkkreis Salzwedel",2008,2014,"108226,67","108226,67"
AWO Sozialdienst Altmark GmbH,"Gemeinsam lernen wir Deutsch! Förderung der
Sprachkompetenz für Schüler mit Migrationshintergrund an
der Ganztagsschule ""G.E.Lessing"" in Salzwedel",2013,,4788,
AWO Sozialdienst Altmark GmbH,"Prüfungsvorbereitungskurs für abschlussgefährtete Schüler
der Klassen 10 mit sekundarschulabschluss und 9 mit
Hauptschulabschluss an der Sekundarschule ""J.F.Danneil"" in
Kalbe",2011,2011,"1559,7","1559,7"
AWO Sozialdienst Altmark GmbH,Schulsozialarbeit an der FÖS Pestalozzi in Salzwedel,2012,,"96685,85",
AWO Sozialdienst Altmark GmbH,Schulsozialarbeit an der FÖS Zinnberg in Klötze,2012,,"101526,07",
AWO Sozialdienst Altmark GmbH,"Schulsozialarbeit an der Förderschule Pestalozzi in
Salzwedel",2010,,"60101,06",
AWO Sozialdienst Altmark GmbH,"Schulsozialarbeit an der Sekundarschule ""Comenius""
Salzwedel",2009,2012,"40684,49","40684,49"
AWO Sozialdienst Altmark GmbH,"Schulsozialarbeit an der Sekundarschule ""Comenius""
Salzwedel",2010,,"56942,94",
AWO Sozialdienst Altmark GmbH,"Schulsozialarbeit an der Sekundarschule ""Dr. S. Allende"" in
Klötze",2010,,"51879,51",
AWO Sozialdienst Altmark GmbH,"Schulsozialarbeit an der Sekundarschule ""Dr. S. Allende"" und
an der Förderschule ""Zinnbergschule"" in Klötze",2009,2013,"39849,2","39849,2"
AWO Sozialdienst Altmark GmbH,"Schulsozialarbeit an der Sekundarschule ""G. E. Lessing"" und
an der Förderschule ""J. H. Pestalozzi"" in Salzwedel",2009,2014,"38178,46","38178,46"
AWO Sozialdienst Altmark GmbH,"Schulsozialarbeit an der Sekundarschule ""J. F. Danneil""
Kalbe (Milde)",2009,2012,"28777,72","28777,72"
AWO Sozialdienst Altmark GmbH,"Schulsozialarbeit an der Sekundarschule ""J.F.Danneil"" Kalbe",2010,,"44849,05",
AWO Sozialdienst Altmark GmbH,"Schulsozialarbeit an der Sekundarschule ""Lessing""
Salzwedel",2010,,"52873,85",
AWO Sozialdienst Altmark GmbH,Schulsozialarbeit an der Sekundarschule Allende Klötze,2012,,"93100,09",
AWO Sozialdienst Altmark GmbH,"Schulsozialarbeit an der Sekundarschule Comenius in
Salzwedel",2012,,"100821,8",
AWO Sozialdienst Altmark GmbH,"Schulsozialarbeit an der Sekundarschule J. F. Danneil in
Kalbe/Milde",2012,,"98919,77",
AWO Sozialdienst Altmark GmbH,"Schulsozialarbeit an der Sekundarschule Lessing in
Salzwedel",2012,,"96134,97",
AWO Sozialdienst Altmark GmbH,"Unterhaltung der regionalen Netzwerkstelle für den
Altmarkkreis Salzwedel",2011,,"284265,78",
AWO Soziale Dienste Anhalt gGmbH,Berufliche Erprobung im Unternehmen,2013,,15840,
"AWO Soziale Dienste Halberstadt
gGmbH","Förderung v.Projekten z.Verbess.d.vorsch.Bild.durch
Qual.d.Betreuungspersonals d. Integr.Kita Regenbogenland
in Schauen",2011,,2000,
"AWO Soziale Dienste Halberstadt
gGmbH","Förderung von Projekten z.Verbess.d.vorsch.Bild.durch
Qual.d.Betreuungspersonals d.Kita Kinderhaus an der Ilse in
Osterwieck",2011,,5000,
"AWO Soziale Dienste Halberstadt
gGmbH","Förderung von Projekten zur Verbesserung der
vorschulischen Bildung durch Qualifizierung des
Betreuungspersonals Kitas",2009,2011,3535,3535
AWO Soziale Dienste Harz gGmbH,"Qualifizierung des päd. Betreuungspersonals in der
integrativen Kita Sputnik II (Krippe) in Halberstadt",2012,,5000,
"AWO Soziale Dienste Naumburg
GmbH","Projekt zur Qualifizierung des pädagogischen
Betreuungspersonals in der ITE KEZ Moritzplatz in
Naumburg",2014,,5000,
"AWO Soziale Dienste Naumburg
GmbH","Projekt zur Qualifizierung des pädagogischen
Betreuungspersonals in der ITE Kindertagesstätte Kleine
Strolche Naumburg",2014,,5000,
"AWO Soziale Dienste Sachsen-Anhalt
GmbH",Berufliche Erprobung im Unternehmen,2014,,11880,
"AWO Soziale Dienste Sachsen-Anhalt
GmbH",Berufliche Erprobung im Unternehmen,2014,,11880,
"AWO Weißenfels Soziale Dienste
gGmbH","Berufliche Erprobung von Arbeitnehmer/innen in
erwerbswirtschaftlich orientierten Tätigkeiten",2013,,7920,
AWS Achslagerwerk Staßfurt GmbH,Fremdausbildung für die Schaffung eines Ausbildungsplatzes,2009,2012,18950,18950
"AWW Akademie für Wirtschaft und
Weiterbildung",AO-023-06,2008,2012,"37021,06","37021,06"
"AWW Akademie für Wirtschaft und
Weiterbildung",AO-038-07,2007,2011,"202477,57","202477,57"
"AWZ - Aus- und
Weiterbildungszentrum GmbH",AO-004-09,2009,,"117820,07",
"AWZ - Aus- und
Weiterbildungszentrum GmbH",AO-015-07,2007,2011,"159103,52","159103,52"
"AWZ - Aus- und
Weiterbildungszentrum GmbH",AO-099-08,2008,2014,"204755,26","204755,26"
"AWZ - Aus- und
Weiterbildungszentrum GmbH","Maßnahme der vertieften Berufsorientierung nach § 33 SGB
III - BRAFO Los 4",2012,,"227489,06",
"AWZ - Aus- und
Weiterbildungszentrum GmbH","Phönix 54-12, Los 7",2014,,"165428,76",
"AWZ - Aus- und
Weiterbildungszentrum GmbH","Phönix 54-12, Los 7",2012,,"574488,33",
"AWZ - Aus- und
Weiterbildungszentrum GmbH","Praktikumsmaßnahme zur beruflichen Eingliederung am
Arbeitsmarkt benachteiligter Personen (PM)",2011,2012,"86750,5","86750,5"
"AWZ - Bildungs- und
Betreuungsservice gGmbH","Erlebnispädagogische und museumspädagogische Angebote
für Kinder und Jugendliche",2013,,23040,
"AWZ - Bildungs- und
Betreuungsservice gGmbH","Erlebnispädagogische und museumspädagogische
Angebote für Kinder und Jugendliche",2010,,"63972,35",
"AWZ - Bildungs- und
Betreuungsservice gGmbH",Gebrauchtmöbellager Burchardikloster Halberstadt,2011,,46080,
"AWZ - Bildungs- und
Betreuungsservice gGmbH","""Angebot eines mobilen und stationären Hobby- und
Freizeitzentrums""",2008,,"44057,72",
"AWZ - Bildungs- und
Betreuungsservice gGmbH","""Herstellung und Einrichtung eines FFW-Museums""",2008,,"22086,64",
"AWZ - Bildungs- und
Betreuungsservice gGmbH","""Offene Jugendarbeit - Erstellen eines Angebotskataloges""",2008,,"10510,09",
"AWZ - Bildungs- und
Betreuungsservice gGmbH","""Verkehrsgarten für Kinder im Kindergartenalter""",2008,,"21371,13",
"AWZ - Bildungs- und
Betreuungsservice gGmbH","""Überregionale Darstellung der Wasserburg Zilly""",2008,,"21136,04",
"AWZ - Bildungs- und
Betreuungsservice gGmbH","Aufbau einer Werkstatt auf dem Gelände des JFZZ ""Rolle""
zur Reparatur von Fahrrädern sowie Sport- und
Spielgeräten/FP-LOK/Halberstadt,
Kurze Straße 7; 38820 HalberstadtHalberstadt",2008,2009,10000,10000
"AWZ - Bildungs- und
Betreuungsservice gGmbH","Aufbau von thematischen Arbeitsgemeinschaften für eine
sinnvolle Freizeitgestaltung von Kindern und Jugendlichen im
JFZZ ""Rolle""/FP-LOK/
Halberstadt, Kurze Straße 7, 38820 Halberstadt",2008,2009,10000,10000
"AWZ - Bildungs- und
Betreuungsservice gGmbH","Erlebnispädagogische und museumspädagogische Angebote
für Kinder und Jugendliche",2014,,36000,
"AWZ - Bildungs- und
Betreuungsservice gGmbH","Erstellen von Gestaltungselementen für das
Jugendfreizeitzentrum ""Rolle"" und den ""Jugendpark"" am
August-Heine-Weg",2008,,"66834,66",
"AWZ - Bildungs- und
Betreuungsservice gGmbH","Für Kreisfachverband Fußball Harz in
Quedlinburg/Einrichtung eines Trainingsstützpunktes für
Mädchen bis 14 Jahre/FP LOK/Landkreis Harz",2011,2013,"6239,99","6239,99"
"AWZ - Bildungs- und
Betreuungsservice gGmbH","Für Kreisfachverband Fußball Harz in
Quedlinburg/Unterstützung der Vereinsarbeit-KFV Fußball
Harz/FP LOK/Landkreis Harz",2011,2013,"6589,48","6589,48"
"AWZ - Bildungs- und
Betreuungsservice gGmbH",Haus der Familie Halberstadt,2010,,"43698,81",
"AWZ - Bildungs- und
Betreuungsservice gGmbH","Maßnahme der freien Kulturarbeit (Bibliotheken, Museen,
sonstige)",2010,,53932,
"AWZ - Bildungs- und
Betreuungsservice gGmbH","Maßnahme der freien Kulturarbeit in der Einheitsgemeinde
Osterwieck",2014,,36000,
"AWZ - Bildungs- und
Betreuungsservice gGmbH","Mehrgenerationenhaus - Offener Treff im Burchardikloster
Halberstadt",2014,,18000,
"AWZ - Bildungs- und
Betreuungsservice gGmbH",Unterstützung Kreisfachverband Fußball Harz,2011,,10880,
"AWZ - Bildungs- und
Betreuungsservice gGmbH","Unterstützung der Jugendarbeit; Nutzung der eingerichteten
Werkstäätten im JFZ ""Rolle"" und dem Burchardikloster
Halberstadt/ FP LOK/ Landkreis Harz",2011,2013,3880,3880
"AWZ - Bildungs- und
Betreuungsservice gGmbH","Unterstützung der offenen Jugendarbeit in
Freizeiteinrichtungen und Jugendklubs im Rahmen der
Betreuung, Anleitung, Erwei-terung der Öffnungszeiten im
JFZ ""Rolle"" Halberstadt",2014,,18000,
"AWZ - Bildungs- und
Betreuungsservice gGmbH","Unterstützung der offenen Jugendarbeit in
Freizeiteinrichtungen und Jugendklubs im Rahmen der
Betreuung, Anleitung, Erweiterung der Öffnungszeiten (JFZ
""Rolle"")",2013,,11520,
"AWZ - Bildungs- und
Betreuungsservice gGmbH","Unterstützung der offenen Jugendarbeit in
Freizeiteinrichtungen und Jugendklubs im Rahmen der
Betreuung, Anleitung, Erweiterung der Öffnungszeiten im
Jugendtreff Nordring Halberstadt",2014,,18000,
"AWZ - Bildungs- und
Betreuungsservice gGmbH","Unterstützung der offenen Jugendarbeit in
Freizeiteinrichtungen und Jugendklubs im Rahmen der
Betreuung, Anleitung, Erweiterung der Öffnungszeiten in der
Einheitsgemeinde Osterwieck",2014,,90000,
"AWZ - Bildungs- und
Betreuungsservice gGmbH",Unterstützung des Kreisfachverbandes Fußball Harz,2014,,18000,
"AWZ - Bildungs- und
Betreuungsservice gGmbH","Unterstützung im ""Vereinszentrum Burchardikloster""",2011,,22400,
Axel Böhler,Gutachter für Photovoltaikanlagen,2012,,"2235,52",
Axel Frankenberg,Coach der Wirtschaft (IHK),2014,,"6238,4",
Axel Hennemann,Coaching,2014,,5400,
Axel Kleinau,klinischer Pädagoge,2014,,"3465,6",
Axel Nährlich,"Inhouseschulung der Mitarbeiter im Bereich effizientes
Kanzleimanagement",2011,,7800,
Axel Simonsen,Persönliches Business Coaching,2014,,1000,
Axel Stegemann,"Informationssicherheitsmanagement, Secure Business
Environment, Überwachung und Implementierung von ISMS,
ISM Auditor",2013,,"4799,76",
Axthelm TDA,Qualifizierung im Netzwerk Metall,2008,2012,"25257,17","25257,17"
Ayurveda Oase,Ayurveda Massage - Seminare und Fortbildungen,2009,2010,"927,97","927,97"
Ayurveda Oase,Ayurveda Massagen - Edelstein- und Rückenmassage,2008,2011,"781,56","781,56"
Ayurveda Oase,Ayurveda-Manualtherapeut,2011,,"3968,63",
Ayurveda Oase,POE Ayurvedische Massage Kerstin Worch,2008,2009,"1163,26","1163,26"
Ayurveda Oase,"Qualifizierung im Bereich Ayurveda Massagen und
Ernährungslehre",2010,2010,"949,55","949,55"
Ayurveda-Wellness-Zentrum,Psychologische Beraterin,2008,2009,"7989,76","7989,76"
AZV Goldene Aue,Bürgerarbeit Kelbra Teil 1,2010,2012,"722691,9","722691,9"
AZV Goldene Aue,"Modellprojekt - ""Bürgerarbeit"" in der Stadt Kelbra -
Fortsetzung 4. Förderjahr",2010,2013,"932638,53","932638,53"
B & D Industrietechnik GmbH,"Qualifizierungsvorhaben zur Sicherung des gegenwärtigen
Fachkräftebedarfs",2008,2009,"79893,49","79893,49"
"B & S Steuerberatungsgesellschaft
mbH",Steuer- und Rechnungswesen,2013,,"3677,1",
B & W Fahrzeugentwicklung GmbH,Innovationsassistent,2008,2015,0,0
"B &#38; W Fahrzeugentwicklung
GmbH","Allgemeine Qualifizierungsmaßnahme für Beschäftigte zur
Einführung neuer Technik im Modellbau",2009,2010,"5823,74","5823,74"
B + S Landtechnik GmbH,Zusatzqualifikation Führerschein Klasse T,2009,2010,500,500
B&#38;P Fahrzeuglackier GbR,"Ausbildung benachteiligter Jugendlicher/Landkreis Mansfeld
Südharz",2009,2009,2000,2000
"B&A Strukturförderungsgesellschaft
Zerbst mbH",Berufliche Erprobung im Unternehmen,2014,,"9487,8",
"B&A Strukturförderungsgesellschaft
Zerbst mbH",Berufliche Erprobung im Unternehmen,2014,,10080,
"B&A Strukturförderungsgesellschaft
Zerbst mbH",Betreuung von älteren und behinderten Menschen,2014,,"192732,08",
"B&A Strukturförderungsgesellschaft
Zerbst mbH","Denkmal- und gärtnerische Rückführung des Schlossgartens
Zerbst in seinem historischen Zustand",2008,,"90591,1",
"B&A Strukturförderungsgesellschaft
Zerbst mbH",Einrichtung einer Freiwilligenagentur,2009,,"28296,74",
"B&A Strukturförderungsgesellschaft
Zerbst mbH",Heimatverein Bobbau,2014,,"15954,41",
"B&A Strukturförderungsgesellschaft
Zerbst mbH",Kinder- und Jugendbetreuung Zerbst/Anhalt,2014,,90000,
"B&A Strukturförderungsgesellschaft
Zerbst mbH","Kinder-, Jugend-  und Seniorenarbeit",2010,,"135054,38",
"B&A Strukturförderungsgesellschaft
Zerbst mbH","Offene Kirche am ""Lutherweg"" St. Bartholomäi -
Zerbst/Anhalt",2009,,"27696,69",
"B&A Strukturförderungsgesellschaft
Zerbst mbH",Projektkoordinatoren in den Verkehrswachten  Zerbst/Anhalt,2010,,"37149,09",
"B&A Strukturförderungsgesellschaft
Zerbst mbH",Seniorenbetreuung,2014,,"107999,8",
"B&A Strukturförderungsgesellschaft
Zerbst mbH","Soziale Dienstleistungen - Bitterfelder Tafel,  Kleiderkammer
Bitterfeld, Obdachlosenheim Bitterfeld, Caritas
Bahnhofsmission Bitterfeld",2014,,"193322,24",
"B&A Strukturförderungsgesellschaft
Zerbst mbH","Soziale Dienstleistungen Kleiderkammer Wolfen,
Straffälligenhilfe",2014,,"64613,6",
"B&A Strukturförderungsgesellschaft
Zerbst mbH",Tierheim / Tiergehege Bitterfeld,2014,,"81347,1",
"B&A Strukturförderungsgesellschaft
Zerbst mbH",Unterstützung an Schulen,2014,,71230,
"B&A Strukturförderungsgesellschaft
Zerbst mbH",Unterstützung bei der Präsentation der Stadt Zerbst/Anhalt,2014,,"125171,35",
"B&A Strukturförderungsgesellschaft
Zerbst mbH","Unterstützung der Kinder- und Jugendarbeit in
Jugendeinrichtungen",2014,,"80293,9",
"B&A Strukturförderungsgesellschaft
Zerbst mbH","Unterstützung der Kinder- und Jugendarbeit in
Kindereinrichtungen und Jugend-Clubs",2014,,"498245,85",
"B&A Strukturförderungsgesellschaft
Zerbst mbH",Unterstützung der Kinder- und Jugendarbeit in Schulen,2014,,"95883,6",
"B&A Strukturförderungsgesellschaft
Zerbst mbH","Unterstützung sozialer und touristischer Einrichtungen
Offene Kirche Holzweißig, Wasserzentrum Bitterfeld,
Kontakcafe, Kreismuseum Bitterfeld, Traditionsverein
Bitterfelder Bergleute e. V.,
Mehrgenerationshaus/Quartierbüro Wolfen",2014,,"177645,02",
"B&A Strukturförderungsgesellschaft
Zerbst mbH",Verbesserung der touristischen Angebote am Elberadweg,2008,,"62997,98",
"B&A Strukturförderungsgesellschaft
Zerbst mbH","Verbesserung der touristischen Angebote im Naturpark
Fläming",2008,,"46763,04",
"B&A Strukturförderungsgesellschaft
Zerbst mbH","Wahrung des kulturellen Erbes in historischen
Sehenswürdigkeiten",2011,,"393946,99",
"B&A Strukturförderungsgesellschaft
Zerbst mbH","Zusätzliche Angebote der Seniorenbetreuung in
Zerbst/Anhalt",2009,,"23058,41",
"B&A Strukturförderungsgesellschaft
Zerbst mbH",Zusätzliche Angebote in der Kinder- und Jugendarbeit,2009,,"57299,4",
"B&A Strukturförderungsgesellschaft
Zerbst mbH",Zusätzliche Unterstützung im Tierheim Zerbst/Anhalt,2010,,"37137,75",
"B&A Strukturförderungsgesellschaft
Zerbst mbH","christliche und soziale Einrichtungen
Autobahnkirche Brehna, Evang. Kirchengemeinden,
Christophorushaus Wolfen, Behindertenwerkstatt",2014,,"128171,46",
B.A.S.E. Diestleistungen UG,Berufliche Erprobung im Unternehmen,2014,,"10761,14",
"B.A.S.E. e. V. (Verein zur Förderung
von  Bildung - Arbeit -  Sozialem
Engagement","Berufliche Erprobung ivon Arbeitnehmer/innen in
erwerbswirtschaftlich orientierten Tätigkeiten",2013,,"11837,21",
"B.A.S.E. e. V. (Verein zur Förderung
von  Bildung - Arbeit -  Sozialem
Engagement","Berufliche Erprobung von Arbeitnehmer/innen in
erwerbswirtschaftlich orientierten Tätigkeiten",2013,,"11837,25",
"B.A.S.E. e.V. Verein zur Förderung
von Bildung Arbeit",Fremdausbildung,2009,,"2680,23",
B.T. innovation GmbH,Firmentraining Business Englisch und Deutsch für den Beruf,2014,,"8942,7",
B.T. innovation GmbH,Innovationsassistent,2011,,"34840,02",
B.T. innovation GmbH,Innovationsassistent,2011,,"37354,2",
Babcock Noell Magnettechnik GmbH,"Qualifizierung von Beschäftigten - Qualifizierung im Netzwerk
Metall",2008,2012,"1581,43","1581,43"
Babette Fahland,Erfolg durch nachhaltige Personalentwicklung,2014,,"2854,6",
Babette Fahland,IT 365,2014,,5376,
Babette Fahland,"InDesign CC, Marketing, WebCreator Pro, Website erstellen",2014,,"2025,24",
Babette Fahland,Stressmanagement,2014,,"804,01",
Babette Hörning-Kupsch,Fußpflege,2012,,"854,98",
Bad &#38; Heizung Gerd Wolf,Einstellungshilfe zu GAJL,2011,,3000,
Bad Bibra,"Projekt zur Qualifizierung des päd. Betreuungspersonals in
der KT ""Rotkäppchen"" Eckatsberga",2010,2012,3535,3535
Badexperte.de GmbH,Zeichenkurs,2009,2011,"2005,02","2005,02"
"Bahnbedarf Möhlau GmbH &#38; Co.
KG","Softwarequalifizierung sage Office Line Evolution Business
Warenwirtschaft und Rechnungswesen",2010,,9000,
BAJ Magdeburg GmbH,AO-002-06,2008,2011,"54429,53","54429,53"
BAJ Magdeburg GmbH,AO-009-08,2008,,"120615,91",
BAJ Magdeburg GmbH,AO-082-09 B,2010,,"72365,58",
BAJ Magdeburg GmbH,AO-085-09 A,2010,,"174178,49",
BAJ Magdeburg GmbH,"Förderbereich F - Projekt für Zielgruppen des Arbeitsmarktes
- Projekt: Integrationscoaching - Zeitarbeit",2009,2011,"304099,06","304099,06"
BAJ Magdeburg GmbH,"Schulsozialarbeit an der Sekundarschule ""E. Wille"" in
Magdeburg",2009,,"51593,99",
BAJ Magdeburg GmbH,"Schulsozialarbeit in der Sekundarschule ""Ernst Wille""
Magdeburg",2010,,"49565,9",
"BAL Bildungs- und Beteiligungs
GmbH & Co.KG",AO-110-06,2008,2011,"46434,25","46434,25"
"balance - Praxis für Physiotherapie
und Osteopathie","Qualifizierung Lymphtherapeut Physiotherapie Praxis Gutjahr
""Balance""",2009,,"1423,28",
"balance - Praxis für Physiotherapie
und Osteopathie",Qualifizierung manuelle Lymphdränage,2009,,1608,
Balfour Beatty Rail Signal GmbH,"Zusatzqualifikation Speicherprogrammierbare Steuerung
Simatic S7",2009,,0,
Balke,Übernahme aus BÜE/LH Magdeburg,2009,2009,2000,2000
Ballon  ́94,Ausbildung PPL-N,2009,,"1483,86",
Banse Haustechnik GmbH,"Berufsbegleitende Fortbildung zum KDT-SHK
Abschluß mit bundeseinheitlichem Zertifikat",2009,,"1146,72",
BaP stainless steel solutions GmbH,Englisch,2013,,"14136,6",
BAQJ GmbH,Schulsozialarbeit an der Sekundarschule Ernst Wille,2012,,"14857,56",
Barbara Bräuer,"Systemisch Führen / Elemente der Systemischen
Organisationsberatung",2014,,"1140,24",
Barbara Maria Owczarek,Berufliche Erprobung im Unternehmen,2014,,9900,
"Barbara Schier Fachärztin für
Allgemeinmedizin",Fernstudium Praxismanagement,2011,2014,4200,4200
Barbara Wildner,Live4Education,2014,,"8083,6",
Barbara Zippel,Coaching,2012,2013,5400,5400
Barbara Zippel,Teilnahme an Messen als Besucher,2013,2013,"468,65","468,65"
Barbe-Kirsten Schinke,Coaching,2012,2014,2160,2160
Barbe-Kirsten Schinke,Qualitätsmanagement,2013,2013,"1861,56","1861,56"
"BARES Baustoffhandel und
Reifenservice  GmbH","Mitarbeiterqualifizierung zur effektiven Nutzung eines ERP-
Softwaresystems",2009,,9600,
"BARES Baustoffhandel und
Reifenservice  GmbH","Schweißen (MAG St 1 - 3, MIG Al 1 - 3)",2014,,9425,
"BARES Baustoffhandel und
Reifenservice  GmbH",für den Erwerb von Zusatzqualifikationen,2009,2009,600,600
"BARES Baustoffhandel und
Reifenservice GmbH",8 x Berufskraftfahrer,2010,,0,
"BARES Baustoffhandel und
Reifenservice GmbH","9 x FA  Berufskraftfahrer, 9 x ZQ Gabelstapler,
Gefahrguttransport, Betriebssicherheit",2014,,"33547,5",
barina Kosmetiklabor,"Weiterbildung Die Frau als erfolgreiche Unternehmerin, OCC",2008,2013,11270,11270
"Barleben, Elke",E 01 Fremdsprachenqualifizierung,2011,2011,"30735,76","30735,76"
Barner und Machner,Ausbildung von benachteiligten Jugendlichen/Landkreis Harz,2008,2009,2000,2000
Barrierefreie Nordharz Netzwerk e.V.,Digitalisierung Stadtarchiv,2010,,"41658,01",
"Barth & Schmidt Sanitär-, Heizung-
und Service- GmbH",BWL Qualifizierung,2014,,3300,
"Barth & Schmidt Sanitär-, Heizung-
und Service- GmbH",Qualifizierung von Beschäftigten,2008,2009,"8391,6","8391,6"
"Bastam & Schwerd Rechtsanwälte
Sozietät","Vorbereitungslehrgang zum Fachanwalt für Strafrecht und
Vorbereitungslehrgang zum Fachanwalt für Familienrecht",2013,,"6269,06",
Bau AS Anke Schneider,Qualifizierung von Beschäftigten,2008,2009,693,693
Bau Müller GmbH,Gebäudeenergieberater,2008,2012,"3525,73","3525,73"
"Bau und Haustechnik Halle-Neustadt
GmbH",Professionelles Office Management,2008,2010,"7253,56","7253,56"
Bau- &#38; Elektroservice,"Qualifizierung zum ""Gebäudeenergieberater im Handwerk""",2009,,"2134,38",
"Bau- &#38; Möbeltischlerei/Glaserei
Timme",Qualifizierung zur Fachkraft für Fenstererhaltung,2010,,"3045,07",
Bau- und Naturstein GmbH Berga,Baukalkulation,2014,,"7305,12",
Bau- und Naturstein GmbH Berga,Energieeinsparung-Energiebeibehaltung-Energiegewinnung,2013,2014,"20935,29","20935,29"
Bau-/Planungsbüro Epperlein GmbH,"Anerkannter Sachverständiger der Ingenieurkamm Sachsen-
Anhalt",2014,2014,"1060,08","1060,08"
Baubiologische Gesundheitsberatung,Qualifizierung im Bereich Baubiologie,2010,,"1419,96",
Baubiologische Gesundheitsberatung,"Sachverständiger für Erkennung, Bewertung von
Schimmelpilzbeleastung in Innenräumen (TUV)",2008,2010,"1391,6","1391,6"
Bauen Wohnen Leben eG i.G.,"Coaching, Machbarkeitsstudie",2011,2012,5400,5400
"Bauer & Mayer Spedition und Logistik
GmbH",Leadership Training,2011,,4320,
"Bauer & Mayer Spedition und Logistik
GmbH",Qualifizierung im Bereich Projektmanagement,2010,,14400,
"Bauer & Mayer Spedition und Logistik
GmbH","Qualifizierung mit Schwerpunkt Kundenorientiertes Verhalten
am Telefon",2010,,3000,
"Bauer & Mayer Spedition und Logistik
GmbH",Strategieschulung,2011,,5400,
Bauer Elektroanlagen GmbH Halle,Trainingsprogramme für Nachwuchskräfte,2013,,"15592,2",
Bauernverband Sachsen-Anhalt e.V.,Chefsache Fachkräftesicherung,2013,,250000,
"BauFa Bau- und Fahrzeugtechnik
Erxleben GmbH","Elektrofachkraft für festgelegte Tätigkeiten im Metallbau,
Qualitätsmanagement, Arbeitsrecht",2013,2014,14359,14359
"BauFa Bau- und Fahrzeugtechnik
Erxleben GmbH","Praktische Einweisung, Schweißerausbildung WIG,
Schweißerausbildung MAG, Schweißerausbildung E",2013,,18606,
"BauFa Bau- und Fahrzeugtechnik
Erxleben GmbH","Unternehmensführung, Prokurist",2013,2014,"2066,52","2066,52"
Baufirma Faust,Qualifizierung von Beschäftigten,2008,2010,"1301,31","1301,31"
Baufirma Pietschmann GmbH,Berufliche Erprobung im Unternehmen,2013,,11880,
Baugeschäft Richter,Qualifizierung,2008,2010,"18372,07","18372,07"
"Baugesellschaft HORN mbH &#38;
CoKG","Übernahme aus Betriebsstilllegung/-einschränkung/
Saalekreis",2008,2009,2000,2000
"BAUGRUND UND UMWELT
GESELLSCHAFT mbH Ingenieurbüro","Anerkannter Sachverständiger der Ingenieurkammer
Sachsen-Anhalt",2013,2014,"1392,55","1392,55"
Bauingenieurgesellschaft KIB Ltd.,Weiterbildung zum Fachingenieur Energie,2013,2014,"2909,91","2909,91"
BAUKING Ostfalen GmbH & Co. KG,Berufliche Erprobung im Unternehmen,2014,,10944,
BAUKING Ostfalen GmbH & Co. KG,Berufliche Erprobung im Unternehmen,2014,,12960,
BAUKING Ostfalen GmbH & Co. KG,Berufliche Erprobung im Unternehmen,2014,,15840,
BAUKING Ostfalen GmbH & Co. KG,Berufliche Erprobung im Unternehmen.,2014,,11718,
Baumanagement,Gebäudeenergieberater (HWK),2008,2010,"1858,5","1858,5"
