Tytu≥ projektu;Nazwa beneficjenta;WartoúÊ projektu;Dofinansowanie z EU;Multimedia;Dziedzina;Czy projekt jest realizowany na obszarze wiÍkszym niø jedna jednostka administracyjna?
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie lipnowskim (II);POWIAT LIPNOWSKI/POWIATOWY URZ•D PRACY W LIPNIE;3173731.00;2916341.00;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie niøaÒskim (I);POWIAT NIØA—SKI-POWIATOWY URZ•D PRACY W NISKU;3170430.00;2913331.39;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie wo≥omiÒskim (I);POWIAT WO£OMI—SKI/POWIATOWY URZ•D PRACY W WO£OMINIE;3454900.00;2911789.72;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie bÍdziÒskim (II);POWIAT B DZI—SKI/POWIATOWY URZ•D PRACY W B DZINIE;3452351.70;2909642.00;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie bia≥obrzeskim (II);POWIAT BIA£OBRZESKI/POWIATOWY URZ•D PRACY W BIA£OBRZEGACH;3444387.00;2902929.36;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie miechowskim (I);POWIAT MIECHOWSKI / POWIATOWY URZ•D PRACY W MIECHOWIE;3140385.40;2885700.14;Nie;praca i integracja spo≥eczna;Nie
Pomoc techniczna PO WER dla WojewÛdzkiego UrzÍdu Pracy w £odzi na rok 2016;WOJEW”DZKI URZ•D PRACY W £ODZI;3423000.00;2884904.40;Nie;brak;Nie
Aktywizacja w powiecie bartoszyckim osÛb bezrobotnych od 30 roku øycia.;POWIAT BARTOSZYCKI/ POWIATOWY URZ•D PRACY W BARTOSZYCACH;3391900.00;2883115.00;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb w wieku 30 lat i wiÍcej pozostajπcych bez pracy w powiecie olkuskim (II);POWIAT OLKUSKI/POWIATOWY URZ•D PRACY W OLKUSZU;3390563.67;2881979.11;Nie;brak;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie bytowskim (I);POWIAT BYTOWSKI / POWIATOWY URZ•D PRACY W BYTOWIE;3412800.00;2876307.84;Nie;praca i integracja spo≥eczna;Nie
Si≥a kompetencji;INSTYTUT TURYSTYKI W KRAKOWIE SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;3366028.39;2861124.13;Nie;brak;Tak
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie zawierciaÒskim (II);POWIAT ZAWIERCIA—SKI/POWIATOWY URZ•D PRACY W ZAWIERCIU;3393508.90;2860049.30;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie radomszczaÒskim (II);POWIAT RADOMSZCZA—SKI / POWIATOWY URZ•D PRACY W RADOMSKU;3090821.00;2840156.00;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie p≥ockim (I);POWIAT P£OCKI/POWIATOWY URZ•D PRACY W P£OCKU;3367500.00;2838129.00;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie øywieckim (II);POWIAT ØYWIECKI/POWIATOWY URZ•D PRACY W ØYWCU;3358105.40;2830211.20;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie kraúnickim II;POWIAT KRAåNICKI / POWIATOWY URZ•D PRACY W KRAåNIKU;3079474.96;2829729.53;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie úwidnickim (II);POWIAT åWIDNICKI/POWIATOWY URZ•D PRACY W åWIDNIKU;3073045.00;2823821.05;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb w wieku 30 lat i powyøej pozostajπcych bez pracy w powiecie p≥oÒskim (I);POWIAT P£O—SKI/POWIATOWY URZ•D PRACY W P£O—SKU;3525300.00;2820240.00;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie kolskim (I);POWIAT KOLSKI / POWIATOWY URZ•D PRACY W KOLE;3343500.00;2817901.80;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie tarnobrzeskim i mieúcie Tarnobrzeg (II);POWIAT TARNOBRZESKI/POWIATOWY URZ•D PRACY W TARNOBRZEGU;3063056.00;2814642.00;Nie;praca i integracja spo≥eczna;Tak
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w mieúcie Opolu i powiecie opolskim (I);MIASTO OPOLE/ POWIATOWY URZ•D PRACY W OPOLU;3336999.02;2812422.77;Nie;praca i integracja spo≥eczna;Nie
"Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie dπbrowskim (II) ""M≥odzi i Aktywni""";POWIAT D•BROWSKI/ POWIATOWY URZ•D PRACY W D•BROWIE TARNOWSKIEJ;3059749.93;2811604.21;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie kraúnickim (I);POWIAT KRAåNICKI / POWIATOWY URZ•D PRACY W KRAåNIKU;3058000.00;2810100.00;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w Mieúcie Katowice (II);MIASTO KATOWICE/POWIATOWY URZ•D PRACY W KATOWICACH;3331768.40;2808014.40;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie pruszkowskim (II);POWIAT PRUSZKOWSKI / POWIATOWY URZ•D PRACY W PRUSZKOWIE;3328921.70;2805615.21;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie nowodworskim (II);POWIAT NOWODWORSKI/ POWIATOWY URZ•D PRACY W NOWYM DWORZE MAZOWIECKIM;3321329.60;2799216.58;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie bytowskim (II);POWIAT BYTOWSKI / POWIATOWY URZ•D PRACY W BYTOWIE;3318407.90;2796754.18;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w Toruniu (I);MIASTO TORU—/POWIATOWY URZ•D PRACY DLA MIASTA TORUNIA;3037200.00;2790900.00;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie brzozowskim (I);POWIAT BRZOZOWSKI / POWIATOWY URZ•D PRACY W BRZOZOWIE;3026700.00;2781269.70;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb bezrobotnych w wieku 30+ zarejestrowanych w Powiatowym UrzÍdzie Pracy w Gliwicach (II);MIASTO GLIWICE/POWIATOWY URZ•D PRACY W GLIWICACH;3271432.90;2780718.00;Nie;brak;Tak
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie olkuskim (II);POWIAT OLKUSKI/POWIATOWY URZ•D PRACY W OLKUSZU;3022200.00;2777099.58;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb bezrobotnych w wieku powyøej 29 roku øycia w powiecie dzia≥dowskim;POWIAT DZIA£DOWSKI/POWIATOWY URZ•D PRACY W DZIA£DOWIE;3245882.00;2758999.70;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja zawodowa osÛb bezrobotnych po 30 roku øycia zamieszka≥ych na terenie powiatu wejherowskiego.;POWIAT WEJHEROWSKI / POWIATOWY URZ•D PRACY W WEJHEROWIE;3245549.40;2758716.99;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie lipnowskim (I);POWIAT LIPNOWSKI/POWIATOWY URZ•D PRACY W LIPNIE;3001600.00;2758200.00;Nie;praca i integracja spo≥eczna;Nie
Aktywna M≥odzieø Ma≥opolski Zachodniej.;CENTRUM BIZNESU MA£OPOLSKI ZACHODNIEJ SP. Z O.O.;2998850.00;2755643.26;Nie;praca i integracja spo≥eczna;Tak
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie zwoleÒskim (II);POWIAT ZWOLE—SKI/POWIATOWY URZ•D PRACY W ZWOLENIU;3263479.70;2750460.69;Nie;praca i integracja spo≥eczna;Nie
Szerokie horyzonty ñ mobilnoúÊ miÍdzynarodowa na rzecz aktywizacji m≥odych bezrobotnych;ZAK£AD DOSKONALENIA ZAWODOWEGO W BIA£YMSTOKU;2916594.28;2750056.75;Nie;wspÛ≥praca miÍdzynarodowa;Tak
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w Powiecie Gorzowskim (II);POWIAT GORZOWSKI / POWIATOWY URZ•D PRACY W GORZOWIE WLKP.;2992572.00;2749874.41;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie kaliskim (I);MIASTO KALISZ/POWIATOWY URZ•D PRACY W KALISZU;3260000.00;2747528.00;Nie;praca i integracja spo≥eczna;Tak
Mazowiecki program stypendialny dla uczniÛw szczegÛlnie uzdolnionych - najlepsza inwestycja w cz≥owieka;WOJEW”DZTWO MAZOWIECKIE/URZ•D MARSZA£KOWSKI WOJEW”DZTWA MAZOWIECKIEGO W WARSZAWIE/DEPARTAMENT EDUKACJI PUBLICZNEJ I SPORTU;3433120.00;2746496.00;Nie;nauka i edukacja;Nie
"Aktywizacja osÛb m≥odych pozostajacych bez pracy w powiecie suskim (I) - ""Szansa dla m≥odych""";POWIAT SUSKI/POWIATOWY URZ•D PRACY W SUCHEJ BESKIDZKIEJ;2965503.33;2725001.01;Nie;praca i integracja spo≥eczna;Nie
Prowadzenie dzia≥aÒ informacyjno-promocyjnych RPO WZ w roku 2016 oraz realizacja dzia≥aÒ administracji zajmujπcej siÍ promocjπ RPO WZ w roku 2016;WOJEW”DZTWO ZACHODNIOPOMORSKIE;2815674.00;2721822.90;Nie;brak;Nie
Aktywizacja osÛb bezrobotnych od 30 roku øycia w powiecie legnickim (2016);POWIAT LEGNICKI/POWIATOWY URZ•D PRACY W LEGNICY;3196073.00;2716662.00;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb bezrobotnych w wieku 30 + zarejestrowanych w Powiatowym UrzÍdzie Pracy w Bielsku-Bia≥ej (I).;MIASTO BIELSKO-BIA£A/POWIATOWY URZ•D PRACY W BIELSKU-BIA£EJ;3193700.00;2714600.00;Nie;brak;Nie
Aktywizacja osÛb bezrobotnych w wieku 30+ zarejestrowanych w Powiatowym UrzÍdzie Pracy w Gliwicach (I);MIASTO GLIWICE/POWIATOWY URZ•D PRACY W GLIWICACH;3191900.00;2713100.00;Nie;brak;Tak
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie opatowskim (I);POWIAT OPATOWSKI/POWIATOWY URZ•D PRACY W OPATOWIE;2945700.00;2706900.00;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja†osÛb†m≥odych†pozostajπcych†bez†pracy†w†powiecie†úwidnickim†(I) ;POWIAT åWIDNICKI/ POWIATOWY URZ•D PRACY W åWIDNICY;2942500.00;2703900.00;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie be≥chatowskim (II);POWIAT BE£CHATOWSKI / POWIATOWY URZ•D PRACY W BE£CHATOWIE;2939600.00;2701199.00;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie leøajskim (I);POWIAT LEØAJSKI/POWIATOWY URZ•D PRACY W LEØAJSKU;2938400.00;2700200.00;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie hrubieszowskim (II);POWIAT HRUBIESZOWSKI/POWIATOWY URZ•D PRACY W HRUBIESZOWIE;2938037.69;2699762.83;Nie;praca i integracja spo≥eczna;Nie
Kompetencje ICT dla studentÛw Wydzia≥u Nauk Ekonomicznych i Zarzπdzania Uniwersytetu Miko≥aja Kopernika w Toruniu;UNIWERSYTET MIKO£AJA KOPERNIKA W TORUNIU;3195769.50;2693394.53;Nie;nauka i edukacja;Nie
Aktywny krok;MIASTO £”Dè / MIEJSKI OåRODEK POMOCY SPO£ECZNEJ W £ODZI;3205131.26;2690131.26;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie nowotarskim (II);POWIAT NOWOTARSKI/POWIATOWY URZ•D PRACY W NOWYM TARGU;2913547.50;2677258.79;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb w wieku 30 lat i powyøej pozostajπcych bez pracy w powiecie sierpeckim (I);POWIAT SIERPECKI/POWIATOWY URZ•D PRACY W SIERPCU;3343900.00;2675120.00;Nie;praca i integracja spo≥eczna;Nie
Pomoc techniczna PO WER dla Ministerstwa Zdrowia na rok 2016;MINISTERSTWO ZDROWIA;3174000.00;2675047.20;Nie;brak;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie toruÒskim (II);POWIAT TORU—SKI/POWIATOWY URZ•D PRACY DLA POWIATU TORU—SKIEGO W TORUNIU;2905845.00;2670180.86;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja zawodowa osÛb bezrobotnych powyøej 30 roku øycia w powiecie bytowskim;POWIAT BYTOWSKI / POWIATOWY URZ•D PRACY W BYTOWIE;3139300.00;2668405.00;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie opoczyÒskim (I);POWIAT OPOCZY—SKI / POWIATOWY URZ•D PRACY W OPOCZNIE;2899100.00;2664000.00;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie jÍdrzejowskim (II);POWIAT J DRZEJOWSKI/ POWIATOWY URZ•D PRACY W J DRZEJOWIE;2898102.00;2663065.93;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie nowosolskim (II);POWIAT NOWOSOLSKI/POWIATOWY URZ•D PRACY W NOWEJ SOLI;2892386.00;2657813.50;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie nakielskim (I);POWIAT NAKIELSKI/POWIATOWY URZ•D PRACY W NAKLE NAD NOTECI•;2880400.00;2646868.60;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja†osÛb†m≥odych†pozostajπcych†bez†pracy†w†powiecie†jeleniogÛrskim†(I) ;POWIAT JELENIOG”RSKI / POWIATOWY URZ•D PRACY W JELENIEJ G”RZE;2877100.00;2643800.00;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb w wieku 30 lat i wiÍcej pozostajπcych bez pracy na terenie Gminy Miejskiej KrakÛw (I) Kierunek praca.;GMINA MIEJSKA KRAK”W/ GRODZKI URZ•D PRACY W KRAKOWIE;3108000.00;2641800.00;Nie;brak;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie starogardzkim (II);POWIAT STAROGARDZKI / POWIATOWY URZ•D PRACY W STAROGARDZIE GDA—SKIM;3134522.60;2641775.65;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie jÍdrzejowskim (I);POWIAT J DRZEJOWSKI/ POWIATOWY URZ•D PRACY W J DRZEJOWIE;2874005.00;2640923.20;Nie;praca i integracja spo≥eczna;Nie
SAMOZATRUDNIENIE - przepis na sukces;KRAJOWE STOWARZYSZENIE WSPIERANIA PRZEDSI BIORCZOåCI;3105548.55;2639716.27;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb powyøej 29 r. ø. pozostajπcych bez pracy w przemyskim (I);MIASTO PRZEMYåL/POWIATOWY URZ•D PRACY W PRZEMYåLU;3095650.00;2631302.50;Nie;praca i integracja spo≥eczna;Tak
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie przysuskim (I);POWIAT PRZYSUSKI/ POWIATOWY URZ•D PRACY W PRZYSUSZE;3121200.00;2630547.36;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie gorlickim II;POWIAT GORLICKI/POWIATOWY URZ•D PRACY W GORLICACH;2862533.26;2630381.81;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb bezrobotnych w wieku od 30 roku øycia, bÍdπcych w szczegÛlnej sytuacji na rynku pracy w powiecie dzierøoniowskim.;POWIAT DZIERØONIOWSKI - POWIATOWY URZ•D PRACY W DZIERØONIOWIE;3092697.00;2628793.00;Nie;praca i integracja spo≥eczna;Nie
Wsparcie aktywnoúci zawodowej osÛb bezrobotnych w Toruniu (I);MIASTO TORU—/POWIATOWY URZ•D PRACY DLA MIASTA TORUNIA;3089938.72;2626382.91;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w mieúcie Rybnik i powiecie rybnickim (II);MIASTO RYBNIK/POWIATOWY URZ•D PRACY W RYBNIKU;3114693.60;2625063.80;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie opatowskim (II);POWIAT OPATOWSKI/POWIATOWY URZ•D PRACY W OPATOWIE;2851665.00;2620394.97;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie sochaczewskim (II);POWIAT SOCHACZEWSKI/POWIATOWY URZ•D PRACY W SOCHACZEWIE;3103771.00;2615858.20;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb w wieku 30 lat i powyøej pozostajπcych bez pracy w powiecie siedleckim i mieúcie Siedlce (I);MIASTO-GMINA SIEDLCE/POWIATOWY URZ•D PRACY W SIEDLCACH;3269400.00;2615520.00;Nie;praca i integracja spo≥eczna;Tak
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie brzeskim (II);POWIAT BRZESKI/POWIATOWY URZ•D PRACY W BRZESKU;2840246.57;2609902.57;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja zawodowa osÛb powyøej 29 roku øycia pozostajπcych bez pracy w powiecie skarøyskim (I);POWIAT SKARØYSKI/POWIATOWY URZ•D PRACY W SKARØYSKU-KAMIENNEJ;3068678.54;2608376.76;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie hrubieszowskim (I);POWIAT HRUBIESZOWSKI / POWIATOWY URZ•D PRACY W HRUBIESZOWIE;2834200.00;2604400.00;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie szyd≥owieckim (II);POWIAT SZYD£OWIECKI/POWIATOWY URZ•D PRACY W SZYD£OWCU;3090000.00;2604252.00;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb bezrobotnych w wieku 30 + zarejestrowanych w Powiatowym UrzÍdzie Pracy w Bielsku-Bia≥ej (II).;MIASTO BIELSKO-BIA£A/POWIATOWY URZ•D PRACY W BIELSKU-BIA£EJ;3057415.80;2598803.40;Nie;brak;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie jeleniogÛrskim (II);POWIAT JELENIOG”RSKI / POWIATOWY URZ•D PRACY W JELENIEJ G”RZE;2810380.00;2582458.00;Nie;praca i integracja spo≥eczna;Tak
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie toruÒskim (I);POWIAT TORU—SKI/POWIATOWY URZ•D PRACY DLA POWIATU TORU—SKIEGO W TORUNIU;2809021.00;2581234.14;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie úwidnickim (I);POWIAT åWIDNICKI/POWIATOWY URZ•D PRACY W åWIDNIKU;2803200.00;2575900.00;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie proszowickim (I);POWIAT PROSZOWICKI/POWIATOWY URZ•D PRACY W PROSZOWICACH;2801677.25;2574461.23;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie sanockim (II);POWIAT SANOCKI / POWIATOWY URZ•D PRACY W SANOKU;2794385.00;2567760.37;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie g≥ogowskim (II);POWIAT GLOGOWSKI / POWIATOWY URZ•D PRACY W G£OGOWIE;2793294.00;2566757.00;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja zawodowa osÛb powyøej 29 roku øycia pozostajπcych bez pracy w Gminie Miasto Kielce (II);GMINA MIASTO KIELCE / MIEJSKI URZ•D PRACY W KIELCACH;3012046.00;2560239.10;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie wodzis≥awskim (I);POWIAT WODZIS£AWSKI/POWIATOWY URZ•D PRACY W WODZIS£AWIU åL•SKIM;3034400.00;2557500.00;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie pu≥awskim (I);POWIAT PU£AWSKI / POWIATOWY URZ•D PRACY W PU£AWACH;2765900.00;2541600.00;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja zawodowa osÛb powyøej 29 roku øycia pozostajπcych bez pracy w powiecie ostrowieckim (I);POWIAT OSTROWIECKI/ POWIATOWY URZ•D PRACY W OSTROWCU åWI TOKRZYSKIM;2989832.00;2541357.20;Nie;praca i integracja spo≥eczna;Nie
ZwiÍkszenie skutecznoúci dzia≥aÒ pracownikÛw systemu wspomagania i trenerÛw w zakresie kszta≥cenia u uczniÛw kompetencji kluczowych;OåRODEK ROZWOJU EDUKACJI;3013155.11;2539487.13;Nie;brak;Nie
POMOST NA RYNEK PRACY II: wysokiej jakoúci program staøowy Wydzia≥u Nauk Politycznych i Dziennikarstwa UAM w Poznaniu;UNIWERSYTET IM. ADAMA MICKIEWICZA W POZNANIU;3006502.50;2533880.30;Nie;nauka i edukacja;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie e≥ckim (II);POWIAT E£CKI/POWIATOWY URZ•D PRACY W E£KU;2753087.35;2529811.97;Nie;praca i integracja spo≥eczna;Nie
Pomoc Techniczna PO WER dla Wojewodzkiego UrzÍdu Pracy w Warszawie na rok 2015;WOJEW”DZKI URZ•D PRACY W WARSZAWIE;2999566.00;2528034.22;Nie;brak;Nie
Aktywizacja osÛb powyøej 29 r. ø. pozostajπcych bez pracy w powiecie rzeszowskim (II);POWIAT RZESZOWSKI/POWIATOWY URZ•D PRACY W RZESZOWIE;2973596.00;2527556.60;Nie;praca i integracja spo≥eczna;Tak
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie olsztyÒskim (I);POWIAT OLSZTY—SKI/URZ•D PRACY POWIATU OLSZTY—SKIEGO;2747127.44;2524335.41;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb powyøej 30 roku øycia pozostajπcych bez pracy w powiecie wa≥brzyskim ziemskim i wa≥brzyskim grodzkim (I);POWIAT WA£BRZYSKI/ POWIATOWY URZ•D PRACY W WA£BRZYCHU;2968000.00;2522800.00;Nie;praca i integracja spo≥eczna;Tak
"""Aktywizacja†osÛb†m≥odych†pozostajπcych†bez†pracy†w†powiecie†ostrowskim†(I)""";POWIAT OSTROWSKI / POWIATOWY URZ•D PRACY W OSTROWIE WIELKOPOLSKIM;2988720.00;2518893.22;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w Dπbrowie GÛrniczej (I);MIASTO D•BROWA G”RNICZA/POWIATOWY URZ•D PRACY W D•BROWIE G”RNICZEJ;2987400.00;2517900.00;Nie;praca i integracja spo≥eczna;Nie
"""Aktywizacja osÛb w wieku od 30 roku øycia pozostajπcych bez zatrudnienia, znajdujπcych siÍ w szczegÛlnej sytuacji na rynku pracy w powiecie úwidnickim II""";POWIAT åWIDNICKI/ POWIATOWY URZ•D PRACY W åWIDNICY;2959395.00;2515486.00;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie lipskim (II);POWIAT LIPSKI / POWIATOWY URZ•D PRACY W LIPSKU;2981729.90;2513001.96;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie oleúnickim (II);POWIAT OLEåNICKI / POWIATOWY URZ•D PRACY W OLEåNICY;2732574.00;2510963.00;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie wrzesiÒskim (I);POWIAT WRZESI—SKI/POWIATOWY URZ•D PRACY WE WRZEåNI;2978780.00;2510515.78;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb w wieku 30 lat i powyøej pozostajπcych bez pracy w powiecie garwoliÒskim (I);POWIAT GARWOLI—SKI/POWIATOWY URZ•D PRACY W GARWOLINIE;3133100.00;2506480.00;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb pozostajπcych bez pracy w wieku powyøej 29 roku øycia znajdujπcych siÍ w szczegÛlnie trudnej sytuacji na rynku pracy w powiecie stargardzkim;POWIAT STARGARDZKI-POWIATOWY URZ•D PRACY W STARGARDZIE SZCZECI—SKIM;2942710.00;2501303.50;Nie;brak;Nie
Aktywizacja osÛb mlodych pozostajπcych bez pracy w powiecie chrzanowskim (II);POWIAT CHRZANOWSKI - POWIATOWY URZ•D PRACY W CHRZANOWIE;2715071.85;2494879.52;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb bezrobotnych w wieku 30 + zarejestrowanych w Powiatowym UrzÍdzie Pracy w Zabrzu ( I ).;MIASTO ZABRZE / POWIATOWY URZ•D PRACY W ZABRZU;2933598.67;2493597.18;Nie;brak;Nie
Wsparcie aktywnoúci zawodowej osÛb bezrobotnych w powiecie inowroc≥awskim (II);POWIAT INOWROC£AWSKI/POWIATOWY URZ•D PRACY W INOWROC£AWIU;2926707.00;2487700.95;Nie;praca i integracja spo≥eczna;Nie
AKTYWIZACJA OS”B M£ODYCH POZOSTAJ•CYCH BEZ PRACY W POWIECIE BOCHE—SKIM (I);POWIAT BOCHE—SKI/POWIATOWY URZ•D PRACY W BOCHNI;2707086.00;2487541.33;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja zawodowa osÛb powyøej 29 roku øycia pozostajπcych bez pracy w powiecie koneckim (I);POWIAT KONECKI/POWIATOWY URZ•D PRACY W KO—SKICH;2915882.00;2478499.70;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb w wieku 30 lat i wiÍcej pozostajπcych bez pracy w powiecie oúwiÍcimskim (II);POWIAT OåWI CIMSKI/POWIATOWY URZ•D PRACY W OåWI CIMIU;2915669.87;2478319.38;Nie;brak;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w Toruniu (II);MIASTO TORU—/POWIATOWY URZ•D PRACY DLA MIASTA TORUNIA;2695582.00;2476970.00;Nie;praca i integracja spo≥eczna;Nie
Kompetentni w obszarze spo≥ecznym;UCZELNIA WARSZAWSKA IM. MARII SK£ODOWSKIEJ CURIE W WARSZAWIE;2931479.16;2470650.63;Nie;nauka i edukacja;Nie
