NAME DES BEGÜNSTIGTEN,BEZEICHNUNG DES VORHABENS,Jahr der Bewilligung,Jahr der abschließenden Restzahlung,Gewährte Beträge,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
Geestland -Rathaus I-,Errichten eines Spielgerätes für Kinder mit Behinderungen,,2013,,9520
Geestland -Rathaus I-,"Neubau einer öffentlichen WC-Anlage im Bereich des Busparkplatzes
""Zum Hasengarten""",,2012,,"141767,96"
Geestland -Rathaus I-,"Neubau einer Querungshilfe und Umbau der Baushaltestellen an der
L120 Knotenpunkt Spadener Weg/ Langener Str./ Im Busch",,2011,,"104210,51"
Geestland -Rathaus I-,Neubau eines Mobiliums an der Seepark-Klinik,,2011,,"224968,41"
Geestland -Rathaus I-,"Neugestaltung des Kurparks Bad Bederkesa - Einrichtung eines Fit
ness Parcours",,2015,,"35401,5"
Gehr GmbH & Co. KG,Erstellung eines Marketingkonzeptes,,2011,,10000
Gehr GmbH & Co. KG,Erweiterung durch Hallenneubau und Maschinenkauf,,2010,,378000
Gemeinde Amt Neuhaus,Arche-Region Flusslandschaft Elbe - Amt Neuhaus,,2014,,47565
Gemeinde Amt Neuhaus,"Errichtung des Lehrpfades ""Vögel als Kulturnachfolger""",,2010,,"12709,3"
Gemeinde Amt Neuhaus,"Neubau eines Radweges auf dem Elbedeich im Gebiet der
Gemeinde A mt Neuhaus - Abschnitt Pommau bis Privelack",2012,,"451746,8",
Gemeinde Beverstedt,"Aufbau einer breitband. elek. Kommunikation in der Gemeinde
Beverstedt im OT Wollingst",2014,,28111,
Gemeinde Beverstedt,"Breitbandausbau in der Gemeinde Beverstedt, OT Beverstedt und
OT Osterndorf",2014,,133229,
Gemeinde Bienenbüttel,Ausbau der Bahnhofstr. und Kurze Str. in Bienenbüttel,,2014,,373682
Gemeinde Bienenbüttel,"Umgestaltung des Historischen Zentrums - Kirchenkreuzung in
Bienenbüttel",2014,,"601479,95",
Gemeinde Bienenbüttel,"Verlagerung der öff. Bücherei vom Rathaus zur benachbarten
Grundschule",2014,,472021,
Gemeinde Bispingen,"Bau eines Familienerlebnispfades von Oberhaverbeck über Wilsede
nach Döhle",,2010,,30740
Gemeinde Bispingen,Planung des Breitbandausbaus in der Gemeinde Bispingen,2014,,"118859,92",
Gemeinde Drochtersen,"Abbruch Sietwender Str. 7 und rückwärtiges Gebäude Sietwender
Str. 8",,2013,,"32013,98"
Gemeinde Drochtersen,Neubau Gemeindebibliothek / Multifunktionshaus,,2013,,1328054
Gemeinde Eschede,Einrichtung eines Naturinformationszentrums Naturpark Südheide,,2012,,"109975,94"
Gemeinde Faßberg,Generationenpark Faßberg,2014,,"26057,86",
Gemeinde Faßberg,Hervorhebung des Ortskernes in Faßberg,2014,,"164955,47",
Gemeinde Faßberg,Neubau Waldparkplatz am Finkenweg,,2013,,"111475,03"
Gemeinde Faßberg,Rahmenplan zumISEK,,2011,,"24218,88"
Gemeinde Faßberg,"Umbau Verkehrsknotenpunkt K 79/Müdener Weg
(Kreisverkehrsplatz) zur Verbesserung der Verkehrsführung",,2014,,"254695,81"
Gemeinde Faßberg,Umgestaltung Rathausumfeld,,2013,,"355718,09"
Gemeinde Faßberg,Verkehrsstudie zur Gestaltung des Hauptstraßenzuges,,2011,,"10150,7"
Gemeinde Gilten,"Hochwasserschutz an der Unteren Leine, Bereich Norddrebber-Gilte
n; Neubau des Hochwasserdeiches Norddrebber-Gilten",,2013,,"1522567,29"
Gemeinde Gilten,"Neubau des Hochwasserdeiches entlang der Ortslage Gilten,
Bauabschnitt 4a und 4b einschließlich Grunderwerb und Nutzungsen",,2015,,"2320225,61"
Gemeinde Gilten,Neubau des Hochwasserdeiches Norddrebber-Gilten 1. Bauabschnitt,,2011,,"1721774,98"
Gemeinde Göhrde,"Überführung des Waldmuseums Göhrde in ein Gesamtprojekt
""Erlebnis Göhrde""",,2011,,"63946,09"
Gemeinde Gorleben,"Ausbau der Erschließung für die Erweiterung des Gewerbegebietes
Streßelfeld",,2011,,"349458,48"
Gemeinde Hambühren,"Ausbaumaßnahme ""Ostlandstraße"", nördlicher Bauabschnitt",,2014,,"405653,91"
Gemeinde Hambühren,"Ausbaumaßnahme ""Ostlandstraße"", südlicher Bauabschnitt",,2014,,"412178,47"
Gemeinde Hambühren,Stadtmobiliar Ostlandstraße,2014,,"35164,5",
Gemeinde Hermannsburg,"Naturinterpretationsstationen im Tiefental / Misselhorner Heide im
Naturprak Südheide",,2011,,"13054,72"
Gemeinde Himmelpforten,"Bau eines Fußweges u. Umgestaltung der angrenzenden Stellplatz-
flächen-Poststr. 29-33",,2011,,"43144,59"
Gemeinde Himmelpforten,"Breitbandversorgung im Gewerbgebiet Himmelpforten, Mischge- biet
Kuhla, Hauptstraße bis zum Mühlenbach",2014,,41257,
Gemeinde Himmelpforten,Entwicklung und Gestaltung des Rathausparks,,2011,,"141557,05"
Gemeinde Himmelpforten,"Errichtung einer behindertengerechten öffentl.Toilette auf dem
zentralen Marktplatz",2014,,"47732,39",
Gemeinde Himmelpforten,Modernisierung Fassade Bahnhofstr. 16,,2013,,19335
Gemeinde Himmelpforten,Modernisierungs-/Fassadenarbeiten (Toranlage) Hauptstr. 29,,2011,,20000
Gemeinde Himmelpforten,"Rückbau leerstehender Hotelbetrieb für Folgenutzung (B 73/Ecke
Stubbenkamp)",2014,,40000,
Gemeinde Himmelpforten,Sanierung Fachwerkgiebel Hauptstr. 59,,2011,,"10564,82"
Gemeinde Himmelpforten,Sanierung und Umbau der Weihnachtsmannstube,,2013,,41000
Gemeinde Himmelpforten,"Sanierung und Umbau des Heimatmuseums sowie
Weiterentwicklung des Museumskonzepts",,2013,,"199786,12"
Gemeinde Himmelpforten,"Umbau ""EG Ladengeschäft Hauptstr. 25""",,2011,,27500
Gemeinde Himmelpforten,"Umgestaltung der Außenanlagen der Villa von Issendorf /Erweiterung
der Wegeverbindungen",,2013,,"31877,92"
Gemeinde Himmelpforten,Umgestaltung des zentralen Marktplatzes und seines Umfeldes,2014, ,"299598,54",
Gemeinde Himmelpforten,"Umgestaltung i.B. Museum, Villa v. Issendorff, Kamphof, Poststr.
Aufwertung Einmündung Poststr./Bahnhofstr.",,2011,,"271062,99"
Gemeinde Höhbeck,"Hochwasserschutz in Vietze; Ortslage, 1. Planungsabschnitt
(Planungskosten)",,2014,,"128500,38"
Gemeinde Jesteburg,"Natur erleben im Rahmen des ""Natur- und Kunstpfades Jesteburg""",2014,,"75755,23",
Gemeinde Jork,"Erschließung des Gewerbegebietes ""Ostfeld""",,2014,,"1808675,17"
Gemeinde Lauenbrück,Planung des Baus eines Hochwasserdamms im Tal der Fintau,,2008,,30000
Gemeinde Loxstedt,"Anschluss an die zentrale Schmutzwasserbeseitigungseinrich
Gemeinde Loxstedt (Ueterlande OT ""Auf der Jührde"")",,2014,,"892732,71"
Gemeinde Loxstedt,"Aufbau einer breitbandigen elektronischen Kommunikation in der
Gemeinde Loxstedt OT Stinstedt",2014,,57828,
Gemeinde Neuenkirchen,Sanierungsmaßnahme Hof-Ensemble Springhornhof,,2011,,"412641,94"
Gemeinde Oyten,Erschließung Gewerbegebiet A1 Oyten,2013,,4744124,
Gemeinde Reppenstedt,Entwicklung der Gellersenhalle,,2011,,"250949,84"
Gemeinde Reppenstedt,"Umgestaltung des Landwehrplatzes und des Rathausplatzes
(teilweise)",,2014,,"148918,83"
Gemeinde Reppenstedt,Umgestaltung Ortsdurchfahrt L216,,2013,,1114540
Gemeinde Salzhausen,"Einbau eines Plattform-Treppenliftes im ""Haus des Gastes""",2013,,"24321,2",
Gemeinde Salzhausen,"Einfriedung mit Rekonstruktion der Mauer ""Haus des Gastes""",2013,,"33325,95",
Gemeinde Salzhausen,Entwicklung der Waldfläche auf dem Paaschberg zum Bürgerpark,,2011,,"25920,49"
Gemeinde Salzhausen,"Erneuerung und Modernisierung der Freilichtbühne am Paaschberg
(Kulturtrichter)",,2011,,"93146,39"
Gemeinde Salzhausen,Leit- und Orientierungssystem Salzhausen,,2012,,35027
Gemeinde Salzhausen,"Neubau und Aufstockung des Aussichtsturms im Bürgerpark
Paaschberg",,2011,,"96578,02"
Gemeinde Salzhausen,Sanierung und Modernisierung der Dörpschün,,2011,,"35480,21"
Gemeinde Salzhausen,"Umgestaltung ""Schmiedestraße""",2013,,"186247,92",
Gemeinde Salzhausen,Umgestaltung der Außenanlagen am Haus des Gastes in Salzhausen,,2013,,39260
Gemeinde Salzhausen,Umgestaltung der Gehwege Hauptstraße,,2011,,"109746,81"
Gemeinde Salzhausen,Umgestaltung Rathausplatz,,2011,,"152120,88"
Gerald Krößmann,Marketingkonzept zum Umzug in ein neues Gebäude,,2011,,10000
Gerd Beckmann Der Altländer Obsthof,"Konzeptionelle Beratung zur Erstellung einer professionellen
Internetpräsenz",,2013,,4600
Gerling Pulverbeschichtung GmbH,Einwerben eines Beteiligungskapitalgebers,,2009,,7500
Germann Vermögensverwaltung,"Konzeptionelle Beratung zur Neukundengewinnung durch gezieltes
Web-Marketing",,2013,,5200
GEROCON,"Konzeptionelle Beratung zur Erstellung von Konzepten zu Marketing-
Aktivitäten mit Internet Fokus zur Bestandssicherung",,2014,,3000
Gesa-Bau GmbH,Beratung zum Corporate Design,,2010,,2550
"Gesellschaft für Wirtschafts- und Beschäftigungsförderung
Lüchow- Dannenberg GmbH",Clustermanagement Industrienetzwerk,,2014,,"401042,68"
"Gesellschaft für Wirtschafts- und Beschäftigungsförderung
Lüchow- Dannenberg GmbH","Kommunale Richtlinie zur Förderung von kleinen und mittleren gew
erblichen Unternehmen",,2012,,"509940,28"
"Gesellschaft für Wirtschafts- und Beschäftigungsförderung
Lüchow- Dannenberg GmbH","Kommunale Richtlinie zur Förderung von kleinen und mittleren
gewerblichen Unternehmen",,2012,,"433839,48"
"Gesellschaft für Wirtschafts- und Beschäftigungsförderung
Lüchow- Dannenberg GmbH","Kommunale Richtlinie zur Förderung von kleinen und mittleren
gewerblichen Unternehmen",,2013,,"710065,12"
"Gesellschaft für Wirtschafts- und Beschäftigungsförderung
Lüchow- Dannenberg GmbH","Kommunale Richtlinie zur Förderung von kleinen und mittleren
gewerblichen Unternehmen",,2014,,"239024,28"
"Gesellschaft für Wirtschafts- und Beschäftigungsförderung
Lüchow- Dannenberg GmbH","Kommunale Richtlinie zur Förderung von kleinen und mittleren
gewerblichen Unternehmen",2013,,"722861,24",
"Gesellschaft für Wirtschafts- und Beschäftigungsförderung
Lüchow- Dannenberg GmbH","Landkreis Lüchow-Dannenberg- Förderung von kleinen und
mittleren gewerblichen Unternehmen",,2010,,"222180,42"
"Gesellschaft für Wirtschafts- und Beschäftigungsförderung
Lüchow- Dannenberg GmbH","Landkreis Lüchow-Dannenberg- Förderung von kleinen und
mittleren gewerblichen Unternehmen",,2010,,"1433132,31"
Gesellschaft Otto Modersohn Museum e.V.,Anbauten an das Otto Modersohn Museum in Fischerhude,,2013,,"490881,5"
Gesundheit & Wellness Schwanewede,Intensivierung und Anpassung des Webmarketing,,2012,,"6287,5"
Getränkepartner Inh. Elke Kleint,"Erstellung eines Strategiekonzeptes zur Optimierung der Betriebs
mittelfinanzierung",,2008,,4000
Getränkevertrieb Mahlstedt und Krombacher Hof,Steigerung des Bekanntheitsgrades in der Region,,2010,,"2418,75"
GfK-Manufactory UG,Errichtung einer Betriebsstätte,2010,,"109182,99",
GIG Ges.f.Industrie-u.Gebäudetechnik mbH,Begleitende Beratung zur Erarbeitung des Nachfolgekonzeptes,,2014,,10000
Glaß & Wolff Metalltechnik GmbH & Co KG,"Erweiterung durch Bau einer neuen Halle und Anschaffung von
Maschinen",,2011,,25800
GM 24 Rigo Scheibe,Konzeptionelle Beratung zur Optimierung des Web-Marketings,,2014,,10000
Gottfried Wilhelm Leibniz Universität Hannover,Hochleistungs-Produktion von CFK-Strukturen,2011,,"5679268,17",
Grigo Naturstein GmbH,Betriebserweiterung durch Neukauf einer Halle und Maschinen,2007,,"107150,88",
Gromatzki Immobilien GmbH,Intensivierung des Außenauftritts und Optimierung des CD,,2009,,3000
Grone-Schulen Niedersachsen gGmbH,"Koordinierungsstelle Frauen und Wirtschaft Landkreis Rotenburg
(Wümme) und KoordinierungsstellePLUS",,2014,,"180527,39"
Grone-Schulen Niedersachsen gGmbH,"KoordinierungsstellePLUS Frauen und Wirtschaft Landkreis
Rotenburg",2013,,"296433,72",
Großenbacher - Dörlitz & Team,"Erarbeiten eines Marketingkonzeptes zur Umsatzsteigerung und
Bestandssicherung des Unternehmens",,2011,,3000
Großfeld GmbH & Co.KG,Beratung zur richtigen Personalauswahl,,2013,,"9999,98"
Grothe-Transporte KG,"Erarbeitung von Marketing-Maßnahmen zur Verbesserung der
Ergebnisse",,2011,,10000
Grube KG Forstgerätestelle,Hallenneubau und Maschinenkauf,,2011,,"149988,83"
Grube Land- und Umwelttechnik GmbH & Co. KG,Verwertungsdienstleistung von Gärresten und weiteren Abfallstoffen,2014,,47800,
Gustav-Stresemann-Institut in Niedersachsen e. V.,"Infrastrukturmaßnahmen, Brandschutz und Energieoptimierung für
Kooperationen mit Hochschulen",2013,,393060,
Gut Deinster Mühle Restaurant e. K.,Erstellung eines Web-Marketing-Konzeptes,,2013,,6000
GWS Gefahrgutconsulting,Erarbeitung eines professionellen Internetauftrittes,,2013,,3700
H & M Elektrotechnik GmbH,HighEnd-Türenantrieb,,2009,,"32516,96"
H & T Abfallhandel und Aufbereitungs GmbH,Erstellung einer professionellen Internetpräsenz,,2012,,4800
H. & H. Schalldämpfer und Gerätebau GmbH,Erweiterung der Betriebsstätte,,2009,,"60129,77"
H. Buck GmbH,"Beratung und Konzeption zur Erstellung einer professionellen
Internetpräsenz unter Beachtung der bisherigen Web-Strategie",,2012,,10000
H. Fettköter GmbH,Markenaufbau für eine Produktlinie,,2009,,10000
Haack Holzhäuser GmbH,Modernisierung der Corporate Identity,,2011,,2800
Haags Hotel GmbH & Co. KG,Neugestaltung des Internetauftrittes,,2013,,5800
Hacke Transporte GmbH,Steigerung der Beteiligungskapitalfähigkeit des Unternehmens,,2011,,8000
Hadler GmbH,Entwicklung von Marketingmaßnahmen zur Umsatzsteigerung,,2009,,5600
HAKINEM,Erstellung eines Web-Marketing-Konzeptes,,2011,,1430
Hamburger Waagenbau GmbH,"Entwicklung eines ""Logistic Execution Systems"" zur integrativen
Systemlösung für Logistik-, Verlade- u. Wägeprozesse",2013,,100000,
Hamelberg Bürobedarf GmbH,"Beratung zur Kundenbindung und Neukundengwinnung durch Web-
Marketing",,2014,,7000
Handwerkskammer Braunschweig-Lüneburg-Stade,"""Modernisierung der Ausstattung im Technologiezentrum Lüneburg""",2013,,"343849,85",
Handwerkskammer Braunschweig-Lüneburg-Stade,"""Modernisierung und Ausstattung im Technologiezentrum Stade""",2013,,"171320,72",
Handwerkskammer Braunschweig-Lüneburg-Stade,Bau einer Schulungswerkstatt für Fahrzeugtechnik in Lüneburg,2011,,"2204164,8",
Handwerkskammer Braunschweig-Lüneburg-Stade,Brandschutzmaßnahmen im BBZ Stade,2013,,"228837,09",
Handwerkskammer Braunschweig-Lüneburg-Stade,Energetische Modernisierung des Gästehauses,2012,,"2550303,75",
Handwerkskammer Braunschweig-Lüneburg-Stade,Kompetenzzentrum Innovative Gebäudetechnik,2011,,2842125,
Handwerkskammer Braunschweig-Lüneburg-Stade,"Koordinierungsstelle und KoordinierungsstellePlus zur beruflichen
Förderung von Frauen",,2009,,"147822,65"
Handwerkskammer Braunschweig-Lüneburg-Stade,"Koordinierungsstelle zur beruflichen und betrieblichen Förderung von
Frauen",,2011,,"169235,59"
Handwerkskammer Braunschweig-Lüneburg-Stade,"Koordinierungsstelle zur beruflichen und betrieblichen Förderung von
Frauen",,2012,,"164152,73"
Handwerkskammer Braunschweig-Lüneburg-Stade,"Koordinierungsstelle zur beruflichen und betrieblichen Förderung von
Frauen",,2013,,"163333,08"
Handwerkskammer Braunschweig-Lüneburg-Stade,"Koordinierungsstelle zur beruflichen und betrieblichen Förderung von
Frauen",,2014,,"104727,71"
Handwerkskammer Braunschweig-Lüneburg-Stade,"Koordinierungsstelle zur beruflichen und betrieblichen Förderung von
Frauen",2013,,"210688,84",
Handwerkskammer Braunschweig-Lüneburg-Stade,"Koordinierungsstelle zur beruflichen und betrieblichen Förderung von
Frauen und Koordinierungsstelle Plus",,2013,,"160381,33"
Handwerkskammer Braunschweig-Lüneburg-Stade,"Mod. der Ausstattung für div. Lehrgänge der Meistervorbereitung in
der Meisterakademie Plus in Lüneburg",,2013,,"205634,23"
Handwerkskammer Braunschweig-Lüneburg-Stade,"Mod. der Ausstattung für div. Lehrgänge der Meistervorbereitung in
der Meisterakademie Plus in Stade",,2011,,"168826,3"
Handwerkskammer Braunschweig-Lüneburg-Stade,"Mod. der Lehrräume 151 bis 154 sowie WC-Anlage für div.
Lehrgänge der Meistervorbereitung in der Akademie Plus",,2013,,348300
Handwerkskammer Braunschweig-Lüneburg-Stade,"Mod. div. Einrichtungen der ÜLU und Weiterb. sowie des Internats im
Technologiezentrum Stade",,2013,,"1859793,21"
Handwerkskammer Braunschweig-Lüneburg-Stade,"Modernisierung Ausstattung div. Werkstätten der ÜLU im
Technologiezentrum Stade",,2013,,"1236502,5"
Handwerkskammer Braunschweig-Lüneburg-Stade,"Modernisierung der Ausstattung div. Werkstätten der ÜLU im
Technologiezentrum Lüneburg",,2013,,"1710418,1"
Handwerkskammer Braunschweig-Lüneburg-Stade,"Modernisierung der Ausstattung im TZH der HWK Braunschweig-
Lüneburg-Stade in Lüneburg",2011,,"687291,28",
Handwerkskammer Braunschweig-Lüneburg-Stade,"Modernisierung der Halle I und Energieeinsparmaßnahmen im TZH
Lüneburg",2011,,"7640241,47",
Handwerkskammer Braunschweig-Lüneburg-Stade,Sanierung der Nordseite der Meisterakademie Plus in Lüneburg,,2014,,"221528,21"
Hansa Apotheke,Marketingberatung zur Steigerung des Umsatzes,,2010,,1995
Hansa Oel- und Gasbrenner GmbH,Erstellung eines Marketingkonzeptes,,2010,,4000
Hansa Oel- und Gasbrenner GmbH,Erstellung eines Web-Marketing-Konzeptes,,2014,,2000
Hans-Dieter Beinl,"Beratung zur Neukundengewinnung und Bestandskunden- bindung
durch Web-Marketing",,2014,,4400
Hansedesign Scheeßel,"Marketingberatung und Coaching mit dem Schwerpunkt Online-
Marke- ting und INternet-Branding für Hansedesign",,2008,,8000
Hansen und Heeschen Patentanwälte,"Beratung zur Neukundengwinnung und Kundenbindung durch Web-
Marketing",,2014,,10000
Hansestadt Lüneburg,"Aufbau einer breitbandigen elektronischen kommunikation im Berei
ch Lüneburg / Bilmer Berg",,2012,,"80734,39"
Hansestadt Lüneburg,Bauleitplanung Bahnbrache Wittenberger Bahn,,2012,,"126583,34"
Hansestadt Lüneburg,Entwicklung der Gebäudesubstanz Wasserturm,,2012,,714877
Hansestadt Lüneburg,"Grünanlage und Wegeverbindung Wandrahmpark-
Altenbrückertorstraße",2012,,188160,
Hansestadt Lüneburg,Machbarkeitstudie zur Museumslandschaft Lüneburg,,2011,,204565
Hansestadt Lüneburg,Neugestaltung des Wandrahmparks,,2012,,"62251,9"
Hansestadt Lüneburg,"Neuordnung der Lüneburger Museumslandschaft - Neubau eines
Museu msgebäudes, Innenausbau (Umsetzung der
Ausstellungskonzeption)",2012,,"9575423,85",
Hansestadt Lüneburg,"Wittenberger Bahn - Bau einer Fuß- und Radwegeverbindung über
die Ilmenau (Lösegrabenwehr)",2013,,"67383,75",
Hansestadt Lüneburg,"Wittenberger Bahn - Bau einer Fuß-/Radwegeverbindung entlang der
Ilmenau",2013,,"141885,99",
Hansestadt Stade,"Anbindung Campe - Neubau Kreisverkehrsplatz Harburger Str/
Brinkstr/Hinterm Teich einschl. Verlegung Einmündg Mittelstr",2013,,"950702,11",
Hansestadt Stade,"Gutachten zur Bewertung der Altlastensituation ""Verkehrs- und
Industriebrache Bahnhofsumfeld""",,2011,,"15422,4"
Hansestadt Stade,"Neubau ""Grabenweg"" einschl. Kreisverkehrsplatz Grabenweg/ Am
Güterbahnhof/Salztorscontrecarpe - Maßnahme C12",2012,,"1079046,88",
Hansestadt Stade,Orientierende Altlastenuntersuchung (Bahnhofsumfeld),,2014,,"28798,6"
Hansestadt Stade,"Rückbau Straßenabschnitt Salztorscontrescarpe zu einem Fuß-
/Radweg",2013,,"167793,51",
Hansestadt Stade,"Städtebaulicher Rahmenplan ""Bahnhofsumfeld""",,2011,,"34352,4"
Hansestadt Stade,Touristische Entwicklung der historischen Wallanlagen,,2014,,"539928,62"
Hans-Joachim Pankel Lackier- und Karosseriefachbetrieb GmbH,"Beratung zur Neukundengewinnung und Kundenbindung durch
gezieltes Web-Marketing",,2015,,7600
Hans-Joachim Schröder REHA Lüneburg,Überarbeitung des Web-Marketing-Konzeptes,,2012,,4800
Hans-Martin Prigge GmbH & Co. KG,"Beratung zur konzeptionellen und systematischen Erfassung des
betrieblichen Weiterbildungsbedarfs",,2013,,8000
Hans-Uwe Meyer Bereederungs GmbH & Co. KG,"Erstellung einer professionellen Internetpräsens, unter Beachtung der
bisherigen Web-Strategie",,2011,,2400
Hapena Vertrieb für technische Erzeugnisse GmbH,Übernahme von zwei stillgelegten Betriebsstätten,,2011,,55575
Harms Blumenhandel GmbH,Aufbau eines systematischen Personalentwicklungskonzeptes,,2012,,10000
Harms Blumenhandel GmbH,Optimierung und Weiterentwicklung des bestehenden Marketings,,2009,,10000
Harry's Fahrschule Johs. Martens GmbH,Erstellung eines Web-Marketingkonzeptes,,2011,,4800
Hartmann Valves GmbH Celle,Entwicklung eines integrierten Online-Vermarktungskonzepts,,2013,,10000
Hartmann Valves GmbH Celle,Erweiterung einer Betriebsstätte,,2011,,"96528,29"
Hasenjäger & Domeyer Metallverarbeitung GmbH,Entwicklung Hochtemperatur - DCV,,2013,,"12374,04"
Haupt Bürosysteme GmbH,"Weiterentwicklung und Ausbau eines bestehenden Corporate
Designs",,2010,,5000
Haus & Technik Pape GmbH,Positionierung als Energiesparexperte und Profi in der Badsanierung,,2009,,5000
Haus der Lebenshilfe GmbH Uelzen,"Konzeptionelle und systematische Beratung und Begleitung zur
Erstellung eines nachhaltigen Marketingkonzeptes",,2012,,10000
Hauschildts Obsthof Handels GmbH & Co. KG,Beratung zur Neukundengewinnung durch Web-Marketing,,2014,,3200
Hausmarke.TV Filmproduktionen UG,"Gründung und Aufbau Ihres Unternehmens ""Hausmarke TV""",,2014,,18000
HAUX-LIFE-SUPPORT GmbH,"Apparatebau, Druckkammern",,2012,,700000
Hebold Mixing & More GmbH,"Erweiterung einer bestehenden Betriebsstätte durch Kauf eines
Grundstücks und Bau neuer Hallen",2010,,"487316,19",
Hecht Pharma GmbH,Erweiterung einer Betriebsstätte,,2013,,"64716,02"
Hechthausen,"Aufbau einer breitbandigen elektronischen Kommunikation in der
Gemeinde Hechthausen, OT Bornberg",2014,,47567,
Heide-Flex Hydraulik,Erstellung eines Web-Marketing-Konzeptes,,2012,,1600
Heideglas Uelzen Inh. Thorsten Neumann e.K.,Glasgewerbe,,2013,,27500
Heidemann Abbruch GmbH,Erarbeiten eines Web-Marketing-Konzeptes,,2011,,2600
Heidemann Recycling GmbH,Erarbeiten eines Corporate Designs,,2011,,3240
Heim Gerätebau GmbH & Co. KG,Errichtung einer Betriebsstätte,,2011,,"1225335,21"
"Heimat- und Museumsverein Hitzacker (Elbe) und Umgebung e.
V.",Die Elbe trennt - die Elbe verbindet,,2011,,"14801,18"
"Heimat- und Museumsverein Hitzacker (Elbe) und Umgebung e.
V.",ElbeGesprächsLabor,,2014,,"40503,81"
Heino Behrens,Überarbeitung des Marketingkonzeptes,,2010,,1700
Heinrich Buck GmbH,Entwicklung eines Marketingkonzeptes,,2011,,3500
Heinrich Meyer-Werke Breloh GmbH & Co. KG,Verbesserung der Web-Präsenz,,2014,,6000
Heinrich Wesling KG,"Beratung zur Neukundengewinnung und Kundenbindung durch Web-
Marketing",,2014,,3200
Heinz Eggert GmbH & Co. KG,Erweiterung des Maschinenparks,,2011,,"190688,84"
Heitmann & Junge GmbH,Erstellung eines Web-Marketing-Konzeptes,,2013,,4800
Helecta GmbH,"Entwicklung einer neuen Generation LED-Leuchten mit höherer
Effizienz und verbesserter Modularität",,2015,,"12157,26"
Helecta GmbH,Highbay,2014,,22500,
"Helmut Schulze GmbH, Moderne Bürowelt","Erstellung eines Marktingkonzeptes und Strategie für die Online-
Präsentation der Dinestleistungen und Produkte",,2012,,4000
Helno Maschinenbau GmbH,Erweiterung der Betriebsstätte,,2010,,"116308,36"
Henning Bauck,"Bau einer Fahrzeughalle, Erwerb von Maschinen/Anlagen",,2014,,"53115,2"
Henrik Zölzer tourenmaterial.de,Einstellung eines Innovationsassistenten,,2012,,12000
Henrik Zölzer tourenmaterial.de,Graphische Suchmaschine für Landkarten,,2013,,"31716,97"
Herbert Peper & Sohn GmbH,Entwicklung von einem Marketingkonzept, ,2009,,1500
Hermann Petersen Ladenbau und Tischlerei,Beratung für effektives Web-Marketing,2013,,6400,
Herrn Wilhelm Freudenberg Frau Sonja Blome,"Beratung zur Neukundengewinnung und Bestandskundenbindung
durch gezieltes Web-Marketing",,2013,,3200
Herzapfelhof Lühs GmbH & Co. KG,Erarbeitung einer Designstategie,,2012,,10000
HGC Handelshaus Inh. Hannelore Goeze,"Beratung bei der Planung und Durchführung der
Unternehmensnachfolge",,2014,,"3037,19"
HIB GmbH Hanseatische Industrie Beteiligung,Konzept zur Nachfolge innerhalb der HIB-Gruppe,,2011,,10000
HIE Schweiss-Systeme Gmbh,HF-Multichannel Schweißinverter,2014,,99900,
Hilbig Landmaschinen GmbH,Kleinwindkraftanlage mit Vertikalrotor,,2013,,"9256,59"
Hilken GmbH,Selbstlernende Anhänger-Achslenkung,,2014,,"57654,58"
Hilko Aikens & Dirk Veit GbR,"Gründung und Aufbau Ihres Unternehmens ""Hilko Aikens & Dirk Veit
GbR""",2014,,18000,
Hille Wenn Kunst,"Konzeptionelle Beratung zur Vermarktung von Produkten über das
Internet",,2013,,2000
Hin & Hair Inh. Andrea Kaminski,"Gewinnmaximierung durch Erstellung von möglichen
Marketingstrategien zur Neukundengewinnung",,2010,,4000
"HIRI - Hildebrand und Richter & Co. Fabrik für techn. Gummi-
und Kunststoff- spezialitäten GmbH","Erweiterung eines Warenwirtschaftssystems um ein Material- und
Kapazitätsmodul",,2015,,"20777,75"
HLS Dahlke GmbH,Beratung bei der Erstellung von Verkaufsunterlagen,,2014,,10000
Hochschule 21 gemeinnützige GmbH,"Berufsbegleitender Masterstudiengang ""Energiesparendes Bauen""",,2011,,"16937,43"
Hochschule 21 gemeinnützige GmbH,Kompetenznetzwerk Mechatronik 21,,2014,,204954
Hochschule für Künste im Sozialen Ottersberg,"Entwicklung integrativer Behandlungskonzepte von Kunsttherapie
und psychosomatischer Medizin",,2011,,120890
Hochschule für Künste im Sozialen Ottersberg,Entwicklung und Validierung eines Modells IiGART,,2013,,"168844,36"
Hochschule für Künste im Sozialen Ottersberg,"Kunst u. Unternehmen in Niedersachsen: Aufbau von Netz- werken
u. Vorbereitung einer systematischen Bedarfsanalyse",2014,,40500,
Hof Buschbur GmbH & Co. KG,Erstellung eines Nachfolgekonzeptes,,2012,,2000
Hof Steinberg GmbH & Co. KG,Beratung zur Übergabe des Unternehmens an den Sohn,,2014,,10000
Hofmann Optik & Akustik Inh. Bernd Hofmann,"Erarbeitung geeigneter Marketingkonzepte zur Verbesserung der
Leistungs- und Wettbewerbsfähigkeit",,2011,,10000
Höhenweg GmbH,Bau eines Hochseilgarten,,2011,,"42637,85"
Holger Börner,"Beratung zur Neukundengewinnung und Kundenbindung durch Web-
Marketing",,2013,,5000
