NAME DES BEGÜNSTIGTEN,BEZEICHNUNG DES VORHABENS,Jahr der Bewilligung,Jahr der abschließenden Restzahlung,Gewährte Beträge,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
Gemeinde Drochtersen,Neubau Gemeindebibliothek / Multifunktionshaus,,2013,,"1.328.054,00"
Gemeinde Eschede,Einrichtung eines Naturinformationszentrums Naturpark Südheide,,2012,,"109.975,94"
Gemeinde Faßberg,Rahmenplan zumISEK,,2011,,"24.218,88"
Gemeinde Faßberg,Verkehrsstudie zur Gestaltung des Hauptstraßenzuges,,2011,,"10.150,70"
Gemeinde Faßberg,Umgestaltung Rathausumfeld,,2013,,"355.718,09"
Gemeinde Faßberg,Neubau Waldparkplatz am Finkenweg,,2013,,"111.475,03"
Gemeinde Faßberg,"Umbau Verkehrsknotenpunkt K 79/Müdener Weg (Kreisverkehrsplatz)
zur Verbesserung der Verkehrsführung",,2014,,"254.695,81"
Gemeinde Faßberg,Hervorhebung des Ortskernes in Faßberg,,2015,,"164.955,47"
Gemeinde Faßberg,Generationenpark Faßberg,,2015,,"26.057,86"
Gemeinde Gilten,"Deichneubau Gemarkung Stöckendrebber - Norddrebber, Station
2+56 7 bis 2+800, Deichverteidigungsweg aus Betonfahrbahn mit
partiel.",,2010,,"114.312,78"
Gemeinde Gilten,Neubau des Hochwasserdeiches Norddrebber-Gilten 1. Bauabschnitt,,2011,,"1.721.774,98"
Gemeinde Gilten,"Hochwasserschutz an der Unteren Leine, Bereich Norddrebber-Gilte
n Neubau des Hochwasserdeiches Norddrebber-Gilten",,2013,,"1.522.567,29"
Gemeinde Gilten,"Neubau des Hochwasserdeiches entlang der Ortslage Gilten,
Bauabschnitt 4a und 4b einschließlich Grunderwerb und Nutzungsen",,2015,,"2.320.225,61"
Gemeinde Gorleben,"Ausbau der Erschließung für die Erweiterung des Gewerbegebietes
Streßelfeld",,2011,,"349.458,48"
Gemeinde Hagen im Bremischen,"Aufbau einer breitbandigen elektr. Kommunikation im Bereich d.
Gewerbe-, Misch- u. Wohngebiete der Gemarkung Kassebruch",,2015,,"29.863,26"
Gemeinde Hagen im Bremischen,"Aufbau einer breitbandigen elektr. Kommunikation im Bereich der
Gewerbe-, Misch- und Wohngebiete in der Gemarkung Hagen",,2015,,"90.261,94"
Gemeinde Hambühren,"Ausbaumaßnahme ""Ostlandstraße"", nördlicher Bauabschnitt",,2014,,"405.653,91"
Gemeinde Hambühren,"Ausbaumaßnahme ""Ostlandstraße"", südlicher Bauabschnitt",,2014,,"412.178,47"
Gemeinde Hambühren,Stadtmobiliar Ostlandstraße,,2015,,"21.827,22"
Gemeinde Himmelpforten,"Umbau ""EG Ladengeschäft Hauptstr. 25""",,2011,,"20.625,00"
Gemeinde Himmelpforten,Entwicklung und Gestaltung des Rathausparks,,2011,,"141.557,05"
Gemeinde Himmelpforten,"Umgestaltung i.B. Museum, Villa v. Issendorff, Kamphof, Poststr.
Aufwertung Einmündung Poststr./Bahnhofstr.",,2011,,"271.062,99"
Gemeinde Himmelpforten,Sanierung Fachwerkgiebel Hauptstr. 59,,2011,,"10.564,82"
Gemeinde Himmelpforten,"Bau eines Fußweges u. Umgestaltung der angrenzenden
Stellplatzflächen-Poststr. 29-33",,2011,,"43.144,59"
Gemeinde Himmelpforten,Modernisierungs-/Fassadenarbeiten (Toranlage) Hauptstr. 29,,2011,,"20.000,00"
Gemeinde Himmelpforten,Sanierung und Umbau der Weihnachtsmannstube,,2013,,"41.000,00"
Gemeinde Himmelpforten,"Sanierung und Umbau des Heimatmuseums sowie Weiterentwicklung
des Museumskonzepts",,2013,,"199.786,12"
Gemeinde Himmelpforten,Modernisierung Fassade Bahnhofstr. 16,,2013,,"19.335,00"
Gemeinde Himmelpforten,"Umgestaltung der Außenanlagen der Villa von Issendorf /Erweiterung
der Wegeverbindungen",,2013,,"31.877,92"
Gemeinde Himmelpforten,"Rückbau leerstehender Hotelbetrieb für Folgenutzung (B 73/Ecke
Stubbenkamp)",,2015,,"38.000,00"
Gemeinde Himmelpforten,"Breitbandversorgung im Gewerbgebiet Himmelpforten, Mischge- biet
Kuhla, Hauptstraße bis zum Mühlenbach",,2015,,"41.257,00"
Gemeinde Himmelpforten,Umgestaltung des zentralen Marktplatzes und seines Umfeldes,,2015,,"272.245,76"
Gemeinde Himmelpforten,"Errichtung einer behindertengerechten öffentl.Toilette auf dem
zentralen Marktplatz",,2015,,"47.732,39"
Gemeinde Höhbeck,"Hochwasserschutz in Vietze Ortslage, 1. Planungsabschnitt
(Planungskosten)",,2014,,"128.500,38"
Gemeinde Jesteburg,"Natur erleben im Rahmen des ""Natur- und Kunstpfades Jesteburg""",,2015,,"75.403,91"
Gemeinde Jork,"Erschließung des Gewerbegebietes ""Ostfeld""",,2014,,"1.808.675,17"
Gemeinde Lauenbrück,Planung des Baus eines Hochwasserdamms im Tal der Fintau,,2008,,"30.000,00"
Gemeinde Loxstedt,"Anschluss an die zentrale Schmutzwasserbeseitigungseinrich
Gemeinde Loxstedt (Ueterlande OT ""Auf der Jührde"")",,2014,,"892.732,71"
Gemeinde Loxstedt,"Aufbau einer breitbandigen elektronischen Kommunikation in der
Gemeinde Loxstedt OT Stinstedt",,2015,,"51.238,37"
Gemeinde Oyten,Erschließung Gewerbegebiet A1 Oyten,,2015,,"4.744.124,00"
Gemeinde Reppenstedt,Entwicklung der Gellersenhalle,,2011,,"250.949,84"
Gemeinde Reppenstedt,Umgestaltung Ortsdurchfahrt L216,,2013,,"1.114.540,00"
Gemeinde Reppenstedt,"Umgestaltung des Landwehrplatzes und des Rathausplatzes
(teilweise)",,2014,,"148.918,83"
Gemeinde Salzhausen,Sanierung und Modernisierung der Dörpschün,,2011,,"35.480,21"
Gemeinde Salzhausen,"Erneuerung und Modernisierung der Freilichtbühne am Paaschberg
(Kulturtrichter)",,2011,,"93.146,39"
Gemeinde Salzhausen,Entwicklung der Waldfläche auf dem Paaschberg zum Bürgerpark,,2011,,"25.920,49"
Gemeinde Salzhausen,"Neubau und Aufstockung des Aussichtsturms im Bürgerpark
Paaschberg",,2011,,"96.578,02"
Gemeinde Salzhausen,Umgestaltung Rathausplatz,,2011,,"152.120,88"
Gemeinde Salzhausen,Umgestaltung Schulstraße,,2011,,"225.000,00"
Gemeinde Salzhausen,Umgestaltung der Gehwege Hauptstraße,,2011,,"109.746,81"
Gemeinde Salzhausen,Leit- und Orientierungssystem Salzhausen,,2012,,"35.027,00"
Gemeinde Salzhausen,Umgestaltung der Außenanlagen am Haus des Gastes in Salzhausen,,2013,,"39.260,00"
Gemeinde Salzhausen,"Umgestaltung ""Schmiedestraße""",,2015,,"186.247,92"
Gemeinde Salzhausen,"Umgestaltung und Radweg ""Am Lindenberg""",,2015,,"99.216,60"
Gemeinde Salzhausen,"Einfriedung mit Rekonstruktion der Mauer ""Haus des Gastes""",,2015,,"33.325,95"
Gemeinde Salzhausen,"Einbau eines Plattform-Treppenliftes im ""Haus des Gastes""",,2015,,"23.750,00"
Gemeinde Scheeßel,"Zentrale Abwasserbeseitigung Gemeinde Scheeßel, OT Abbendorf",,2011,,"686.686,68"
Gemeinde Schiffdorf,"Bau einer Druckrohrleitung von der KA Wehden zur ZKA Schiffdorf u.
Anschluss der OT Laven",,2009,,"926.004,92"
Gemeinde Schiffdorf,Der Ozeanblaue Zug,,2015,,"399.898,24"
Gemeinde Schiffdorf,"Errichtung einer Breitbandinfrastruktur im Gewerbegebiet Spaden und
den Ortsteilen Laven und Bramel der Gemeinde Schiffdorf",,2015,,"135.916,04"
Gemeinde Schiffdorf,"Kulturlandschaftsgarten Geestenseth - Informationszentrum für Natur-
und Kulturlandschaftsbiotope",,2015,,"105.697,77"
Gemeinde Schiffdorf,"Breitbandausbau im Bereich der Gewerbe-, Misch- und Wohngebiete
im Ortsteil Schiffdorf",,2015,,"97.310,57"
Gemeinde Sottrum,"Erschließung des Gewerbe- und Industrieparks ""Hansalinie"" an der
BAB A1 im Gewerbegebiet Sottrum",,2015,,"2.043.448,01"
Gemeinde Südheide Rathaus Hermannsburg,"Naturinterpretationsstationen im Tiefental / Misselhorner Heide im
Naturprak Südheide",,2011,,"13.054,72"
Gemeinde Tostedt,Ausbau des westlichen Abschnittes der Dieckhofstraße,,2009,,"146.421,12"
Gemeinde Tostedt,Ausbau des südlichen Himmelsweges,,2011,,"356.693,54"
Gemeinde Tostedt,Tostedt - Nördlicher Himmelsweg,,2011,,"169.419,35"
Gemeinde Tostedt,Am Friedhof - Kirchhofstraße,,2012,,"172.663,05"
Gemeinde Tostedt,"Ausbau des Geh- und Radweges ""Kirche - Am Sande"" und
Umgestaltung Platz ""Am Sande""",,2012,,"145.155,71"
Gemeinde Tostedt,Ausbau von Geh- und Radwegen im Ortskern,,2015,,"188.034,24"
Gemeinde Wathlingen,"Jugend-, Sport- und Generationenpark",,2014,,"2.689.935,00"
Gemeinde Wietze,Verkehrliche Erschließung neuer Gewerbeflächen,,2014,,"1.611.089,27"
Gemeinde Winsen (Aller),Schaffung eines mulifunktionalen Ortsmittelpunktes (Marktplatz),,2012,,"656.277,81"
Gemeinde Winsen (Aller),"Neuordnung und Entflechtung der innerörtlichen Verkehrsströme -
Ausbau und Modernisierung Poststraße",,2015,,"359.198,52"
Gemeinde Zernien,"Erschließungsstraße im Gewerbegebiet in Zernien, ""Göhrdestraße""",,2015,,"386.585,28"
GeoEnergy Celle e.V.,GeoEnergy Celle - Weiterentwicklung und nachhaltige Ausrichtung,,2016,,"155.921,96"
Georg und Sabine Krause GbR,Konzept zu Social-Marketing-Tools im Web,,2012,,"10.000,00"
Gerald Krößmann,Marketingkonzept zum Umzug in ein neues Gebäude,,2011,,"10.000,00"
Gerald Krößmann,Designberatung zur Gestaltung des neuen Verkaufsortes in Celle,,2011,,"10.000,00"
Gerd Beckmann Der Altländer Obsthof,"Konzeptionelle Beratung zur Erstellung einer professionellen
Internetpräsenz",,2013,,"4.600,00"
Gerling Pulverbeschichtung GmbH,Einwerben eines Beteiligungskapitalgebers,,2009,,"7.500,00"
Germann Vermögensverwaltung,"Konzeptionelle Beratung zur Neukundengewinnung durch gezieltes
Web-Marketing",,2013,,"5.200,00"
GEROCON,"Konzeptionelle Beratung zur Erstellung von Konzepten zu Marketing-
Aktivitäten mit Internet Fokus zur Bestandssicherung",,2014,,"3.000,00"
Gesa-Bau GmbH,Beratung zum Corporate Design,,2010,,"2.550,00"
"Gesellschaft für Wirtschafts- und Beschäftigungsförderung
Lüchow- Dannenberg GmbH","Landkreis Lüchow-Dannenberg- Förderung von kleinen und mittleren
gewerblichen Unternehmen",,2010,,"222.180,42"
"Gesellschaft für Wirtschafts- und Beschäftigungsförderung
Lüchow- Dannenberg GmbH","Landkreis Lüchow-Dannenberg- Förderung von kleinen und mittleren
gewerblichen Unternehmen",,2010,,"1.433.132,31"
"Gesellschaft für Wirtschafts- und Beschäftigungsförderung
Lüchow- Dannenberg GmbH",Clustermanagement Industrienetzwerk,,2014,,"401.042,68"
"Gesellschaft für Wirtschafts- und Beschäftigungsförderung
Lüchow- Dannenberg GmbH","Kommunale Richtlinie zur Förderung von kleinen und mittleren
gewerblichen Unternehmen",,2012,,"509.940,28"
"Gesellschaft für Wirtschafts- und Beschäftigungsförderung
Lüchow- Dannenberg GmbH","Kommunale Richtlinie zur Förderung von kleinen und mittleren
gewerblichen Unternehmen",,2012,,"433.839,48"
"Gesellschaft für Wirtschafts- und Beschäftigungsförderung
Lüchow- Dannenberg GmbH","Kommunale Richtlinie zur Förderung von kleinen und mittleren
gewerblichen Unternehmen",,2013,,"710.065,12"
"Gesellschaft für Wirtschafts- und Beschäftigungsförderung
Lüchow- Dannenberg GmbH","Kommunale Richtlinie zur Förderung von kleinen und mittleren
gewerblichen Unternehmen",,2014,,"239.024,28"
"Gesellschaft für Wirtschafts- und Beschäftigungsförderung
Lüchow- Dannenberg GmbH","Kommunale Richtlinie zur Förderung von kleinen und mittleren
gewerblichen Unternehmen",,2015,,"647.118,83"
Gesellschaft Otto Modersohn Museum e.V.,Anbauten an das Otto Modersohn Museum in Fischerhude,,2013,,"490.881,50"
Gesundheit & Wellness Schwanewede,Intensivierung und Anpassung des Webmarketing,,2012,,"6.287,50"
Getränkepartner Inh. Elke Kleint,"Erstellung eines Strategiekonzeptes zur Optimierung der Betriebs-
mittelfinanzierung",,2008,,"4.000,00"
Getränkevertrieb Mahlstedt und Krombacher Hof,Steigerung des Bekanntheitsgrades in der Region,,2010,,"2.418,75"
GfK-Manufactory UG,Errichtung einer Betriebsstätte,2010,,"109.182,99",
GIG Ges.f.Industrie-u.Gebäudetechnik mbH,Begleitende Beratung zur Erarbeitung des Nachfolgekonzeptes,,2014,,"10.000,00"
Glaß & Wolff Metalltechnik GmbH & Co KG,"Erweiterung durch Bau einer neuen Halle und Anschaffung von
Maschinen",,2011,,"25.800,00"
Gless GmbH - Neuzeitliche Gebäudereinigung,Erarbeitung eines professionellen Internetauftrittes,,2014,,"4.000,00"
GM 24 Rigo Scheibe,Konzeptionelle Beratung zur Optimierung des Web-Marketings,,2014,,"10.000,00"
Gottfried Wilhelm Leibniz Universität Hannover,Hochleistungs-Produktion von CFK-Strukturen,,2016,,"5.480.674,62"
Grigo Naturstein GmbH,Betriebserweiterung durch Neukauf einer Halle und Maschinen,2007,,"107.150,88",
Gromatzki Immobilien GmbH,Intensivierung des Außenauftritts und Optimierung des CD,,2009,,"3.000,00"
Grone-Schulen Niedersachsen gGmbH,"Koordinierungsstelle Frauen und Wirtschaft Landkreis Rotenburg
(Wümme) und KoordinierungsstellePLUS",,2014,,"180.527,39"
Grone-Schulen Niedersachsen gGmbH,"KoordinierungsstellePLUS Frauen und Wirtschaft Landkreis
Rotenburg",,2016,,"336.520,31"
Großenbacher - Dörlitz & Team,"Erarbeiten eines Marketingkonzeptes zur Umsatzsteigerung und
Bestandssicherung des Unternehmens",,2011,,"3.000,00"
Großfeld GmbH & Co.KG,Beratung zur richtigen Personalauswahl,,2013,,"9.999,98"
Grothe-Transporte KG,"Erarbeitung von Marketing-Maßnahmen zur Verbesserung der
Ergebnisse",,2011,,"10.000,00"
Grube KG Forstgerätestelle,Hallenneubau und Maschinenkauf,,2011,,"149.988,83"
Grube Land- und Umwelttechnik GmbH & Co. KG,Verwertungsdienstleistung von Gärresten und weiteren Abfallstoffen,,2015,,"26.086,62"
Gustav-Stresemann-Institut in Niedersachsen e. V.,"Infrastrukturmaßnahmen, Brandschutz und Energieoptimierung für
Kooperationen mit Hochschulen",,2015,,"357.691,58"
Gut Deinster Mühle Restaurant e. K.,Erstellung eines Web-Marketing-Konzeptes,,2013,,"6.000,00"
GWS Gefahrgutconsulting,Erarbeitung eines professionellen Internetauftrittes,,2013,,"3.700,00"
H & M Elektrotechnik GmbH,HighEnd-Türenantrieb,,2009,,"31.281,01"
H & T Abfallhandel und Aufbereitungs GmbH,Erstellung einer professionellen Internetpräsenz,,2012,,"4.800,00"
H. & H. Schalldämpfer und Gerätebau GmbH,Erweiterung der Betriebsstätte,,2009,,"60.129,77"
H. Buck GmbH,"Beratung und Konzeption zur Erstellung einer professionellen
Internetpräsenz unter Beachtung der bisherigen Web-Strategie",,2012,,"10.000,00"
H. Fettköter GmbH,Markenaufbau für eine Produktlinie,,2009,,"10.000,00"
Haack Holzhäuser GmbH,Modernisierung der Corporate Identity,,2011,,"2.800,00"
Haags Hotel GmbH & Co. KG,Neugestaltung des Internetauftrittes,,2013,,"5.800,00"
Hacke Transporte GmbH,Steigerung der Beteiligungskapitalfähigkeit des Unternehmens,,2011,,"8.000,00"
Hagen im Bremischen,"Aufbau einer breitbandigen elektronischen Kommunikation in der
Gemeinde Hagen im Bremischen, OT Harrendorf",,2015,,"96.407,56"
HAKINEM,Erstellung eines Web-Marketing-Konzeptes,,2011,,"1.430,00"
Hamelberg Bürobedarf GmbH,"Beratung zur Kundenbindung und Neukundengwinnung durch Web-
Marketing",,2014,,"7.000,00"
Handwerkskammer Braunschweig-Lüneburg-Stade,"Koordinierungsstelle und KoordinierungsstellePlus zur beruflichen
Förderung von Frauen",,2009,,"147.822,65"
Handwerkskammer Braunschweig-Lüneburg-Stade,"Modernisierung der Ausstattung div. Werkstätten der ÜLU im
Technologiezentrum Lüneburg",,2013,,"1.710.418,10"
Handwerkskammer Braunschweig-Lüneburg-Stade,"Modernisierung Ausstattung div. Werkstätten der ÜLU im
Technologiezentrum Stade",,2013,,"1.236.502,50"
Handwerkskammer Braunschweig-Lüneburg-Stade,"Mod. div. Einrichtungen der ÜLU und Weiterb. sowie des Internats im
Technologiezentrum Stade",,2013,,"1.859.793,21"
Handwerkskammer Braunschweig-Lüneburg-Stade,"Mod. der Ausstattung für div. Lehrgänge der Meistervorbereitung in
der Meisterakademie Plus in Lüneburg",,2013,,"205.634,23"
Handwerkskammer Braunschweig-Lüneburg-Stade,"Mod. der Lehrräume 151 bis 154 sowie WC-Anlage für div. Lehrgänge
der Meistervorbereitung in der Akademie Plus",,2013,,"348.300,00"
Handwerkskammer Braunschweig-Lüneburg-Stade,"Mod. der Ausstattung für div. Lehrgänge der Meistervorbereitung in
der Meisterakademie Plus in Stade",,2011,,"168.826,30"
Handwerkskammer Braunschweig-Lüneburg-Stade,"Modernisierung der Halle I und Energieeinsparmaßnahmen im TZH
Lüneburg",,2016,,"7.640.241,47"
Handwerkskammer Braunschweig-Lüneburg-Stade,"Koordinierungsstelle zur beruflichen und betrieblichen Förderung von
Frauen",,2011,,"169.235,59"
Handwerkskammer Braunschweig-Lüneburg-Stade,Mod. div. Werkstätten in der Akademie Plus Lüneburg,,2013,,"197.086,67"
Handwerkskammer Braunschweig-Lüneburg-Stade,Kompetenzzentrum Innovative Gebäudetechnik,,2016,,"2.842.125,00"
Handwerkskammer Braunschweig-Lüneburg-Stade,"Koordinierungsstelle zur beruflichen und betrieblichen Förderung von
Frauen",,2012,,"164.152,73"
Handwerkskammer Braunschweig-Lüneburg-Stade,"Modernisierung der Ausstattung im TZH der HWK Braunschweig-
Lüneburg-Stade in Lüneburg",,2015,,"687.291,28"
Handwerkskammer Braunschweig-Lüneburg-Stade,Bau einer Schulungswerkstatt für Fahrzeugtechnik in Lüneburg,,2015,,"2.204.164,80"
Handwerkskammer Braunschweig-Lüneburg-Stade,"""Modernisierung der Ausstattung im Technologiezentrum Lüneburg""",,2015,,"324.482,86"
Handwerkskammer Braunschweig-Lüneburg-Stade,"Koordinierungsstelle zur beruflichen und betrieblichen Förderung von
Frauen",,2013,,"163.333,08"
Handwerkskammer Braunschweig-Lüneburg-Stade,"""Modernisierung und Ausstattung im Technologiezentrum Stade""",,2015,,"171.320,72"
Handwerkskammer Braunschweig-Lüneburg-Stade,"Koordinierungsstelle zur beruflichen und betrieblichen Förderung von
Frauen und Koordinierungsstelle Plus",,2013,,"160.381,33"
Handwerkskammer Braunschweig-Lüneburg-Stade,Sanierung der Nordseite der Meisterakademie Plus in Lüneburg,,2014,,"221.528,21"
Handwerkskammer Braunschweig-Lüneburg-Stade,Energetische Modernisierung des Gästehauses,,2015,,"2.550.303,75"
Handwerkskammer Braunschweig-Lüneburg-Stade,"Koordinierungsstelle zur beruflichen und betrieblichen Förderung von
Frauen",,2014,,"104.727,71"
Handwerkskammer Braunschweig-Lüneburg-Stade,"Koordinierungsstelle zur beruflichen und betrieblichen Förderung von
Frauen",,2016,,"216.946,20"
Handwerkskammer Braunschweig-Lüneburg-Stade,Brandschutzmaßnahmen im BBZ Stade,,2015,,"228.837,09"
Hansa Apotheke,Marketingberatung zur Steigerung des Umsatzes,,2010,,"1.995,00"
Hansa Oel- und Gasbrenner GmbH,Erstellung eines Marketingkonzeptes,,2010,,"4.000,00"
Hansa Oel- und Gasbrenner GmbH,Erstellung eines Web-Marketing-Konzeptes,,2014,,"2.000,00"
Hans-Dieter Beinl,"Beratung zur Neukundengewinnung und Bestandskunden- bindung
durch Web-Marketing",,2014,,"4.400,00"
Hansedesign Scheeßel,"Marketingberatung und Coaching mit dem Schwerpunkt Online-
Marketing und INternet-Branding für Hansedesign",,2008,,"8.000,00"
Hansen und Heeschen Patentanwälte,"Beratung zur Neukundengwinnung und Kundenbindung durch Web-
Marketing",,2014,,"10.000,00"
Hansestadt Lüneburg,Machbarkeitstudie zur Museumslandschaft Lüneburg,,2011,,"204.565,00"
Hansestadt Lüneburg,Entwicklung der Gebäudesubstanz Wasserturm,,2012,,"714.877,00"
Hansestadt Lüneburg,Bauleitplanung Bahnbrache Wittenberger Bahn,,2012,,"126.583,34"
Hansestadt Lüneburg,"Neuordnung der Lüneburger Museumslandschaft - Neubau eines
Museu msgebäudes, Innenausbau (Umsetzung der
Ausstellungskonzeption)",,2016,,"5.239.888,00"
Hansestadt Lüneburg,"Aufbau einer breitbandigen elektronischen kommunikation im Bereich
Lüneburg / Bilmer Berg",,2012,,"80.734,39"
Hansestadt Lüneburg,Neugestaltung des Wandrahmparks,,2012,,"62.251,90"
Hansestadt Lüneburg,Wittenberger Bahn - Herstellung einer neuen Verbindungsstraße,,2015,,"1.967.657,28"
Hansestadt Lüneburg,"Grünanlage und Wegeverbindung Wandrahmpark-
Altenbrückertorstraße",,2015,,"188.160,00"
Hansestadt Lüneburg,"Wittenberger Bahn - Bau einer Fuß- und Radwegeverbindung über die
Ilmenau (Lösegrabenwehr)",,2015,,"67.383,75"
Hansestadt Lüneburg,"Wittenberger Bahn - Bau einer Fuß-/Radwegeverbindung entlang der
Ilmenau",,2015,,"141.885,99"
Hansestadt Stade,"Städtebaulicher Rahmenplan ""Bahnhofsumfeld""",,2011,,"34.352,40"
Hansestadt Stade,"Gutachten zur Bewertung der Altlastensituation ""Verkehrs- und
Industriebrache Bahnhofsumfeld""",,2011,,"15.422,40"
Hansestadt Stade,Touristische Entwicklung der historischen Wallanlagen,,2014,,"539.928,62"
Hansestadt Stade,"Neubau ""Grabenweg"" einschl. Kreisverkehrsplatz Grabenweg/ Am
Güterbahnhof/Salztorscontrecarpe - Maßnahme C12",,2015,,"893.275,00"
Hansestadt Stade,Orientierende Altlastenuntersuchung (Bahnhofsumfeld),,2014,,"28.798,60"
Hansestadt Stade,"Anbindung Campe - Neubau Kreisverkehrsplatz Harburger Str/
Brinkstr/Hinterm Teich einschl. Verlegung Einmündg Mittelstr",,2015,,"907.403,25"
Hansestadt Stade,"Rückbau Straßenabschnitt Salztorscontrescarpe zu einem Fuß-
/Radweg",,2015,,"131.594,97"
Hans-Joachim Pankel Lackier- und Karosseriefachbetrieb GmbH,"Beratung zur Neukundengewinnung und Kundenbindung durch
gezieltes Web-Marketing",,2015,,"7.600,00"
Hans-Joachim Schröder REHA Lüneburg,Überarbeitung des Web-Marketing-Konzeptes,,2012,,"4.800,00"
Hans-Martin Prigge GmbH & Co. KG,"Beratung zur konzeptionellen und systematischen Erfassung des
betrieblichen Weiterbildungsbedarfs",,2013,,"8.000,00"
Hans-Uwe Meyer Bereederungs GmbH & Co. KG,"Erstellung einer professionellen Internetpräsens, unter Beachtung der
bisherigen Web-Strategie",,2011,,"2.400,00"
Hapena Vertrieb für technische Erzeugnisse GmbH,Übernahme von zwei stillgelegten Betriebsstätten,,2011,,"55.575,00"
Harms Blumenhandel GmbH,Optimierung und Weiterentwicklung des bestehenden Marketings,,2009,,"10.000,00"
Harms Blumenhandel GmbH,Aufbau eines systematischen Personalentwicklungskonzeptes,,2012,,"10.000,00"
Harry's Fahrschule Johs. Martens GmbH,Erstellung eines Web-Marketingkonzeptes,,2011,,"4.800,00"
Hartmann Valves GmbH Celle,Erweiterung einer Betriebsstätte,,2011,,"96.528,29"
Hartmann Valves GmbH Celle,Entwicklung eines integrierten Online-Vermarktungskonzepts,,2013,,"10.000,00"
Hasenjäger & Domeyer Metallverarbeitung GmbH,Entwicklung Hochtemperatur - DCV,,2013,,"12.374,04"
Haupt Bürosysteme GmbH,Weiterentwicklung und Ausbau eines bestehenden Corporate Designs,,2010,,"5.000,00"
Haus & Technik Pape GmbH,Positionierung als Energiesparexperte und Profi in der Badsanierung,,2009,,"5.000,00"
Haus der Lebenshilfe GmbH Uelzen,"Konzeptionelle und systematische Beratung und Begleitung zur
Erstellung eines nachhaltigen Marketingkonzeptes",,2012,,"10.000,00"
Hauschildts Obsthof Handels GmbH & Co. KG,Beratung zur Neukundengewinnung durch Web-Marketing,,2014,,"3.200,00"
HAUSGEMACHT! Henrike Seliger,"Beratung und Konzeption zur Errichtung einer professionellen
Internetpräsens",,2011,,"2.000,00"
Hausmarke.TV Filmproduktionen UG,"Gründung und Aufbau Ihres Unternehmens ""Hausmarke TV""",,2014,,"18.000,00"
HAUX-LIFE-SUPPORT GmbH,"Apparatebau, Druckkammern",,2012,,"700.000,00"
Hebold Mixing & More GmbH,"Erweiterung einer bestehenden Betriebsstätte durch Kauf eines
Grundstücks und Bau neuer Hallen",2010,,"487.316,19",
Hecht Pharma GmbH,Erweiterung einer Betriebsstätte,,2013,,"64.716,02"
Hechthausen,"Aufbau einer breitbandigen elektronischen Kommunikation in der
Gemeinde Hechthausen, OT Bornberg",,2015,,"47.567,00"
Heide-Flex Hydraulik,Erstellung eines Web-Marketing-Konzeptes,,2012,,"1.600,00"
Heideglas Uelzen Inh. Thorsten Neumann e.K.,Glasgewerbe,,2013,,"27.500,00"
Heidemann Abbruch GmbH,Erarbeiten eines Web-Marketing-Konzeptes,,2011,,"2.600,00"
Heidemann Recycling GmbH,Erarbeiten eines Corporate Designs,,2011,,"3.240,00"
Heim Gerätebau GmbH & Co. KG,Errichtung einer Betriebsstätte,,2011,,"1.225.335,21"
"Heimat- und Museumsverein Hitzacker (Elbe) und Umgebung e.
V.",Die Elbe trennt - die Elbe verbindet,,2011,,"14.801,18"
"Heimat- und Museumsverein Hitzacker (Elbe) und Umgebung e.
V.",ElbeGesprächsLabor,,2014,,"40.503,81"
Heino Behrens,Überarbeitung des Marketingkonzeptes,,2010,,"1.700,00"
Heinrich Buck GmbH,Entwicklung eines Marketingkonzeptes,,2011,,"3.500,00"
Heinrich Meyer-Werke Breloh GmbH & Co. KG,Verbesserung der Web-Präsenz,,2014,,"6.000,00"
Heinrich Wesling KG,"Beratung zur Neukundengewinnung und Kundenbindung durch Web-
Marketing",,2014,,"3.200,00"
Heinz Eggert GmbH & Co. KG,Erweiterung des Maschinenparks,,2011,,"190.688,84"
Heitmann & Junge GmbH,Erstellung eines Web-Marketing-Konzeptes,,2013,,"4.800,00"
Helecta GmbH,"Entwicklung einer neuen Generation LED-Leuchten mit höherer
Effizienz und verbesserter Modularität",,2015,,"12.157,26"
Helecta GmbH,Highbay,,2015,,"6.591,28"
"Helmut Schulze GmbH, Moderne Bürowelt","Erstellung eines Marktingkonzeptes und Strategie für die Online-
Präsentation der Dinestleistungen und Produkte",,2012,,"4.000,00"
Helno Maschinenbau GmbH,Erweiterung der Betriebsstätte,,2010,,"116.308,36"
Henning Bauck,"Bau einer Fahrzeughalle, Erwerb von Maschinen/Anlagen",,2014,,"53.115,20"
Henrik Zölzer tourenmaterial.de,Einstellung eines Innovationsassistenten,,2012,,"12.000,00"
Henrik Zölzer tourenmaterial.de,Graphische Suchmaschine für Landkarten,,2013,,"31.716,97"
Herbert Peper & Sohn GmbH,Entwicklung von einem Marketingkonzept,,2009,,"1.500,00"
Hermann Petersen Ladenbau und Tischlerei,Beratung für effektives Web-Marketing,,2015,,"5.250,00"
Herrn Wilhelm Freudenberg Frau Sonja Blome,"Beratung zur Neukundengewinnung und Bestandskundenbindung
durch gezieltes Web-Marketing",,2013,,"3.200,00"
Herzapfelhof Lühs GmbH & Co. KG,Erarbeitung einer Designstategie,,2012,,"10.000,00"
HGC Handelshaus Inh. Hannelore Goeze,"Beratung bei der Planung und Durchführung der
Unternehmensnachfolge",,2014,,"3.037,19"
