Name des Begünstigten/beneficiary name,Bezeichnung des Vorhabens/operation name,Zusammenfassung des Vorhabens/operation summary,Datum des Beginns des Vorhabens/operation start date,Datum des Endes des Vorhabens/operation end date,Gesamtbetrag der förderfähigen Ausgaben des Vorhabens/total eligible expenditure allocated to the operation,Postleitzahl des Vorhabens/operation postcode,Land/country,Bezeichnung der Interventionskategorie für das Vorhaben/name of category of intervention for the operation,Spezifisches Ziel/specific objective,Internet-Adresse des Vorhabens/website of the operation
Schmelzer GmbH  ,Coaching,Förderprogramm Coaching 2015,07.09.2015,07.09.2016,"12.000,00",70825,Deutschland,106,A 5.1,www.kunststoff-schmelzer.de
Schmitt language solutions Inh. Helmut Schmitt,Coaching,Förderprogramm Coaching 2015,11.09.2015,10.08.2016,"2.400,00",76189,Deutschland,106,A 5.1,www.schmitt-language-solutions.de
Schnitzer GmbH  ,Coaching,Förderprogramm Coaching 2015,13.04.2015,13.10.2016,"12.000,00",72116,Deutschland,106,A 5.1,www.schnitzer.dasbad.de
Schoch Edelstahl GmbH  ,Coaching,Förderprogramm Coaching 2015,01.05.2015,01.05.2016,"0,00",77756,Deutschland,106,A 5.1,www.schoch-edelstahl.de
Schock Metallwerk GmbH  ,Coaching,Förderprogramm Coaching 2015,06.08.2015,19.07.2016,"11.750,00",73660,Deutschland,106,A 5.1,www.schock-metall.de
Schondelmaier GmbH Presswerk ,Coaching,Förderprogramm Coaching 2015,01.10.2015,31.03.2016,"12.000,00",77793,Deutschland,106,A 5.1,www.schondelmaier.de
Schreinerei Gindele GmbH ,Coaching,Förderprogramm Coaching 2015,19.03.2015,30.04.2015,"12.000,00",88263,Deutschland,106,A 5.1,www.gindele-schreinerei.de
Schreinerei Haas  ,Coaching,Förderprogramm Coaching 2015,19.05.2015,19.11.2016,"12.000,00",88239,Deutschland,106,A 5.1,www.haas-wangen.com
Schreinerei Riess Inh. Oliver Harscher ,Coaching,Förderprogramm Coaching 2015,29.06.2015,29.06.2016,"12.000,00",78532,Deutschland,106,A 5.1,www.schreinerei-riess.de
Schreinerei Seckinger  ,Coaching,Förderprogramm Coaching 2015,21.07.2015,15.07.2016,"12.000,00",78126,Deutschland,106,A 5.1,www.seckinger-schreinerei.de
Schreinerei Stephan Schreiber ,Coaching,Förderprogramm Coaching 2015,26.05.2015,24.05.2016,"2.650,00",74257,Deutschland,106,A 5.1,www.schreinerei-schreiber.de
Schreinerei Zürn GmbH  ,Coaching,Förderprogramm Coaching 2015,03.11.2015,19.10.2016,"12.000,00",70327,Deutschland,106,A 5.1,www.schreinerei-zuern.de
Schuhhaus Hoffmann Claudia Eppler ,Coaching,Förderprogramm Coaching 2015,15.05.2015,31.12.2015,"12.000,00",78126,Deutschland,106,A 5.1,http://einfachmehr-koenigsfeld.de/schuhhaus-hoffmann-schuhgeschaeft-mit-orthop-service/
Schwaben Folia GbR Sandro Columpsi & Christoph Schepanek,Coaching,Förderprogramm Coaching 2015,26.10.2015,25.10.2016,"4.400,00",70825,Deutschland,106,A 5.1,www.schwabenfolia.de
Schwarz GmbH Landtechnik-Ökotech Vertrieb,Coaching,Förderprogramm Coaching 2015,03.11.2015,02.11.2016,"12.000,00",71546,Deutschland,106,A 5.1,www.schwarz-lt.de
Schwäbisch Gmünder Volkshochschule e.V. ,Fachkurse,Förderprogramm Fachkurse 2015,01.02.2015,31.08.2015,"1.980,00",73525,Deutschland,106,A 5.1,www.gmuender-vhs.de
Schwäbisch Gmünder Volkshochschule e.V. ,Fachkurse,Förderprogramm Fachkurse 2015-2016,01.09.2015,31.08.2016,"54.646,00",73525,Deutschland,106,A 5.1,www.gmuender-vhs.de
Schöner Boden Manfred Egle ,Coaching,Förderprogramm Coaching 2015,15.10.2015,14.10.2016,"12.000,00",76437,Deutschland,106,A 5.1,www.egle-boeden.de
Schübel GmbH  ,Coaching,Förderprogramm Coaching 2015,15.09.2015,15.09.2016,"6.400,00",74388,Deutschland,106,A 5.1,www.primeparts.de
Schütz GmbH Meßtechnik  ,Coaching,Förderprogramm Coaching 2015,01.09.2015,01.09.2016,"12.000,00",77933,Deutschland,106,A 5.1,www.schuetz-messtechnik.de
Selltron GmbH  ,Coaching,Förderprogramm Coaching 2015,27.07.2015,27.07.2016,"0,00",73230,Deutschland,106,A 5.1,www.selltron.de
Service GmbH der Bauwirtschaft Südbaden ,Fachkurse,Förderprogramm Fachkurse 2015,01.01.2015,31.08.2015,"16.996,00",79100,Deutschland,106,A 5.1,www.bau-bildung-bw.de
Service GmbH der Bauwirtschaft Südbaden ,Fachkurse,Förderprogramm Fachkurse 2015-2016,01.09.2015,31.08.2016,"84.450,00",79100,Deutschland,106,A 5.1,www.bau-bildung-bw.de
ServiceCenter Unternehmen für Personaldienstleistungen,Coaching,Förderprogramm Coaching 2015,09.06.2015,07.06.2016,"12.000,00",73033,Deutschland,106,A 5.1,www.sc-personal.de
Servicegesellschaft der Bauwirtschaft mbH Stuttgart ,Fachkurse,Förderprogramm Fachkurse 2015,01.01.2015,31.08.2015,"32.616,00",73249,Deutschland,106,A 5.1,www.servicegesellschaft-bau.de
Servicegesellschaft der Bauwirtschaft mbH Stuttgart ,Fachkurse,Förderprogramm Fachkurse 2015-2016,01.09.2015,31.08.2016,"86.121,26",73249,Deutschland,106,A 5.1,www.servicegesellschaft-bau.de
Siegfried Spiess Motorenbau GmbH ,Coaching,Förderprogramm Coaching 2015,21.07.2015,08.07.2016,"12.000,00",71254,Deutschland,106,A 5.1,www.spiess-tuning.de
Signal Reklame GmbH  ,Coaching,Förderprogramm Coaching 2015,26.10.2015,26.10.2016,"12.000,00",74523,Deutschland,106,A 5.1,www.signal-reklame.de
Signal Reklame GmbH  ,Coaching,Förderprogramm Coaching 2015,13.03.2015,31.12.2015,"12.000,00",74523,Deutschland,106,A 5.1,www.signal-reklame.de
Sigrid Nehrlich  ,Coaching,Förderprogramm Coaching 2015,07.04.2015,30.03.2016,"12.000,00",77887,Deutschland,106,A 5.1,www.pension-stadt-baden.de
Silberform Aktiengesellschaft  ,Coaching,Förderprogramm Coaching 2015,26.08.2015,25.08.2016,"12.000,00",71272,Deutschland,106,A 5.1,www.silberform.ag
Silberform Aktiengesellschaft  ,Coaching,Förderprogramm Coaching 2015,01.04.2015,31.03.2016,"12.000,00",71272,Deutschland,106,A 5.1,www.silberform.ag
Silvia Hagen  ,Coaching,Förderprogramm Coaching 2015,23.11.2015,22.11.2016,"8.000,00",70734,Deutschland,106,A 5.1,www.bwhm-beratung.de
Simone Kurbel Heilpraktikerin Ostheopatin ,Coaching,Förderprogramm Coaching 2015,01.07.2015,01.07.2016,"6.400,00",76131,Deutschland,106,A 5.1,www.simonekurbel.de
Simone Schwer Energie ,Coaching,Förderprogramm Coaching 2015,14.05.2015,13.05.2016,"12.000,00",77948,Deutschland,106,A 5.1,www.rosen-baehr.de
Sitronic GmbH & Co. KG  ,Coaching,Förderprogramm Coaching 2015,01.10.2015,30.04.2016,"12.000,00",71116,Deutschland,106,A 5.1,www.sitronic.com
Sitronic GmbH & Co. KG  ,Coaching,Förderprogramm Coaching 2015,23.07.2015,22.07.2016,"12.000,00",71116,Deutschland,106,A 5.1,www.sitronic.com
Skibak Haustechnik Inh. Karl-Heinz Skibak ,Coaching,Förderprogramm Coaching 2015,15.04.2015,15.04.2016,"0,00",72297,Deutschland,106,A 5.1,www.skibak-haustechnik.de
Smartlogic GmbH  ,Coaching,Förderprogramm Coaching 2015,01.11.2015,30.06.2016,"12.000,00",71157,Deutschland,106,A 5.1,www.smartlogic.de
SoftProject GmbH  ,Coaching,Förderprogramm Coaching 2015,04.11.2015,31.10.2016,"9.600,00",76275,Deutschland,106,A 5.1,www.softproject.de
Soloterra UG (haftungsbeschränkt) ,Coaching,Förderprogramm Coaching 2016,04.04.2016,31.12.2016,"9.000,00",76227,Deutschland,106,A 5.1,www.soloterra.de
Sonia Lauinger  ,Coaching,Förderprogramm Coaching 2015,20.08.2015,31.08.2016,"12.000,00",76133,Deutschland,106,A 5.1,www.derkleinebuchverlag.de
Sonntag.tv GmbH  ,Coaching,Förderprogramm Coaching 2015,27.04.2015,30.03.2016,"12.000,00",70374,Deutschland,106,A 5.1,www.sonntag.tv
Sozialunternehmen Neue Arbeit gGmbH ,Lernen macht Stark,Lernen macht stark - unterstützt junge Menschen in Lernprozessen zur schulischen Anschluss- und Abschlussbefähigung auf die anstehenden Prüfungen sowie auch auf den Anschluss ihrer beruflichen Zukunft.,01.01.2016,31.12.2016,"172.133,21",70376,Deutschland,115,C 1.1,.
Sozialunternehmen Neue Arbeit gGmbH ,Kulturwerk inklusiv,Kulturwerk Sucht-Migration-Chancen Ein besonderes Arbeitshilfeangebot für arbeitslose Menschen mit Suchtproblemen und intensiven und multiplen Hilfebedarf.,01.01.2015,31.12.2015,"545.073,46",70188,Deutschland,109,B 1.1,.
Sozialunternehmen Neue Arbeit gGmbH ,HANDinHAND 2015,HANDinHAND 2015 - zielgruppengerechte Verbesserung der Beschäftigungsfähigkeit von langzeitarbeitslosen schwervermittelbaren Männer und Frauen durch unterstützende sozialpädagogische Begleitung,01.01.2015,31.12.2015,"196.360,98",71522,Deutschland,109,B 1.1,www.neuearbeit.de
Sozialunternehmen Neue Arbeit gGmbH ,Mensch und Natur,"""In Arbeit für Mensch und Natur 2016"": ein niederschwelliges Angebot für langzeitarbeitslose Menschen, das Beschäftigung mit dem Erhalt von Kulturlandschaften, insbesondere Streuobstwiesen, verknüpft.",01.01.2016,31.12.2016,"195.849,51",74379,Deutschland,109,B 1.1,.
Sozialunternehmen Neue Arbeit gGmbH ,capINTEGRA 2016,"capINTEGRA 2016- ein niedrigschwelliges Angebot für seelisch behinderte Menschen, das über berufliche Orientierung einen kurzfristigen Einstieg in Arbeit ermöglicht",01.01.2016,31.12.2016,"339.365,42",71638,Deutschland,109,B 1.1,.
Sozialunternehmen Neue Arbeit gGmbH ,capINTEGRA 2015,"capINTEGRA 2015: ein niedrigschwelliges Angebot für seelisch behinderte Menschen, dass über berufliche Orientierung einen kurzfristigen Einstieg in Arbeit ermöglicht.",01.01.2015,31.12.2015,"338.673,00",71638,Deutschland,109,B 1.1,.
Sozialunternehmen Neue Arbeit gGmbH ,Lernen macht stark,"""Lernen macht stark"" unterstützt junge Menschen in der schulischen Abschlussphase und bereitet sie auf den Anschluss ihrer beruflichen Zukunft vor. In Form von ergänzenden Bildungsprozessen wird eine berufliche Anschlussfähigkeit geschaffen.",01.01.2015,31.12.2015,"172.039,63",70376,Deutschland,115,C 1.1,.
Sozialunternehmen Neue Arbeit gGmbH ,Kulturwerk 2016,Kulturwerk 2016 - Soziale Inklusion: Projekt zur Verbesserung der Integrations- und Arbeitsmarktchancen von arbeitslosen Menschen im Schwerpunkt Sucht und psychische Erkrankungen. Spezielle Angebote im Bereich Migrations- und Asylproblematik.,01.01.2016,31.12.2016,"413.101,28",70188,Deutschland,109,B 1.1,.
Sozialunternehmen Neue Arbeit gGmbH ,FRIDA 2015-2017,"FRIDA 2015 - 2017 : Heranführung an eine Beschäftigungsfähigkeit und weitergehende berufliche Qualifizierung, Beschäftigung und Ausbildung benachteiligter Frauen.",01.01.2015,31.12.2017,"1.714.858,33",70193,Deutschland,109,B 1.1,.
Sozialunternehmen Neue Arbeit gGmbH ,Mensch und Natur,In Arbeit für Mensch und Natur - die Teilhabe von Langzeitarbeitslosen mit dem Erhalt des Kulturraumes im Landkreis Ludwigsburg,01.01.2015,31.12.2015,"138.347,36",71638,Deutschland,109,B 1.1,.
Spaett Architekten GmbH  ,Coaching,Förderprogramm Coaching 2015,24.04.2015,31.12.2016,"12.000,00",78462,Deutschland,106,A 5.1,www.spaett.com
St. Elisabeth-Stiftung  ,NaWiSu,"ESF NaWiSu - Es werden langzeitarbeitslose Personen mit Suchthintergrund in den allgemeinen Arbeitsmarkt begleitet. Sie lernen eine Lebenswelt aufzubauen, bei der Sie mit ihrer Arbeitskraft die Gestaltung des Alltags übernehmen.",01.01.2016,31.12.2017,"395.257,02",88400,Deutschland,109,B 1.1,.
Stadt Aalen ,Migranten+B.Bildung,Berufsausbildung und berufliche Weiterqualifizierung für Migranten,01.05.2015,30.04.2018,"309.509,82",73431,Deutschland,106,A 5.1,www.aalen.de
Stadt Mannheim Fachbereich Wirtschafts- und Strukturförderung,EXI-Gründung,EXI-Gründungsgutschein - Vorgründungsberatung,01.01.2015,31.12.2017,"2.499.998,90",68159,Deutschland,106,A 5.1,www.start-im-quadrat.de
Stadt Pforzheim ,AK 2015,Regionaler Arbeitskreis ESF Pforzheim 2015,01.01.2015,31.12.2015,"32.036,95",75158,Deutschland,121,D 1.1,.
Stadt Weinheim ,Migranten+B.Bildung,Projekt TEMA: (türkische) Eltern als Motor für Ausbildung über Elternberatung in der SEK 1 und am Übergang Schule-Beruf in Weinheim und Hemsbach,01.05.2015,30.04.2018,"207.916,55",69469,Deutschland,106,A 5.1,www.bildungsbuero-weinheim.de
Stadt-Hotel Renningen GmbH  ,Coaching,Förderprogramm Coaching 2016,15.04.2016,14.04.2017,"6.000,00",71272,Deutschland,106,A 5.1,www.campo-renningen.de
Stadtjugendring Nürtingen e.V. ,JAA Modul 1,JAA-Modul 1: Jugendliche in Ausbildung und Arbeit - Beratung und Unterstützung durch die Jugendagentur - Modul 1: Anlaufstelle,01.01.2015,31.12.2015,"140.318,30",72622,Deutschland,115,C 1.1,.
Stadtjugendring Nürtingen e.V. ,JAA-Modul  1,JAA - Jugendlichen Ausbildung und Arbeit - Beratung und Unterstützung durch die Jugendagentur Modul 1: Anlaufstelle Nürtingen,01.01.2016,31.12.2016,"137.692,88",72622,Deutschland,115,C 1.1,.
Staiger Gastronomie GmbH & Co. KG ,Coaching,Förderprogramm Coaching 2015,20.11.2015,19.11.2016,"0,00",68159,Deutschland,106,A 5.1,www.joepenas.com
Stanger GmbH & Co. KG  ,Coaching,Förderprogramm Coaching 2015,02.07.2015,31.12.2015,"12.000,00",72581,Deutschland,106,A 5.1,www.stanger-drehteile.de
Stanger GmbH & Co. KG  ,Coaching,Förderprogramm Coaching 2016,15.02.2016,11.03.2016,"9.000,00",72581,Deutschland,106,A 5.1,www.stanger-drehteile.de
Staudt Heizung-Sanitär GmbH ,Coaching,Förderprogramm Coaching 2016,29.03.2016,28.03.2017,"9.000,00",76698,Deutschland,106,A 5.1,www.staudt-hs.de
Staudt Heizung-Sanitär GmbH ,Coaching,Förderprogramm Coaching 2015,01.04.2015,31.03.2016,"12.000,00",76698,Deutschland,106,A 5.1,www.staudt-hs.de
Staufen Arbeits- und Beschäftigungsförderung gGmbH,BiBeR,BiBeR: Bildung-Schlüssel zu nachhaltiger Beschäftigung und Reintegration in den Arbeitsmarkt,01.01.2015,31.12.2015,"307.550,25",73033,Deutschland,109,B 1.1,www.sab-gp.de
Staufen Arbeits- und Beschäftigungsförderung gGmbH,Agrigent Transna2015,Agrigent Transnational. Das Projekt optimiert den erfolgreichen Aufbau einer sozialen Landwirtschaft als Grundlage sinnvoller arbeitsmarktpolitischen Maßnahmen als Maßnahme gegen Armut und soziale Ausgrenzung,01.01.2015,31.12.2017,"2.463.000,00",73035,Deutschland,109,B 1.1,www.sab-gp.de
Staufen Arbeits- und Beschäftigungsförderung gGmbH,Fahrrad inklusiv,Fahrrad inklusiv,01.01.2015,31.12.2015,"247.400,00",73312,Deutschland,109,B 1.1,www.sab-gp.de
Staufen Arbeits- und Beschäftigungsförderung gGmbH,Tandem II ,Tandem II,01.01.2015,31.12.2015,"136.028,15",73035,Deutschland,109,B 1.1,www.sab-gp.de
Staufen Arbeits- und Beschäftigungsförderung gGmbH,BiBeR 2016,"BiBeR
   Bildung - Schlüssel zu nachhaltiger Beschäftigung und Reintegration in den Arbeitsmarkt. BiBeR reagiert auf den besonderen regionalen Förderbedarf langzeitarbeitsloser Frauen durch besonders gestaffelte Qualifizierungsangebote.",01.01.2016,31.12.2016,"329.962,00",73033,Deutschland,109,B 1.1,www.sab-gp.de
Staufen Arbeits- und Beschäftigungsförderung gGmbH,MisAV,Mittendrin statt Aussenvor - Verbesserung der sozialen Teilhabe und der Beschäftigungschancen von Flüchtlingen mit dem Ziel der Vermittlung in Arbeit und Ausbildung u.a.,01.01.2016,31.12.2016,"176.700,00",73035,Deutschland,109,B 1.1,www.sab-gp.de
Staufen Arbeits- und Beschäftigungsförderung gGmbH,Fahrrad AKTIV 2016,"Fahrrad AKTIV-gesund, nachhaltig und inklusiv. Im Projekt Fahrrad AKTIV werden die Lebenslagen von Menschen mit Vermittlungshemmnisse bearbeitet. Ziel ist die Heranführung an die Bildung und Qualifikation, zusätzlich an das Thema Gesundheit.",01.01.2016,31.12.2016,"329.732,95",73312,Deutschland,109,B 1.1,www.sab-gp.de
Staufen.AG Akademie  ,Fachkurse,Förderprogramm Fachkurse 2015/2016,07.09.2015,29.07.2016,"794.250,00",73257,Deutschland,106,A 5.1,www.staufen.ag
Staufen.AG Akademie  ,Fachkurse,Förderprogramm Fachkurse 2015,30.03.2015,31.08.2015,"65.113,00",73257,Deutschland,106,A 5.1,www.staufen.ag
SteamDrive GmbH  ,Coaching,Förderprogramm Coaching 2016,14.01.2016,14.01.2017,"6.000,00",89522,Deutschland,106,A 5.1,www.steamdrive.de
"Stefan Hartmann Dach, Fassade, Innenausbau ",Coaching,Förderprogramm Coaching 2016,15.03.2016,15.03.2017,"9.000,00",71573,Deutschland,106,A 5.1,www.hartmann-allmersbach.de
Steffen Maurer Veranstaltungstechnik ,Coaching,Förderprogramm Coaching 2015,06.08.2015,15.07.2016,"12.000,00",89160,Deutschland,106,A 5.1,www.maurer-veranstaltungstechnik.de
Steinbeis Beratungszentren GmbH ,EXI-Gründung,EXI-Gründungsgutschein - Vorgründungsberatung,01.01.2015,31.12.2017,"1.747.022,50",70174,Deutschland,106,A 5.1,www.stw-beratung.de
Steinbeis GmbH & Co. KG für Technologietransfer Steinbeis-Transferzentrum,Fachkurse,Förderprogramm Fachkurse 2015,21.10.2015,15.07.2016,"34.465,00",70174,Deutschland,106,A 5.1,www.stw.de
Steinbeis GmbH & Co. KG für Technologietransfer Steinbeis-Transferzentrum,Fachkurse,Förderprogramm Fachkurse 2015,01.02.2015,31.08.2015,"64.400,00",70174,Deutschland,106,A 5.1,www.stz-itpm.de
Steinbeis GmbH & Co. KG für Technologietransfer Steinbeis-Transferzentrum,Fachkurse,Förderprogramm Fachkurse 2015-2016,01.09.2015,31.08.2016,"211.410,00",70174,Deutschland,106,A 5.1,www.stz-itpm.de
Steinbeis- Innovationszentrum f. Unternehmensentw.a.d.,Spitzenfrauen,Spitzenfrauen,01.04.2015,30.03.2018,"622.668,22",75177,Deutschland,106,A 5.1,www.szue.de
Stephan Knoll Holz- und Massivbau ,Coaching,Förderprogramm Coaching 2015,15.06.2015,09.06.2016,"12.000,00",71737,Deutschland,106,A 5.1,keine
Stephanie Hofmeister  ,Coaching,Förderprogramm Coaching 2015,28.05.2015,27.05.2016,"3.200,00",70734,Deutschland,106,A 5.1,www.weinstube-moiakaefer.de
Steuerberater Pauler  ,Coaching,Förderprogramm Coaching 2016,15.03.2016,31.12.2016,"9.000,00",73037,Deutschland,106,A 5.1,www.steuerberater-pauler.de
Steven Miles - Body & Style Inh. Stefan Armbruster ,Coaching,Förderprogramm Coaching 2015,19.08.2015,15.08.2016,"3.200,00",71686,Deutschland,106,A 5.1,www.steven-miles.de
Stickerei Keinath GmbH  ,Coaching,Förderprogramm Coaching 2015,11.05.2015,11.05.2017,"12.000,00",72461,Deutschland,106,A 5.1,www.stickerei-keinath.de
Stiftung TRAGWERK  ,Coaching 2gether,"Coaching 2gether: Unterstützung von Schülerinnen, Schülern und ausbildungsfernen Jugendlichen durch ehrenamtliche Mentoren und sozialpädagogische Fachkräfte",01.01.2015,31.12.2015,"60.801,06",73230,Deutschland,115,C 1.1,.
Stiphtung Christoph SonntagGmbH ,Coaching,Förderprogramm Coaching 2015,27.04.2015,30.03.2016,"12.000,00",70374,Deutschland,106,A 5.1,www.sonntag.tv
Stoff Palette Bernd Schnekenburger e.K. ,Coaching,Förderprogramm Coaching 2015,13.10.2015,13.10.2016,"12.000,00",78048,Deutschland,106,A 5.1,www.stoffpalette.com
Stolze Projekt Beratung GmbH ,Coaching,Förderprogramm Coaching 2015,02.07.2015,01.07.2016,"6.000,00",70176,Deutschland,106,A 5.1,www.stolze-pb.com
Straub Hausverwaltung GmbH ,Coaching,Förderprogramm Coaching 2015,18.08.2015,31.12.2015,"12.000,00",72555,Deutschland,106,A 5.1,www.straubimmobilien.de
Streb Getränke AG  ,Coaching,Förderprogramm Coaching 2016,10.03.2016,28.02.2017,"9.000,00",76551,Deutschland,106,A 5.1,www.streb-getraenke.de
Suhm GmbH  ,Fachkurse,Förderprogramm Fachkurse 2015/2016,01.09.2015,31.08.2016,"2.180,00",71126,Deutschland,106,A 5.1,www.suhm.info
Sun Valley Stadl Inh. Sven Schmidt ,Coaching,Förderprogramm Coaching 2015,20.08.2015,14.08.2016,"4.800,00",78234,Deutschland,106,A 5.1,www.sun-valley-stadl.de
Söhner Kunststofftechnik GmbH Präzisionsthermoformen ,Coaching,Förderprogramm Coaching 2016,04.04.2016,04.04.2017,"9.000,00",74193,Deutschland,106,A 5.1,www.soehner.de
Südbadische Gummiwerke GmbH ,Coaching,Förderprogramm Coaching 2015,08.09.2015,31.05.2016,"12.000,00",78166,Deutschland,106,A 5.1,www.s-b-g.de
Südbadische Gummiwerke GmbH ,Coaching,Förderprogramm Coaching 2015,08.09.2015,31.03.2017,"12.000,00",78166,Deutschland,106,A 5.1,www.s-b-g.de
Südbadische Gummiwerke GmbH ,Coaching,Förderprogramm Coaching 2015,08.09.2015,30.09.2016,"12.000,00",78166,Deutschland,106,A 5.1,www.s-b-g.de
TA Technische Akademie Hameln e.V. ,Fachkurse,Förderprogramm Fachkurse 2015/2016,01.09.2015,31.08.2016,"43.030,00",31785,Deutschland,106,A 5.1,www.ta-hameln.de
TAS Paul Hohlfelder GmbH ,Coaching,Förderprogramm Coaching 2015,04.11.2015,30.10.2016,"12.000,00",75223,Deutschland,106,A 5.1,www.tas-direct.de
TEAM CONNEX AG  ,Coaching,Förderprogramm Coaching 2016,11.04.2016,05.04.2017,"9.000,00",71155,Deutschland,106,A 5.1,www.teamconnex.com
TEAM4ONE GmbH  ,Coaching,Förderprogramm Coaching 2016,01.03.2016,28.02.2017,"7.200,00",97996,Deutschland,106,A 5.1,www.team4one.de
TGA Bodensee GmbH  ,Coaching,Förderprogramm Coaching 2016,01.03.2016,28.02.2017,"9.000,00",88677,Deutschland,106,A 5.1,www.tga-bodensee.de
TIS-Service-GmbH  ,Coaching,Förderprogramm Coaching 2015,01.04.2015,31.03.2017,"12.000,00",71573,Deutschland,106,A 5.1,www.tis-service.de
TOPAS GmbH  ,Coaching,Förderprogramm Coaching 2015,25.11.2015,31.12.2015,"12.000,00",72116,Deutschland,106,A 5.1,www.topasvegan.de
TOPAS GmbH  ,Coaching,Förderprogramm Coaching 2016,07.03.2016,04.04.2016,"9.000,00",72116,Deutschland,106,A 5.1,www.topasvegan.de
TPO Services GmbH  ,Coaching,Förderprogramm Coaching 2016,02.03.2016,28.02.2017,"9.000,00",74564,Deutschland,106,A 5.1,www.tpo-services.de
TYPO factory Stuttgart GmbH ,Coaching,Förderprogramm Coaching 2015,15.06.2015,31.10.2015,"12.000,00",70469,Deutschland,106,A 5.1,www.typofactory.de
Tageselternverein Bruchsal und nördlicher Landkreis Karlsruhe e.V.,Integrationsmittler,"Integrationsmittler-Schulung und Beschäftigung von Integrationsmittler/-innen. Begleitung und Übersetzung in Behörden und Ämtern, aktive Teil, ergänzende Workshops Schul- und Ausbildung, Aufnahme einer Tätigkeit, Anerkennung ausländischer Abschlüsse",01.01.2015,31.12.2016,"159.785,12",76646,Deutschland,109,B 1.1,www.tageselternverein-bruchsal.de
Talheimer Verlag Medienberatung und Consulting GmbH,Fachkurse,Förderprogramm Fachkurse 2016,03.02.2016,31.08.2016,"93.960,00",72116,Deutschland,106,A 5.1,www.talheimer.de
Team-Training GmbH  ,ABC Böblingen 2016,"ABC Böblingen 2016 - Alleinerziehende bringen Chancen - ABC Böblingen 2016- Alleinerziehend zu sein, ist herausfordernd. Und: Alleinerziehende haben Ressourcen, d.a.Arbeitsmarkt gesucht sind. Wir unterstützen Alleinerziehende m. Einzelberatung u. Workshop",01.01.2016,31.12.2016,"102.480,00",71034,Deutschland,109,B 1.1,www.team-training.de
Team-Training GmbH  ,BTA Tübingen 2015,BTA Tübingen 2015 - Bildung Tüfteln Arbeitsmarkt: Unterstützung von älteren Männern bei der Arbeitsmarktintegration.,01.01.2015,31.12.2015,"115.217,84",72072,Deutschland,109,B 1.1,.
Team-Training GmbH  ,BTA Tübingen 2016,BTA Tübingen - Bildung -Tüfteln - Arbeitsmarkt: Wir unterstützen Männer zwischen 25 und 58 Jahren im Schwerpunkt mit Migrationserfahrung am Arbeitsmarkt. Mit Qualifizierung und Beratung erreichen wir mit unseren Teilnehmern Integrationsfortschritte.,01.01.2016,31.12.2016,"118.440,00",72072,Deutschland,109,B 1.1,.
Team-Training GmbH  ,DUETT 2015-2017,"DUETT - Förderung der Teilzeitausbildung für alleinerziehende Frauen und Männer 2015 - 2017. Beratung, Vermittlung und Begleitung von Ausbildungssuchenden und Unternehmen.",01.01.2015,31.12.2017,"1.297.317,18",72072,Deutschland,103,A 2.1,.
Team-Training GmbH  ,Migranten+B.Bildung,GINA Interkulturelle Aus- und Weiterbildung in italienischer Sprache,01.05.2015,30.04.2018,"292.686,63",72764,Deutschland,106,A 5.1,www.team-training.de
Team-Training GmbH  ,ABC Böblingen 2015,Alleinerziehende bringen Chancen - ABC Böblingen 2015,01.01.2015,31.12.2015,"103.281,38",71034,Deutschland,109,B 1.1,www.team-training.de
Technische Akademie Esslingen e.V. ,Fachkurse,Förderprogramm Fachkurse 2015,01.01.2015,31.08.2015,"464.594,20",73760,Deutschland,106,A 5.1,www.tae.de
Technische Akademie Esslingen e.V. ,Fachkurse EM,Förderprogramm Fachkurse 2015 Schwerpunkt Elektromobilität,01.01.2015,31.08.2015,"30.488,00",73760,Deutschland,106,A 5.1,www.tae.de
Technische Akademie Esslingen e.V. ,Fachkurse,Förderprogramm Fachkurse 2015-2016,01.09.2015,31.08.2016,"758.720,00",73760,Deutschland,106,A 5.1,www.tae.de
Technische Akademie Esslingen e.V. ,Fachkurse EM,Förderprogramm Fachkurse 2015/2016 EM,01.09.2015,31.08.2016,"100.000,00",73760,Deutschland,106,A 5.1,www.tae.de
Technische Akademie für berufliche Bildung Schwäbisch Gmünd e.V.,efb,"Erfolgsformel Bildung: Wir konzipieren und führen Schulungen zur Grundbildung mit Erwerbstätigen und Arbeitssuchenden durch, angepasst an den betrieblichen Alltag, und schaffen dadurch Mehrwert für Teilnehmer und Betriebe.",01.09.2015,31.08.2018,"426.653,08",73529,Deutschland,106,A 5.1,www.technische-akademie.de
Techno-Step GmbH  ,Coaching,Förderprogramm Coaching 2016,01.04.2016,31.03.2017,"9.000,00",71034,Deutschland,106,A 5.1,www.techno-spet.de
TeleCompetence KG  ,Coaching,Förderprogramm Coaching 2015,09.11.2015,08.11.2016,"12.000,00",77966,Deutschland,106,A 5.1,www.telecompetence.de
Telschig Verfahrenstechnik GmbH ,Coaching,Förderprogramm Coaching 2015,15.06.2015,31.12.2015,"12.000,00",71540,Deutschland,106,A 5.1,www.telschig.com
Telschig Verfahrenstechnik GmbH ,Coaching,Förderprogramm Coaching 2016,20.02.2016,31.12.2016,"9.000,00",71540,Deutschland,106,A 5.1,www.telschig.com
Terraguide GmbH  ,Coaching,Förderprogramm Coaching 2015,03.06.2015,31.05.2016,"12.000,00",78739,Deutschland,106,A 5.1,www.terraguide.de
