Begunstigde,Titel van het project (naam van de concrete actie),Titel van het project in het Engels,Fonds,Autoriteit,Samenvatting,Website project,EU-subsidie in Euro's,Overige publieke financiering,Overige private financiering,Totale kosten in Euro's,Medefinancieringspercentage van de Unie (per prioritaire as),Datum van laatste bijwerking,Begindatum,Einddatum,Thematische doelstelling
Stichting DaCapo College,Technocollege/de Werelden,,EFRO,,"Projectbeschrijving
Het project beoogt een leeromgeving te cre��ren die optimaal aansluit bij de wensen van het bedrijfsleven in de regio Sittard-Geleen.
Het uitgangspunt is dat door het cre��ren van diverse werelden (samenwerkingsclusters) de aansluiting tussen onderwijs en bedrijfsleven sterk kan verbeteren. De ���werelden�۝ zijn:
1. Science &amp;amp; exploration
2. Voeding &amp;amp; vitaliteit
3. Life style &amp;amp; design
4. Mens &amp;amp; medisch
5. Water, energie &amp;amp; natuur
6. Mobiliteit &amp;amp; ruimte
7. Market &amp;amp; money
Vanuit deze ���werelden�۝ gedacht, wordt een gebouw gerealiseerd, dat behalve voor regulier onderwijs, geschikt is voor demonstraties van nieuwe technieken, proefopstellingen, tentoonstellingen en events per wereld.
��",,1.161.697,8.238.303,,9.400.000,12,11.02.2016,01.07.2010,31.12.2012,
Hogeschool Zuyd,De Wijk van Morgen,De Wijk van Morgen,EFRO,,"Met behulp van de subsidie wordt op European Science and Business Park Avantis De Wijk van Morgen gebouwd. Dit is een innovatieve duurzame wijk in aanbouw. De wijk bevat energiezuinige, slimme gebouwen, die worden gerealiseerd door studenten, bedrijfsleven, onderzoekers en overheid.
De Wijk van Morgen is een van de vele praktijkvoorbeelden die bijeen gebracht zijn in het project Cradle to Cradle Network. Dit is een ander grensoverschrijdend project, met partners uit 10 Europese landen. Zie ook www.c2cn.eu.��",,1.317.530,1.940.108,514.336,3.771.974,35,11.02.2016,17.05.2010,31.12.2014,
World Class Aviation Academy B.V.,World Class Aviation Academy,World Class Aviation Academy,EFRO,,"World Class Avation AcademyDe World Class Aviation Academy is een Nederlands opleidingsinstituut dat is gericht op het opleiden van luchtvaarttechnici. Het instituut moet tekorten aan goed gekwalificeerd personeel voor luchtvaarttechnische organisaties oplossen en nieuwe kansen in de markt cre��eren. De WCAA biedt technische opleidingen en trainingen op het gebied van vliegtuigonderhoud voor professionals die werkzaam zijn in de luchtvaartindustrie. Zo verzorgt het bijvoorbeeld modules uit de algemene basisopleiding vliegtuigtechniek en typetrainingen die gericht zijn op specifieke vliegtuigen.
Ontstaan vanuit ambitieIn 2009 zijn is de WCAA ontstaan uit de ambitie om van Nederland een toonaangevend land op het gebied van maintenance te maken. Het groeiende tekort aan (luchtvaart)technici in Nederland en in Europa was hier een belangrijke reden van. Het ROC West-Brabant steunt deze ambitie en samen met het Dutch Institute World Class Maintenance en Aviolanda Woensdrecht is een nieuw opleidingscentrum in Hoogerheide gestart. Het instituut draagt bij aan voldoende ̩n goed gekwalificeerde luchtvaarttechnici. En daarmee aan een toekomstbestendige luchtvaartsector.
Met passie aan de slagInmiddels werkt de World Class Aviation Academy voor verschillende opdrachtgevers. Internationaal, nationaal ̩n lokaal. De eerste klant was de Chileense Luchtmacht. In 2010 verzorgde de academy gedurende een half jaar een F-16 typetraining voor 75 monteurs van de Chileense Luchtmacht. Andere klanten zijn o.a. Fokker Elmo, het grootste bekabelingsbedrijf in de luchtvaart ter wereld en Fokker Aircraft Services. In april 2012 is de tweede vestiging geopend: het Rotary Wing Training Center in Gilze Rijen.",,3.382.294,8.586.461,,11.968.755,28,11.02.2016,01.09.2009,31.12.2013,
Winc West Brabant B.V. i.o.,Con-neX,,EFRO,,"Con-neX
Con-neX is ��een incubatorgebouw dat is bedoeld voor jonge innovatieve business-to-business bedrijven, die zich focussen op gaming, ICT, visual design en logistiek. Zij kunnen hier bedrijfsruimten huren, in de nabijheid van de NHTV. De NHTV is een waardevolle partner als het gaat om kennis en advies. Starterslift zal haar diensten aanbieden zoals coaching van startende ondernemers.��Met dit project stimuleren de betrokkenen innovatief ondernemerschap en de realisatie van open innovatie omgevingen, allebei doelen van het Economisch Programma Brabant.",,1.627.500,1.985.500,3.520.000,7.133.000,23,11.02.2016,01.09.2010,31.12.2014,
Valuepark Terneuzen,Maintenance Valuepark,Maintenance Valuepark,EFRO,,"Maintenance Valuepark (MVP)Het Maintenance Valuepark Terneuzen (MVP) richt zich op het ontwikkelen, ontsluiten en verspreiden van kennis en services gericht op de onderhoudsfunctie in de procesindustrie. Het MVP bestaat uit het Kennis- en Innovatie Centrum (Ki&amp;lt;), de Leer- WerkOmgeving (LWO) en een bedrijventerrein.
Kennis- en Innovatie Centrum (Ki&amp;lt;)Het Kennis- en Innovatie Centrum (Ki&amp;lt;) is het hart van het MVP. Het Ki&amp;lt; heeft een actieve rol en stimuleert constant samenwerking tussen de bedrijven die zich op het MVP vestigen, het onderwijs en andere externe kennisinstellingen. Het staat symbool voor de toegevoegde waarde van het MVP; samen werken aan innovatieve idee��n om een sterke positie te verwerven in de procesindustrie.
Leer Werk Omgeving (LWO)De Leer-WerkOmgeving is een gezamenlijke faciliteit van asset owners, contractors en onderwijsinstellingen voor het trainen van leerlingen en vakmensen. Momenteel ligt de primaire focus van de MVP leerwerkomgeving op het bijbrengen en onderhouden van technische vaardigheden voor eerstelijns onderhoud.
Opening 2015Het Maintenance Valuepark in Terneuzen, waar onderhoudsbedrijven voor de procesindustrie een plek moeten krijgen, opent eind 2015 de poorten.",,593.386,190.904,724.750,1.509.040,39,11.02.2016,01.01.2010,31.12.2012,
Natuur- en Recreatieschap De Grevelingen,De Zoute Delta,De Zoute Delta,EFRO,,"InspiratiecentrumMet behulp van Europese middelen wordt op de Brouwersdam een nieuw informatiecentrum gerealiseerd, het inspiratiecentrum. Het inspiratiecentrum maakt deel uit van ���Zicht op Grevelingen�۪: een ontwikkelprogramma dat aantrekkelijkheid en dynamiek in de Grevelingen moet vergroten.
Grevelingen gaat weer stromenHet Grevelingenmeer is nu nog het grootste getijloze zoutwatermeer van Europa. Vanuit ecologisch perspectief is het echter noodzakelijk om op korte termijn een doorvoer te cre��ren die het water van de Noordzee in het Grevelingenmeer brengt. Het water gaat weer stromen, wat directe gevolgen heeft voor een opleving van de rijke, authentieke flora en fauna in het gebied.
Drie volumesHet inspiratiecentrum midden komt op de Brouwersdam te staan: de scheidslijn tussen de Noordzee en het Grevelingenmeer. Het ontwerp kent drie volumes en bestaat uit een toren die naadloos verheven is boven twee lagere gebouwdelen. De toren opent het gebouw fysiek in het centrum. Er ontstaat een doorvoer van licht, lucht en ruimte in het hart van het inspiratiecentrum. De waterstroom aan beide zijden van het gebouw symboliseert de hernieuwde verbinding en dynamiek tussen de Noordzee en het Grevelingenmeer.
Inheemse vegetatieHet gebouw zal zich door de vormgeving en de keuze voor duurzame en hernieuwbare materialen duidelijk positioneren in het ecologische landschap, waarbij de toren als ijkpunt van de omgeving zal fungeren. De gevels worden voorzien van riet en groene daken met inheemse vegetatie, zodat het gebouw opgaat in de zachte, groene omgeving.",,1.000.000,1.950.000,300.000,3.250.000,31,11.02.2016,01.06.2010,31.12.2013,
Oosterschelde Tidal Power 2 B.V. vanuit OPZuid,Getijdenenergie uit de Oosterscheldekering - Kamperland,,EFRO,OPZuid,Na het succes van het proefproject rond getijdenenergie in de Westerschelde wordt in de Oosterschelde ook gewerkt aan een getijcentrale in de stormvloedkering. Het is het eerste Nederlandse project dat zoveel energie kan opwekken door gebruik te maken van eb en vloed. Het vermogen is vijftig keer groter dan dat van een proefopstelling in de Westerschelde. De installatie moet stroom gaan leveren aan zo�۪n duizend huishoudens en kan in 2012 gereed zijn.,www.tocardo.com,3.256.403,2.250.000,6.488.704,11.995.107,,26.04.2016,01.01.2011,31.12.2015,
AED Solutions BV,RescueMate,,EFRO,,"Projectbeschrijving
Het project biedt een totaal vernieuwde aanpak rond EHBO en Bedrijfshulpverlening, zodat hulpverleners gemakkelijker de benodigde vaardigheden kunnen verwerven c.q. toepassen en er meer hulpverleners tegelijk getraind kunnen worden (minder arbeidsintensief). Daarnaast is de RescueMate (reddingsmaatje) ontwikkeld. Dit��is een��slim, sprekend��apparaat dat je helpt in noodsituaties, zoals eerste hulp, brand en ontruiming.��",,41.530,41.531,154.257,237.318,17,11.02.2016,01.07.2009,31.03.2011,
Adviesburo voor Milieutechniek Colsen B.V.,Effici��nte ammoniak-stripping t.b.v. mestverwerking,Effici��nte ammoniak-stripping t.b.v. mestverwerking,EFRO,,"Projectbeschrijving
Binnen dit project wordt door een aantal projectpartners (onder leiding van Colsen)��gezamenlijk een technologie��ontwikkeld om ammoniak uit digestaat te verwijderen en een totaal verwijderings concept te presenteren met een gegarandeerde afzet van nevenproducten. Mest afkomstig uit een vergistingsinstallatie wordt verwarmd en belucht. De ammoniakrijke lucht wordt in een wasser in contact gebracht met zuur, waarbij ammoniumsulfaat ontstaat. Op deze wijze wordt 75% van de stikstof in��dierlijke mest omgezet in ammoniumsulfaat. Deze zal als kunstmest worden vermarkt onder de naam AMFER�.",,229.542,76.515,459.087,918.173,25,11.02.2016,12.08.2009,31.10.2011,
Colpac Collapsible Containers B.V.,Inklapbare containers,,EFRO,,"Projectbeschrijving
ColPac Collapsible Containers BV ontwikkelt en verkoopt inklapbare containers tot 15m3 in diverse uitvoeringen. De containers leveren een besparing op van transportkosten en opslagkosten en zorgen ervoor dat ondernemers hun logistieke kosten aanzienlijk kunnen verlagen. De gebruiksvriendelijke ColPac inklapbare containers zijn een innovatie op het gebied van storage, transport en logistiek en oplossingen in opbergtoepassingen voor zowel de zakelijke markt als de consument.
��",,49.722,49.722,184.684,284.128,17,11.02.2016,17.11.2008,01.06.2010,
Book Factory Systems B.V.,Enkel boek fabricage systeem,,EFRO,,"Projectbeschrijving
Book Factory Systems ontwikkelt en realiseert, in samenwerking met: Paro Printing BV te Eindhoven en CCM Centre for Concepts in Mechatronics BV te Nuenen het snelste: �۝ Enkel Boek Fabricage Systeem �۝ (Single Copy Book Production System), waardoor Printing On Demand economisch aantrekkelijk wordt. Zonder omsteltijden worden de, via internet bestelde (foto) boeken van verschillende formaten (vaak enkelstuks), geproduceerd.
��",,499.999,5.000.000,1.051.977,2.051.977,24,11.02.2016,17.04.2009,31.12.2011,
Matic BV,Habitat Social Housing,,EFRO,,"Projectbeschrijving
Matic is een humanitaire producent die in opdracht van internationale hulporganisaties instrumenten ontwikkelt om de kwaliteit van leven te verbeteren van mensen in nood als gevolg van rampen, oorlog of permanente armoede. Hierbij gaat het met name om oplossingen op het gebied van huisvesting, een van de eerste levensbehoeften.
Doel van het project is het ontwerpen en ontwikkelen van een productiestraat die het mogelijk maakt in grote aantallen (nood)woonvoorzieningen te produceren. Daarnaast wordt gestreefd naar het verlengen van de levensduur van de woonvoorziening, waardoor deze geschikt wordt voor een behuizing voor langere tijd, van 1 tot meer dan 30 jaar.
��",,69.128,69.128,256.763,395.019,17,11.02.2016,30.05.2008,30.10.2010,
Vitelec B.V.,Mesosysteem slim WGE meten,,EFRO,,"Projectbeschrijving
Vitelec heeft een Mesosysteem slim meten (water, gas en elektriciteit) ontwikkeld, waarbij de data vanuit de huishoudens draadloos verzonden kunnen worden naar de datacollector in de straat of in de wijk. In econmische in wordt beoogd: de productie van de systemen in Noord-Brabant te realiseren en met nieuwe systeem sterk internationaal te gaan concurreren. Daarnaast heeft Vitelec een Power RF Radio ontwikkeld die kan worden ingezet voor uiteenlopende toepassingen op gebied van draadloze besturingssystemen. Zo wordt de technologie ingezet in een drinkwatermanagementproject in Zuid-Afrika, voor het monitoren van watergebruik. De techniek wordt ook ingezet voor een Wireless StreetLight Control Unit, die wordt ingebouwd in een lantaarnpaal en waarmee op afstand het licht kan worden geregeld.",,92.627,92.627,344.045,529.299,17,11.02.2016,20.05.2009,31.08.2011,
Ecofys Netherlands B.V.,C-Energy:Getijdenenergie op de Westerschelde,,EFRO,,"Projectbeschrijving
Borssele onderzoekt alternatieve energieopwekkers, zoals het opwekken van energie met behulp van het getij. Doel van het project is een praktische bijdrage te leveren aan economische opwekking van duurzame energie uit getijden en golven in de Zeeuwse wateren en deze om te zetten in elektriciteit. De testopstelling hangt als een enorme staafmixer boven de Westerschelde.
��",,1.092.504,700.412,1.008.378,1.400.647,78,11.02.2016,14.07.2008,30.09.2010,
Stichting Projecten Innovatie Maakindustrie,Main Manufacturing Excellence Project,,EFRO,,"MEP is een programma van het Oost-Nederlandse samenwerkingsplatform Manufacturing and Innovation Network (MAIN). Dit programma is opgesteld met het doel door intensieve samenwerking nieuwe producten en markten te ontwikkelen. De subsidie is verstrekt voor het eerste deel van dit programma en bestaat uit 16 concrete projecten. Deze projecten worden uitgevoerd 16 clusters waarin 37 bedrijven deelnemen.
Centraal in het programma staat samenwerking en kennisuitwisseling tussen bedrijven en kennisinstellingen. De clusters worden intensief begeleid door procesbegeleiders (���facilitators�۪) die door stichting Projecten Innovatie in de Maakindustrie worden ingehuurd. Door het zichtbaar maken van innovatie in concrete projecten levert het programma een bijdrage aan het versterken van het kenniscluster technologie. Voorbeelden van projecten die subsidie ontvangen zijn een volautomatische vleeswarensnijmachine, een automatische eindassemblagelijn voor koelunit-interieurs en een zeer nauwkeurig meetsysteem voor grote objecten.
Het MAIN samenwerkingsplatform bestaat uit onder andere uit de Verenigde Maakinudstrie Oost (VMO), FME-CWM, de Koninklijke Metaalunie, Oost NV, Syntens en STODT. Zij�� vertegenwoordigt 3.000 bedrijven in de maakindustrie in Oost-Nederland. MAIN heeft onder andere de doelstelling MKB bedrijven aan elkaar te koppelen, te ondersteunen in product- en marktinnovatie, te faciliteren in kennisuitwisseling tussen bedrijven en op deze wijze de productiviteit van MKB bedrijven drastisch te verhogen.
��
��
��",,4.995.036,1.334.243,4.868.000,11.197.279,45,11.02.2016,01.01.2008,01.06.2012,
BioValor Europe BV,Ontwikkeling en optimalisatie van de Pulverizing Air Dryer technologie voor de Europese markt,Development and optimalizing of the Pulverizing Air Dryer technology for the European market,EFRO,,"Het doel van dit project is om de Amerikaanse technologie voor het drogen en malen van biomassa toepasbaar te maken voor de Europese markt.Vele toekomstige afnemers staan in de rij, in afwachting wat deze Europese technologie aanpassing voor ze kan betekenen. De Europa-optimalisering van deze biomassa- verdrogingstechnologie (PAD technology) is de essenti��le stap voor de toepassing en vermarkting van deze aantrekkelijke technologie in onze Europese omgeving. Door het energiezuinig en effici��nt kunnen drogen en malen van de biomassa stijgt het milieubewust inzetten van biomassa voor energieopwekking enorm. Dit kan leiden tot kostenbesparingen van 75%.  ��",,333.218,333.218,666.438,1.332.874,25,11.02.2016,01.07.2010,01.10.2012,
Stichting STODT,IPC Hart van Zuid Exploitatie,,EFRO,,"Dit project is een &quot;innovatiecluster&quot; voor de synergie van kennispartners en stimulering naar bedrijven (MKB), dat past binnen de huidige staatsteunkaders. Het project heeft een initieel investeringsdeel (gebouw, hightech center Hengelo O) waarover in december 2008 is beslist, en een exploitatiedeel, dat nu voorligt. Hierbij gaat het over de kennisopbouw en exploitatieondersteuning van het innovatiecluster Hart van Zuid (Hengelo O).
��
��",,1.382.918,1.382.918,2.770.836,5.536.672,25,11.02.2016,01.06.2008,01.08.2012,
Stichting Dutch Game Garden,Dutch Game Garden 2010-2015,Dutch Game Garden ,EFRO,Kansen voor West,"De Nederlandse gamesindustrie is ���booming business�۪, waarbij Dutch Game Garden (DGG) zich heeft ontwikkeld tot een spin in het web binnen deze snel groeiende Nederlandse en Europese sector. De gamesindustrie speelt niet alleen een belangrijke rol in de creatieve sector, maar dankzij diverse cross-overs ook in vele andere sectoren. De Dutch Game Garden brengt in een integrale aanpak vele partijen bij elkaar en onderhoudt een breed netwerk op het gebied van kennis & innovatie (kennisinstellingen), ondernemerschap en een breed scala aan economische sectoren.
 Dutch Game Garden ondersteunt beginnende, maar ook ervaren (games)bedrijven, onder andere door het huisvesten van (jonge) ondernemers in een bedrijfsverzamelgebouw. In de Developers club, waarvan meer dan 1000 studenten en professionals lid zijn, worden studenten in game-gerelateerde studies gestimuleerd tot het ondernemerschap. Verder helpt Game Incubator Program jonge starters zich verder te ontwikkelen. Mede dankzij de steun van Kansen voor West kon Dutch Game Garden haar missie weer een aantal jaren blijven realiseren.
 Het concept Dutch Game Garden is inmiddels in licentie op de markt gebracht om zo de cluster in de Randstad te versterken. Daarvoor is het project Growing Games ontwikkeld, met DGG als penvoerder.
 'Cross-overs: applied games for health houden mensen letterlijk in beweging en met serious games oefenen medisch specialisten hun vaardigheden, zonder pati��nten daarmee te belasten.'",www.dutchgamegarden.nl,1.614.567,2.420.492,,4.035.059,40,04.04.2016,08.03.2010,01.04.2015,
Prins Autogassystemen B.V.,Prins direct (LPG) injection,,EFRO,,VSI is een afkorting voor ���Vapour Sequential Injection�۝. Het VSI systeem is het meest geavanceerde dampvormig injectie systeem dat op de markt verkrijgbaar is. Het VSI systeem is er zowel in een LPG als een CNG variant en het systeem is daarnaast ook nog eens geschikt voor de nieuwste generatie Direct Injectie motoren (VSI-DI). Met het VSI systeem is er geen verschil merkbaar met het rijden op benzine. Met het VSI systeem streeft Prins naar optimale emissies en kostenvermindering. ,,498.649,498.650,1.143.744,2.141.043,23,11.02.2016,17.03.2009,15.09.2011,
GEO-Energie B.V.,Geo Energy: ontwikkeling van een hybride aanbouw met ge��ntegreerde aardwarmtepomp,,EFRO,,,,252.535,252.537,505.073,1.010.145,25,11.02.2016,01.09.2009,30.11.2011,
LayerNation Beverage Solutions B.V,Layered Cocktail Device,,EFRO,,"Projectbeschrijving
LayerNation is een bedrijf dat een revolutie teweeg brengt in de creatie van��gelaagde drankjes. Met een nieuwe benadering in het maken van cocktails, wordt de productietijd van gelaagde cocktails sterk teruggebracht en tegelijkertijd de visuele kwaliteit sterk verhoogd.��Het apparaat is bedoeld voor horecagelegenheden en grote (bedrijfs)evenementen.
��",,45.237,45.238,168.025,258.500,17,11.02.2016,30.07.2009,01.08.2011,
De Bisschopsmolen vof,De Bisschopsmolen,De Bisschopsmolen,EFRO,,"De BisschopsmolenDe Bisschopsmolen ligt in hartje Maastricht. Het is de oudste draaiende watermolen van Nederland. De molen heeft een eigen ambachtelijke bakkerij. Hier wordt dagelijks bewezen dat broodbakken een kunst is en dat passie het hoofdingredi��nt is voor een heerlijke vlaai. De molen en bakkerij zijn vrij toegankelijk. In de molen kan men kennismaken met het ambacht van de molenaar en zien hoe we van het oergraan Kollenberger Spelt meel en bloem maken. Ook is het mogelijk om vanuit de Bisschopsmolen een Molentocht te lopen door de binnenstad van Maastricht.
InnovatiefDe Bisschopsmolen is continu bezig met innovatie in de ruimste zin van het woord. Inspelen op trends en ontwikkelingen, het ontwikkelen van nieuwe producten, diensten en activiteiten, het aanboren van nieuwe markten, het opstarten van samenwerkingsclusters etc. In dat kader heeft de Bisschopsmolen subsidie ontvangen uit de MKB-regeling Innovatiemedewerker in het kader van OP-Zuid.
De offici��le OP-Zuid projectnaam: Echt en puur innoveren en beleven bij De Bisschopsmolen.",,26.040,,48.360,74.400,35,11.02.2016,29.06.2009,06.07.2011,
Icares,Icares,Icares,EFRO,,"IcaresIcares is gevestigd in Eindhoven en ontwikkelt (inter)nationale digitale tests op het terrein van beroepen en studies. Klanten zijn met name re-integratiebureaus, loopbaancentra en decanen/studieadviseurs (beroepentests) en onderwijsinstellingen (studiekeuzetests). De mens staat centraal. Naast digitale dienstverlening is er ook persoonlijke begeleiding en advies.
Versterken menselijk kapitaalDe doelstelling van het project is om externe gerichtheid te vergroten door pro-activiteit en het innovatief vermogen van de medewerkers te versterken, zodat de organisatie beter kan inspelen op nieuwe markten.
Offici��le OP-Zuid projectnaam: Scenario's voor slimmer en flexibeler (samen)werken.",,10.000,10.000,20.250,40.250,25,11.02.2016,25.06.2009,15.03.2010,
N.V. Economische Impuls Zeeland,Incubator Zeeland - DOK41,Incubator Zeeland - DOK41,EFRO,,"Broedplaats voor innovatief ondernemerstalent!Als broedplaats biedt DOK41 de juiste omgeving om startende innovatieve en creatieve bedrijven tot succesvolle ondernemingen te laten uitgroeien.
Bij DOK41, gelegen op Kenniswerf in Vlissingen kunnen ondernemers hun bedrijf opstarten en onder begeleiding en coaching verdere ontwikkeling en groei doormaken. Daarnaast wordt samenwerking en kennisuitwisseling gestimuleerd en beschikt het team van DOK41 over een groot netwerk om ondernemers te verbinden met bedrijfsleven, intermediairs en kennisinstellingen. Ondernemen binnen de broedplaats DOK41 biedt veel voordelen voor startende ondernemers. Samen met andere startende ondernemers onder ̩̩n dak werken zorgt er bijvoorbeeld voor dat ondernemers gemakkelijk(er) van elkaar kunnen leren en elkaars activiteiten kunnen versterken. Dit leidt tot nieuwe projectidee��n en het gezamenlijk uitvoeren van opdrachten.DOK41 biedt ondernemers inspirerende huisvesting tegen gunstige tarieven met daar omheen een aantal diensten op maat die ondernemers op zoveel mogelijk punten kunnen ondersteunen, zoals toegang tot een sterk netwerk, moderne faciliteiten zoals glasvezel internet, publiciteit, coaching, themabijeenkomsten en persoonlijke spreekuren en begeleiding naar financiering. Of je nu zoekt naar een laagdrempelige flexwerkplek, kantoor of productieruimte, bij DOK41 sta je er niet alleen voor.
Ben jij op zoek naar een inspirerende werkomgeving waar je jouw bedrijf naar een hoger plan kunt tillen? Ga dan voor meer informatie naar de website.",,648.354,452.531,150.000,1.620.885,40,11.02.2016,01.09.2010,31.12.2014,
Hogeschool van Arnhem en Nijmegen,"Lusaro, innovation in trailers",,EFRO,,"Research and development of a three-wheel trailer for caravans and boats, focusing on better safety and usability, leading to a functional protoytpe.",,152.484,152.484,149.260,454.228,34,11.02.2016,01.10.2008,30.11.2010,
Stichting Innovatienetwerk S3H,Innovatiebevordering Stedendriehoek,,EFRO,,"��
Dit project omvat het derde Regionaal technologie centrum in de provincie, en wel als initiatief vanuit de stedendriehoek. Van ondernemers voor ondernemers. Het doel is om bedrijven, gericht, rondom thema's, onderwerpen of vragen bij elkaar te brengen, waarbij de vragen, onderwerpen of thema�۪s door de bedrijven zelf worden aangedragen. Bedrijven in de regio bezoeken, op hun vragen passend reageren door ze in verbinding te brengen met andere bedrijven of kennisinstellingen. Daarnaast bijeenkomsten bellen waar hun vragen aan bod komen of ze verwijzen naar andere initiatieven op het terrein van innovatie. Samen met andere partijen in de Stedendriehoek aldus bedrijfsinnovatie in brede zin stimuleren.",,308.250,376.750,,685.000,45,11.02.2016,01.01.2009,30.09.2012,
Stichting KIEMT,Gelders Transitie Centrum,,EFRO,,"In het Gelders Transitie Centrum (GTC) werken onderzoek, onderwijs, overheid en ondernemers ( de 4 O�۪s) samen in projecten om , via kennisbundeling en ���creatie oplossingen te vinden voor vraagstukken op het gebied van energieverbruik, CO2 - uitstoot en duurzame energieopwekking. De kracht van het GTC is gebaseerd op het netwerk van vooraanstaande Gelderse bedrijven en kennisinstellingen; GTC is gericht op het realiseren van technische en marktgeori��nteerde doorbraakprojecten, waarbij��gebruik wordt gemaakt��van huidige en nieuwe kennis. Deze doorbraken moeten worden gerealiseerd�� door nieuwe idee��n te ontwikkelen via ���state of the art�۪(demo) projecten. Op mondiaal, Europees, nationaal, provinciaal en gemeentelijk niveau moet de samenwerking binnen het GTC een forse bijdrage leveren aan de Gelderse duurzaamheids-ambities van de 4 O�۪s (onderzoek, onderwijs, overheid en ondernemers).",,540.000,360.000,300.000,1.200.000,45,11.02.2016,01.01.2010,31.12.2014,
Aarding Components B.V.,Samen Sterk Maken,Making together strong,EFRO,,"Het doel van het project is het inrichten van een internetportaal als platform voor de productie in de metaalindustrie. Het consortium wil hiermee een zo groot mogelijke automatisering en standaardisering van het productienetwerk en het productieproces bewerkstelligen. De concurrentiepositie wordt versterkt door verhoogde aantrekkelijkheid voor opdrachtgevers.
��",,756.004,246.780,1.010.464,2.013.248,38,11.02.2016,01.01.2010,01.01.2014,
Synerlogic B.V.,SUNrise,SUNrise,EFRO,,"In dit project wordt een gebruiksveilige reinigingsunit als ge��ntegreerd onderdeel van de melkrobot ontwikkeld. Hiermee wordt de veiligheid vergroot, verbruik verlaagd, en transportbewegingen gereduceerd. De activiteiten bestaan uit onderzoek naar de invloed waterkwaliteit op de werking van de reinigingsproducten en de technische uitvoering van de unit. In het project worden ook veldtesten bij veehouders uitgevoerd.
��",,163.172,,336.617,499.789,33,11.02.2016,01.07.2010,31.12.2011,
247Tubestore BV,247Tubestore,247Tubestore,EFRO,,"In het project waar 247 TubeStore deel uit maakt,�� wordt de bedrijfskolom van partners verregaand gedigitaliseerd o.a. door gebruik te maken van internetportalen zodat bijvoorbeeld het ontwerp, werkvoorbereiding en de productie van metalen buisproducten volledig geautomatiseerd verloopt. Het resultaat van deze ontwikkeling is een 'lean' en flexibel productieproces dat 24 uur per dag 7 dagen per week ingezet kan worden om de klant te bedienen.",,1.299.426,1.299.426,2.598.852,5.197.704,25,11.02.2016,01.10.2010,31.12.2012,
Thatchtec BV,Grondontsmetting in de glastuinbouw zonder bestrijdingsmiddelen,Soil decontamination in glass horticulture without pesticides,EFRO,,"Het project richt zich op het grootschalig gebruik van Bodem Resetten voor de glastuinbouw. Bodem Resetten is een geheel nieuwe methode waarmee boeren en tuinders hun gronden kunnen ontsmetten zonder gebruik te maken van chemicali��n of het stomen. Bij Bodem Resetten wordt biomassa in de bodem gebracht waarna deze wordt afgedekt door plastic folie. Door de zuurstofloze afbraak van de biomassa die optreedt, kan binnen enkele weken een ziektevrije bodem verkregen worden.",,325.000,325.000,654.593,1.304.593,25,11.02.2016,01.04.2011,01.04.2014,
Portaal,3D Lab &amp; 3D Atelier,,EFRO,,"In��het project wil Portaal samen met partners een bijdrage leveren aan de verbetering van het ondernemersklimaat voor (startende) ondernemers in de creatieve sector, met name op het gebied van vormgeving en design. Dit gebeurt door te investeren in enerzijds het bieden van actieve ondersteuningsmogelijkheden en faciliteiten, waardoor deze ondernemers begeleid worden in de op- en doorstartfase van hun bedrijf en anderzijds in fysieke huisvesting- en presentatiemogelijkheden van de producten en ontwerpen. Hiervoor worden twee gebouwen in Arnhem door Portaal aangekocht, verbouwd en beschikbaar gesteld voor de verhuur aan de startende ondernemers in de creatieve vormgevings- en design sector. Deze panden dienen een broedplaatsfunctie voor deze groep ondernemers te cre��ren die elkaars functioneren aanvullen en waarmee tegelijkertijd een stimulerend effect op de fysieke omgeving wordt gerealiseerd. Als projectkosten zijn alleen de kosten die samenhangen met de gebouwen opgenomen in de begroting. Met dit project wordt een verbinding gelegd tussen het Modekwartier en de Arnhemse binnenstad.",,450.000,750.000,812.370,7.904.056,6,11.02.2016,01.03.2011,31.03.2013,
Hulshof's Protein Technologies BV,Meer-Waarde van Vlees,Added value of meat,EFRO,,"In dit project wordt onderzoek gedaan naar het scheiden van waardevolle stoffen uit bijproducten van de vleesverwerkende industrie en het opwerken hiervan tot hoogwaardige functionele ingredi��nten. Specifiek wordt gedoeld op het vrijmaken van collageen, olie/vet, eiwitten en andere componenten uit huid- en vleesresten en het beschikbaar maken van deze componenten in functionele vorm voor food en non food sector.",,866.450,866.450,1.784.736,3.557.636,24,11.02.2016,01.01.2011,30.06.2015,
TOP b.v.,Gezonde voeding dankzij vezelrijke reststromen,Healthy diet with fibre rich waste streams (finalized),EFRO,,"In het project worden vezelrijke reststromen van de verwerkende AGF-industrie (aardappel,groente,fruit) toegepast in bestaande en nieuw te ontwikkelen gezonde voedingsproducten. Op deze wijze worden de reststromen efficient benut waar deze tot nog toe als afval danwel als basis voor veevoeder worden gebruikt. De projectactiviteiten betreffen het ontwikkelingen van een methode voor het opwerken en conserveren van vezelrijke reststromen, het inzetten van de opgewerkte reststromen als vezelrijk halffabricaat/grondstof voor voedingsproducten en het ontwikkelingen van nieuwe vezelrijke producten en productconcepten (bijvoorbeeld pasta, brood, cornflakes, vleesvervangers, groente- en fruitsappen)",,277.773,277.771,555.544,1.111.088,25,11.02.2016,01.01.2011,30.06.2013,
