Name des Begünstigten,Bezeichnung des Vorhabens,Jahr der Bewilligung,Jahr der Restzahlung,Gewährte Beträge 1,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge 1
GANG-WAY GmbH,Gesund zuhause,2010,2011," 29.079,88"," 29.079,88"
GANG-WAY GmbH,Marketing,2010,2011," 4.800,00"," 4.800,00"
GANG-WAY GmbH,REHACARE INTERNATIONAL  ́2009 Ort: Düsseldorf,2009,2010," 2.834,67"," 2.834,67"
GANG-WAY GmbH,REHACARE International `2010 Ort: Düsseldorf,2010,2011," 889,21"," 889,21"
GANG-WAY GmbH,REHACARE `2008 Ort: Düsseldorf,2008,2009," 2.201,47"," 2.201,47"
GANG-WAY GmbH,SHK  ́2010 Ort: Essen,2010,2010," 2.078,41"," 2.078,41"
GANG-WAY GmbH,SHK  ́2012 Ort: Essen,2012,2012," 3.075,81"," 3.075,81"
GANG-WAY GmbH,SHKG  ́2013 Ort: Leipzig,2013,2014," 1.469,59"," 1.469,59"
GANG-WAY GmbH,bautec  ́2010 Ort: Berlin,2010,2010," 2.739,34"," 2.739,34"
GbR Gebrüder Kröning,mitteldeutsche handwerksmesse  ́2012 Ort: Leipzig,2012,2012," 1.260,59"," 1.260,59"
GbR Gebrüder Kröning,mitteldeutsche handwerksmesse  ́2013 Ort: Leipzig,2013,2013," 1.275,63"," 1.275,63"
GbR Gebrüder Kröning,mitteldeutsche handwerksmesse  ́2015 Ort: Leipzig,2015,2015," 1.124,73"," 1.124,73"
GbR Grundke & Schoeneck,Organisationsoptimierung,2014,2016," 0,00"," 0,00"
GbR Grundke & Schoeneck,Organisationsoptimierung,2009,2010," 7.200,00"," 7.200,00"
"GCD Innovations- und
Technologiezentrum GmbH","Verfahrensentwicklung zur Stabilisierung und
Entschwefelung der bei der Direktverölung erzeugten
Kohlenwasserstoff-Fraktionen zur Erzeugung normgerechten
Dieselkraftstoffs   Teilprojekt: Technische und technologische
Entwicklungsarbeiten - pre Basic",2011,2013," 166.213,65"," 166.213,65"
"Gebr. Johannsen Verkaufs- und
Service GmbH",Erweiterung einer Betriebsstätte,2014,2015," 174.420,00"," 174.420,00"
"Gebrüder Gehring GbR Museums-
u.Traditionsbrauerei",Außenwirtschaft,2010,2011," 7.200,00"," 7.200,00"
"Gebrüder Gehring GbR Museums-
u.Traditionsbrauerei",Stärkung des Innovationspotentials,2013,2014," 1.500,00"," 1.500,00"
"Gebrüder Loppnow Metallbau GmbH
& Co. KG","Diversifizierung einer Betriebsstätte in zusätzliche neue
Produkte",2010,2013," 105.600,00"," 105.600,00"
"Gebrüder Loppnow Metallbau GmbH
& Co. KG",Erweiterung einer Betriebsstätte,2008,2009," 225.000,00"," 225.000,00"
"Gebrüder Loppnow Metallbau GmbH
& Co. KG",Marketing,2011,2012," 3.600,00"," 3.600,00"
"Gebrüder Loppnow Metallbau GmbH
& Co. KG",Marketing,2014,2015," 6.000,00"," 6.000,00"
"Gebrüder Loppnow Metallbau GmbH
& Co. KG",Organisationsoptimierung,2014,2015," 6.000,00"," 6.000,00"
"Gebrüder Loppnow Metallbau GmbH
& Co. KG",Risikomanagement,2014,2014," 2.400,00"," 2.400,00"
"Gebrüder Machemehl GbR Zimmerei
und Sägewerk",Erweiterung einer Betriebsstätte,2009,2009," 89.400,00"," 89.400,00"
Gebrüder Piepenburg GbR,Risikomanagement,2008,2009," 600,00"," 600,00"
Gebrüder Scheibe GmbH & Co. KG,Organisationsoptimierung,2007,2010," 3.000,00"," 3.000,00"
Gebäudereinigung Danzer GmbH,Organisationsoptimierung,2010,2011," 6.000,00"," 6.000,00"
Gebäudetechnik Radke GmbH,Stärkung des Innovationspotentials,2008,2009," 6.000,00"," 6.000,00"
Gedack Rohrsysteme GmbH,ACHEMA  ́2009 Ort: Frankfurt/Main,2009,2010," 3.939,45"," 3.939,45"
Gedack Rohrsysteme GmbH,Außenwirtschaft,2010,2010," 9.000,00"," 9.000,00"
Gedack Rohrsysteme GmbH,Außenwirtschaftsberatung,2010,2016," 0,00"," 0,00"
Gedack Rohrsysteme GmbH,InnoTrans `2008                                              Ort: Berlin,2008,2009," 5.200,00"," 5.200,00"
Gedack Rohrsysteme GmbH,InnoTrans  ́2010 Ort: Berlin,2010,2016," 0,00"," 0,00"
Gedack Rohrsysteme GmbH,InnoTrans  ́2012 Ort: Berlin,2012,2013," 6.500,00"," 6.500,00"
Gedack Rohrsysteme GmbH,InnoTrans  ́2014 Ort: Berlin,2014,2015," 6.500,00"," 6.500,00"
Gehring Naumburg GmbH & Co.KG,"Experimentelle Entwicklung einer neuartigen Horizontal-
Honmaschine mit hoher Abtragsleistung zum Honen
dünnwandiger Leichtmetallrohre",2009,2011," 204.244,00"," 204.244,00"
Gehring Naumburg GmbH & Co.KG,"Neuartige kostengünstige Vertikalhonmaschine zum Honen
großer Bohrungsdurchmesser",2012,2015," 266.730,00"," 266.730,00"
Gehring Naumburg GmbH & Co.KG,"nanobore - Entwicklung eines Zerspanungsmoduls für die
Bearbeitung von Zylinderbohrungen",2012,2015," 201.735,49"," 201.735,49"
Gemeinde an der Poststraße,Teilabriss ehemalige Schule Klosterhäßeler,2013,2014," 137.263,55"," 137.263,55"
Gemeinde Anhalt Süd,"Abbruch einer Tankstelle, Lindenplatz, 07621 Anhalt-Süd, OT
Meineweh",2011,2011," 43.277,71"," 43.277,71"
Gemeinde Anhalt Süd,"Abriss alter Stallanlagen im OT Schleinitz, Gem. Unterkaka,
Flur 5, Flurstück 80/22einschließlich Druckluftanlage und Fernwirktechnik
- 4.980 m Druckleitung PE-HD 140x8,3 (PE 100, SDR 17),
-        1 Pumpwerk einschließlich Druckluftanlage und
Fernwirktechnik",2011,2011," 98.912,31"," 98.912,31"
Gemeinde Ausleben,"Renaturierung der ehem. Zuckerfabrik und Öffnung eines
Teilstückes des Teichgrabens",2011,2011," 131.097,08"," 131.097,08"
Gemeinde Barleben,"Machbarkeitsstudie für Maßnahmen aus dem
Klimaschutzkonzept der Gemeinde Barleben",2014,," 76.362,30",
Gemeinde Barleben,"Zur Anschaffung von Netzwerktechnik und zur Installation für
die Sekundarschule und die Grundschule Barleben, 2.
Projektabschnitt.",2014,," 160.000,00",
Gemeinde Barleben,"zur Anschaffung von Ausstattungsgegenständen und
Installation für die Grund- und Sekundarschule Barleben, 1.
Projektabschnitt.",2014,," 200.000,00",
Gemeinde Benndorf,"Einführung European Energy Award in der Gemeinde
Benndorf",2014,2015," 9.178,86"," 9.178,86"
Gemeinde Biederitz,"zur Anschaffung von 18 Notebook (mobiles Klassenzimmer),
1 mobilen Schulungswagen, 9 WLAN AcessPoint, 1 Router, 1
Switch, Software und 1 interaktive Schultafel für die
Grundschule Gerwisch",2010,2011," 26.666,67"," 26.666,67"
Gemeinde Biederitz,"zur Anschaffung von 20 Notebook, 1 mobilen
Schulungswagen (Docking-Station), 5 WLAN AcessPoint, 1
Switch und Software für die Grundschule in Biederitz",2011,2014," 33.333,34"," 33.333,34"
Gemeinde Bördeland,"Ausbau des Radweges an der K 1293 zwischen Biere und
Eickendorf (89-RW-0005)",2010,2015," 210.119,39"," 210.119,39"
Gemeinde Elsteraue,"Errichtung von Dränagen und Erkundung Tiefbaufeld in der
Böschungsrutschung am Naturbad in Rehmsdorf",2014,," 432.622,97",
Gemeinde Elsteraue,Erstsicherung der Böschungsrutschung am Naturbad,2012,," 1.972.528,18",
Gemeinde Elsteraue,"zur Anschaffung von 1 Activboard gemäß
Projektbeschreibung des Antrages für die Grundschule
Rehmsdorf",2009,2014," 6.658,05"," 6.658,05"
Gemeinde Flecken Diesdorf,"zur Anschaffung von 20 Schüler-PC mit Monitor, 1 Lehrer-PC
mit Monitor, 1 Multifunktionsgerät, 1 Netzwerkswitch 24 Port,
Netzwerkkabel für die Grundschule ""Dr. Georg Schulze"" in
Diesdorf",2009,2010," 13.783,59"," 13.783,59"
Gemeinde Goldbeck,Energieteilkonzept Schulcampus Goldbeck,2014,2015," 9.920,00"," 9.920,00"
Gemeinde Goldbeck,"zur Anschaffung von 10 Schüler-PC, 1 Lehrer-PC, 11 TFT-
Monitore, 1 Farblaserdrucker, 1 Beamer, 1 Switch, 13 Patch-
Kabel, 1 Notebook sowie diverse Software für die
Grundschule Goldbeck",2009,2010," 10.531,50"," 10.531,49"
Gemeinde Grana,"Gemeinde Grana, Abbruch Wohnbebauung, Naumburger
Str.9-11; jetzt Leipziger Str. 9-11",2010,2011," 90.695,27"," 90.695,27"
Gemeinde Gutenborn,"Sanierung und Entsorgung der alten LPG-Tankstelle im OT
Heuckewalde",2011,2011," 54.635,02"," 54.635,02"
Gemeinde Harbke,Abbruch ehemaliges Kompaniegebäude Am Park in Harpke,2015,2015," 36.634,04"," 36.634,04"
Gemeinde Harbke,Schlosspark,2010,2014," 524.944,62"," 524.944,62"
Gemeinde Harbke,Wiederherstellung Gewässersystem im Schlosspark,2008,2011," 343.017,59"," 343.017,59"
Gemeinde Helbra,"zur Anschaffung von 10 Schüler-PC, 1 Lehrer-PC, 8 Schüler-
Notebook, 11 Monitore, 6 Access-Point, 1 Projektor, 1 WLAN
Projektor Server",2009,2010," 19.538,67"," 19.538,67"
Gemeinde Hohe Börde,"Neumodellierung der ehemaligen Deponie Hohenwarsleben
(1. Bauabschnitt) - Teilprojekt Entwässerung",2014,2015," 79.649,99"," 79.649,98"
Gemeinde Hohe Börde,"zur Anschaffung von 12 PC, 12 Bildschirmen, 2
Multifunktionsdruckern, 2 Netzwerk Hub 8 Port gemäß
Anlage zum Antrag für die Grundschule ""Am Wildpark"" in
Irxleben",2009,2014," 10.127,81"," 10.127,81"
Gemeinde Hohenberg-Krusemark,"Altlastensanierung des Flurstücks 77/8, Flur 3 der
Gemarkung Hohenberg-Krusemark",2012,2013," 24.563,90"," 24.563,90"
Gemeinde Hottendorf,"Abbruch der alten Schmiede mit Hofbefestigung in Hottendorf
incl. Gefährdungsbewertung",2010,," 22.906,12",
Gemeinde Iden,"Abriss eines Wohnhauses und Revitalisierung der Flächen,
Gem. Sandauerholz, Flur 7, Flurstück 79/3",2011,2011," 35.035,02"," 35.035,02"
Gemeinde Iden,"Abriss eines ehemaligen Schulgebäudes und Teilfläche der
Schulhofbefestigung",2015,2015," 69.557,47"," 69.557,47"
Gemeinde Jübar,Abriss Wohnblock in Bornsen,2013,2013," 64.954,07"," 64.954,07"
Gemeinde Klietz,"Machbarkeitsstudie zur Modernisierung und Ausbau der
Wärmeversorgung Klietz",2014,2015," 63.498,41"," 63.498,41"
"Gemeinde Klietz über
Verbanddgemeinde Elbe-Havel-Land",Abriss der Stallanlage in Neuermark-Lübars,2011,2011," 147.132,61"," 147.132,61"
"Gemeinde Kuhfelde über
Verbandsgemeinde Beetzendorf-
Diesdorf",Abriss Treckergarage Leetze,2015,2015," 16.619,55"," 16.619,55"
Gemeinde Meineweh,Ausbau Kreuzung Schleinitzer Weg u. Kirchweg,2010,2012," 427.903,84"," 427.903,84"
Gemeinde Muldestausee,"Sanierung der Fläche des ehemaligen Betonwerkes
Schwemsal zur Wiederhertellung der natürlichen
Bodenfunktionen",2013,2013," 299.302,19"," 299.302,19"
Gemeinde Muldestausee,"zur Anschaffung von 13 PC-Systemen und 13 Monitoren, 1
Laserdrucker, 1 Laserdrucker color, 1 Beamer, 1 Switch,
Software und Lizenzen für die Grundschule Pouch",2012,2015," 5.472,58"," 5.472,58"
Gemeinde Muldestausee,"zur Anschaffung von 20 PC-Systemen und 20 Monitoren, 1
Laserdrucker schwarz, 1 Laserdrucker color, 1 Beamer inkl.
Halterung, 1 Whiteboard, 1 Switch, Software, Lizenzen sowie
für Montage-, Konfigurations- und Installationsleistungen",2012,2015," 7.052,72"," 7.052,72"
Gemeinde Möser,"zur Anschaffung von 14 Notebook, 1 Interaktive Tafel, 1 mob.
Schulungswagen, Software, 5 DLINK Air Plus und 1 DLINK
Switch sowie Installation für die Grundschule in Möser",2011,2011," 33.333,33"," 33.333,33"
Gemeinde Niedere Börde,"Radweg von Groß Ammensleben nach Gutenswegen (83-
RW-0002)",2012,2015," 207.292,37"," 207.292,37"
Gemeinde Obhausen,Ausbau Radwanderweg als TA Himmelsscheibenweg,2009,2011," 278.025,83"," 278.025,83"
Gemeinde Osternienburger Land,"Einrichtung eines PC-Kabinetts sowie Anschaffung weiterer
Technik und Software gemäß der Projektbeschreibung des
Antrags",2008,2009," 6.918,19"," 6.918,19"
Gemeinde Osternienburger Land,Tourist. Infrastruktur zu Eike von Repgow,2008,2012," 561.713,90"," 561.713,90"
Gemeinde Osternienburger Land,"zur Anschaffung von 1 Notebookwagen mit 16 Notebook, 5
Wireless, 1 Datenablage, 1 Internetzugang, Virenschutz,
Software, Präsentationstechnik, 1 Drucker und
Installationsmaterial für die Grundschule Kleinpaschleben 1
Wireless ist nicht mehr Bestandteil de",2012,2014," 17.500,37"," 17.500,37"
Gemeinde Osternienburger Land,"zur Anschaffung von 10 Schüler-PC, 1 Lehrer-PC, 11
Monitore, 1 Drucker, 1 USB-Kabel sowie Software MS Office
für die Grundschule am Park in Wulfen",2009,2011," 10.750,08"," 10.750,08"
Gemeinde Osternienburger Land,"zur Anschaffung von 8 Schüler-PC, 8 Monitore, 16
Wächterkarten, Virenscanner, Software und PC-Zubehör für
die Grundschule ""A. Wirth"" in Osternienburg",2011,2014," 8.880,78"," 8.880,78"
Gemeinde Petersberg,"zur Anschaffung von 10 Notebook, 2 Notebookwagen, 2 W-
LAN, 1 Drucker, 1 PC, 1 Activboard sowie Software für die
Grundschule Wallwitz",2009,2010," 20.021,75"," 20.021,75"
Gemeinde Salzatal,"zur Anschaffung von 16 Notebooks, 2 mobilen
Koffersystemen, 1 Access-Point, 1 Securitybox und Software
für die Grundschule Bennstedt",2014,2015," 15.466,67"," 15.466,67"
Gemeinde Schkopau,"Energetische Sanierung der Grundschule Schkopau, OT
Raßnitz",2013,2015," 722.983,00"," 722.983,00"
Gemeinde Schkopau,"Revitalisierung des Geländes der ehemaligen Lackfabrik
Döllnitz",2012,2013," 283.502,06"," 283.502,06"
Gemeinde Schollene,"Ausbau des Havelradweges Bauabschnitte 11.4, 13, 14 und
15",2012,2016," 0,00"," 0,00"
Gemeinde Schönhausen (Elbe),"Abriss des ehem. Schulergänzungsbau, Verbindungsbau und
ehm. Stallanlage",2011,2012," 107.936,91"," 107.936,91"
"Gemeinde Seegebiet Mansfelder
Land",Anschaffung von Notebooks,2008,2009," 2.641,33"," 2.641,33"
Gemeinde Südharz,Studie Holzpark,2009,2010," 100.000,00"," 100.000,00"
Gemeinde Südharz,"zur Anschaffung von 11 Laptop, 1 Beamer,
Netzwerkverbindung, Scanner, Drucker, 1 mobile Leinwand
sowie Softwarepaket für die Grundschule in Hayn",2009,2014," 12.641,25"," 12.641,25"
Gemeinde Wallhausen,"Einrichtung von PC-Arbeitsplätzen sowie Anschaffung
sonstiger Software und Technik",2008,2014," 14.260,41"," 14.260,41"
Gemeinde Wallhausen,Teilabriss des ehemaligen Steingutwerkes Wallhausen,2013,2014," 822.845,60"," 822.845,60"
Gemeinde Wallstawe,Abriss der ehemaligen Molkerei Wallstawe,2015,2015," 30.635,31"," 30.635,31"
"Gemeinde Wallstawe über Verbgem.
Beetzendorf-Diesdorf","Rückbau der ehem. Kleintankstelle der LPG (P) i.L.
Wallstawe in Gieseritz, Am Ring 20",2012,2014," 63.772,81"," 63.762,81"
"Gemeinnützige Paritätische
Netzwerke - PIN GmbH","Umbau und Sanierung der Integrativen Kindertagesstätte
""Neustädter See"", Im Brunnenhof 10, 39126 Magdeburg - Bis
zum  20.05.2012 wurde die Einrichtung als
Kinderkombination  unter der Anschrift der Kindertagesstätte
""Bördebogen"" und Integrative Kindertage",2011,," 2.137.319,78",
"Gemeinschaftspraxis Dres. Heidi und
Karsten Fünfhausen",Unternehmensnachfolge,2011,2012," 7.200,00"," 7.200,00"
"Gemeinschaftspraxis John & Böhm
GbR",Gesund zuhause,2010,2012," 9.397,43"," 9.397,43"
"Gemeinschaftspraxis
Kardiologie/Angiologie GbR",Organisationsoptimierung,2010,2011," 4.800,00"," 4.800,00"
Gemeinschaftsschule Anhalt e.V.,"Energetische Sanierung Freie Schule Anhalt, 06366 Köthen,
Augustenstraße 1",2013,," 236.645,50",
Gemeinschaftsschule Anhalt e.V.,"zur Anschaffung von 1 Server, 9 PC, 9 Monitore, 24
Notebook, 6 Beamer mit Deckenhalterung und Zubehör, 1
Router, 8 WLAN Accesspoint, 1 Switch, 1 USV, Patchkabel",2011,2015," 35.876,57"," 35.876,57"
Gemeinschaftsschule für (H)alle e.V.,"zur Anschaffung von Smartboards inkl. Fahrständer für die
Saaleschule für (H)alle",2014,," 15.815,63",
General Elektronik GmbH,"Anzeige- und Auswertegerät zum Einsatz in
Mehrphasennetzen",2007,2014," 89.548,00"," 89.548,00"
General Elektronik GmbH,Nor-Shipping '2009 Ort: Oslo,2009,2010," 2.886,85"," 2.886,85"
General Elektronik GmbH,SMM `2008 Ort: Hamburg,2008,2009," 3.035,89"," 3.035,89"
General Elektronik GmbH,"SPS/IPC/DRIVES `2008                                         Ort:
Nürnberg",2008,2009," 3.662,33"," 3.662,33"
General Elektronik GmbH,SPS/IPC/DRIVES `2010 Ort: Nürnberg,2010,2016," 0,00"," 0,00"
Genth,"L24 Oschersleben, Schermker Straße
AUSNAHME VOM VERBOT DES VORZEITIGEN
MASSNAHMEBEGINNS MLV  12.03.2014",2014,2015," 556.956,43"," 556.956,43"
Genthin,"Fortschreibung des Stadtentwicklungskonzeptes - Priorität S7
Uhlandstraße",2007,2010," 26.314,47"," 26.314,47"
Genthin,"Radweg Genthin, Karower Straße (86-RW-0005)",2010,2015," 36.614,86"," 36.614,86"
"Genthiner Maschinen u.
Vorrichtungsbau GmbH",Prozessoptimierung beim Konservieren von Bauteilen,2009,2012," 66.600,00"," 66.600,00"
GEO-DV GmbH,INTERGEO '2012 Ort: Hannover,2012,2013," 6.011,25"," 6.011,25"
GEO-DV GmbH,INTERGEO '2013 Ort: Essen,2013,2014," 5.105,98"," 5.105,98"
GEO-DV GmbH,INTERGEO `2011 Ort: Nürnberg,2011,2012," 4.506,89"," 4.506,89"
GEO-DV GmbH,Organisationsoptimierung,2013,2014," 3.600,00"," 3.600,00"
GEO-DV GmbH,Risikomanagement,2010,2011," 9.000,00"," 9.000,00"
"GEO-METRIK-Ingenieurgesellschaft
mbH Stendal","Entwicklung eines Messsystems zur Erfassung der
Gleisgeometrie bei der Gleisvorvermessung",2011,2014," 76.030,85"," 76.030,85"
GEO-METRIK-Vermessungs-GmbH,Sehnenmessung Feste Fahrbahn,2008,2009," 71.595,00"," 71.595,00"
GeoFly GmbH,Errichtung einer Betriebsstätte,2009,2012," 244.900,00"," 244.900,00"
GeoFly GmbH,GeoSpatial Conference Tunis  ́2013 Ort: Tunis,2013,2014," 3.112,89"," 3.112,89"
GeoFly GmbH,INTERGEO '2009 Ort: Karlsruhe,2009,2010," 1.837,29"," 1.837,29"
GeoFly GmbH,INTERGEO '2012 Ort: Hannover,2012,2013," 6.500,00"," 6.500,00"
GeoFly GmbH,INTERGEO '2013 Ort: Essen,2013,2014," 6.500,00"," 6.500,00"
GeoFly GmbH,INTERGEO '2014 Ort: Berlin,2014,2015," 4.889,05"," 4.889,05"
GeoFly GmbH,INTERGEO `2011 Ort: Nürnberg,2011,2012," 2.753,57"," 2.753,57"
GeoFly GmbH,INTERGEO  ́2010 Ort: Köln,2010,2011," 1.500,00"," 1.500,00"
GeoFly GmbH,ISPRS  ́2012  Ort: Melbourne,2012,2013," 9.000,00"," 9.000,00"
GeoFly GmbH,MODERNER STAAT  ́2011 Ort: Berlin,2011,2012," 1.140,00"," 1.140,00"
GEOLOCK GmbH,IFROG,2008,2009," 21.740,91"," 21.740,91"
Georg Griese,SaaleBau  ́2009 Ort: Halle,2009,2009," 932,80"," 932,80"
Georg Griese,SaaleBau  ́2010 Ort: Halle,2010,2010," 1.203,00"," 1.203,00"
Georg Lorenz,"Entwicklung eines Messgerätes zur Erfassung und
Auswertung des verunreinigungsgrades von flüssigen Medien",2009,2011," 61.234,00"," 61.234,00"
Georg Lorenz,Organisationsoptimierung,2014,2015," 3.000,00"," 3.000,00"
Georg Lorenz,Stärkung des Innovationspotentials,2008,2010," 2.400,00"," 2.400,00"
Georg Lorenz,Stärkung des Innovationspotentials,2014,2014," 3.000,00"," 3.000,00"
Georg Lorenz,Stärkung des Innovationspotentials,2008,2010," 3.600,00"," 3.600,00"
Georgius Küchen Handel Ltd.,Energie- und Umweltberatung,2010,2010," 1.350,00"," 1.350,00"
"Gerhard Bertram Spedition Güternah-
u. -fern-",IFROG,2008,2010," 22.146,22"," 22.146,22"
Gerhard Blume,Marketing,2007,2009," 3.600,00"," 3.600,00"
Gerhard Büchner,Errichtung einer Betriebsstätte,2010,2012," 42.187,72"," 42.187,72"
Gerhard Franke,positive Stellungnahme der IHK Halle-Dessau liegt vor,2012,2014," 3.600,00"," 3.600,00"
Gerlinde Hellwig,Organisationsoptimierung,2011,2012," 3.000,00"," 3.000,00"
Gerling und Rausch GmbH,"Substitution von Stahl durch ultrahochfesten Beton (UHFB)
auf Produktebene",2009,2016," 0,00"," 0,00"
"German Aseptic Systems
Betriebsunternehmen GmbH",Risikomanagement,2014,2015," 3.600,00"," 3.600,00"
German Sucon GmbH,"Wissens- und Technologietransfer zur Optimierung
strömungstechnischer Verhältnisse in einer Mischanlage für
Suspensionsbeton bei der Herstellung von Wasser-
Bindemittelsuspensionen",2012,2016," 0,00"," 0,00"
"germanBelt Systems GmbH und HDZ
Management oHG",Erweiterung einer Betriebsstätte,2008,2014," 545.917,63"," 545.917,63"
Gernrode,Ausbau Lindenstraße,2010,2012," 76.000,00"," 76.000,00"
GESA  Automation GmbH,"Energiebezugsoptimierung industrieller Anlagen unter
Anwendung von OR - Methoden für Anlagen- und
Steuerungsentwurf",2012,2015," 86.704,01"," 86.704,01"
GESA  Automation GmbH,Organisationsoptimierung,2011,2013," 2.400,00"," 2.400,00"
GESA  Automation GmbH,Organisationsoptimierung,2011,2012," 3.600,00"," 3.600,00"
GESA  Automation GmbH,Risikomanagement,2012,2013," 4.800,00"," 4.800,00"
"GESA Automation GmbH, GESA
Management GmbH & Co.KG, GESA","Diversifizierung einer Betriebsstätte in zusätzliche neue
Produkte",2009,2013," 349.800,00"," 349.800,00"
"Gesellschaft der Freunde des
Dessau-Wörlitzer Garten-","Sanierung des historischen Gasthofes ""Zum Eichenkranz""",2009,," 976.252,00",
"Gesellschaft zur Förderung von
Medizin-, Bio-  und Umwelt-
Technologien e.V.",Gasmolch,2008,2011," 72.707,00"," 72.707,00"
"GESIG Verkehrs- und Elektrotechnik
GmbH",Organisationsoptimierung,2008,2009," 3.000,00"," 3.000,00"
"GESIG Verkehrs- und Elektrotechnik
GmbH",Organisationsoptimierung,2010,2011," 9.000,00"," 9.000,00"
"Gestaguss-GEW Edelstahlgießerei
GmbH","Diversifizierung einer Betriebsstätte in zusätzliche neue
Produkte",2009,2014," 124.213,35"," 124.213,35"
"Gestaguss-GEW Edelstahlgießerei
GmbH",Erweiterung einer Betriebsstätte,2008,2014," 104.945,55"," 104.945,55"
"Gesundheits- und Pflege- zentrum
GmbH Irxleben",Risikomanagement,2007,2016," 0,00"," 0,00"
"GETEC Daten- und
Abrechnungsmanagement GmbH",Erweiterung einer Betriebsstätte,2011,2015," 239.626,98"," 239.626,98"
"GETEC heat & power AG und
GETEC Wärme & Effizienz AG",Erweiterung einer Betriebsstätte,2012,2015," 1.722.292,73"," 1.722.292,73"
"GETEC Service GmbH und GETEC
AG","Diversifizierung einer Betriebsstätte in zusätzliche neue
Produkte",2010,2013," 0,00"," 0,00"
"GETEX Gebäude- und Fassaden-
reinigungs GmbH",Risikomanagement,2010,2011," 8.400,00"," 8.400,00"
"Getriebe- und Antriebstechnik
Wernigerode und Schlote Holding
GmbH","Diversifizierung einer Betriebsstätte in zusätzliche neue
Produkte",2011,2014," 2.231.861,87"," 2.231.861,87"
"Getriebe- und Antriebstechnik
Wernigerode und Schlote Holding
GmbH",Erweiterung einer Betriebsstätte,2013,2015," 1.475.000,00"," 1.475.000,00"
"Getriebe- und Antriebstechnik
Wernigerode und Schlote Holding
GmbH",Erweiterung einer Betriebsstätte,2010,2012," 1.836.083,85"," 1.836.083,85"
"GEWI Hard- u. Software
Entwicklungsges. mbH",Organisationsoptimierung,2008,2010," 2.400,00"," 2.400,00"
"GEWI Hard- u. Software
Entwicklungsges. mbH",Organisationsoptimierung,2007,2010," 3.600,00"," 3.600,00"
"GFM Gesellschaft für
Metallaufbereitung mbH Halle",Stärkung des Innovationspotentiales,2010,2012," 6.750,00"," 6.750,00"
"GIC Gesellschaft für Info.- technik u.
Comp.syst",ToMaMed,2007,2009," 54.389,00"," 54.389,00"
"GICON-Großmann Ingenieur Consult
GmbH","Aufbau einer Plattform für Photobioreaktorsysteme nach dem
Prinzip ""Tannenbaum""",2011,2015," 521.644,27"," 521.644,27"
"GICON-Großmann Ingenieur Consult
GmbH","Entwicklung und verfahrenstechnische Auslegung eines
Photobioreaktorsystems im geschlossenen System als Modul
zur errichtung von Mikroalgenproduktionsanlagen für die
Bioraffination",2010,2012," 428.611,00"," 428.611,00"
"Ginkgo -  Apotheke Petra Schameitat-
Wroblewski e.Kfr.",Organisationsoptimierung,2014,2014," 1.500,00"," 1.500,00"
GIP Meßinstrumente GmbH,"Untersuchungen zu einem miniaturisierten Aerosol-
Neutralisator auf Basis einer DBD-Entladung",2010,2012," 57.055,00"," 57.055,00"
GKK AG Gottschalk - Frenzel GbR,Erweiterung einer Betriebsstätte,2010,2015," 254.744,73"," 254.744,73"
GKK Aktiengesellschaft,LBA  ́2010 Ort: Magdeburg,2010,2010," 1.005,00"," 1.005,00"
GKK Aktiengesellschaft,LBA  ́2011 Ort: Magdeburg,2011,2011," 1.789,68"," 1.789,68"
GKK Aktiengesellschaft,Organisationsoptimierung,2013,2014," 2.700,00"," 2.700,00"
GKK Aktiengesellschaft,Risikomanagement,2013,2016," 0,00"," 0,00"
GLACONCHEMIE GmbH,Glycerinfolgeprodukte,2010,2012," 68.250,00"," 68.250,00"
GLACONCHEMIE GmbH,IN-COSMETICS EUROPE  ́2012 Ort: Barcelona,2012,2013," 9.000,00"," 9.000,00"
Glaserei Pretschner GmbH,Optimierung und Erweiterung der Isolierglasanlage,2013,2014," 51.600,00"," 51.600,00"
GLASI-Kompressoren GmbH,HANNOVER MESSE  ́2014 Ort: Hannover,2014,2015," 2.304,11"," 2.304,11"
GLASI-Kompressoren GmbH,Organisationsoptimierung,2014,2014," 3.000,00"," 3.000,00"
GLASI-Kompressoren GmbH,Organisationsoptimierung,2010,2012," 3.600,00"," 3.600,00"
Glaszentrum Magdeburg GmbH,"Diversifizierung einer Betriebsstätte in zusätzliche neue
Produkte",2010,2011," 43.400,00"," 43.400,00"
Glaszentrum Magdeburg GmbH,Erweiterung einer Betriebsstätte,2012,2013," 61.536,97"," 61.536,97"
Gleis-Sekurität GmbH,InnoTrans `2008                                              Ort: Berlin,2008,2009," 3.630,81"," 3.630,81"
"Gleitlager u. Metallverarb. GmbH
Osterwieck","Entwicklung und Anwendung von Metall-Matrix-
Verbundwerkstoffen zur Herstellung innovativer
Gleitlagerbauteile",2012,2013," 71.400,00"," 71.400,00"
"Gleitlager u. Metallverarb. GmbH
Osterwieck",Entwicklung und Bau eines Axiallagerprüfstandes,2010,2011," 54.075,00"," 54.075,00"
"Gleitlager u. Metallverarb. GmbH
Osterwieck","Entwicklung, Produktion und Vertrieb neuer innovativer
Gleitlager",2010,2012," 169.669,00"," 169.669,00"
