Operation Name,Recipient organisation,ESF/ ERDF Grant requested,Total eligible expenditure,Programme,Description,Postcode,Union co-financing rate,Start date,End date,Theme,Country
Project Search Renfrewshire,Renfrewshire Council,65781.93,164454.93,ESF,This operation will deliver Project Search in Renfrewshire for the first time.  Each participant will receive support from a dedicated Job Coach.  Employability training will be delivered through a local college.  This Operation is to provide targeted support to a group often overlooked by employability services generally - people with learning disabilities.,PA1 1LL,0.4,01/04/2015, 30/06/2019,Strategic Intervention - Social Inclusion and Poverty Reduction,Scotland
Support Services Renfrewshire,Renfrewshire Council,262172.3,655433.3,ESF,"This operation will deliver specialist support to clients with multiple barriers accessing employability services in Renfrewshire. These services will complement provision delivered through the Pipeline and YEI.  Specialist staff will provide support and advice in relation to health and wellbeing, finance, childcare and housing.",PA1 1LL,0.4,01/04/2015, 30/06/2019,Strategic Intervention - Social Inclusion and Poverty Reduction,Scotland
Tackling Poverty and Social Exclusion in Stirling (TPSES) -Challenge Funds,Stirling Council,141500,353750,ESF,"This Operation comprises of 2 funds, one to offer intensive action planning to identify a personalised plan of support and will work in tandem with the more traditional support mechanisms already strongly delivered in Stirling.  The other fund will be for registered childcare provision for young people and/or children who have a disability and/or related health condition who have more complex childcare requirements.  The focus of this programme is to provide more flexible childcare for the parents within the identified groups whose needs are not met by current childcare provision.  This Operation will support individuals from workless households, lone parent households, homelessness, other disadvantaged; which will include those with long-term health issues, alcohol/drug misuse, ex-offenders, and looked after children.  ",FK8 2ET,0.4,01/07/2016, 30/06/2019,Strategic Intervention - Social Inclusion and Poverty Reduction,Scotland
TPSES – Enhanced Advice Service,Stirling Council,128000,320000,ESF,"This Operation will support individuals from workless households, lone parent households, homelessness, other disadvantaged; which will include those with long-term health issues, alcohol/drug misuse, ex-offenders, and looked after children.  It aims to deliver welfare benefits, financial inclusion, income maximisation, money/ debt advocacy and representation to members of the public who are vulnerable to increased poverty, indebtedness and insecure accommodation as a result.",FK8 2ET,0.4,01/07/2016, 30/06/2019,Strategic Intervention - Social Inclusion and Poverty Reduction,Scotland
Poverty & Social Inclusion Operation (MC),Glasgow City Council,41337,103342,ESF,Management costs.,G2 1DU,0.4,01/04/17 , 31/12/18,Strategic Intervention - Social Inclusion and Poverty Reduction,Scotland
Poverty & Social Inclusion- Glasgow City Council,Glasgow City Council,1038034,2595084,ESF,"Support to assist vulnerable individuals to meet their holistic needs, address financial crises and build financial resilience.  Enhance current delivery by targeting under-represented groups which are most likely to face multiple barriers to social inclusion. ",G2 1DU,0.4,01/04/17 , 31/12/18,Strategic Intervention - Social Inclusion and Poverty Reduction,Scotland
South Lanarkshire Poverty and Inclusion Strategic Intervention,South Lanarkshire Council,250949,879190,ESF,"To provide financial support, fuel and energy advice, household budgeting advice and support access to employability services to homeless households.",ML3 6LB,0.4,01/10/16 , 31/12/18,Strategic Intervention - Social Inclusion and Poverty Reduction,Scotland
Fife Council: Making it Work For Families,Fife Council,334536,836341,ESF,To address poverty and social exclusion by increasing financial awareness capacity and inclusion for disadvantaged households.  Support includes a dedicated worker to access financial needs and develop an action plan; motivational for the youths; money advice and access to childcare support where necessary.  ,KY7 5LT,0.4,01/10/16 , 31/12/18,Strategic Intervention - Social Inclusion and Poverty Reduction,Scotland
Edinburgh Enhanced Pipeline Social Inclusion Programme  – Programme Management Costs,City of Edinburgh Council,123000,307500,ESF,Management costs. ,EH8 8BG,0.4,01/05/15 , 31/07/18,Strategic Intervention - Social Inclusion and Poverty Reduction,Scotland
Edinburgh Enhanced Pipeline Social Inclusion Programme (EPSIP)  ,City of Edinburgh Council,971500,2428750,ESF,To provide support to disadvantaged residents to increase financial literacy and capability for vulnerable groups to help with the transition into sustainable employment.,EH8 8BG,0.4,01/05/15 , 31/07/18,Strategic Intervention - Social Inclusion and Poverty Reduction,Scotland
Western Isles Poverty and Social Inclusion Operations - Tackling Poverty and Promoting Social Inclusion,Comhairle nan Eilean Siar,240000,480000,ESF,Providing support in the areas of childcare; fuel poverty and financial inclusion in the Western Isles.  ,HS1 2BW,0.4,31/01/17 , 31/12/18,Strategic Intervention - Social Inclusion and Poverty Reduction,Scotland
Poverty & Social Inclusion Operation Moray,The Moray Council,121544,243088,ESF,Support to low income households and people from workless households addressing low level incomes and high levels of debt within Moray.  ,IV30 1BX,0.5,04/01/17 , 31/12/18,Strategic Intervention - Social Inclusion and Poverty Reduction,Scotland
Poverty and Financial Inclusion Project – Orkney’s Poverty and Financial Inclusion,Orkney Islands Council ,170000,340000,ESF,"Providing support, training and information to help households; to tackle poverty and advice and support on energy efficiency.  ",KW15 1NY,0.5,03/04/17 , 31/12/18,Strategic Intervention - Social Inclusion and Poverty Reduction,Scotland
Poverty and Social Inclusion Enhanced Employability Pipeline - Dumfries & Galloway,Dumfries & Galloway Council,491565,1288913,ESF,Support delivered to income deprived members of the community aimed at areas within Dumfries and Stranraer.,DG1 2DD,0.4,01/01/17 , 31/12/18,Strategic Intervention - Social Inclusion and Poverty Reduction,Scotland
East Ayrshire Works Financial Inclusion Pathways,East Ayrshire Council,270000,675000,ESF,"Aims to promote social inclusion, combat poverty and discrimination providing advice and increasing skills by promoting opportunities to access vocational training.  ",KA1 1HU,0.4,01/07/16 , 31/12/18,Strategic Intervention - Social Inclusion and Poverty Reduction,Scotland
Musselburgh Family Focus,East Lothian Council,35280,88200,ESF,"Support vulnerable families to ensure better educational attainment for primary school pupils, supporting parents who wish to return to work or education and increase skills.  ",EH41 3DX,0.4,01/01/17 , 30/06/19,Strategic Intervention - Social Inclusion and Poverty Reduction,Scotland
Working for a Fairer Falkirk,Falkirk Council,396132,990330,ESF,"Supporting families in poverty including support, information, advice advocacy and guidance.  ",FK1 5RS,0.4,03/04/17 , 31/12/18,Strategic Intervention - Social Inclusion and Poverty Reduction,Scotland
Midlothian Social Inclusion and Anti Poverty Programme – Tackling Poverty and Promoting Social Inclusion,Midlothian Council,84577,211444,ESF,"Improving opportunities for people in Midlothian, supporting people out of poverty and to improve health.  ",EH22 3ZG,0.4,01/09/16 , 30/06/19,Strategic Intervention - Social Inclusion and Poverty Reduction,Scotland
Inverclyde Council Poverty and Social Inclusion – Inclusion and Diversity,Inverclyde Council,220000,550000,ESF,Promoting inclusion and equality from low income households or those who face significant barriers.  ,PA15 1DE,0.4,02/01/17 , 31/12/18,Strategic Intervention - Social Inclusion and Poverty Reduction,Scotland
Poverty and social inclusion North Ayrshire,North Ayrshire Council,610000,1525000,ESF,Support to members of the community in poverty and social inclusion with limited employment and education prospects.  ,KA12 8EE,0.4,01/04/15 , 31/12/18,Strategic Intervention - Social Inclusion and Poverty Reduction,Scotland
West Dunbartonshire Poverty and Social Inclusion Programme,West Dunbartonshire Council,193798,484496,ESF,Support poverty reduction and inclusion; support to develop skills in West Dunbartonshire’s deprived areas.  ,G82 3PU,0.4,01/08/16 , 31/12/18,Strategic Intervention - Social Inclusion and Poverty Reduction,Scotland
West Lothian Social Inclusion Operation,West Lothian Council,500500,1251250,ESF,Supporting the unemployed back into work focussing on new approached to employability and inclusion.  ,DD1 1LS,0.4,01/10/16 , 31/12/18,Strategic Intervention - Social Inclusion and Poverty Reduction,Scotland
Poverty & Social Inclusion Activities,Highland Council,588788,1177575,ESF,Support service to vulnerable individuals to encourage engagement in areas showing indications of multiple deprivation both rural and urban. ,IV3 5NX,0.5,01/09/2016 , 31/07/2019,Strategic Intervention - Social Inclusion and Poverty Reduction,Scotland
Poverty & Social Inclusion - Management costs,Highland Council,60213,120425,ESF,Poverty & Social inclusion management costs.,IV3 5NX,0.5,01/09/2016 , 31/07/2019,Strategic Intervention - Social Inclusion and Poverty Reduction,Scotland
National Third Sector SDS SI Management,Skills Development Scotland,168423.25,412696.68,ESF,"Strategic Intervention management, administration and compliance.",G5 0PQ,0.41,01/04/2015, 30/06/2019,Strategic Intervention – Employability ,Scotland
National Third Sector Fund (LUPS),Skills Development Scotland,10732199.63,26830499.08,ESF,A fund to support national third sector organisations to deliver support to unemployed and inactive participants mainly in stages 1 and 2 of the employability pipeline. It will target those with the multiple barriers in accessing employment including young people with disability and those isolated from the labour market through poor educational attainment; ex-offenders; substance abuse; and geography.,G2 1DY,0.4,01/04/2015, 30/06/2019,Strategic Intervention – Employability ,Scotland
National Third Sector Fund (H&I),Skills Development Scotland,1183077.13,2366154.25,ESF,A fund to support national third sector organisations to deliver support to unemployed and inactive participants mainly in stages 1 and 2 of the employability pipeline. It will target those with the multiple barriers in accessing employment including young people with disability and those isolated from the labour market through poor educational attainment; ex-offenders; substance abuse; and geography.,G2 1DY,0.5,01/04/2015, 30/06/2019,Strategic Intervention – Employability ,Scotland
Edinburgh Enhanced Employability Pipeline – Project Management Costs,Edinburgh City Council,18600,46500,ESF,"Strategic Intervention management, administration and compliance.",EH8 8BG,0.4,01/01/2015 , 30/09/2018,Strategic Intervention – Employability ,Scotland
Edinburgh Enhanced Employability Pipeline,Edinburgh City Council,3543728,8859320,ESF,Operation will support individuals experiencing multiple challenges and furthest from the job market to maintain and increase participation in the labour market.  ,EH8 8BG,0.4,01/01/2015 , 30/09/2018,Strategic Intervention – Employability ,Scotland
Shetland’s Employability Pipeline,Shetland Islands Council,500021.5,1000043,ESF,"The operation will provide a work-focused, health rehabilitation programme to help individuals with multiple barriers to employment better understand and manage their conditions, improve quality of life and their prospects of moving into employment. ",ZE1 0LZ,0.5,01/04/2015 , 30/06/2019 ,Strategic Intervention – Employability ,Scotland
SI Management - D&G,Dumfries and Galloway Council ,156363.35,390908.38,ESF,"Strategic Intervention management, administration and compliance.",DG1 2PN,0.4,11/05/2015 , 30/06/2019 ,Strategic Intervention – Employability ,Scotland
D&G Employability Pipeline,Dumfries and Galloway Council,1366707.69,3416769.24,ESF,The operation will deliver an employability pipeline focussed on those with multiple barriers and furthest from the labour market with a particular focus on unemployed young people. ,DG1 2PN,0.4,01/08/2015 , 30/06/2019,Strategic Intervention – Employability ,Scotland
West Lothian Pipeline Management & Monitoring,West Lothian Council,73269.18,183172.95,ESF,"Strategic Intervention management, administration and compliance.",EH54 6FF,0.4,01/04/2016 , 30/03/2019,Strategic Intervention – Employability ,Scotland
Pipeline to Employment (West Lothian),West Lothian Council,1488730.82,3721827.05,ESF,"The operation will deliver interventions across all stages in the employability pipeline and will include delivering by both intensive and tailored one-to-one and also group based approaches, providing qualification and employment outcomes. ",EH54 6FF,0.4,01/04/2016 , 30/06/2019,Strategic Intervention – Employability ,Scotland
Dundee Employability Pipeline –Compliance staff,Dundee City Council,95771.34,239428.35,ESF," Strategic Intervention management, administration and compliance.",DD1 1LS,0.4,01/07/2015, 31/12/2018,Strategic Intervention – Employability ,Scotland
Dundee Employability Pipeline ,Dundee City Council,1824228.66,4560571.66,ESF, The operation will support participants with multiple barriers to progressing in the labour market,DD1 1LS,0.4,01/07/2015, 28/06/2019,Strategic Intervention – Employability ,Scotland
North Lanarkshire Council Lead Partner Management and Compliance,North Lanarkshire Council,436442.87,1091107.18,ESF,"Strategic Intervention management, administration and compliance.",G67 1JW,0.4,01/04/2015, 30/06/2019,Strategic Intervention – Employability ,Scotland
NLWEP (North Lanarkshire's Working Employability Pipeline),North Lanarkshire Council,3026606.58,7566516.58,ESF,"The operation will support participants with multiple barriers to progressing in the labour market through an employer engagement programme - assessing employers recruitment needs and matching opportunities for unemployed people; and provide warp around care including work based training, health interventions, debt & money advice, IT provision, vocational training, support with dependent care, literacy & numeracy. ",G67 1JW,0.4,01/04/2015, 30/06/2019,Strategic Intervention – Employability ,Scotland
Fife Pathway Management,Fife Council ,100310.4,250776,ESF,"Strategic Intervention management, administration and compliance.",KY7 5LT,0.4,01/04/2015 , 31/03/2019,Strategic Intervention – Employability ,Scotland
Fife Employability Pathway Delivery,Fife Council ,3766189.6,9415474,ESF,"Fife Employability Pipeline aim to provide stages 1-5 support ranging from action plans, training, mentoring, barrier removal and placements.  ",KY7 5LT,0.4,01/04/2015 , 31/03/2019,Strategic Intervention – Employability ,Scotland
Aberdeenshire ESF Strategic Interventions Management,Aberdeenshire Council,55327.88,138319.7,ESF,"Strategic Intervention management, administration and compliance.",AB16 5GB,0.4,01/04/2016 , 31/03/2019 ,Strategic Intervention – Employability ,Scotland
Employability Delivery (Aberdeenshire),Aberdeenshire Council,2442328.52,6105821.3,ESF,"The operation will provide a pipeline addressing barriers to employment targeting those with care responsibilities, disabilities and low skilled. ",AB16 5GB,0.4,01/01/2016 , 30/06/2019,Strategic Intervention – Employability ,Scotland
Inverclyde Employability Pipeline,Inverclyde Council,775500,1938750,ESF,The operation will provide a five stage pipeline to those with multiple barriers to participation There is a focus particularly on participants in areas with high employment deprivation. ,PA15 1DE,0.4,01/01/2015 , 30/06/2019,Strategic Intervention – Employability ,Scotland
North Ayrshire Management – Flat Rate Direct Costs ,North Ayrshire Council,204077.92,510194.81,ESF,"Strategic Intervention management, administration and compliance.",KA12 8EE,0.4,01/10/2015 , 31/03/2019,Strategic Intervention – Employability ,Scotland
North Ayrshire Employability Pipeline,North Ayrshire Council,1841910,4604775.19,ESF,Operation will support vulnerable participants with multiple barriers through an employability pipeline focussed on those in SIMD areas. ,KA12 8EE,0.4,01/04/2015 , 31/03/2019,Strategic Intervention – Employability ,Scotland
Invest in Renfrewshire Employability Pipeline – Management & Compliance,Renfrewshire Council,207000.51,517501.53,ESF,"Strategic Intervention management, administration and compliance.",PA1 1ES ,0.4,01/04/2015 , 31/03/2019,Strategic Intervention – Employability ,Scotland
Invest in Renfrewshire Employability Pipeline - Delivery Programme,Renfrewshire Council ,1480368.97,3700923.07,ESF,"The operation will deliver a pipeline including core and vocational skills training, specialist supports for barrier removal, supported work placements and transitional employment support.",PA1 1ES,0.4,01/04/2015 , 31/03/2019,Strategic Intervention – Employability ,Scotland
SI Management & Co-ordination (Aberdeen City),Aberdeen City Council,106135.8,265339.5,ESF,"Strategic Intervention management, administration and compliance.",AB10 1AB,0.4,01/04/2016 , 31/03/2019,Strategic Intervention – Employability ,Scotland
Aberdeen City Employability Pipeline Delivery ,Aberdeen City Council ,750031,1875078,ESF,"The operation will provide a pipeline identifying the most vulnerable and most in need of support with keyworker support, skills development, work-based training and placements.",AB10 1AB,0.4,01/04/2016 , 31/03/2019,Strategic Intervention – Employability ,Scotland
Midlothian Employability Programme,Midlothian Council ,407119.72,1017799.3,ESF,"The operation will focus on participants with multiple barriers particularly those with mental and physical health issues, veterans and ex-offenders. It will support action plans, literacy and numeracy skills, next steps to employment and in work support.",EH22 3ZG,0.4,01/04/2016 , 30/06/2019,Strategic Intervention – Employability ,Scotland
Employability Pipeline – East Dunbartonshire Lead Partner Management,East Dunbartonshire Council,63763.2,159408,ESF,"Strategic Intervention management, administration and compliance.",G66 1NH,0.4,15/01/2016 , 30/6/2019,Strategic Intervention – Employability ,Scotland
Employability Pipeline (East Dunbartonshire),East Dunbartonshire Council,289063.2,722658,ESF,The operation will provide a new employability pipeline for the area and ill specifically target stages 1-4 and will have a common pathway for clients with multiple barriers that support employability and skills in response to local labour market needs. ,G66 1NH,0.4,15/01/2016 , 30/06/2019,Strategic Intervention – Employability ,Scotland
Lead Partner Management (West Dunbartonshire),West Dunbartonshire Council,256610.08,641525.2,ESF,"Strategic Intervention management, administration and compliance.",G82 3PU,0.4,01/04/2015 , 30/03/2019,Strategic Intervention – Employability ,Scotland
SI Pipeline (West Dunbartonshire),West Dunbartonshire Council,851674.82,2129187.05,ESF,"The operation will deliver a five stage pipeline with a particular focus on over 54s and long term unemployed. It will provide assessments, action plans, training and work placements.",G82 3PU,0.4,01/04/2015 , 30/06/2019,Strategic Intervention – Employability ,Scotland
Stirling Strategic Intervention Management,Stirling Council,85998.8,214972,ESF,"Strategic Intervention management, administration and compliance.",FK8 2ET,0.4,22/02/2016 , 30/06/2019,Strategic Intervention – Employability ,Scotland
Stirling Skills and Employability Pipeline,Stirling Council,471000,1177500,ESF,The operation will deliver an employability pipeline targeting those with multiple barriers to employment providing a client-centred customised provision.,FK8 2ET,0.4,01/01/2016 , 30/06/2019,Strategic Intervention – Employability ,Scotland
Enhanced Youth Services,Stirling Council,303011,757528,ESF,The Operation will deliver support and guidance to young people through an early intervention strategy.  They will support young people with multiple barriers who are NEET.  This will include a tailored one-to-one workersupport.,FK8 2ET,0.4,01/01/2016 , 30/06/2019,Strategic Intervention – Employability ,Scotland
Lead Partner Management (Clackmannanshire),Clackmannanshire Council,75900,189750,ESF,"Strategic Intervention management, administration and compliance.",FK10 1EB,0.4,01/04/2015 , 31/03/2019,Strategic Intervention – Employability ,Scotland
Clackmannanshire Works,Clackmannanshire Council,510852,1277132,ESF,"The Clackmannanshire Employability Pipeline will provide intensive one-to-one support to overcome barriers to work; provide targeted employability services for young parents; support job brokerage; and prepare participants for interviews, placements or work.",FK10 1EB,0.4,01/04/2015 , 30/06/2019,Strategic Intervention – Employability ,Scotland
Western Isles Employability Operations,Comhairle nan Eilean Siar,770000,1540000,ESF,"The operation will support those furthest from the labour market and also those in employment with barriers to progression, targeting young adults, long-term unemployed, adults aged 50+, those with health issues, unqualified participants and under-employed migrant workers. ",HS1 2BW,0.5,01/04/2015 , 31/03/2019,Strategic Intervention – Employability ,Scotland
Highland SI  Management & Co-ordination,Highland Council,109052,218104,ESF,"Strategic Intervention management, administration and compliance.",IV2 5NX,0.5,01/04/2016 , 31/12/2019,Strategic Intervention – Employability ,Scotland
Highland Pipeline Activities,Highland Council,4660864,9321728,ESF,Support for the unemployed will target vulnerable young people who have left school and will include training; work experience in the public sector for young people aged 16 – 24 years; and a recruitment incentive programme. ,IV2 5NX,0.5,01/04/2015 , 31/12/2019,Strategic Intervention – Employability ,Scotland
Orkney Employability Pipeline Management,Orkney Council,59761,119522,ESF,"Strategic Intervention management, administration and compliance.",KW15 1NY,0.5,02/12/2015 , 31/03/2019,Strategic Intervention – Employability ,Scotland
Orkney Employability Pipeline - Projects,Orkney Council,473738.5,947477,ESF,"Support for unemployed individuals will target those requiring intensive support, and will include vocational training; work readiness support, employer recruitment incentives. In-work aftercare will incorporate employer support and job coaching.",KW15 1NY,0.5,01/04/2016 , 31/03/2019,Strategic Intervention – Employability ,Scotland
East Ayrshire Works Lead Partner Management Team,East Ayrshire Council,234197.04,585492.6,ESF,"Strategic Intervention management, administration and compliance.",KA1 1HU,0.4,01/04/2015 , 30/06/2019,Strategic Intervention – Employability ,Scotland
East Ayrshire Works Employability Pipeline ,East Ayrshire Council,1525802.16,3814505.4,ESF,"The Operation, will support unemployed/inactive participants with multiple barriers by providing an employability pipeline including increasing skills for the most disadvantaged and providing direct routes to sustainable employment by brokering jobs.",KA1 1HU,0.4,01/04/2015 , 30/06/2019,Strategic Intervention – Employability ,Scotland
East Lothian Council Lead Partner Management Costs,East Lothian Council,94585.17,236462.91,ESF,"Strategic Intervention management, administration and compliance.",EH41 3DX,0.4,01/02/2016 , 30/06/2019,Strategic Intervention – Employability ,Scotland
East Lothian Council - Pipeline to Employment,East Lothian Council,473120.23,1182800.56,ESF,"The pipeline approach will offer a package of tailored support depending on the needs of the individual. This will include and key worker support to young people  The Operation, will support unemployed/inactive participants with multiple barriers by providing a package of tailored support depending on the needs of the individual.  This Operation will target unemployed or inactive people who have multiple barriers to employment e.g. two or more barriers.  Support will enable clients to increase their knowledge, skills, and qualifications, and ultimately gain employment.",EH41 3DX,0.4,01/02/2016 , 30/06/2019,Strategic Intervention – Employability ,Scotland
Challenge Fund – East Lothian Council,East Lothian Council,120000,300000,ESF,"This fund is to target unemployed or inactive people who have multiple barriers to employment e.g. two or more barriers.  These individuals will require intensive support and work preparation to enable them to secure and maintain employment.  A Challenge Fund is required to ensure that any gaps in service provision are addressed, that projects meet the needs of participants and the local area whilst providing value for money.",EH41 3DX,0.4,01/02/2016 , 30/06/2019,Strategic Intervention – Employability ,Scotland
East Renfrewshire Council Employability Pipeline Management & Compliance,East Renfrewshire Council,148385,371105,ESF,"Strategic Intervention management, administration and compliance.",G46 8NG,0.4,14/12/2015 , 31/12/2018,Strategic Intervention – Employability ,Scotland
East Renfrewshire Council Employability Pipeline Procured Activity,East Renfrewshire Council,329590,824075,ESF,"This Employability Pipeline will provide intensive one-to-one support to overcome barriers to work; provide targeted employability services for young parents; support job brokerage; and prepare participants for interviews, placements or work.",G46 8NG,0.4,14/12/2015 , 31/12/2018,Strategic Intervention – Employability ,Scotland
SI Management of Falkirk Employment Action,Falkirk Council,135559,338898,ESF,"Strategic Intervention management, administration and compliance.",FK3 8AH,0.4,04/04/2016 , 30/06/2019,Strategic Intervention – Employability ,Scotland
Falkirk Employment Action – Employability Pipeline,Falkirk Council,1387940,3469852,ESF,This Employability Pipeline will provide support to overcome barriers to work following the completion of the Falkirk Integrated Assessment; It will provide targeted support to help individuals with multiple barriers into employment.,FK3 8AH,0.4,04/04/2016 , 30/06/2019,Strategic Intervention – Employability ,Scotland
Perth &Kinross Programme Management Office,Perth &Kinross Council,131061.66,327654.16,ESF,"Strategic Intervention management, administration and compliance.",PH1 5GD,0.4,01/10/2015 , 30/06/2019,Strategic Intervention – Employability ,Scotland
Perth &Kinross Employability Pipeline,Perth &Kinross Council,1711438.34,4278595.84,ESF,"This Operation forms part of the wider ‘employability service’ for the area.  This is a multi-service, multi-provider programme of support for eligible jobless citizens of Perth & Kinross, providing a 5-stage pathway of support from worklessness to sustainable employment.  It will focus individuals who are furthest from the labour market and face a particularly challenging combination of barriers (2 or more) to finding and making progress in work.",PH1 5GD,0.4,01/06/2016 , 30/06/2019,Strategic Intervention – Employability ,Scotland
South Ayrshire Ambition for Employment Management,South Ayrshire Council,195244.91,488112.27,ESF,"Strategic Intervention management, administration and compliance.",KA7 1DR,0.4,01/04/2016 , 30/06/2019,Strategic Intervention – Employability ,Scotland
South Ayrshire Ambition for Employment Operation,South Ayrshire Council,705398,1763498,ESF,This Operation will will provide additional and enhanced activity to support targeted groups experiencing barriers to employment to move into sustainable employment. The end-to-end pipeline service will primarily target customers aged 25+.,KA7 1DR,0.4,01/04/2016 , 30/06/2019,Strategic Intervention – Employability ,Scotland
South Lanarkshire Management & Compliance,South Lanarkshire Council,260130,650325,ESF,"Strategic Intervention management, administration and compliance.",ML3 6LB,0.4,01/04/2015 , 30/06/2019,Strategic Intervention – Employability ,Scotland
South Lanarkshire Employability Pipeline,South Lanarkshire Council,3116869,7792175,ESF,The Operation will work with participants with multiple barriers.  The procured elements comprise of three areas:- Job matching / Employer Engagement (including In-work Poverty Support) Sectoral Programmes Support for Key & Priority Client Groups.  This will provide early intervention for those most at risk of not making a smooth transition into work.,ML3 6LB,0.4,01/04/2015 , 30/06/2019,Strategic Intervention – Employability ,Scotland
Employability Moray Operations & Admin,The Moray Council,334765,669530,ESF,"Administrator will be employed by The Moray Council.  A Challenge Fund will be operated such that there will be four schemes, training to progress people into work in social enterprises; training to become child minders; opportunities to gain employment within creative industries and lone parent hub to provide tailored training and advice.  ",IV30 1BX,0.5,01/11/16 , 31/12/18,Strategic Intervention – Employability ,Scotland
Employability Pipeline - Glasgow City Council,Glasgow City Council,7524000,18810000,ESF,Support to help people into employment with indicidually tailored action plans to enable people to progress along the full employability pathway to take advantage of current and future employment opportunities.  ,G1 1RX,0.4,01/01/2016 , 31/12/2018,Strategic Intervention – Employability ,Scotland
Employability Pipeline - Scottish Borders,Scottish Borders Council,591042,1477609,ESF,"To provide tailored support to different groups, young people and adults into sustained employment. ",TD6 0SA,0.4,01/06/16 , 13/12/2018,Strategic Intervention – Employability ,Scotland
Skills Development Scotland – SI Management (LUPS),Skills Development Scotland,702343,1755857.49,ESF,Management costs as permitted by national rules,G5 0PQ,0.4,1/4/15 , 31/12/18,Strategic Intervention - Developing Scotland’s Workforce ,Scotland
Skills Development Scotland - SI Management (H&I),Skills Development Scotland,168470.23,336940.47,ESF,Management costs as permitted by national rules,G5 0PQ,0.5,1/4/15 , 31/12/18,Strategic Intervention - Developing Scotland’s Workforce ,Scotland
Skills Development Scotland - Modern Apprenticeship Expansion (LUPS),Skills Development Scotland,5072752.91,12681882.27,ESF,Work Based Learning (WBL) opportunities to young people aged 16-29 who will have the opportunity to secure industry recognised qualifications while earning a wage.,G5 0PQ,0.4,1/4/15 , 31/12/18,Strategic Intervention - Developing Scotland’s Workforce ,Scotland
Skills Development Scotland - Modern Apprenticeship Expansion (H&I),Skills Development Scotland,1216795.62,2433591.24,ESF,As above.,G5 0PQ,0.5,1/4/15 , 31/12/18,Strategic Intervention - Developing Scotland’s Workforce ,Scotland
Skills Development Scotland - Workbased Learning Models 15-18 LUPS,Skills Development Scotland,6920090.56,17300226.4,ESF,"Developing, testing and rolling out new work based learning (WBL) models, principally Foundation and Graduate Level Apprenticeships. ",G5 0PQ,0.4,1/4/15 , 31/12/18,Strategic Intervention - Developing Scotland’s Workforce ,Scotland
Skills Development Scotland - Workbased Learning Models 15-18 H&I,Skills Development Scotland,1659914.44,3319828.89,ESF,As above.,G5 0PQ,0.5,01/04/15 , 31/12/18,Strategic Intervention - Developing Scotland’s Workforce ,Scotland
Scottish Funding Council – Developing Scotland’s Workforce - LUPS,Scottish Funding Council,32113,80284,ESF,Management costs as permitted by national rules,EH12 5HD,0.4,01/08/2015 , 30/06/2016,Strategic Intervention - Developing Scotland’s Workforce ,Scotland
Scottish Funding Council – Developing Scotland’s Workforce H&I,Scottish Funding Council,48432,96864,ESF,Management costs as permitted by national rules,EH12 5HD,0.5,01/08/2015 , 30/06/2016,Strategic Intervention - Developing Scotland’s Workforce ,Scotland
Scottish Funding Council - Developing Scotland’s Workforce - LUPS,Scottish Funding Council,2388745,5971862,ESF,Additional college activity across LUPS to address regional skill gaps and shortages associated with key employment sectors. ,EH12 5HD,0.4,01/08/2015 , 30/06/2016,Strategic Intervention - Developing Scotland’s Workforce ,Scotland
Scottish Funding Council - Developing Scotland’s Workforce H&I,Scottish Funding Council,827739.5,1655479,ESF,Additional college and university activity across the Highlands & Islands (H&I) to address regional skill gaps and shortages associated with key employment sectors.,EH12 5HD,0.5,01/08/2015 , 30/06/2016,Strategic Intervention - Developing Scotland’s Workforce ,Scotland
Scottish Funding Council: Developing Scotland’s Workforce (DSW) – LUPS MC,Scottish Funding Council,75917,189791,ESF,Management costs.,EH12 5HD,0.4,01/08/2015 , 30/06/2016,Strategic Intervention - Developing Scotland’s Workforce ,Scotland
Scottish Funding Council Developing Scotland’s Workforce (DSW) – H&I MC,Scottish Funding Council,94896,189791,ESF,Management costs. ,EH12 5HD,0.5,01/08/2015 , 30/06/2016,Strategic Intervention - Developing Scotland’s Workforce ,Scotland
Scottish Funding Council Developing Scotland’s Workforce (DSW) - LUPS,Scottish Funding Council,4321521,10803780,ESF,Additional activity to address skill gaps and shortages associated with key employment sectors across LUPS.  ,EH12 5HD,0.4,01/08/2015 , 30/06/2016,Strategic Intervention - Developing Scotland’s Workforce ,Scotland
Scottish Funding Council: Developing Scotland’s Workforce (DSW) – H&I,Scottish Funding Council,4150525,8301050,ESF,Additional activity to address skill gaps and shortages associated with key employment sectors in the Highlands & Islands (H&I),EH12 5HD,0.5,01/08/2015 , 30/06/2016,Strategic Intervention - Developing Scotland’s Workforce ,Scotland
YEI Inverclyde,Inverclyde Council,920000,1380000,ESF,"Supporting young unemployed people aged 16-29 into education, training and employment.",PA15 1DE,0.66,1/10/2016 , 31/6/2018,Strategic Intervention – Youth Employment Initiative ,Scotland
West Dunbartonshire Youth Employment Initiative,West Dunbartonshire Council,1389005.2,2073142.1,ESF,"Supporting young unemployed people aged 16-29 into education, training and employment.",G82 3PU,0.6699,01/04/15 , 31/12/17,Strategic Intervention – Youth Employment Initiative ,Scotland
West Dunbartonshire – Additional Youth Employment Initiative,West Dunbartonshire Council,237978,355191.8,ESF,"Supporting young unemployed people aged 16-29 into education, training and employment.",G82 3PU,0.67,01/01/2016 , 31/12/17,Strategic Intervention – Youth Employment Initiative ,Scotland
