Recipient of funds,Name of Project,Type of fund,Summary of project (max 100 words),Start date,End date,ERDF/ESF investment £m,Total project costs £m,Percent of project funded by EU,Location (postcode),Local Enterprise Partnership area,Country,Type and focus of support (*Category of intervention)*
Liverpool City Region Combined Authority,Liverpool City Region Integrated Business Support Project (LCRIBS),ERDF,"The project will structure place marketing for the region and will be central to delivering the new Single Economic Growth Strategy. In so doing, it will establish a new brand strategy to rationalise the overall investment proposition (assets and sectors), identify key markets and structure place marketing to drive more investment opportunities to the region.   The project will provide the catalyst for a comprehensive inward investment strategy that will transform operational delivery and the regions contribution to the Northern Powerhouse. SME inward investments and growth of foreign owned SMEs will be the project focus. Larger scale investment (although non-SMEs will not be supported by the project) will also be delivered increasing competitiveness, growth and jobs. ",01. Okt 15,31. Mrz 19,2701477,5402954,50%,L69 3HN, Liverpool City Region , England ,
GM Business Support Limited,Business Growth Hub Sector Support Service,ERDF,"This project promotes increased business investment in Research and Innovation in Greater Manchester by delivering integrated universal in-depth Innovation advice for SMEs, including specialist Digital and Eco-innovation Services and by supporting large company innovation cooperation opportunities, which will benefit SMEs. Through practical support and access to a network of technical expertise and facilities including under Smart specialisation, the project will support and add value for 819 enterprises overall, with the knowledge, information and resources needed to develop 130 new to the firm or market products and 84 collaborations with research entities. The project will generate 348 new jobs.",01. Okt 15,31. Dez 18,3895968,7791935,50%,M1 5JW, Greater Manchester , England ,
Blue Orchid Enterprise Solutions Ltd,Cheshire and Warrington Growth Hub and Growth Advice Service,ERDF,"The project will focus on: development and implementation of the Growth Hub model, a co-ordinated and complementary menu of business support, free advice and signposting; a free Growth Advice service available to eligible growth SMEs and aligned to a discretionary Grant Service - a cash grant contribution to implement the findings from the Growth Advice service",01. Okt 15,30. Sep 17,1000000,2000000,50%,WN1 2TB, Cheshire and Warrington  , England ,
Suffolk County Council,BEE Anglia,ERDF,"Through practical support and access to a network of technical expertise and facilities including under Smart specialisation, the project will support and add value for 819 enterprises overall, with the knowledge, information and resources needed to develop 130 new to the firm or market products and 84 collaborations with research entities. The project will generate 348 new jobs.",11. Jan 16,10. Mrz 19,3258167,6516336,50%,IP1 2BX, New Anglia , England ,
Hasting Borough Council,CHART (Connecting Hastings and Rother Together),ERDF,"This preparatory project will establish a Local Action Group, CLLD Strategy and appropriate Accountable Body.  The CLLD strategy will directly target people in the 20% most deprived communities within Hastings and Bexhill and connect them to skills development, jobs and entrepreneurial activity.  Local people will be engaged through neighbourhood and beneficiary forums. Beneficiaries will be represented on the LAG and have an on-going role in the direction of the programme.  Consultation will be undertaken by the accountable body and delivery partners with an external consultant procured to support this process and the establishment of a LAG, Strategy and Action Plan.
",01. Mrz 16,31. Aug 16,9875,19750,50%,TN34 3UY, South East , England ,
NWES,Essex Growth Programme,ERDF,"This project is successor to the successful Ready, Set, Go and From Hub to Spokes ERDF projects, integrating three core elements corresponding to need at different stages of business development: intensive support for pre-start individuals, tailored support for those new/established SMEs best-placed to unlock growth and discretionary grants to catalyse investment in growth and efficiency.",01. Sep 15,31. Aug 18,1360262,2760857,50%,NR21 1JH, South East , England ,
Shepway District Council,Folkestone CLLD Programme,ERDF,"The aim of the project is to develop a stage 1 application for a Folkestone CLLD programme and to produce the required outputs.  From consultation and partnership working, membership of a Local Action Group (LAG) to oversee the Folkestone CLLD programme will be identified and established, with a Chair appointed, its Terms of Reference agreed and an accountable body for the programme identified.  The LAG will oversee and agree the development of the strategy in consultation with the targeted 20% IMD Folkestone communities.",01. Mrz 16,31. Aug 16,10000,20000,50%,CT20 3UY, South East , England ,
Hertfodshire LEP,Hertfordshire Technical Assistance,ERDF,"This is a technical assistance project designed to support the delivery of the England National ERDF Operational Programme in the Hertfordshire LEP area.  
The primary purpose of the project is to raise awareness of ERDF funding opportunities within the LEP area and support the development of pipeline projects intended to meet the strategic objectives of Hertfordshire LEP as set out in the Hertfordshire ESIF Strategy and Strategic Economic Plan
",07. Aug 15,06. Sep 18,212297,424594,50%,SG13 8DE, Hertfordshire , England ,
Hethel Ltd,Innovation New Anglia,ERDF,Innovation New Anglia (INA) is an innovation-led business support program operating in Norfolk/Suffolk ,01. Okt 15,31. Dez 18,802467,1661450,50%,NR14 8FB, New Anglia , England ,
Kent County Council,LOCASE,ERDF,"LOCASE will provide a consistent, accessible business support programme across the SELEP area that helps businesses optimise the use of resources and adopt eco-innovative and low carbon solutions in ways that improve business performance in terms of resilience, profitability and competitiveness, at the same time contributing to the protection and preservation of the environment.
The project will provide business support to 1,050 SMEs, cut emissions by 6,510 TCO2, support 67 new businesses, introduce 80 new products, knowledge transfer with 33 businesses, create 270 new jobs in LCEGS sector, invest £18,761,888 in business, and raise awareness of LCEGS to 200,000+ people.
",29. Dez 16,29. Apr 19,8858923,18525565,50%,ME14 1XX, South East , England ,
Norfolk County Council,New Anglia ERDF Facilitation,ERDF,"The project will provide local facilitation resource to assist potential ERDF applicants to develop project ideas, partnerships and compliant bids that fulfil the ambition set out in the New Anglia ESIF strategy and the national ERDF Operational Programme. Roles to be carried out under this project include publicity; pipeline development; project development; capacity building through a workshop programme; and partnership development.",01. Okt 15,31. Dez 18,217476,434952,50%,NR1 2DH, New Anglia , England ,
Greater Cambridge Greater Peterborough LEP,Promoting Growth in Greater Cambridge Greater Peterborough through ERDF Facilitation,ERDF,"The project will provide local facilitation resource to assist potential ERDF applicants to develop project ideas, partnerships and compliant bids that have a strategic fit with the Greater Cambridge Greater Peterborough (GCGP) ESIF strategy and are compliant with the national ERDF Operational Programme. Roles to be carried out under this project include publicity; pipeline development; project development; capacity building through a programme of workshops and events; and partnership development.",01. Okt 15,31. Dez 18,373677,747356,50%,PE28 4WX, Greater Cambridge/Peterborough , England ,
East Sussex Council,SELEP Technical Assistance,ERDF,"The project will promote uptake of ERDF opportunities, create and support the pipeline of quality project applications; deliver cross-LEP and multi-LEP projects; work closely with the SELEP Growth Hubs and BIS national business support products; assist applicants to ensure project applications are high quality, value for money and impact on relevant SELEP areas; work with the Growth Delivery Team to ensure technically correct information is shared with project applicants; applicants understand rules re publicity etc; and ensure project applications are of appropriate size, scale and ambition and have outputs and results that maximise the impact of ERDF to support Jobs and Growth.",01. Jan 16,31. Mrz 19,106748,213497,50%,BN7 1UE, South East , England ,
Orbis Energy,Score,ERDF,"Building on the success of its predecessor project, OrbisEnergys SCORE project application, is a £6 million delegated grant fund that will support 200 SMEs to develop new and innovative technologies in the offshore renewable energy sector. 

It will translate national and international innovation priorities, developed by the Offshore Renewable Energy Catapult, into challenge-led innovation calls offering real market opportunities for SMEs. The project will stimulate more than £3 million of private sector investment; strengthening business, research and university collaborations, and delivering real value to an economically vital sector for the East of England.  
",01. Feb 16,30. Apr 19,3000000,6000000,50%,NR21 1JH, New Anglia , England ,
Thurrock Borough Council,Tilbury CLLD - Preparatory Stage,ERDF,"The CLLD project will focus on two Wards in Tilbury, (Tilbury Riverside and Thurrock Park, and Tilbury St Chads). These wards have a combined population of approximately 13000 and are both within the 20% most deprived wards according to the IMD 2010 statistics. Significant economic development in or in close proximity to  these wards offers the potential for local residents to access a varied and growing employment market, however, persistent levels of deprivation and worklessness demonstrate that some sections of the community continue to experience barriers to taking advantage of these opportunities. Funding will provide capacity across local stakeholders to scope and develop a Local Action Group and CLLD Strategy. The LAG will be anchored within the local community,
championing a resident led approach which empowers local citizens. A number of key local stakeholders have already indicated a willingness to be involved in the LAG and a marketing campaign at the outset is intended to further broaden the membership.
",01. Mrz 16,31. Aug 16,9893,19786,50%,RM17 6SL, South East , England ,
NWES,Signpost to Grow Programme,ERDF,"The Project will provide an expanded Growth Hub offer for the GCGP LEP area; a central location and organisation for the strategic management, coordination and access to information and support for local businesses, in line with Government policy. The focus is on proactive, targeted wrap-around support to established and start-up businesses that have the potential to grow, combining online services with experienced start-up and business growth advisors to deliver sustainable job creation, business start-ups, and increased efficiency, productivity and GVA.",16. Nov 15,15. Dez 19,2504487,5164484,50%,NR2 1JH, Greater Cambridge/Peterborough , England ,
New Anglia LEP,New Anglia Business Growth Programme,ERDF,"The Business Growth Programme will deliver proactive, targeted wrap-around support to existing and start-up businesses which have the potential to grow exponentially. Activity will be delivered by an experienced Partnership and forms a cohesive suite of support comprising:

1. A Growth Hub, providing in-depth advice and guidance to businesses.
2. The provision of a Micro Grant scheme to enable business growth.
3. A Start-Up programme, supporting individuals during prestart stage and businesses during the first two years of operation.
",01. Sep 15,31. Aug 18,6350165,12700330,50%,NR4 7UG, New Anglia , England ,
Wenta,Herts Start Up Programme,ERDF,"Wenta and partners, Stanta and Dacorum Borough Council (Dacorum business services), will deliver a Hertfordshire business start up (HSUP) and grant award programme, providing a consistent and coherent service for those looking to start and grow a business; creating 220 new businesses and 150 new jobs. The project meets ESIF priorities by tackling slow growth and meeting a specific growth need in Hertfordshire; the start up escalator will create new businesses with both capacity and capability to grow. The hub and spoke delivery model will offer free face to face Advisory support, including access to finance, thus providing the best possible growth opportunities. Collaboration between existing providers including Growth Hub and mainstream provision will ensure strategic fit and avoid duplication.",01. Jan 16,31. Dez 18,1583607,3167214,50%,WD24 7ND, Hertfordshire , England ,
Kent County Council ,Foreign Inward Investment Kent,ERDF,"Led by Kent County Council and delivered in collaboration with a competitively procured contractor, this 36 month (May 2016  April 2019) £3.489m project will attract and support high value, high technology, leading edge and high growth UK and foreign inwardly investing SMEs, creating 350 new high quality jobs, helping existing overseas investors to expand their operations and working with UK Trade and Investment (UKTI) as a partner both in the UK and through its global network. The project will operate in Kent and Medway.  ",01. Mai 16,31. Jul 19,1751891,3503783,50%,ME14 1XX, South East , England ,
Barca-Leeds,Leeds West CLLD,ERDF,"The project will focus upon the Inner-West areas of Leeds within the areas of highest deprivation.  Barca-Leeds will manage and lead the CLLD project in order to develop a Local Action Group and strategy. Barca is an established charity which is rooted in the West Leeds communities that it serves. It will engage with residents, statutory, voluntary and private sector business and commercial organisations to enhance our existing knowledge of the areas and gain a deeper understanding of need.  ",10. Feb 16,31. Aug 16,5489,9147,60%,LS13 3JT, Leeds City Region , England ,
Northumbria University,Northumbria Enterprise and Business Support (NEBS),ERDF,Enhance competitiveness of SMEs and creation of new enterprises in NELEP. Also support graduate internship scheme,01. Okt 15,30. Sep 18,1037015,2074031,50%,NE1 8ST, North East , England ,
University of Sunderland,Internships and Enterprise,ERDF,Support the start up and growth of businesses in NE through placement of graduates into SMEs to work on business growth projects and new products/services. ,01. Okt 15,30. Jun 18,2359457,4624682,51%,SR1 3SD, North East , England ,
Teesside University,Innovate Tees Valley,ERDF,"Support to SMEs around innovation and collaboration between sectors, leading to 27 new research collaborations ",01. Feb 16,31. Jan 19,3793924,6323207,60%,TS! 3BA, TEES Valley , England ,
RTC North Limited,Innovate2Succeed,ERDF,"Support to SMEs to help them enhance their innovation management capability, forms part of a programme being delivered across 13 pilot LEPS ",01. Jan 16,31. Dez 18,500000,1000000,50%,SR5 3XB, North East , England ,
Arch Commercial Enterprise,Business Northumberland 2016-2019,ERDF,"Delivering a package of support to promote development of the Northumberland business base, focussing on established SMEs in the Northumberland area. ",01. Apr 16,31. Mrz 19,698599,1397198,50%,NE63 9JZ, North East , England ,
Centre for Process Innovation Limited (CPI),Emerging Electronics Manufacturing Centre,ERDF,"New build centre - enable local SMEs, businesses and universities to access facilities and expertise for development industrial and consumer products ",01. Jan 16,31. Dez 18,2595800,4553600,57%,TS10 4RF, North East , England ,
Durham County Council,Durham Business Opportunities Programme,ERDF,"The project will provide a 3 year programme of business support to encourage and enable SMEs in County Durham to grow, through engaging the businesses and connecting them to opportunities.  ",01. Dez 16,30. Nov 19,624056,1040095,60%,DH1 5WQ, North East , England ,
Redsun Development Limited,"Thermal Road, Bromborough",ERDF,"The Thermal Road project involves the purchase and development of a 2.1- hectare brownfield site located in Bromborough to provide a total of 8,630 m² (92,900 ft²) of speculative business workspace accommodation. The proposal is to provide seven individual business units of varying sizes (371 m² - 3,716 m²) designed to offer high quality modern business space providing ideal grow on space for high growth SMEs in the Liverpool City Region LEP area. It is estimated that the project will accommodate seven SMEs with the potential to create approximately 150 new high quality jobs.",01. Jul 16,30. Sep 17,2006967,6217975,32%,L3 9LQ, Cheshire and Warrington , England ,
Redsun Development Limited,Helix Business Park,ERDF,"This project involves the purchase and development of a 1.21- hectare brownfield site located off Newbridge Road, Ellesmere Port to provide a total of 4,784 m² (51,500 ft²) of speculative business workspace accommodation (to be known as Helix Business Park). The proposal is to provide six individual business units of varying sizes (557 m² - 1,351 m²) designed to offer high quality modern business space providing ideal grow on space for high growth SMEs in the Cheshire and Warrington LEP area (CWLEP). It is estimated that the project will accommodate six SMEs with the potential to create approximately 80 new high quality jobs.",01. Jul 16,30. Jun 17,1423586,4057544,35%,L3 9LQ , Liverpool City Region , England ,
NHS Liverpool Clinical Commissioing Group,Health Enterprise Hub Innovation Exchange,ERDF,"This Health Enterprise Hub Innovation Exchange will address market failures and exploit opportunities for economic growth in the health, social care and innovation sector. It will support Liverpool City Region (LCR) SMEs, across the innovation cycle, to develop and commercialise innovative products and services within sub-sectors where LCR is a market leader and has a smart specialization strategy (including assisted living, well-being, eHealth, childrens health and some life sciences). It will boost development of supra-sectoral technologies, like sensor technology and materials, and repurpose existing technologies through applying them to health and social care. It will benefit innovation businesses whilst generating financial and service gains for the health and care sector.",01. Jul 16,30. Sep 19,1771099,3542198,50%,L1 2SA, Liverpool City Region , England ,
University of Chester,Innovation to Commercialisation (I2C),ERDF,"The project will focus on supporting established SMEs within Cheshire and Warrington.  While the project will be open to SMEs from all ERDF eligible sectors with an innovation focus on their development needs, the specific project activities particularly support the following sectors: advanced manufacturing; automotive; engineering and energy.  Project activities will provide a shared equipment resource at Chester Universitys Thornton Science Park, meaning that Cheshire and Warrington SMEs have access to a pool of specialist equipment when they are developing and testing prototypes.  Technical and specialist expertise will be available to SMEs including Computer-aided design (CAD), Finite element method (FEM), Computational fluid dynamics (CFD) and Data analysis.  Technical staff will work with businesses to develop and test prototypes, increasing the number of Cheshire and Warrington SMEs who engage in product development.  ",01. Okt 16,30. Apr 20,1571026,3142055,50%,CH1 4BJ, Cheshire and Warrington , England ,
Lancashire County Council,Lancashire Wide Technical Assistance,ERDF,"The project will support the Lancashire partners, specifically members of the ESIF sub Committee, in providing strategic direction for the delivery of the ERDF programme based upon the ERDF national Operational Programme and the Lancashire ESIF Strategy. It will provide the capacity to respond to requests for strategic, project development, and local intelligence input for the delivery of the ERDF programme. By creating additional capacity to provide support and advice for project promotors regarding eligibility requirements, strategic fit with the local ESIF strategy and local intelligence and economic issues. This will include the development of a pipeline of activity, providing local knowledge and expertise into the call development process undertaken by the Managing Authority, support for ESF sub committee deliberation through the provision of relevant and update information related to local socio economic circumstances.",01. Okt 15,31. Dez 18,339528,567455,60%,PR1 8XJ, Lancashire , England ,
Liverpool City Region Combined Authority,Liverpool Technical Assistance,ERDF,"The Project will deliver integrated support to all partners and stakeholders wishing to develop projects for the ESIF programme aligned to the LCR strategy. The project will deliver dedicated LCR wide TA activity across ERDF and ESF. It will focus on development of the project pipeline in key areas of the programme and with additional support through partnership engagement, continued support for projects progressing through the application process, promotion and publicity. It will work closely with the GDT for ERDF, DWP for ESF team and DEFRA for EAFRD (rural development). The project will form part of the governance and management of the LCR Combined Authority.",01. Okt 15,30. Sep 18,787645,1332737,59%,L69 3HN, Liverpool City Region , England ,
Vedas Services,High Growth Potential 'Propel 2 Grow',ERDF,"This project will achieve an increase in GVA of £7m, create 499 new jobs and launch 57 new products to the market.  By dovetailing with other local and national support programmes, we will support the capability and capacity of SME businesses within Lancashire to achieve high growth (minimum 20% p.a) by providing in depth market and current state analysis, strategic direction, and then the practical implementation of these growth strategies by developing people capability / operational capacity / new product development through access to world class specialist providers. The beneficiary will be account managed throughout the process to maximise success.",01. Okt 15,31. Dez 18,999004,1998008,50%,BB11 1DR, Lancashire , England ,
Wolverhampton City Council,AIM for the Black Country,ERDF,The project will bring together an increased pool of navigators/account managers who will engage and support businesses to access specialist support from national providers and other specialist support via an ERDF compliant procurement framework. ,01. Apr 16,31. Mrz 19,1824245,3648492,50%,WV1 1RP, Black Country , England ,
South East Midlands LEP,Velocity Growth Hub,ERDF,"Velocity is the Growth Hub for the South East Midlands. It will join up, simplify and strengthen support to increase growth among existing enterprises and increase investment in the area by foreign-owned enterprises.  Velocity will work with national and local providers to add value beyond their individual service offers to assist SMEs on their growth journey.  It aims to simplify access to the right business support to enable SME growth through five activity streams: Velocity Helpline and Web Portal; Velocity Growth Programme providing one-to-one information; Velocity Growth Events; Velocity Revenue and Capital Grants and a Velocity Investor Development Programme which will provide an enhanced enquiries and aftercare service.",01. Jan 16,31. Dez 18,2815814,5631662,50%,MK43 0BT , South East Midlands , England ,
Medilink East Midlands Limited,INSTILS (Inspiring Networking to Stimulate Technology Innovation in Life Sciences),ERDF,"The project will allow SMEs to access high value cutting edge expertise from: sector specific specialists and services; local research entities (university and NHS Trusts); other life science businesses and other sectors.  Access to this support will ensure that businesses can grow by introducing new products and services that benefit from: innovations; identified clinical needs; incorporation or utilisation of cutting edge technologies and early incorporation of market understanding, regulatory and IP management strategies.  This will all lead to: improved commerciality of products; reduced product development timescales; improved resource efficiencies; creation of potentially ground breaking healthcare products and business growth and creation.",01. Okt 15,30. Sep 18,2482417,4964834,50%,NG1 1GF, D2N2 , England ,
University of Northamptonshire,Ready2Grow (R2G),ERDF,"The Ready2Grow project aims to improve the capability of small and medium sized enterprises and to encourage entrepreneurship across Northamptonshire. It will support 445 existing enterprises and 220 start-ups, creating 550 new jobs over the project lifetime. This will be achieved through a combination of events, workshops, advice and financial assistance dependent upon the development need of each SME, which is identified through our diagnostic tool. This project addresses gaps in the business support provision for start-ups and SMEs that do not currently qualify for national programmes. SMEs can eventually progress to relevant national provision via an agreed referral process. The project will engage with new and growing SMEs across Northamptonshire, and is particularly targeted at supporting under-represented groups within disadvantaged areas of the county. ",01. Mrz 16,28. Feb 19,1431974,2887958,50%,NN2 7AL, Northamptonshire , England ,
Leicester and Leicestershire LEP,LLEP Technical Assistance Programme ERDF (2015-2018),ERDF,"This project will enhance the provision of services by approved providers through identifying the specific local needs relevant to the call for tenders as relevant to our local strategies. The project will enable the local ESIF Committee to support the Managing Authority to deliver their commitments at a local level. Through the deployment of technical and specialist knowledge, the assistance has been designed to enable improved connectedness between all of the constituent parts of the programme by supporting our partners and service providers to benefit from key learning, information and best practice to inform current as well as future policy direction for the ERDF provision and ultimately future LLEP strategies. ",01. Sep 15,31. Okt 18,315201,630409,50%,LE1 1FZ, Leicester and Leicestershire , England ,
University of Wolverhampton,Innovation Product Support Services,ERDF,The Innovative Product Support Service (IPSS) will offer support to businesses engaged in the development of new products.  The project is a follow-on from the successful IPSS project that has operated over the period 2013-2015 and has been refined in response to evaluation of the previous iteration of the programme. SME beneficiaries that are referred and accepted into the IPSS programme will receive a technical and commercial review of their product concept.,01. Apr 16,30. Apr 19,1256805,2393461,53%,WV1 1LY, Black Country , England ,
Coventry University Enterprises Ltd,Innovate to Succeed,ERDF,"Innovate2Succeed (i2s) will provide tailored support to SMEs to help them enhance their innovation management capability, resulting in increasing effectiveness in generating and commercially exploiting their ideas.  Beneficiaries will undergo an in depth diagnostic assessment of their business and a bespoke package of support will be then designed and delivered to embed innovation management capability within the company.  This improved capability will provide long-term benefit to the SME and the economy.   This activity forms part of a programme being delivered across 12 pilot LEPs as part of Innovate UKs agenda to increase innovation management capacity in UKs small businesses.",01. Apr 16,31. Mrz 19,500000,10000000,50%,CV1 2TT, Coventry and Warwickshire , England ,
University of Northampton,Innovate Northamptonshire (IN),ERDF,"The project will increase productivity, growth and competitiveness in Northamptonshires SMEs by unlocking their potential through innovation. Focussing on key priority sectors for the county, the scheme will build an innovation culture, giving SMEs the knowledge, skills and support they need to innovate. It will enhance links between Northamptonshire SMEs and experts in the UKs universities, and other sources of innovation and research expertise. This will address a historic serious under-performance in levels of innovation, investment in R&D, the adoption of ICT and patent applications.  The project will develop a cohort of businesses who are engaged in innovation.",01. Mrz 16,28. Feb 19,1186980,3247869,32%,NN2 7AL, Northamptonshire , England ,
Nottingham City Council,The D2N2 LEP Growth Hub,ERDF,"This project ensures the continued existence and further development of the Growth Hub information and referral service (Core Service), and enhances capabilities in several partner organisations so that an increasing number of businesses achieve their growth potential (Enhanced Local Service). The Growth Hub will continue to significantly improve take up of business support and hence competitiveness of D2N2 SMEs. The success of this bid will strengthen its position as the focal point of the D2N2 business support eco structure with at least 2,000 businesses per annum benefitting. This is fundamental as the D2N2 ESIF Call emphasises that all activity and delivery should be integrated with the Growth Hub.",01. Apr 16,31. Mrz 19,1272582,2545164,50%,NG2 3NG, D2N2 , England ,
Medilink East Midlands Limited,SOLSTICE- Smart Life Sciences Technology Innovation and Commecialisation,ERDF,"SoLSTICE  Smart life sciences technology & innovation commercialisation enabler is a strategically driven project that will deliver a range of activities that seek to engender a culture of innovation within the clinical technologies and life sciences sector.  The project has been developed to align with the national operational programme and the local LLEP economic strategy.  It seeks to address some key market failures and challenges identified by LLEP, including the lack of absorptive capacity for innovation; the lack of access to external knowledge; the challenge of accessing innovation active SMEs with growth potential; the need to boost entrepreneurial activity and increase the number of new businesses created; and the need to simplify access to innovation funding and support. ",01. Jan 16,31. Dez 18,500000,1000000,50%,NG1 1GF, Leicester and Leicestershire , England ,
Northamptonshire Enterprise Partnership,Delivering the Northamptonshire ERDF Technical Assistance Strategy,ERDF,"The project development aspect of this project will ensure that potential applicants are supported to develop projects in response to the ESIF strategy, implementation plan and relevant ERDF calls for projects.  It will ensure that projects are compliant with the requirements of the programme and support potential applicants to develop collaborative projects ensuring strategic alignment and ensuring best value for the local programme. This will also help to ensure that the programme meets its performance targets both in relation to expenditure and outputs.  This will be achieved through a series of workshops and events throughout the project period to ensure that opportunities are highlighted for potential applicants, so that pipeline ERDF projects and activities are developed in preparation to respond to future calls.",22. Jul 15,31. Mrz 18,200000,400000,50%,NN1 5DQ, Northamptonshire , England ,
Capital Enterprise,Capital Accelerate & Scale-up Tech Superstars (CASTS),ERDF,"Supporting high growth potential 'tech' businesses and brokering access to finance in London. 
Provides expert advice to SMEs looking to expedite growth through supporting SMEs' preparedness for investment and securing such investment via the creation of new Accelerator programmes in tech sectors such as fin tech/ed tech.  Vital to retaining London's position as tech capital of Europe. Provides significant added value in drawing in private leverage (£30m) at a ratio of 10:1 private/public sector.  Has strategic links to Tech City/Angel network and fills gap following withdrawal of BIS Growth Accelerator.  450 jobs to be created. ",01. Apr 16,30. Jun 19,3679577,7359154,50%,NW1 2SD, London , England ,
East London Small Business Centre,Enterprise for Everyone,ERDF,"Will increase levels of enterprise activity across London, with an emphasis on activity amongst under-represented groups, specifically supporting 40% women in business/ 40% ethnic minority-led businesses. Address barriers faced by existing businesses (under 42 months) supporting them to grow, ensuring higher levels of survival. 50 new jobs to be created. ",01. Jan 16,30. Jun 19,631267,1262534,50%,E1 7SA, London , England ,
University of York,(Multi-LEP) The Biovale Project,ERDF,Deliver a three year business support programme to help regional SMEs and larger businesses develop novel bio-based processes and products and build an internationally recognised innovation cluster.,03. Sep 15,30. Nov 18,1790000,3580000,50%,YO10 5DD, Leeds City Region and YNYER , England ,
Durham County Council,Business Energy Efficiency Project (BEEP),ERDF,"This project will provide support for SMEs on energy efficiency, renewable energy and business resilience to reduce greenhouse gas emissions and bottom line costs, enhancing competitiveness and supporting business growth.",01. Aug 16,31. Jul 19,533887,889811,60%,DH1 5UQ, North East , England ,
Cornwall Council ,Carluddon Technology Park,ERDF,"Site servicing to provide development plots extending to 2.8 ha; and the construction of 2,289 sq.m. of speculative employment space for advanced manufacturing.",15. Sep 16,01. Jul 21,6237000,8249000,76%,TR1 3AY, Cornwall and the Isles of Scilly , England ,
Cambridgeshire County Council,Connecting Cambridgeshire,ERDF,"Connecting Cambridgeshire has been allocated funding by government agency Broadband Delivery UK for a follow on phase to extend broadband deployment in Cambridgeshire and Peterborough. The Superfast Broadband Phase 2 funding is necessary to meet the governments 95% superfast broadband coverage target by 2017 and must be matched with local funding.
Connecting Cambridgeshires Phase 2 project will address the market failure in broadband deployment in an intervention area which was identified from a new Open Market Review concluded in Oct 2014 by Connecting Cambridgeshire.
",07. Aug 15,30. Dez 17,579246,1158492,50%,CB3 0AP, Greater Cambridge Greater Peterborough , England ,
Exemplas,Get Growing,ERDF,"The project will provide comprehensive support to mid sized SMEs with the latent potential to grow. The programme will consist of business advice, delivered by a team of specialist advisers, and integrated with a series of business workshops. Specialisms covered will include Sales & Marketing, Inward Investment, Finance, Productivity and Business Planning, with advisers working as a team to implement SME Growth Plans. The project will target SMEs who form part of the missing middle, those which were ineligible to access national business support and which can be the gazelles of future growth.",01. Jan 16,31. Mrz 18,724884,1449767,50%,AL7 3AX, Hertfordshire , England ,
Exemplas,Innovate to Succeed,ERDF,"Innovate2Succeed (I2S) will provide tailored support to SMEs to help them enhance their innovation management capability, resulting in increased effectiveness in generating and commercially exploiting their ideas. Beneficiaries will undergo an in-depth diagnostic assessment of their business and a bespoke package of support will then be designed and delivered to embed innovation management capability within the company. This improved capability will provide long-term benefit to the SME and the economy. This activity forms part of a programme being delivered across 13 pilot LEPs as part of InnovateUKs agenda to increase innovation management capacity in UKs small businesses.",01. Apr 16,31. Mrz 19,971724,1943448,50%,AL7 3AX, Hertfordshire , England ,
Creative England,ProConnect Hertfordshire,ERDF,"This programme will provide meaningful specialist support to SMEs working in or in the supply chain to the film and TV production industry as well as new market entrants to ensure they are well placed to start their own business. The programme will deliver a series of workshops and one-to-one interactions leading to economic growth for programme beneficiaries. These will deliver advice, support and guidance to help the companies plan better growth and new business strategies. They will also introduce the companies to industry buyers - at the appropriate level in the supply chain - to forge connections with new, potential customers and secure contracts.  The programme will also work in partnership with local college and university graduates to provide entrepreneurship and business ready start-up workshops.   Additionally the project will offer small grants to business to access specialist consultancy advice to support business growth.",01. Jul 16,30. Jun 19,500088,1000175,50%,Bs1 5SP, Hertfordshire , England ,
Innovation Birmingham,Birmingham Knowledge Economy Business Incubation Partnership,ERDF,"This project creates a partnership between Birminghams two science parks, providing accessible support for emerging innovative hi-tech SMEs, enabling a diversity of expertise and experience to be shared, driving focussed interventions targeted at companies with growth potential.  It will utilise access to both digital and life-science / wet-laboratory facilities and expertise at the two locations, the support of Entrepreneurs-In-Residence (sector and business development experts) and a wide community of associates, actively complementing the Growth Hub. It will enhance the survival and growth of regional hi-tech start-ups, promote innovation and investment by the regions SME base, and promote greater SME-Academia engagement.",01. Jan 16,31. Dez 18,1025489,2050978,50%,B7 4BB, Greater Birmingham and Solihull , England ,
Visit Peak District and Derbyshire,Growing and Developing the Visitor Economy Sector within Derbyshire,ERDF,"The project will support the capacity of SMEs in the visitor economy and its supply chains to grow in regional, national and international markets.  It will do this by: providing visitor economy sector specific business advice  and guidance; providing expertise and knowledge to enable visitor economy businesses access new and emerging markets that have been identified by Visit England; supporting the visitor economy to achieve economic growth within its domestic markets by aligning provision through the D2N2 Growth Hub. This is a partnership proposal led by Visit Peak District and Derbyshire (VPDD), supported by the Peak District National Park and D2 partners.",01. Mai 19,31. Mrz 19,743199,1486403,50%,S41 7NA, D2N2 , England ,
