Name des Begünstigten ,Bezeichnung des Vorhabens,Zusammenfassung des Vorhabens ,Beginn des Vor-habens ,Ende des Vor-habens ,Gesamtbetrag der förderfähigen Ausgaben des Vorhabens ,Unions-Kofinan- zierungssatz  pro Prioritäts-achse  ,Postleitzahl des Vorhabens ,Land ,Bezeichnung der Interventionskategorie
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Kraftfahrzeugtechnikerhandwerk -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,23.03.2016,22.12.2016,"1.500,00",80.00%,99623 Kölleda,DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Neuerrichtung einer gastronomischen Einrichtung -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,22.03.2016,21.12.2016,"1.500,00",80.00%,99986 Langula,DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Imbiss -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,29.03.2016,28.09.2016,"1.500,00",80.00%,"04600 Altenburg, Thür",DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Nagelstudio -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,23.03.2016,30.04.2016,"1.500,00",80.00%,"99734 Nordhausen, Thür",DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),"Gründungsberatungen durch Gewährung von Existenzgründerpässen - Freier Architekt, Sachverständiger für Brandschutz, Architekturmodellbauer -",Gründungsberatungen durch Gewährung von Existenzgründerpässen,01.04.2016,31.12.2016,"1.500,00",80.00%,99986 Langula,DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),"Gründungsberatungen durch Gewährung von Existenzgründerpässen - Praxis für systematische Beratung, Trauer- und Krisenbegleitung -",Gründungsberatungen durch Gewährung von Existenzgründerpässen,16.04.2016,14.01.2017,"0,00",80.00%,99089 Erfurt,DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Übernahme eines Kfz-Betriebes -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,01.04.2016,31.12.2016,"2.020,00",80.00%,"98693 Ilmenau, Thür",DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Physiotherapie -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,10.04.2016,09.01.2017,"1.500,00",80.00%,"98693 Ilmenau, Thür",DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Betreiben von Webseiten -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,15.05.2016,31.07.2016,"1.500,00",80.00%,99189 Elxlebena d Gera,DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Marketingberatung -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,01.04.2016,31.12.2016,"1.500,00",80.00%,99974 Mühlhausen/Thüringen,DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Einbau von genormten Baufertigteilen -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,25.03.2016,24.12.2016,"1.500,00",80.00%,99955 Bad Tennstedt,DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Heilpraktiker -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,04.04.2016,03.01.2017,"1.500,00",80.00%,"99817 Eisenach, Thür",DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Friseursalon -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,01.04.2016,31.12.2016,"1.470,00",80.00%,37308 Reinholterode,DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Softwareentwicklung und Online-Marketing -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,10.04.2016,09.01.2017,"1.500,00",80.00%,99326 Stadtilm,DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Café -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,15.04.2016,14.01.2017,"1.180,00",80.00%,"99423 Weimar, Thür",DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Fotografen-Handwerk -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,29.03.2016,28.06.2016,"1.500,00",80.00%,98554 Benshausen,DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),"Gründungsberatungen durch Gewährung von Existenzgründerpässen - Produktdesignerin, Aufbau einer Projektwerkstatt -",Gründungsberatungen durch Gewährung von Existenzgründerpässen,25.03.2016,30.06.2016,"1.500,00",80.00%,98574 Schmalkalden,DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Übernahme eines Unternehmens im Bereich Gastronomie und Beherbergung -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,18.04.2016,30.11.2016,"2.100,00",80.00%,98634 Oberweid,DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Übernahme eines Gastronomiebetriebes in Oberweid -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,18.04.2016,30.11.2016,"1.840,00",80.00%,98634 Oberweid,DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Sicherheitsdienst -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,01.04.2016,31.12.2016,"1.500,00",80.00%,98544 Zella-Mehlis,DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),"Gründungsberatungen durch Gewährung von Existenzgründerpässen - Fleischerei, Imbiss, Verkauf von Wurst- und Fleischwaren -",Gründungsberatungen durch Gewährung von Existenzgründerpässen,01.04.2016,31.12.2016,"1.500,00",80.00%,07973 Greiz,DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Übernahme eines Modeschmuckgeschäftes -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,01.04.2016,30.06.2016,"2.100,00",80.00%,99089 Erfurt,DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),"Gründungsberatungen durch Gewährung von Existenzgründerpässen - Holzbe- und verarbeitung, Zimmermannsarbeiten -",Gründungsberatungen durch Gewährung von Existenzgründerpässen,05.05.2016,01.07.2016,"1.500,00",80.00%,07937 Langenwolschendorf,DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Baustoffhandel -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,01.04.2016,31.12.2016,"1.030,00",80.00%,99510 Apolda,DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),"Gründungsberatungen durch Gewährung von Existenzgründerpässen - Kursleiterin für Eltern-Kind-Kurse, Coaching -",Gründungsberatungen durch Gewährung von Existenzgründerpässen,01.04.2016,31.12.2016,"1.460,00",80.00%,99096 Erfurt,DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Übernahme eines Friseurgeschäftes -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,25.05.2016,30.11.2016,"2.100,00",80.00%,99955 Bad Tennstedt,DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Betriebsübernahme Glasschleiferei -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,01.04.2016,31.12.2016,"1.950,00",80.00%,"99423 Weimar, Thür",DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Gründung einer psychotherapeutischen Praxis -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,10.04.2016,08.01.2017,"1.500,00",80.00%,"98693 Ilmenau, Thür",DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Veranstaltungsservice und Eventmanagement -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,11.04.2016,31.07.2016,"1.500,00",80.00%,07407 Rudolstadt,DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Übernahme eines Unternehmens im Bereich Maurer und Betonbauer -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,30.03.2016,29.12.2016,"2.100,00",80.00%,07546 Gera,DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Dachdeckerunternehmen -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,31.03.2016,30.12.2016,"1.440,00",80.00%,07646 Trockenborn-Wolfersdorf,DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Übernahme einer mobilen Diskothek -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,04.04.2016,31.05.2016,"2.100,00",80.00%,99098 Erfurt,DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Eröffnung eines italienischen Restaurants -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,20.06.2016,28.02.2017,"1.500,00",80.00%,"99423 Weimar, Thür",DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Übernahme eines Augenoptikerunternehmens -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,01.04.2016,31.12.2016,"2.100,00",80.00%,07937 Zeulenroda-Triebes,DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),"Gründungsberatungen durch Gewährung von Existenzgründerpässen - Massagen (Kräuterstempelmassagen, Klangschalentherapie, ganzheitliche Fußmassage) -",Gründungsberatungen durch Gewährung von Existenzgründerpässen,18.04.2016,17.01.2017,"1.500,00",80.00%,99326 Ilmtal,DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Trageberatung und Ergotherapeutin -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,05.04.2016,04.01.2017,"1.500,00",80.00%,99830 Treffurt,DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),"Gründungsberatungen durch Gewährung von Existenzgründerpässen - tiergestützte Interventionen , Angebote von Förderungs- und Coaching-Dienstleistungen für Kinder und ihre Familien -",Gründungsberatungen durch Gewährung von Existenzgründerpässen,18.04.2016,10.01.2017,"1.500,00",80.00%,99834 Gerstungen,DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Alltagsservice - Erbringung sonstiger persönlicher Dienstleistungen -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,04.04.2016,31.12.2016,"0,00",80.00%,99974 Mühlhausen/Thüringen,DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Werbe- und Grafikstudio -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,07.04.2016,30.11.2016,"1.500,00",80.00%,07570 Harth-Pöllnitz,DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Berufsbetreuung -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,10.04.2016,30.11.2016,"1.500,00",80.00%,07747 Jena,DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Internetplattform für die Gewinnung ausländischer medizinischer Arbeitskräfte -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,16.04.2016,10.01.2017,"1.500,00",80.00%,"99423 Weimar, Thür",DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Handelsvertretung für Bauelemente -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,11.04.2016,10.10.2016,"540,00",80.00%,99310 Arnstadt,DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Konditorin -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,21.04.2016,31.07.2016,"1.500,00",80.00%,98744 Saalfeld-Rudolstadt,DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Schlosserarbeiten und Metallbau sowie Dienstleistungen für diese Bereiche -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,15.04.2016,31.07.2016,"1.500,00",80.00%,98746 Katzhütte,DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Handelsvertretung für Land- Forst- und Kommunaltechnik -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,14.04.2016,31.10.2016,"1.500,00",80.00%,"99338 Plaue, Thür",DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Praxis für Hand- und Ergotherapie -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,15.04.2016,14.01.2017,"1.460,00",80.00%,98593 Floh-Seligenthal,DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Berufsbetreuer -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,01.05.2016,31.12.2016,"1.370,00",80.00%,99310 Arnstadt,DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),"Gründungsberatungen durch Gewährung von Existenzgründerpässen - Fahrdienst, Gravuren und Online-Handel -",Gründungsberatungen durch Gewährung von Existenzgründerpässen,10.04.2016,09.10.2016,"1.100,00",80.00%,"37351 Dingelstädt, Eichsfeld",DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Übernahme einer Gaststätte -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,11.04.2016,10.12.2016,"2.100,00",80.00%,06567 Bad Frankenhausen/Kyffhäuser,DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Übernahme einer Immobilienverwaltung -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,15.04.2016,15.12.2016,"2.040,00",80.00%,99099 Erfurt,DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - forstwirtschaftliche Dienstleistungen -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,20.04.2016,30.09.2016,"1.500,00",80.00%,99330 Gräfenroda,DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Haus- und Landschaftspflege -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,02.05.2016,31.12.2016,"1.500,00",80.00%,98660 Henfstädt,DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Übernahme eines Friseursalons -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,18.04.2016,17.01.2017,"2.100,00",80.00%,07381 Oppurg,DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Verkauf von selbstproduzierten Mode- und Wohnaccessoires -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,15.04.2016,31.12.2016,"1.460,00",80.00%,"99423 Weimar, Thür",DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Metallbaumeister und Industriedienstleister -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,18.04.2016,30.09.2016,"1.500,00",80.00%,07333 Unterwellenborn,DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Vertrieb und Service im Bereich Softwaretestautomation -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,15.04.2016,31.12.2016,"1.360,00",80.00%,98574 Schmalkalden,DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Übernahme einer Frauenarztpraxis -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,12.04.2016,11.01.2017,"2.100,00",80.00%,99085 Erfurt,DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Grüdung eines Malerbetriebes -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,12.04.2016,31.05.2016,"520,00",80.00%,99198 Eichelborn,DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Übernahme eines Restaurants -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,15.04.2016,30.06.2016,"2.100,00",80.00%,99310 Arnstadt,DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - rent-a-wok (Mietkoch) -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,13.04.2016,30.11.2016,"1.500,00",80.00%,"99439 Sachsenhausenb Weimar, Thür",DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Hausverwalter -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,17.05.2016,31.10.2016,"1.500,00",80.00%,99310 Wipfratal,DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Übernahme eines Taxiunternehmens -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,21.04.2016,30.06.2016,"2.060,00",80.00%,99092 Erfurt,DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Übernahme einer Zahnarztpraxis -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,15.04.2016,14.10.2016,"2.100,00",80.00%,37339 Leinefelde-Worbis,DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
Begünstigte oder Begünstigter (Gründerrichtlinie A),Gründungsberatungen durch Gewährung von Existenzgründerpässen - Handelsvertreter -,Gründungsberatungen durch Gewährung von Existenzgründerpässen,11.04.2016,14.05.2016,"1.500,00",80.00%,98553 Schleusingen,DE,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen"
