projekttitel,start_dato,slut_dato,ordning,Indsatsområde,budget,eu,tas_projekt_besk,region,cvr,navn,vejnavn,postnr,bynavn,parter,
H2 HUB Vestjylland,17.01.2008,23.12.2008,ERDFM,Innovation og videndeling,3340000,1670000,"""H2 HUB Vestjylland - brintstander"" projektet er en del af det offentlige private samarbejde (OPS) H2 HUB Vestjylland. Det samlede budget for OPS H2 HUB Vestjyland er på 13,180 mio. kr. hvoraf budgettet for brintstanderne udgør 3,340 mio. kr. HIRC søger, på vegne af OPS H2 HUB Vestjylland, om støtte fra Regionalfonden på 1,67 mio. kr. og fra Region Midtjylland på 0,305 mio. kr. til etablering af 5 stk. brintstandere ved slutbrugere i byerne Hvide Sande, Ringkøbing, Skjern og Holstebro. HIRC vil fordele støtten til de respektive slutbrugere som så kan indkøbe og etablere brintstanderne som en del af det samlede H2 HUB Vestjylland. OPS H2 HUB Vestjylland blev initieret tilbage i april 2006 af det daværende Ringkøbing Amt som et projekt under det nationale hydrogen transport netværk Hydrogen Link der arbejder for at fremme anvendelsen af brint til transport, www.hydrogenlink.net OPS H2 HUB Vestjylland har til formål at forske, udvikle og afprøve forskellige køretøjer der anvender hydrogen sombrændstof som i såkaldte brændseslceller ombord på køretøjet bliver omdannet til elektricitet der driver køretøjet fremad. OPS H2 HUB Vestjylland er udviklet baseret på anbefalingerne fra en række lokale forprojekter for etablering af hydrogen tankstationer i Holstebro, Ringkøbing, og Hvide Sande byer, der således er gået sammen om afprøvningen for at dele udviklingsomkostningerne og øge mulighederne for at tiltrække nationale støtte. Konkret skal 7 hydrogen drevne køretøjer bringes i pilotafprøvning hos lutbrugerne i byerne Holstebro, Ringkøbing, Skjern og Hvide Sande ligesom der skal opsættes et netværk af såkaldte mindre brintstandere til optankning i byerne. Udvikling af så mange forskellige hydrogen drevne køretøjer er for omkostningstungt og ressourcekrævende en opgave til at hver by vil kunnelfte den alene. Projekterne i byerne har derfor allerede i en tidlig fase sikret koordinering, så at teknologi og køretøjes valg i projekterne muliggør en fælles udvikling og afprøvning på tværs af byerne.",Midtjylland,30010396,Foreningen Hydrogen Innovation & Research Centre,Birk Centerpark 40,7400,Herning,Hvide Sande Havn. Vestas Assembly A/S. A/S P. Grene. Golfklub Storeådalen ApS. Ringkøbing-Skjern Kommune.,
Kapital Gennem Rådgivning,22.12.2014,14.09.2015,ERDFK,Etab. og udvikling af nye virksomh.,"3358578,17","1653453,87","Finanskrisen har på mange fronter presset virksomhederne. En af de store udfordringer virksomhederne står i ¿ nu i en længere årrække ¿ er adgang til kapital. Virksomheder med vækstplaner har svært ved at få tilført kapital hvad enten det drejer sig om egen ¿ eller fremmekapital. Ud over problemer med adgang til kapital er mange virksomheder heller ikke i tilstrækkelig grad forberedt til mødet med bank eller investor. Der er i den periode krisen nu har varet opstået alternativer til den traditionelle finansiering, men uanset, hvilken form for kapital virksomhederne ønsker tilført kræver det stor professionalisme omkring tilgangen til kapital. Det er ikke mange virksomheder, som besidder denne kompetence, da virksomhedernes fokus ligger på deres produkter. Det er netop disse udfordringer projektet Kapital Gennem Rådgivning vil imødekomme ved: Styrke virksomhedernes adgang til kapital, via a. Kapitalcoachforløb b. Finansieringstjek",Konkurrenceudsat pulje,30089456,Væksthus Midtjylland,Åbogade 15,8200,Århus N,,
Fra Clutter til Cluster ¿ metodeudvikling for fremtidens virksomhedsklynger.,01.08.2007,31.12.2010,ERDFS,Innovation og videndeling,"3411056,24","1705528,12","Fra Clutter til Cluster - skal omsætte klyngeteorier til praksis indenfor landbrugsbranchen i region Sjælland og derigennem udvikle et brugervenligt værktøj, der også kan anvendes i andre brancher. Der skal udvikles en metode/drejebog til, hvordan virksomheder kan udvikles gennem klyngesamarbejder. Værktøjet stilles efterfølgende til rådighed for alle interesserede. Sikres implementering af drejebogen i erhvervsfremmesystemet afprøves metoder gennem to cases, indenfor udvalgte potentielle klynger i jordbrugssektoren. Disse cases skal resultere i forretningsplaner, der præsenteres for relevante parter indenfor erhvervet samt eksterne investorer lægges op til udvikling af en ny kompetencegivende uddannelse, indenfor facilitering af klynger. Projektet stemmer fint overens med Vækstforum Sjællands strategi og handligsplan, idet ansøgningen kommer omkring indsatsområder som: Udvikling af traditionelle erhverv, Udbygge samarbejdet til andre regioner, Udviklng i yderområder og landdistrikter, Forbedre det innovative samspil, Virksomhedstilpasset innovationsfremme, Styrke innovationskulturen, Øger iværkstæternes succesrate, Flere iværksættere, hæve regionens kompetenceniveau, Medvirke til udvikling af uddannelser, Vidensoverførsel til virksomhederne.I projektet vil der blive arbejdet på flere områder, idét der bliver tilkoblet to følgegrupper til projektet. Følgegruppe 1 består af uddannelsesinstitutionerne, hvis mål det er at udvikle en ny uddannelse omkring facilitering af klynger. Følgegruppe 2 består af erhvervsfremmesystemet, der skal sikre implementering af de opnåede resultater efterfølgende. Der er med andre ord tale om en større sammenhængende indsats, som understøtter den regionale erhvervsudviklingsstrategi og sigter mod en forbedring af virksomhedernes muligheder for at øge vækst, konkurrenceevne og beskæftigelse.",Sjælland,12492448,Grønt Center,Maribovej 9,4960,Holeby,Roskilde Universitet.,
Fremtidens feriehus og feriehusområde. Brugerdreven udvikling af eksisterende feriehusområder og fremtidge ressorts.,08.10.2007,01.12.2012,ERDFN,Innovation og videndeling,"3455988,51","1382395,4","Formålet er gennem en undersøgelse af motiver og adfærdsmønstre blandt brugerne af danske feriehusområder at bidrage til udviklingen af fremtidens feriehus og feriehusområde set ud fra en brugervinkel, men også med behørig hensyntagen til den lokale befolknings interesser. Yderligere er formålet, at identificere hvorledes man fremtidssikrer nordjysk feriehusturisme, samt se på turisme som mulig strategi for yderkantsområder igennem en udvikling af principper for redesign af eksisterende ferieboligområder og for nye hybride feriemiljøer. Der eksisterer kun begrænset viden om brugeres efterspørgsels- og adfærdsmønstre i relation til feriehuse, og da primært af overordnet kvantitativ karakter, ligesom samspillet mellem ejer, lejer og lokale interesser er underbelyst. Ligeledes er der en klar mangel på metoder og koncepter for den fremtidige produktudvikling. Metode: Der gennemføres et indgående, primært kvalitativt studie, i form af et tre-årigt ph.d.-forløb, af henholdsvis ejere og lejere af danske feriehuse med henblik på at identificeres motiver, adfærdsmønstre, konkrete krav og oplevelsesønsker i forhold til brug af feriehuse og det område, hvor de er placeret. Holdninger til og brug af ferieressort, som alternativ eller supplement til det traditionelle feriehus vil også indgå i brugerundersøgelsen. I overensstemmelse med de primære markeder for dansk feriehusudlejning, er danske såvel som udenlandske lejere repræsenteret i lejerundersøgelsen, Der tages udgangspunkt i et antal caseområder i Nordjylland, således at både feriehusområder på østkysten og vestkysten er repræsenteret, idet det antages at holdninger til og brug af feriehuset varierer mellem disse geografiske områder. Nærmere bestemt vil ejer, lejer og lokale interesser i relation til feriehusområdet ved henholdsvis Hals på østkysten og Blokhus/Rødhus på vestkysten blive undersøgt nærmere. Frederikshavn vil blive inddraget som case inden for ressort-området.Med afsæt i brugerundersøgelsen, har den forslagsstillende del af projektet til formål i samarbejde med brancheorganisationer, lokale myndigheder, grundejere samt developere at udarbejde scenarier med konkrete forslag til revitalisering af eksisterende feriehusområder og etablering af fremtidige ressorts særligt i forhold til de udvalgte caseområder. Koncepter for fremtidens feriehuse og ressorts samt oplevelsesmuligheder i feriehusområdet vil være centralt. Denne del af projektet vil have form af et treårigt forskningsadjunktur.",Nordjylland,29102384,Aalborg Universitet,Fibigerstræde 2,9220,Aalborg Øst,,
Syddansk ForskerKontakt,01.09.2008,31.12.2011,ERDFD,Innovation og videndeling,"3513599,46","1756799,73","Som operatør vil Syddansk Universitet i projektet sætte fokus på den indledende kontakt mellem små og mellemstore virksomheder og forskningsverdenen og vil med udgangspunkt i de positive erfaringer med det tidligere jysk-fynske projekt ForskerKontakten udvikle nye tilgange og værktøjer til matchmaking og etablering af netværk mellem forskere og virksomheder med henblik på erfaringsudveksling og vidensoverførsel mellem de to verdener. Det tidligere projekt dokumenterede, at der via etablering af netværk mellem forskere og virksomheder kan skabes grundlag for innovation og udvikling i virksomhederne, ligesom input fra virksomheder har givet forskere inspiration til nye forskningsområder og problemstillinger.Projektet kan betragtes som et af de første led i en fødekæde, hvor den indledende kontakt skabes, som senere kan føre til konkrete udviklingsprojekter og eventuelt etablering af vidensbaserede spin-off-virksomheder i regionen. Projektorganisationen vil arbejde på at etablere kontakt til de næste led i denne fødekæde, så nye ideer og udviklingsmuligheder kan sikres de bedst mulige vilkår. Der er foreløbigt skabt kontakt med Force Technology vedr. et samarbejde i forbindelse med projektet ?Innovationsagenterne?, men der vil også blive arbejdet på at etablere et samarbejde med innovationsmiljøer, forskerparker, Væksthuset, erhvervskontorer o.a. Ligeledes vil regionens fyrtårne og klynger blive inviteret til at deltage i arbejdet, navnlig med identifikation af potentielle netværk og rekruttering af virksomheder og forskningskompetencer.SDU ser to elementer i en samlet opgaveløsning:¿ operatør-rollen og¿ netværksskabelsenOperatør-opgaverne omfatter: Markedsføring, Kontaktskabelse, Matchmaking, Formidling og administrative/juridiske/økonomiske opgaver.Netværksskabelsen omfatter: Kontaktskabelse virksomheder/forskere, Bistand til planlægning og drift af netværk, Vurdering af netværk og indstilling vedr. tilskud til netværk. <FONT FACE=""Arial"" SIZE=""12"" COLOR=""#000000"" LETTERSPACING=""0",Syddanmark,29283958,Syddansk Universitet,Campusvej 55,5230,Odense M,,
Studentervæksthus under Midtjysk Animationsvæksthus (MiJAV),01.11.2007,28.02.2010,ERDFM,Etab. og udvikling af nye virksomh.,"3652411,16","1826205,58","The Animation Workshop (TAW) nyder i disse år stor positiv bevågenhed fra både nationale og internationale interessenter. Samtidig er oplevelsesøkonomien en branche i eksplosiv vækst, og disse faktorer skaber tilsammen en lukrativ atmosfære, som vi ønsker at udnytte til at skabe et studentervæksthus i tilknytning til TAW. Vi vil udnytte det videns- og iværksætterpotentiale, der findes blandt vore studerende, og samtidig synliggøre muligheden for at de kan etablere sig som selvstændig erhvervsdrivende inden for animationsrelaterede fag i forlængelse af deres studium. Gennem deres uddannelse trænes de studerende i at bruge tekniske værktøjer og metoder til at skabe kreative og originale produktioner; dermed er grundlaget for innovative ideer lagt fra første studiedag. Sidste halvdel af studiet indeholder dels praktik- og produktionsforløb, som giver indsigt i og erfaring med branchen, dels kurser i branche- og virksomhedsforståelse. Som noget nyt skal der hen mod slutningen af uddannelsen laves regulære kursusforløb i virksomhedsetablering og iværksætteri. I skiftet fra at være studerende til at være selvstændig skal væksthusbrugerne tilbydes fysiske faciliteter, sparring og rådgivning om forretningsudvikling, netværksressourcer mm. Udover konkrete tiltag og tilbud til iværksætterne, skal erfaringerne fra TAW¿s forskellige IDV-afdelinger bringes med over i væksthuset, hvilket giver os mulighed for at støtte de studerende i at omsætte deres innovative ideer til kommercielle aktiviteter og succesfulde produktioner. Samtidig vil TAW¿s store nationale og internationale netværk gennem målrettet pr-arbejde blive gjort opmærksom på de muligheder, der ligger for produktion og udvikling i væksthuset. Når de studerende flytter ind, får de med andre ord mulighed for at udvikle deres virksomhed og forretningsidé i samspil med en lang række internationale professionelle samarbejdspartnere fra branchen og de dele af erhvervslivet, som vi allerede har etableret kontakt til.",Midtjylland,30773047,Professionshøjskolen VIA University College,Kasernevej 5,8800,Viborg,,
"KOMPETENCEmidt 2.0, Prioritet 2",08.12.2011,27.05.2013,ESFM,Udvikling af menneskelige ressourcer,"3671288,74","1835644,37","Evalueringen af projektet KOMPETENCEmidt har vist en meget stærk og sikker sammenhæng mellem uddannelsesinstitutionernes samarbejde om at dække virksomhedernes behov og sandsynligheden for, at virksomhederne vælger at benytte voksen- og efteruddannelse (VEU). Nu ønskes KOMPETENCEmidt udvidet til også at omfatte opkvalificering af arbejdsmarkedsparate ledige f.eks. forud for et jobrotationsforløb.",Midtjylland,30089456,Væksthus Midtjylland,Åbogade 15,8200,Århus N,AARHUS TECH. UCH Uddannelsescenter Holstebro. Mercantec.,
KLIMALØSNING THY / MORS,08.10.2007,30.06.2010,ERDFN,Innovation og videndeling,"3697869,8",1832973,"At etablere et sekretariat, der kan promovere Thy/Mors, som et område med klimaløsninger til omverdenen, og derved øge fokus på området med øgede muligheder for nye kontakter, nationalt og internationalt, og dermed skabe mere aktivitet i området i form af jobs, virksomheder og turisme. Sekretariatet vil bestå af kommunerne, Thisted og Morsø, samt erhvervsvirksomheder, faglige organisationer, forsynings- og energivirksomheder, samt andre aktører, der kan bidrage til projektets formål: Markering og udvikling af klimaløsning Thy/Mors. Sekretariat placeres på Nordisk Folkecenter for Vedvarende Energi (Folkecenteret), Sdr. Ydby ved Hurup Thy.Der dannes netværk, afholdes seminarier, udføres energirelaterede analyser på området, laves markedsføring med brochurer, web, film og demonstration. Samarbejdet skal forøge andelen af vedvarende energi udnyttelse i området, og derved nå EU's målsætninger på energiområdet for 2020.Der er allerede nedsat en styregruppe bestående af 7 personer, som arbejder med projektet:Jan Krogh, Erhvervschef, Thisted KommuneLise Degn, Planlægningschef, Thisted KommunePeter Krogh Melgaard, Thy-Mors EnergiJens Roesgaard, Thisted FjernvarmeLeif Amby, Danico, ThistedNiels Jensen, Biogas Mors, Nordvest AgroJane Kruse, Informationsansvarlig, Nordisk Folkecenter for Vedvarende Energi",Nordjylland,72291212,Nordisk Folkecenter for Vedvarende Energi,Kammersgårdsvej 16,7760,Hurup Thy,,
Underleverandørnetværk Midtjylland,01.01.2008,31.07.2011,ERDFK,Innovation og videndeling,"3731839,25","1732286,58","Nærværende ansøgning vedrører udviklingen af et innovativt netværk blandt underleverandører til vindmølleindustrien. Dette skal opnås gennem et koordinerende, understøttende og opsøgende arbejde i forhold til at styrke netværket mellem underleverandørvirksomhederne, og mellem virksomheder og forsknings- og uddannelsesinstitutioner; samt gennem fælles indsatser, der sigter mod både opkvalificering af eksisterende medarbejdere og mod tiltrækning af nye, højtkvalificerede medarbejdere.Målsætningen er at blandt andet at understøtte underleverandørerne i en proces, der skal gøre dem i stand til at være kontinuerligt innovative og udviklingsorienterede, og, i forlængelse heraf, påtage sig større systemleverancer til danske og udenlandske vindmølleproducenter.",Konkurrenceudsat pulje,10401488,Vindmølleindustrien,"Rosenørns Allé 9, 5.",1970,Frederiksberg C,KK-Electronic A/S. Hydra-Grene A/S. Dansk Overflade Teknik A/S. AH Industries A/S. Electricon A/S. AB-Inventech A/S. AVN Energy A/S. DAFA A/S. Deugro Danmark A/S. Liftra ApS. Lund & Sørensen A/S. DEIF A/S. Weissenborn A/S. Niebuhr Gears A/S.,
Laboratorier på Designskolen Kolding,01.05.2008,31.10.2010,ERDFD,Innovation og videndeling,"3744431,99","1871727,25","Oprettelse af design- og innovationslaboratorier på Designskolen Kolding.ProjektidéProjektet er et pilotprojekt, der skal skabe rammer for at etablere tre-årige kreative undersøgelsesrum og eksperimentzoner. Design- og innovationslaboratorier, hvori vi udvikler tværfaglig indsigt, innovative metoder og nye samarbejder.FormålDen globale konkurrence stiller store krav til virksomhedernes omstillingsevne. Derfor er det kun virksomheder, der forstår at forny deres kreative og kommercielle kompetencer og tilpasse sig nye, skiftende markeder, der fremover vil kunne fastholde deres konkurrenceevne.Vi ønsker at sætte fokus på vækst:¿ brugen af design og innovation som værktøjer til værditilvækst i Danmark. Nye vækstområder opdyrkes gennem innovative processer.¿ raffinere og udvikle arbejds- og undervisningsmetoder indenfor innovationsprocesser, kreativ nytænkning og idégenerering ­ og dermed øge grundlaget for vækst i virksomhederne.¿ skabe synlige resultater og gode eksempler i arbejdet i laboratorierne til anvendelse for virksomheder regionalt og nationalt.HovedaktiviteterUndersøgelse og udvikling af laboratorie-tankenAfprøvning og udvikling af laboratorierne.Opstart af pilotprojekt: ¿laboratoriet for design og bæredygtighed¿.På bagrund af disse ønsker vi at gennemføre pilotprojektet, hvor laboratoriemetoden udvikles og afprøves ­ og giver grundlag for nye samarbejds- og organisationsformer, uddannelsesforløb og uddannelsesmetoder.EffekterInnovation handler om at omsætte nytænkning til kommerciel værdi. ¿ udvikling af innovative og dermed kommercielle kompetencer til fordel for virksomhederne, med henblik på øget vækst i regionale og nationale virksomheder.¿ videnopsamling og videndeling til fordel for virksomheder og uddannelsesinstitutioner.¿ Designskolen udbygger sit samarbejde med erhvervslivet, bl.a. med det formål at flere virksomheder ansætter designere.¿ udbyggelse af samarbejdet med en række andre uddannelsesinstitutioner, herunder udenlandske, med det mål, at skabe tværfaglige forløb, der styrker de fremtidige designeres evner til at samarbejde med andre faggrupper.¿ at Designskolen Kolding og Region Syddanmark får placeret sig på Danmarks- og verdenskortet, med et kryds, der signalerer design, innovation og vækst.",Syddanmark,18933144,Designskolen Kolding,Ågade 10,6000,Kolding,,
Grøn energi i innovative netværk,01.01.2009,31.12.2012,ERDFB,Innovation og videndeling,"3783719,56","1865672,1","Projektet har til formål at udvikle og facilitere et offentligt-privat netværk af energiaktører og interessenter på Bornholm mod en evt. dannelse af en energiklynge. Denne klynge skal have til formål at bære Bornholms visioner på energiområdet igennem ved udvikling og demonstration af hvordan et samfund kan gøre sig mindre sårbar overfor priser på fossile brændstoffer og samtidig bidrage til stabilisereng af klimaforandringerne. Det søges gjort ved at reducere CO2 på især de ikke-kvotebelagte områder (individuel varme, transport, landbrug, små fyringsanlæg) jf. EU´s energiaftale. Midlerne vil bl.a. være koordinering af diverse energiprojektsiloer som allerede er iværksat, initiativtager til nye relevante projekter, formidling af klyngens effektmål og arbejder iøvrigt samt afholdelse af en energicamp med henblik på hvordan Bornholm bedst udnytter sit vækstpotentiale indenfor energisektoren og afledte væksterhverv.",Bornholm,26696348,Bornholms Regionskommune,Ullasvej 23,3700,Rønne,Business Center Bornholm. ØSTKRAFT Produktion A/S.,
Læsø hele året,09.10.2012,01.10.2013,ERDFN,Etab. og udvikling af nye virksomh.,"3806611,62","865240,72","Hele projektet forventes at give Læsø en overnatningskapacitet, som mangler i højsæsonen, hvor vi er nødt til at sige nej, og bede gæster tage færgen til fastlandet. Desuden vil det give muligheder for at busselskaber kan overnatte på Læsø i sted for som i dag, hvor de bor rund om i Vendsyssel og kun kommer på endagsture, som reelt kun er fra kl. 10.00 til 14.30 i nogle tilfælde. Erhvervslivet sukker efter at gæsterne bliver her lidt længere, så de får tid til at handle i de mange specialbutikker Læsø kan byde på.Specielt tilbud på konference er en manglevarer i de tilbud, som der er for at komme til Læsø. Kombineret med alle de muligheder der i forvejen findes f.eks. Læsø Kur, hestetur på Rønnerne, det nye Læsø kunstmuseum vil det give et løft til hele erhvervslivet, fordi det primært er udenfor højsæsonen. Således vil operatører i samarbejde kunne tilbyde en kombination af produkter.Da Læsø geografisk er meget isoleret, er det vigtig, at denne forøgelse af kapaciteten sammen med de øvrige aktører på turistmarked får mulighed for øget omsætning, øget antal ansatte, forlænge sæsonen og give en mere bæredygtig økonomi for hele samfundet.",Nordjylland,34623597,"Hotel Nygaard, Læsø ApS","Østerbyvejen 4, Byrum",9940,Læsø,,
Talentvækst Syddanmark,05.04.2012,30.06.2015,ESFD,Etab. og udvikling af nye virksomh.,"3807429,33","1903714,67","""Syddansk Entreprenørskab og Forskning¿ vil styrke iværksætterkulturen og identificere de unge talenter og fremtidige forskere, der skal medvirke til at øge antallet af vækstiværksættere i Region Syddanmark, sikre deres overlevelse og understøtte regionens omstilling fra traditionel produktion til fremtidens væksterhverv: sundheds- og velfærdsinnovation, bæredygtig energi og oplevelseserhverv. Skoler og uddannelsesinstitutioner, klynger og virksomheder går sammen i et stærkt offentligt-privat partnerskab, der gennem en fælles strategisk indsats vil opbygge solid viden om de 3 indsatsområder blandt regionens elever. De unge motiveres til iværksætteri og forskningsaktiviteter gennem kvalificeret undervisning i naturvidenskab og entreprenørskab. De får professionel sparring fra regionens virksomheder og etablerede klyngestruktur og opbygger et uvurderligt netværk, der kan hjælpe dem i fremtiden. Dette vil højne iværksætterlysten blandt de unge, styrke deres innovative og kreative evner, samtidig med, at deres produktideer og forskningsprojekter opkvalificeres og ledes ind på områder med størst vækstpotentiale. Det er disse elever, der udgør fremtidens vækstiværksættere i Region Syddanmark.""",Syddanmark,35141375,Fonden Universe Science Park,Mads Patent Vej 1,6430,Nordborg,Fonden for Entreprenørskab. Fonden Dansk Naturvidenskabsformidling. NTS-centret.,
Developing Designlab Råstof,01.08.2013,31.12.2014,ESFH,Etab. og udvikling af nye virksomh.,"3820723,9","1756712,15","DesignLab Råstof vil skabe iværksætterbaseret vækst og beskæftigelse indenfor et nyt designerhverv baseret på lokal bæredygtig designproduktion, ved at udvikle nye produktionsvirksomheder i mødet mellem ledige designere med iværksætterpotentiale og erhvervsuddannelsernes produktionshåndværkselever.DesignLab Råstof kobler den ledige designer, der har en god ide, sammen med erhvervsskolernes skolepraktikanter og værksteder omkring produktion af prototyper på fremtidens design. I et opkvalificerende forløb omfattende kurser og individuel rådgivning og vejledning udarbejdes en bæredygtig forretningsplan for det pågældende design. Alternativt udarbejdes der en operationel jobsøgningsplan med fokus på jobskabelse og intraprenørskab.Developing Designlab Råstof er et innovativt udviklingsprojekt, der har til formål at designe, prototypeteste og skalere DesignLab Råstof, så den kommende iværksætter har de rette kvalifikationer, designpotentialet udnyttes optimalt og der bliver skabt nyt praktikindhold til fremtidens erhvervsuddannelser. Projektet udvikles over 3 faser: prototypeforløb for 3 designs på et værksted, testforløb for 10-15 designere på et eller flere værksteder, testforløb på flere erhvervsskoler for ca 60 ledige designere.Udviklingsprojektet realiseres af Råstof Aps i partnerskab med Københavns Tekniske Skole Nørrebro og Københavns Erhvervsservice. Og med Bispebjerg Lokaludvalg og Københavns Tekniske Skole Emdrup som netværkspartnere.",Hovedstaden,35256482,Råstof ApS,Skaffervej 8 1 21,2400,København NV,Københavns Kommune. Københavns tekniske Skole.,
Nordjysk underleverandørnetværk indenfor forsvarsindustrien,03.08.2009,31.12.2012,ERDFN,Innovation og videndeling,"3838984,14",1634320,"Projektet har som mål at etablere og udvikle et nordjysk underleverandør netværk med fokus på forsvarsindustrien. Målet er, med udgangspunkt i de eksisterende nordjyske virksomheders kompetencer og produkter, at styrke deres muligheder for at få større andel i den store omsætning der er indenfor forsvarsindustrien, samt få del i den innovative kompetence udvikling, der ligger i fremstilling af produkter til forsvaret.Set i relation til den internationale forsvarsindustri, er Danmark et lille land. Det nordjyske netværk skal derfor arbejde på en udbredelse til relevante virksomheder i resten af Danmark.Etablering og udvikling af netværket vil ske i tæt samarbejde med blandt andet CenSec og senere i projektet i samarbejde med Danmarks Eksportråd, når udenlandske kundemuligheder skal afsøges.Målet er i den forbindelse, målrettet at skabe kontakter til nogle få udvalgte, relevante udenlandske leverandører til det danske forsvar, som har eller kan forventes at indgå industriaftaler med Erhvervs- og Byggestyrelsen i forbindelse med afvikling af modkøbsordrer.Klyngetanken tænkes videreudviklet således, at regionale netværk, baseret på eksisterende, differentierede regionale kompetencer, udbredes til landsdækkende netværk indenfor det konkrete kompetenceområde, og dermed styrke de små- og mellemstore virksomheders muligheder for at få del i de store ordrer indenfor forsvarsindustrien.",Nordjylland,26706564,Aalborg Samarbejdet,Boulevarden 13,9000,Aalborg,Aalborg Universitet. CenSec. Rebild Kommune.,
Udviklingsprojekt Comfortness Koncept Bornholm (CKB),01.10.2012,31.12.2014,ESFB,Udvikling af menneskelige ressourcer,"3849670,05","1790674,54","Comfortness Koncept Bornholm er et udviklingsprojekt, der tager afsæt i erfaringerne, som KFB og Serviceskolen har konstateret, og har til formål er at styrke og udvikle turisterhvervets virksomheder til vækst og arbejdsfastholdelse med målrettet fokus på 4 indsatsområder; Værtskab, Kvalitet, Bæredygtighed og Ledelse/Innovation.Projektet vil udvikle et 'Comfortness Koncept' sammen med aktører på området; Campus Bornholm, 3F, Horesta, Destinationen, Jobcentret, LBR, CRT, LO og de interesserede aktører fra turisterhvervet. Der etableres en Task-force af proceskonsulenter, som tager ud i virksomhederne på tværs og skift og i samspil udvikler konceptet - netop for at være i deres verden og hjælpe dem, hvor de er. Aktørerne afsætter den nødvendige tid og afprøver konceptet på 'deres egen krop'.Ambitionen er at forlænge turistsæsonen og dermed minimere arbejdsløsheden.Virksomhederne styrkes ved målrettet fælles sparring af proceskonsulenterne i udviklingen af konceptet og dermed større vækstpotentiale.Udvikling af lederne/medarbejdernes kompetencer understøttes af direkte faglig kompetenceudvikling, som bl.a. vil finde sted i receptionen & restauranten samt i netværk på tværs af virksomhederne for at idégenerere koncept-indholdet. Projektet vil udvikle og højne kvaliteten i nogle af aktørerne indenfor turisterhvervet, og planen er derefter at tilbyde ALLE i branchen konceptet i et nyt og større projekt fra 2014-2017, sålededes at implementering af konceptet kan ske de kommende år.",Bornholm,31124816,Business Center Bornholm,Landemærket 26,3700,Rønne,Center for Regional- og Turismeforskning. Bornholms Erhvervsskole.,
Netværksinitiativ - Midtjysk Klyngeprogram,01.01.2009,31.03.2015,ERDFM,Innovation og videndeling,3860000,1930000,"Projektet vedrører facilitering af dannelsen af forretningsbaserede netværk blandt SMV'er. Det hænger sammen med to andre projekter med samme navn med Væksthus Midtjylland, som administrator. Se disse for yderligere beskrivelse af det samlede projekt.",Midtjylland,30089456,Væksthus Midtjylland,Åbogade 15,8200,Århus N,,
Automation i Syd,08.05.2013,28.02.2015,ERDFD,Anvendelse af ny teknologi,"3864111,05","1932055,53","Det overordnede formål med ¿Automation i Syd¿ er at genskabe styrken i produktionsvirksomhederne i Region Syddanmark gennem strategisk automatiseret produktion, som en altgørende forudsætning for opnåelse af en konkurrencedygtig, fleksibel og agil produktion.Ifølge Kromann analysen kan vi øge produktiviteten med 15 %, hvis vi automatiserer som de bedste indenfor alle områder. Det er denne konkrete langsigtede effekt som projektet ønsker at bidrage til realisering af. I tillæg her til vil projektet arbejde målrettet med at udvikle automatiseringsgraden i de klynger, der i forvejen har eller kan forventes at få betydelig styrke i den syddanske region. Dette sikres gennem samarbejde med klynger og netværk inden for Robotteknologi og regionens aluminiumsklynge, for på den måde at få en dobbelt-op gevinst i den regionale erhvervsudviklingsindsats. Der bliver således ikke blot tale om et projekt, som ¿alene¿ bidrager til at øge den syddanske produktivitet gennem automatisering, men også et projekt, som bidrager til yderligere differentiering og forøgelse af vigtige syddanske styrkepositioner.",Syddanmark,56976116,Teknologisk Institut,Postboks 141,2630,Taastrup,Teknologisk Institut. AluCluster. Syddansk Universitet.,
