Name des Begünstigten,Bezeichnung des Vorhabens,Zusammenfassung des Vorhabens,Datum des Beginns des Vorhabens,Datum des Endes des Vorhabens,Gesamtbetrag der förderfähigen Ausgaben des Vorhabens,Unions-Kofinanzierungssatz pro Prioritätsachse,Durchführungsort des Vorhabens,Landkreis,Land,Bezeichnung der Interventionskategorie für das Vorhaben,Förderrichtlinie,Fördergegenstand
Berufsfortbildungswerk GmbH(bfw),Modulare Ausbildung im Beruf „Zerspanungsmechaniker- Fachrichtung CNC-Bearbeitung“,"Für die Modulare Ausbildung im Beruf „Zerspanungsmechaniker - Fachrichtung CNC-Bearbeitung“ werden der gültige Ausbildungsrahmenplan und die Ausbildungsordnung zu-grunde gelegt. Besonders günstig erweist sich der Einsatz von Modulen, die überschaubar lang sind und eine fortlaufende Integration der Teilnehmer garantieren. Der Erwerb von Modulabschlüssen aus dem Ausbildungsberuf bereitet den Berufsabschluss für den Facharbeiter vor. Nach einer 4-wöchigen Ausbildung erfolgt eine Auswertung mit dem Teilnehmer. Weiterführend werden mit dem Teilnehmer die Qualifizierungsmodule für die folgenden Monate festgelegt. Im Verlauf der Ausbildung werden die inhaltlichen Schwerpunkte des Ausbildungsprogramms unter Anwendung der didaktisch-methodischen Prinzipien des Erwachsenenlernens umgesetzt. Um die Resozialisierung erfolgreich zu gestalten, begleiten wir die Teilnehmer sozialpädagogisch und helfen bei der Bewältigung des Lehrstoffes im Stützunterricht.",18.11.2014,28.02.2017,"284414,51",80,"Torgau, Stadt",Nordsachsen,D,"Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit",Qualifizierung Gefangener - ESF 2014-2020,berufliche Qualifizierungsvorhaben
Berufsfortbildungswerk GmbH(bfw),Modulare Ausbildung im Berufsfeld Fachlagerist und ECDL,"Ziel der Modularen Ausbildung „Fachlagerist“ ist, die Chancen für eine wirksame Integration in den Ausbildungs- und Arbeitsmarkt sowie in die Strukturen der Gesellschaft zu erhöhen. Auf Grundlage des gültigen Ausbildungsrahmenplanes und der gültigen Ausbildungsordnung werden Ausbildungsinhalte unter Anwendung didaktisch-methodischer Prinzipien des Erwachsenenlernens vermittelt, die Gefangenen zum Ablegen von Modulprüfungen befähigt und so auf den Erwerb des Facharbeiterabschluss vorbereitet. Günstig erweist sich dabei der Einsatz von Modulen, die überschaubar lang sind und eine fortlaufende Integration der Teilnehmer ermöglichen. Zur Verbesserung der Beschäftigungsfähigkeit der Zielgruppe sind auch der professionelle Umgang mit dem PC (nach Vorgaben des ECDL) sowie der Erwerb der Gabelstaplerführerscheins Bestandteil der Ausbildung. Parallel zum Projektverlauf werden die Teilnehmer sozialpädagogisch begleitet und bei der Bewältigung des Lernstoffs durch einen Stützlehrer unterstützt.",10.11.2014,28.02.2017,"274845,24",80,"Chemnitz, Stadt","Chemnitz, Kreisfreie Stadt",D,"Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit",Qualifizierung Gefangener - ESF 2014-2020,berufliche Qualifizierungsvorhaben
Berufsfortbildungswerk GmbH(bfw),"Modulare Ausbildung im Berufsfeld ""Gärtner""","Ziel der Modularen Ausbildung „Gärtner“ ist, die Chancen für eine wirksame Integration in den Ausbildungs- und Arbeitsmarkt und in die Strukturen der Gesellschaft zu erhöhen. Auf Grundlage des gültigen Ausbildungsrahmenplanes und der gültigen Ausbildungsordnung werden Ausbildungsinhalte unter Anwendung didaktisch-methodischer Prinzipien des Erwachsenenlernens vermittelt, die Gefangenen zum Ablegen von Modulprüfungen befähigt und so auf den Erwerb des Facharbeiterabschlusses vorbereitet. Günstig erweist sich dabei der Einsatz von Modulen, die absehbar lang sind und eine fortlaufende Integration der Teilnehmer ermöglichen. Zur Verbesserung der Beschäftigungsfähigkeit der Zielgruppe sind auch der professionelle Umgang mit berufstypischen Maschinen und Geräten wie Gabelstapler und Kettensäge Bestandteil der Ausbildung. Um die Resozialisierung erfolgreich zu gestalten, begleiten wir die Teilnehmer sozialpädagogisch und unterstützen sie in der Bewältigung des Lernstoffes im Stützunterricht.",10.11.2014,28.02.2017,"222275,58",80,"Regis-Breitingen, Stadt",Leipzig,D,"Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit",Qualifizierung Gefangener - ESF 2014-2020,berufliche Qualifizierungsvorhaben
Berufsfortbildungswerk GmbH(bfw),Modulare Ausbildung im Berufsfeld Gebäudereinigung,"Das Ziel der Modularen Ausbildung „Gebäudereiniger“ ist, die Chancen für eine wirksame Integration in den Ausbildungs- und Arbeitsmarkt sowie in die Strukturen der Gesellschaft zu erhöhen. Auf Grundlage des gültigen Ausbildungsrahmenplanes und der gültigen Ausbildungsordnung werden Ausbildungsinhalte unter Anwendung didaktisch-methodischer Prinzipien des Erwachsenenlernens vermittelt, die Gefangenen zum Ablegen von Modulprüfungen befähigt und so auf den Erwerb des Facharbeiterabschluss „Gebäudereiniger“ vorbereitet. Besonders günstig erweist sich der Einsatz von Modulen, die überschaubar lang sind und eine fortlaufende Integration der Teilnehmer garantieren. Um die Resozialisierung möglichst erfolgreich zu gestalten, begleiten wir die Teilnehmer sozialpädagogisch und unterstützen sie in der Bewältigung des Lernstoffes im Stützunterricht.",10.11.2014,28.02.2017,"220060,69",80,"Regis-Breitingen, Stadt",Leipzig,D,"Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit",Qualifizierung Gefangener - ESF 2014-2020,berufliche Qualifizierungsvorhaben
Berufsfortbildungswerk GmbH(bfw),Modulare Ausbildung im Berufsfeld Lager/Logistik,"Ziel der Modularen Ausbildung „Lager/Logistik“ ist, die Chancen für eine wirksame Integration in den Ausbildungs- und Arbeitsmarkt und in die Strukturen der Gesellschaft zu erhöhen. Auf Grundlage des gültigen Ausbildungsrahmenplanes und der gültigen Ausbildungsordnung wer-den Ausbildungsinhalte unter Anwendung didaktisch-methodischer Prinzipien des Erwachsenenlernens vermittelt, die Gefangenen zum Ablegen von Modulprüfungen befähigt und so auf den Erwerb des Facharbeiterabschlusses vorbereitet. Günstig erweist sich dabei der Einsatz von Modulen, die überschaubar lang sind und eine fortlaufende Integration der Teilnehmer ermöglichen. Zur Verbesserung der Beschäftigungsfähigkeit der Zielgruppe sind auch der professionelle Umgang mit dem PC (ECDL) und der Erwerb der Gabelstaplerführerscheins Bestandteil der Ausbildung. Um die Resozialisierung erfolgreich zu gestalten, begleiten wir die Teilnehmer sozialpädagogisch und unterstützen sie in der Bewältigung des Lernstoffes im Stützunterricht.",10.11.2014,28.02.2017,"379764,6",80,"Regis-Breitingen, Stadt",Leipzig,D,"Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit",Qualifizierung Gefangener - ESF 2014-2020,berufliche Qualifizierungsvorhaben
Berufsfortbildungswerk GmbH(bfw),"Modulare Ausbildung im Lerncenter ""Farbtechnik ""","Ziel der modularen Weiterbildung im „Lerncenter Farbtechnik“ und der modularen Ausbildung nach dem sächsischen Qualifizierungspass im Beruf „Maler/Lackierer“ ist die Schaffung einer beruflichen Grundlage für eine bessere Integrierung in den Ausbildung– und Arbeitsmarkt. Grundlage ist die aktuelle Ausbildungsverordnung im Maler und Lackiergewerbe. Besonders günstig erweist sich der Einsatz von Modulen, die überschaubar lang sind und eine fortlaufende Integration der Teilnehmer garantieren. Der Erwerb von Modulabschlüssen aus dem Ausbildungsberuf bereitet den Berufsschulabschluss für den Handwerksberuf „Maler/Lackierer"" vor. Nach einer 4 – wöchigen Probezeit erfolgt bezüglich seiner Eignung die Auswertung mit dem Gefangenen. Im Verlauf dieser Probezeit werden die Inhalte des Ausbildungsprogrammes unter Anwendung der didaktisch-methodischen Prinzipien des Erwachsenenlernens umgesetzt. Um die Resozialisierung möglichst erfolgreich zu gestalten, begleiten wir die Teilnehmer sozialpädagogisc",13.03.2015,30.06.2017,"219768,13",80,"Bautzen, Stadt",Bautzen,D,"Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit",Qualifizierung Gefangener - ESF 2014-2020,berufliche Qualifizierungsvorhaben
Berufsfortbildungswerk GmbH(bfw),"Modulare Qualifizierung „Grundlagen der Elektrotechnik""","Ziele der modularen Qualifizierung im Berufsfeld ""Elektrotechnik"" und der modularen Ausbildung nach dem sächsischen Qualifizierungspass in Vorbereitung auf dem Beruf ""Elektroniker"" sind die Bildung einer beruflichen Grundlage für eine bessere Integrierung in den Ausbildung– und Arbeitsmarkt. Dafür werden der jeweils gültige Ausbildungsrahmenplan und die gültige Ausbildungsverordnung zugrunde gelegt. Besonders günstig erweist sich der Einsatz von Modulen, die überschaubar lang sind und eine fortlaufende Integration der Teilnehmer garantieren. Der Erwerb von Modulabschlüssen dient der Vorbereitung auf dem Ausbildungsberuf "" Elektroniker"". Nach einer 4 – wöchigen Probezeit erfolgt bezüglich seiner Eignung die Auswertung mit dem Gefangenen. Im Verlauf dieser Probezeit werden die Inhalte des Ausbildungsprogrammes unter Anwendung der didaktisch – methodischen Prinzipien des Erwachsenenlernens umgesetzt.",03.02.2015,31.05.2016,"117034,88",80,Zeithain,Meißen,D,"Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit",Qualifizierung Gefangener - ESF 2014-2020,berufliche Qualifizierungsvorhaben
Berufsfortbildungswerk GmbH(bfw),"Modulare Qualifizierung im Berufsfeld ""Bau""","Ziele der modularen Qualifizierung im Berufsfeld ""Bau"" und der modularen Ausbildung nach dem sächsischen Qualifizierungspass im Beruf ""Hochbaufacharbeiter"" sind die Bildung einer beruflichen Grundlage für eine bessere Integrierung in den Ausbildung– und Arbeitsmarkt. Dafür werden der jeweils gültige Ausbildungsrahmenplan und die gültige Ausbildungsverordnung zugrunde gelegt. besonders günstig erweist sich der Einsatz von Modulen, die überschaubar lang sind und eine fortlaufende Integration der Teilnehmer garantieren. Der Erwerb von Modulabschlüssen aus dem Ausbildungsberuf bereitet den Berufsschulabschluss für den Facharbeiter "" Hochbaufacharbeiter"" vor. Nach einer 4 – wöchigen Probezeit erfolgt bezüglich seiner Eignung die Auswertung mit dem Gefangenen. Im Verlauf dieser Probezeit werden die Inhalte des Ausbildungsprogrammes unter Anwendung der didaktisch – methodischen Prinzipien des Erwachsenenlernens umgesetzt. Um die Resozialisierung möglichst erfolgreich zu gestalten, begleiten wir die Teilnehmer sozialpädagogisch und unterstützen sie in der Bewältigung des Lernstoffes im Stützunterricht.",18.12.2014,28.04.2017,"264830,92",80,Zeithain,Meißen,D,"Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit",Qualifizierung Gefangener - ESF 2014-2020,berufliche Qualifizierungsvorhaben
Berufsfortbildungswerk GmbH(bfw),Modulare Qualifizierung im Berufsfeld Elektrotechnik,"Ziele der modularen Qualifizierung im Berufsfeld ""Elektrotechnik"" und der modularen Ausbildung nach dem sächsischen Qualifizierungspass in Vorbereitung auf dem Beruf ""Elektroniker"" sind die Bildung einer beruflichen Grundlage für eine bessere Integrierung in den Ausbildung– und Arbeitsmarkt. Dafür werden der jeweils gültige Ausbildungsrahmenplan und die gültige Ausbildungsverordnung zugrunde gelegt. Besonders günstig erweist sich der Einsatz von Modulen, die überschaubar lang sind und eine fortlaufende Integration der Teilnehmer garantieren. Der Erwerb von vorbereitenden Modulabschlüssen dient der Vorbereitung auf dem Ausbildungsberuf "" Elektroniker"". Nach einer 4 – wöchigen Probezeit erfolgt bezüglich seiner Eignung die Auswertung mit dem Gefangenen. Im Verlauf dieser Probezeit werden die Inhalte des Ausbildungsprogrammes unter Anwendung der didaktischen – methodischen Prinzipien des Erwachsenenlernens umgesetzt. Um die Resozialisierung möglichst erfolgreich zu gestalten, begleiten wir die Teilnehmer sozialpädagogisch und unterstützen sie in der Bewältigung des Lernstoffes im Stützunterricht.",09.02.2016,31.05.2017,"126064,46",80,Glaubitz,Meißen,D,"Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit",Qualifizierung Gefangener - ESF 2014-2020,berufliche Qualifizierungsvorhaben
Berufsfortbildungswerk GmbH(bfw),"Modulare Qualifizierung im Berufsfeld ""Farbtechnik""","Ziele der modularen Qualifizierung im Berufsfeld ""Farbtechnik"" und der modularen Ausbildung nach dem sächsischen Qualifizierungspass im Beruf ""Bauten- und Objektbeschichter"" sind die Bildung einer beruflichen Grundlage für eine bessere Integrierung in den Ausbildung– und Arbeitsmarkt. Dafür werden der jeweils gültige Ausbildungsrahmenplan und die gültige Ausbildungsverordnung zugrunde gelegt. besonders günstig erweist sich der Einsatz von Modulen, die überschaubar lang sind und eine fortlaufende Integration der Teilnehmer garantieren. Der Erwerb von Modulabschlüssen aus dem Ausbildungsberuf bereitet den Berufsschulabschluss für den Facharbeiter "" Bauten- und Objektbeschichter"" bzw. „ Maler/ Lackierer“ vor. Nach einer 4 – wöchigen Probezeit erfolgt bezüglich seiner Eignung die Auswertung mit dem Gefangenen. Im Verlauf dieser Probezeit werden die Inhalte des Ausbildungsprogrammes unter Anwendung der didaktisch – methodischen Prinzipien des Erwachsenenlernens umgesetzt.",30.01.2015,31.05.2017,"244614,58",80,Zeithain,Meißen,D,"Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit",Qualifizierung Gefangener - ESF 2014-2020,berufliche Qualifizierungsvorhaben
Berufsfortbildungswerk GmbH(bfw),"Modulare Qualifizierung im Berufsfeld ""Gebäudereinigung""","ZZiele der modularen Qualifizierung im Berufsfeld ""Gebäudereinigung"" und der modularen Ausbildung nach dem sächsischen Qualifizierungspass im Beruf ""Gebäudereiniger"" sind die Bildung einer beruflichen Grundlage für eine bessere Integrierung in den Ausbildung– und Arbeitsmarkt. Dafür werden der jeweils gültige Ausbildungsrahmenplan und die gültige Ausbildungsverordnung zugrunde gelegt. besonders günstig erweist sich der Einsatz von Modulen, die überschaubar lang sind und eine fortlaufende Integration der Teilnehmer garantieren. Der Erwerb von Modulabschlüssen aus dem Ausbildungsberuf bereitet den Berufsschulabschluss für den Facharbeiter "" Gebäudereiniger"" vor. Nach einer 4 – wöchigen Probezeit erfolgt bezüglich seiner Eignung die Auswertung mit dem Gefangenen. Im Verlauf dieser Probezeit werden die Inhalte des Ausbildungsprogrammes unter Anwendung der didaktisch – methodischen Prinzipien des Erwachsenenlernens umgesetzt.",30.01.2015,31.05.2017,"248274,73",80,Zeithain,Meißen,D,"Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit",Qualifizierung Gefangener - ESF 2014-2020,berufliche Qualifizierungsvorhaben
Berufsfortbildungswerk GmbH(bfw),"Modulare Qualifizierung im Berufsfeld ""Holz""","Ziele der modularen Qualifizierung im Berufsfeld ""Holz"" und der modularen Ausbildung nach dem sächsischen Qualifizierungspass im Beruf ""Tischler"" sind die Bildung einer beruflichen Grundlage für eine bessere Integrierung in den Ausbildung– und Arbeitsmarkt. Dafür werden der jeweils gültige Ausbildungsrahmenplan und die gültige Ausbildungsverordnung zugrunde gelegt. besonders günstig erweist sich der Einsatz von Modulen, die überschaubar lang sind und eine fortlaufende Integration der Teilnehmer garantieren. Der Erwerb von Modulabschlüssen aus dem Ausbildungsberuf bereitet den Berufsschulabschluss für den Facharbeiter "" Tischler"" vor. Nach einer 4 – wöchigen Probezeit erfolgt bezüglich seiner Eignung die Auswertung mit dem Gefangenen. Im Verlauf dieser Probezeit werden die Inhalte des Ausbildungsprogrammes unter Anwendung der didaktisch – methodischen Prinzipien des Erwachsenenlernens umgesetzt. Um die Resozialisierung möglichst erfolgreich zu gestalten, begleiten wir die Teilnehmer sozialpädagogisch und unterstützen sie in der Bewältigung des Lernstoffes im Stützunterricht.",12.11.2014,28.02.2017,"264964,32",80,Zeithain,Meißen,D,"Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit",Qualifizierung Gefangener - ESF 2014-2020,berufliche Qualifizierungsvorhaben
Berufsfortbildungswerk GmbH(bfw),"Modulare Qualifizierung im Berufsfeld ""Metall""","Ziele der modularen Qualifizierung im Berufsfeld ""Metall"" und der modularen Ausbildung nach dem sächsischen Qualifizierungspass im Beruf ""Metallbauer"" sind die Bildung einer beruflichen Grundlage für eine bessere Integrierung in den Ausbildung– und Arbeitsmarkt. Dafür werden der jeweils gültige Ausbildungsrahmenplan und die gültige Ausbildungsverordnung zugrunde gelegt. Besonders günstig erweist sich der Einsatz von Modulen, die überschaubar lang sind und eine fortlaufende Integration der Teilnehmer garantieren. Der Erwerb von Modulabschlüssen aus dem Ausbildungsberuf bereitet den Berufsschulabschluss für den Facharbeiter ""Metallbauer"" vor. Nach einer 4 – wöchigen Probezeit erfolgt bezüglich seiner Eignung die Auswertung mit dem Gefangenen. Im Verlauf dieser Probezeit werden die Inhalte des Ausbildungsprogrammes unter Anwendung der didaktischen-methodischen Prinzipien des Erwachsenenlernens umgesetzt. Um die Resozialisierung möglichst erfolgreich zu gestalten, begleiten wir die Teilnehmer sozialpädagogisch und unterstützen sie in der Bewältigung des Lernstoffes im Stützunterricht.",12.11.2014,28.02.2017,"277863,88",80,Zeithain,Meißen,D,"Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit",Qualifizierung Gefangener - ESF 2014-2020,berufliche Qualifizierungsvorhaben
Berufsfortbildungswerk GmbH(bfw),"Modulare Qualifizierung im Berufsfeld ""Schweißen""","Ziele der modularen Qualifizierung im Berufsfeld ""Schweißen"" nach dem TÜV Rheinland in Sachsen sind die Bildung einer beruflichen Grundlage für eine bessere Integrierung in den Ausbildung– und Arbeitsmarkt. Dafür werden der jeweils gültige Ausbildungsrahmenplan und die gültige Ausbildungsverordnung zugrunde gelegt. besonders günstig erweist sich der Einsatz von Modulen, die überschaubar lang sind und eine fortlaufende Integration der Teilnehmer garantieren. Nach einer 4 – wöchigen Probezeit erfolgt bezüglich seiner Eignung die Auswertung mit dem Gefangenen. Im Verlauf dieser Probezeit werden die Inhalte des Ausbildungsprogrammes unter Anwendung der didaktisch – methodischen Prinzipien des Erwachsenenlernens umgesetzt. Um die Resozialisierung möglichst erfolgreich zu gestalten, begleiten wir die Teilnehmer sozialpädagogisch und unterstützen sie in der Bewältigung des Lernstoffes im Stützunterricht.",18.12.2014,29.04.2016,"172046,96",80,"Waldheim, Stadt",Mittelsachsen,D,"Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit",Qualifizierung Gefangener - ESF 2014-2020,berufliche Qualifizierungsvorhaben
Berufsfortbildungswerk GmbH(bfw),Modulare Qualifizierung im Berufsfeld Schweißtechnik,"Ziele der modularen Qualifizierung im Berufsfeld ""Schweißen"" nach dem TÜV Rheinland in Sachsen sind die Bildung einer beruflichen Grundlage für eine bessere Integrierung in den Ausbildung– und Arbeitsmarkt. Dafür werden der jeweils gültige Ausbildungsrahmenplan und die gültige Ausbildungsverordnung zugrunde gelegt. Besonders günstig erweist sich der Einsatz von Modulen, die überschaubar lang sind und eine fortlaufende Integration der Teilnehmer garantieren. Nach einer 4 – wöchigen Probezeit erfolgt bezüglich seiner Eignung die Auswertung mit dem Gefangenen. Im Verlauf dieser Probezeit werden die Inhalte des Ausbildungsprogrammes unter Anwendung der Didaktisch – methodischen Prinzipien des Erwachsenenlernens umgesetzt. Um die Resozialisierung möglichst erfolgreich zu gestalten, begleiten wir die Teilnehmer sozialpädagogisch und unterstützen sie in der Bewältigung des Lernstoffes im Stützunterricht.",22.12.2015,28.04.2017,"175374,34",80,Zeithain,Meißen,D,"Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit",Qualifizierung Gefangener - ESF 2014-2020,berufliche Qualifizierungsvorhaben
Berufsfortbildungswerk GmbH(bfw),"Modulare Qualifizierung „Kfz-Mechatroniker Schwerpunkt Personenkraftfahrzeugtechniker""","Ziele der modularen Qualifizierung im Berufsfeld Kfz – Mechatronik und der modularen Ausbildung nach dem sächsischen Qualifizierungspass im Beruf Kfz – Mechatroniker sind die Bildung einer beruflichen Grundlage für eine bessere Integrierung in den Ausbildung– und Arbeitsmarkt. Dafür werden der jeweils gültige Ausbildungsrahmenplan und die gültige Ausbildungsverordnung zugrunde gelegt. Besonders günstig erweist sich der Einsatz von Modulen, die überschaubar lang sind und eine fortlaufende Integration der Teilnehmer garantieren. Der Erwerb von Modulabschlüssen aus dem Ausbildungsberuf bereitet den Berufsschulabschluss für den Facharbeiter "" Kfz - Mechatroniker"" vor. Nach einer 4 – wöchigen Probezeit erfolgt bezüglich seiner Eignung die Auswertung mit dem Gefangenen. Im Verlauf dieser Probezeit werden die Inhalte des Ausbildungsprogrammes unter Anwendung der didaktischen – methodischen Prinzipien des Erwachsenenlernens umgesetzt. Um die Resozialisierung möglichst erfolgreich zu gestalten,",10.11.2014,28.02.2017,"274719,87",80,Zeithain,Meißen,D,"Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit",Qualifizierung Gefangener - ESF 2014-2020,berufliche Qualifizierungsvorhaben
Berufsfortbildungswerk GmbH(bfw),Modulare Weiterbildung „Bürodienstleistungen – Lager/Logistik“,"Für die Modulare Weiterbildung „Bürodienstleistungen – Lager/Logistik“ mit dem Erwerb der Modulabschlüsse des Europäischen Computerführerscheins und dem Erwerb des Fahrausweises für Flurförderzeuge wird der Lehrrahmenplan zugrunde gelegt. Dieser orientiert sich an den Berufsfeldern Bürodienstleistungen und Lager/Logistik. Der Erwerb von Modulabschlüssen, angelehnt an diese Berufsfelder, die Prüfungen zum ECDL und der Fahrausweis befähigen, sich als Mitarbeiter/ Helfer im Berufsfeld zu integrieren. Nach einer 4-wöchigen Ausbildung erfolgt die Auswertung mit dem Gefangenen. Weiterführend werden die nächsten Module der Ausbildung festgelegt. Im Verlauf der Ausbildung werden die inhaltlichen Schwerpunkte des Ausbildungsprogramms unter Anwendung der didaktisch-methodischen Prinzipien des Erwachsenenlernens umgesetzt. Besonders günstig erweist sich der Einsatz von Modulen, die überschaubar lang sind und die fortlaufende Integration garantieren.",29.10.2015,28.02.2017,"120320,29",80,"Torgau, Stadt",Nordsachsen,D,"Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit",Qualifizierung Gefangener - ESF 2014-2020,berufliche Qualifizierungsvorhaben
Berufsfortbildungswerk GmbH(bfw),Modulare Weiterbildung „Bürodienstleistungen – Lager/Logistik“,"Für die Modulare Weiterbildung „Bürodienstleistungen – Lager/Logistik“ mit dem Erwerb der Modulabschlüsse des Europäischen Computerführerscheins und dem Erwerb des Fahrausweises für Flurförderzeuge wird der Lehrrahmenplan zugrunde gelegt. Dieser orientiert sich an den Berufsfeldern Bürodienstleistungen und Lager/Logistik. Der Erwerb von Modulabschlüssen, angelehnt an diese Berufsfelder, die Prüfungen zum ECDL und der Fahrausweis befähigen, sich als Mitarbeiter/ Helfer im Berufsfeld zu integrieren. Nach einer 4-wöchigen Ausbildung erfolgt die Auswertung mit dem Gefangenen. Weiterführend werden die nächsten Module der Ausbildung festgelegt. Im Verlauf der Ausbildung werden die inhaltlichen Schwerpunkte des Ausbildungsprogramms unter Anwendung der didaktisch-methodischen Prinzipien des Erwachsenenlernens umgesetzt. Besonders günstig erweist sich der Einsatz von Modulen, die überschaubar lang sind und die fortlaufende Integration garantieren.",14.11.2014,28.02.2016,"115366,69",80,"Torgau, Stadt",Nordsachsen,D,"Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit",Qualifizierung Gefangener - ESF 2014-2020,berufliche Qualifizierungsvorhaben
Berufsfortbildungswerk GmbH(bfw),Qualifizierung im Berufsfeld Elektrotechnik / Elektronik,"Ziele der modularen Qualifizierung im Berufsfeld ""Elektrotechnik/ Elektronik"" und der modularen Ausbildung nach dem sächsischen Qualifizierungspass im Beruf „Elektroniker Fachrichtung Energie- und Gebäudetechnik“ sind die Bildung einer beruflichen Grundlage für eine bessere Integrierung in den Ausbildung– und Arbeitsmarkt. Dafür werden der jeweils gültige Ausbildungsrahmenplan und die gültige Ausbildungsverordnung zugrunde gelegt. besonders günstig erweist sich der Einsatz von Modulen, die überschaubar lang sind und eine fortlaufende Integration der Teilnehmer garantieren. Der Erwerb von Modulabschlüssen aus dem Ausbildungsberuf bereitet den Berufsschulabschluss für den Facharbeiter „Elektroniker - Fachrichtung Energie- und Gebäudetechnik“ vor. Nach einer 4 – wöchigen Probezeit erfolgt bezüglich seiner Eignung die Auswertung mit dem Gefangenen.",19.05.2015,30.08.2017,"227300,86",80,"Dresden, Stadt","Dresden, Kreisfreie Stadt",D,"Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit",Qualifizierung Gefangener - ESF 2014-2020,berufliche Qualifizierungsvorhaben
Berufsfortbildungswerk GmbH(bfw),Qualifizierung im Berufsfeld Farbtechnik,"Ziele der modularen Qualifizierung im Berufsfeld ""Farbtechnik"" und der modularen Ausbildung nach dem sächsischen Qualifizierungspass im Beruf ""Bauten- und Objektbeschichter"" sind die Bildung einer beruflichen Grundlage für eine bessere Integrierung in den Ausbildung– und Arbeitsmarkt. Dafür werden der jeweils gültige Ausbildungsrahmenplan und die gültige Ausbildungsverordnung zugrunde gelegt. besonders günstig erweist sich der Einsatz von Modulen, die überschaubar lang sind und eine fortlaufende Integration der Teilnehmer garantieren. Der Erwerb von Modulabschlüssen aus dem Ausbildungsberuf bereitet den Berufsschulabschluss für den Facharbeiter "" Bauten- und Objektbeschichter"" bzw. „ Maler/ Lackierer“ vor. Nach einer 4 – wöchigen Probezeit erfolgt bezüglich seiner Eignung die Auswertung mit dem Gefangenen. Im Verlauf dieser Probezeit werden die Inhalte des Ausbildungsprogrammes unter Anwendung der didaktisch – methodischen Prinzipien des Erwachsenenlernens umgesetzt.",19.05.2015,30.08.2017,"221611,92",80,"Dresden, Stadt","Dresden, Kreisfreie Stadt",D,"Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit",Qualifizierung Gefangener - ESF 2014-2020,berufliche Qualifizierungsvorhaben
