Projektas,Kodas,Pareiškėjas/ Vykdytojas,Paraiškos būsena,Projekto vertė paraiškoje,Prašomas finansavimas,Projekto išlaidų suma,Finansavimas,Išmokėta finansavimo suma,Sutarties pasirašymo data
UAB Artrema darbo našumo didinimas diegiant verslo valdymo sistemą.,03.3.1-LVPA-K-806-01-0403,UAB „Artrema“,Įgyvendinimas,60466,35000,47026,28215.6,0,2016-04-15
Specializuotos internetinės užsakymų srautų valdymo informacinės sistemos su išankstinės rezervacijos moduliu diegimas,03.3.1-LVPA-K-806-01-0404,"UAB ""Mojo lounge""",Nesudaryta sutartis,37019,22151.4,0,0,0,
"Verslo proceso valdymo programos diegimas UAB ""Enso Projects""",03.3.1-LVPA-K-806-01-0405,"UAB ""ENSO PROJECTS""",Nesudaryta sutartis,72598.43,35000,0,0,0,
"Verslo valdymo sistema UAB ""Žaliuzių pasaulis""",03.3.1-LVPA-K-806-01-0406,"UAB ""Žaliuzių pasaulis""",Įgyvendinimas,69220,35000,22820,13692,0,2016-04-13
"UAB ""Akamar"" darbo našumo didinimas diegiant e - verslo sprendimą",03.3.1-LVPA-K-806-01-0407,"UAB ""AKAMAR""",Įgyvendinimas,58689,35000,12120,7272,0,2016-04-13
"Verslo proceso valdymo programos diegimas  UAB ""Salpronė"" ",03.3.1-LVPA-K-806-01-0408,"UAB ""SALPRONĖ""",Nesudaryta sutartis,58815,35000,0,0,0,
"UAB ""Lorita"" darbo našumo didinimas diegiant verslo procesų valdymo sistemą",03.3.1-LVPA-K-806-01-0409,"UAB ""Lorita""",Įgyvendinimas,70100,35000,18950,11370,0,2016-04-13
UAB „Krizių tyrimo centras“ įmonės procesų optimizavimas ir efektyvumo didinimas diegiant elektroninio verslo sprendimus,03.3.1-LVPA-K-806-01-0410,"Uždaroji akcinė bendrovė ""Krizių tyrimo centras""",Nesudaryta sutartis,57331.49,34398.89,0,0,0,
"Verslo proceso valdymo programos diegimas UAB ""Techranga""",03.3.1-LVPA-K-806-01-0411,UAB „Techranga“,Įgyvendinimas,58333.19,35000,25415.74,15249.44,0,2016-04-13
"UAB ""Nortijos grupė"" darbo našumo didinimas diegiant e - verslo sprendimus",03.3.1-LVPA-K-806-01-0412,"UAB ""Nortijos grupė""",Nesudaryta sutartis,51470,30882,0,0,0,
"Elektroninės gamybos valdymo sistemos įdiegimas ir pritaikymas UAB ,,Baltic ILP""",03.3.1-LVPA-K-806-01-0413,UAB Baltic ILP,Nesudaryta sutartis,53580,32148,0,0,0,
"Verslo valdymo sistemos diegimas UAB ""Vilunge""",03.3.1-LVPA-K-806-01-0414,"Uždaroji akcinė bendrovė ""Vilungė""",Nesudaryta sutartis,57669.42,28834.71,0,0,0,
"Darbo našumo didinimas UAB ""Tavira"" diegiant e- verslo sprendimus",03.3.1-LVPA-K-806-01-0415,"UAB ""TAVIRA""",Įgyvendinimas,58360,35000,53810,32269.86,0,2016-04-11
"Verslo proceso valdymo sistemos diegimas UAB ""IMP-EX LIETUVA""",03.3.1-LVPA-K-806-01-0416,"UAB ""IMP-EX LIETUVA",Įgyvendinimas,63755,35000,14505,8703,0,2016-04-19
"Verslo valdymo sistemos diegimas UAB ""Ramus Baltic""",03.3.1-LVPA-K-806-01-0417,"Uždaroji akcinė bendrovė ""Ramus Baltic""",Nesudaryta sutartis,59000,35000,0,0,0,
"UAB ,,Dėmesio srautas"" veiklos procesų optimizavimas, diegiant inovatyvius elektroninio verslo sprendimus",03.3.1-LVPA-K-806-01-0418,"UAB ""Dėmesio srautas""",Nesudaryta sutartis,21120,12672,0,0,0,
"UAB ""Reklamos vizija"" darbo našumo didinimas, diegiant verslo valdymo sistemas",03.3.1-LVPA-K-806-01-0419,"UAB ""Reklamos vizija""",Nesudaryta sutartis,51570,30942,0,0,0,
"UAB ""AG Service"" darbo našumo didinimas, diegiant verslo pracesų valdymo sistemą",03.3.1-LVPA-K-806-01-0420,"UAB ""AG Service""",Nesudaryta sutartis,59700,29850,0,0,0,
"Verslo valdymo sistemos diegimas UAB ""LITCARGO""",03.3.1-LVPA-K-806-01-0421,UAB Litcargo,Nesudaryta sutartis,64280,35000,0,0,0,
"Darbo našumo didinimas UAB ""Provivo LT"" diegiant verslo valdymo sistemą",03.3.1-LVPA-K-806-01-0422,"UAB ""PROVIVO LT""",Įgyvendinimas,60705,35000,16100,9660,0,2016-04-08
"Verslo procesų valdymo sistemos diegimas ""UAB Ardega""",03.3.1-LVPA-K-806-01-0423,"UAB ""Ardega""",Nesudaryta sutartis,55660,33396,0,0,0,
"Įmonėje UAB ""BUDMAT STEEL SERVICE""  CRM klientų valdymo sistemos diegimas",03.3.1-LVPA-K-806-01-0424,"UAB ""BUDMAT STEEL SERVICE""",Nesudaryta sutartis,59548.48,35000,0,0,0,
"UAB ""Savingė"" darbo našumo didinimas, diegiant e - verslo sprendimus",03.3.1-LVPA-K-806-01-0425,"UAB ""Savingė""",Nesudaryta sutartis,74880,35000,0,0,0,
"Verslo procesų valdymo programos diegimas UAB ""Žavi šypsena""",03.3.1-LVPA-K-806-01-0426,"UAB ""Žavi šypsena""",Nesudaryta sutartis,63790,35000,12840,7704,0,2016-04-04
Darbo našumo didinimas UAB „Elucida“,03.3.1-LVPA-K-806-01-0427,"UAB ""Elucida""",Įgyvendinimas,58110,34866,50010,30006,0,2016-04-04
"Verslo valdymo sistemos diegimas UAB ""MV Baltic Company""",03.3.1-LVPA-K-806-01-0428,"UAB ""MV Baltic Company""",Įgyvendinimas,63900,35000,50994,30596.4,0,2016-04-11
"Transporto ir logistikos paslaugų procesų optimizavimas UAB ,,Transkela""",03.3.1-LVPA-K-806-01-0429,"UAB ""Transkela""",Įgyvendinimas,68700,34350,42150,21075,0,2016-04-12
"UAB ,,TLSC"" produktyvumo didinimaas, optimizuojant su krovinių gabenimo paslaugomis susijusių verslo procesų atlikimą ir veiklos organizavimo procesus",03.3.1-LVPA-K-806-01-0430,"UAB ""TLSC""",Įgyvendinimas,58280,34968,46880,28128,0,2016-04-12
"UAB ,,Corpus Medica"" procesų valdymo sistemos sukūrimas ir integravimas į įmonės veiklą",03.3.1-LVPA-K-806-01-0431,"UAB ""Corpus Medica""",Nesudaryta sutartis,13873.64,8324.18,0,0,0,
"Plastikinių produktų gamyklos energijos, energijos išteklių ir vandens vartojimo auditas",04.2.1-LVPA-K-804-01-0001,"UAB ""HODA""",Įgyvendinimas,3750,2250,2500,1500,0,2016-04-15
"UAB ""Kauen craft"" energijos vartojimo auditas",04.2.1-LVPA-K-804-01-0002,"UAB ""Kauen craft""",Įgyvendinimas,21482.75,12889.65,21482.75,12889.65,0,2016-04-15
"Energetinis auditas įmonėje AB ""Anykščių kvarcas""",04.2.1-LVPA-K-804-01-0003,"Akcinė bendrovė ""Anykščių kvarcas""",Nesudaryta sutartis,8500,3870,0,0,0,
"Energijos vartojimo efektyvumo didinimas UAB ""Rūta""",04.2.1-LVPA-K-804-01-0004,"Uždaroji akcinė bendrovė ""Rūta""",Įgyvendinimas,12791,7674.6,11000,6600,0,2016-04-13
"UAB ""TAUMONA"" PASIRENGIMAS ENERGIJOS SĄNAUDŲ ĮMONĖS VEIKLOJE SUMAŽINIMUI",04.2.1-LVPA-K-804-01-0005,"Uždaroji akcinė bendrovė ""Taumona""",Įgyvendinimas,12317,7390.2,12317,7390.2,0,2016-04-15
UAB TAULIDAS PASIRENGIMAS ENERGIJOS SĄNAUDŲ ĮMONĖS VEIKLOJE SUMAŽINIMUI,04.2.1-LVPA-K-804-01-0006,"UAB ""Taulidas""",Įgyvendinimas,8000,5600,8000,5600,0,2016-04-20
"UAB ""FRUSELA"" PASIRENGIMAS ENERGIJOS SĄNAUDŲ ĮMONĖS VEIKLOJE SUMAŽINIMUI",04.2.1-LVPA-K-804-01-0007,"UAB ""Frusela""",Įgyvendinimas,27800,19460,27800,16680,0,2016-04-14
UAB RIESTLITA PASIRENGIMAS ENERGIJOS SĄNAUDŲ ĮMONĖS VEIKLOJE SUMAŽINIMUI,04.2.1-LVPA-K-804-01-0008,"UAB ""Riestlita""",Įgyvendinimas,11500,6900,11500,6900,0,2016-04-12
"UAB ""MIGIRIS"" PASIRENGIMAS ENERGIJOS SĄNAUDŲ ĮMONĖS VEIKLOJE SUMAŽINIMUI",04.2.1-LVPA-K-804-01-0009,"UAB ""Migiris""",Įgyvendinimas,22483,13489.8,21400,12840,0,2016-04-14
"Energijos vartojimo audito atlikimas UAB ""Deliuvis"" siekiant nustatyti energijos vartojimo mažinimo galimybes ",04.2.1-LVPA-K-804-01-0010,"Uždaroji akcinė bendrovė ""DELIUVIS""",Nesudaryta sutartis,14600,10220,0,0,0,
Energijos  vartojimo  mažinimo galimybių  nustatymo  projektas,04.2.1-LVPA-K-804-01-0011,"UAB ""Skado medis""",Baigtas įgyvendinti,8000,5600,8000,4800,0,2016-04-18
"UAB ""Selteka"" energijos vartojimo auditas",04.2.1-LVPA-K-804-01-0012,"Uždaroji akcinė bendrovė ""Selteka""",Įgyvendinimas,14800,8880,14800,8880,0,2016-04-15
"Įmonės UAB ""Retal Lithuania"" energijos vartojimo įmonėje mažinimas ",04.2.1-LVPA-K-804-01-0013,"UAB ""RETAL Lithuania""",Įgyvendinimas,25000,12500,19775,9887.5,0,2016-04-14
"UAB ""Terekas"" technologiniuose procesuose naudojamų energijos išteklių auditas",04.2.1-LVPA-K-804-01-0014,"Uždaroji akcinė bendrovė ""Terekas""",Įgyvendinimas,24500,14700,24500,14700,0,2016-04-13
"UAB ""Polywood"" energijos išteklių vartojimo technologiniuose procesuose ir įrenginiuose auditas",04.2.1-LVPA-K-804-01-0015,"UAB ""POLYWOOD""",Įgyvendinimas,28925,17355,28925,17355,0,2016-04-15
"UAB ""ELIUDA"" PASIRENGIMAS ENERGIJOS SĄNAUDŲ ĮMONĖS VEIKLOJE SUMAŽINIMUI",04.2.1-LVPA-K-804-01-0016,"UAB ""Eliuda""",Įgyvendinimas,49733,24866.5,49733,24866.5,0,2016-04-19
"UAB ""NS2"" PASIRENGIMAS ENERGIJOS SĄNAUDŲ ĮMONĖS VEIKLOJE SUMAŽINIMUI",04.2.1-LVPA-K-804-01-0017,"UAB ""NS2""",Įgyvendinimas,49217,24608.5,49216.67,24608.33,0,2016-04-08
"Energijos vartojimo efektyvumo didinimas įmonėje UAB ""METALISTAS LT""",04.2.1-LVPA-K-804-01-0018,"Uždaroji akcinė bendrovė ""METALISTAS LT""",Įgyvendinimas,30900,18540,30100,18060,0,2016-04-15
Energijos vartojimo apimčių identifikavimas spaustuvės paslaugas teikiančioje įmonėje,04.2.1-LVPA-K-804-01-0019,"UAB ""FLEXPRO""",Įgyvendinimas,10700,7490,10700,7490,0,2016-04-18
Energijos vartojimo apimčių identifikavimas metalo apdirbimo įmonėje,04.2.1-LVPA-K-804-01-0020,"Uždaroji akcinė bendrovė ""LT Technologies""",Nesudaryta sutartis,21833.33,15283.3,0,0,0,
"Energetinio audito atlikimas įmonėje UAB ""Akvavita""",04.2.1-LVPA-K-804-01-0021,"UAB ""AKVAVITA""",Įgyvendinimas,25000,17500,25000,15000,0,2016-06-15
"Energetinio audito atlikimas įmonėje UAB ""Birštono mineraliniai vandenys"" ir Ko",04.2.1-LVPA-K-804-01-0022,"Uždaroji akcinė bendrovė ""Birštono mineraliniai vandenys"" ir Ko",Įgyvendinimas,35000,21000,35000,21000,0,2016-04-14
"Įmonės AB ""PLASTA"" energijos vartojimo mažinimo galimybės",04.2.1-LVPA-K-804-01-0023,"Akcinė bendrovė ""PLASTA""",Įgyvendinimas,42000,21000,40794,20397,0,2016-04-13
"UAB ""Statga"" suvartojamos energijos audito atlikimas",04.2.1-LVPA-K-804-01-0024,"UAB ""Statga""",Įgyvendinimas,4780,2390,4780,2390,0,2016-04-13
"Energijos vartojimo apimties identifikacija ir jos mažinimo galimybės  UAB ""SAVINGĖ""",04.2.1-LVPA-K-804-01-0025,"Uždaroji akcinė bendrovė ""SAVINGĖ""",Nesudaryta sutartis,50000,30000,0,0,0,
"Energijos vartojimo apimties identifikacija ir jos mažinimo galimybės  UAB ""Tomdeka""",04.2.1-LVPA-K-804-01-0026,"UAB ""Tomdeka""",Nesudaryta sutartis,16293,11405.1,0,0,0,
"Energijos vartojimo apimties identifikacija ir jos mažinimo galimybės  UAB ""Lintera""",04.2.1-LVPA-K-804-01-0027,"Uždaroji akcinė bendrovė ""Lintera""",Nesudaryta sutartis,28400,17040,23000,13800,0,2016-04-15
"Energijos vartojimo apimties identifikacija ir jos mažinimo galimybės  UAB ""Techranga""",04.2.1-LVPA-K-804-01-0028,"UAB ""TECHRANGA""",Nesudaryta sutartis,15500,10850,0,0,0,
"Energijos vartojimo apimties identifikacija ir jos mažinimo galimybės  UAB ""Aramiso skrynia""",04.2.1-LVPA-K-804-01-0029,"Uždaroji akcinė bendrovė ""Aramiso skrynia""",Nesudaryta sutartis,12500,8750,0,0,0,
Logistikos paslaugų įmonės darbuotojų specifinių kompetencijų ugdymas ,09.4.3-ESFA-K-805-01-0001,"Uždaroji akcinė bendrovė ""RABEN LIETUVA""",Įgyvendinimas,96046.07,48023.03,96046.07,48023.03,0,2016-05-10
"UAB ""Viking Industrier"" inovatyvaus vadybos metodo diegimas",03.3.1-LVPA-K-820-01-0008,"UAB ""Viking Industrier""",Nesudaryta sutartis,140000,70000,0,0,0,
"Vadybos metodo įdiegimas UAB ""RUBINETA"" poreikių patenkinimui",03.3.1-LVPA-K-820-01-0009,"UAB ""RUBINETA""",Įgyvendinimas,27550,13775,27550,13775,0,2016-05-26
"UAB ""Thule Operations Center I"" darbuotojų kvalifikacijos kėlimas",09.4.3-ESFA-K-805-01-0003,"UAB ""Thule Operations Center I""",Įgyvendinimas,852653.56,426326,852653.56,426326,0,2016-05-09
"UAB ""Selteka"" produktyvumo didinimas diegiant LEAN vadybos metodų sistemą",03.3.1-LVPA-K-820-01-0010,"UAB ""Selteka""",Įgyvendinimas,59336,29668,59336,29668,0,2016-05-25
Dviejų lygių sankirtų su geležinkeliu Marijampolės miesto Gedimino ir Aušros gatvėse rekonstrukcija,06.2.1-TID-V-508-01-0001,Marijampolės savivaldybės administracija,Įgyvendinimas,15529604.48,11194151.07,15363141.67,11194151.07,0,2016-04-21
DOKTORANTŪROS STUDIJŲ PLĖTRA,09.3.3-ESFA-V-711-01-0001,Lietuvos mokslo taryba,Įgyvendinimas,22487238,22487238,22487238,22487238,0,2016-01-27
Duomenų bazės „Lituanistika“ plėtra,09.3.3-ESFA-V-711-01-0002,Lietuvos mokslo taryba,Įgyvendinimas,1303289.49,1303289.49,1303289.49,1303289.49,0,2016-04-27
Mokslo ir studijų institucijoms LITNET teikiamų IT paslaugų plėtra,09.3.3-ESFA-V-711-01-0003,Kauno technologijos universitetas,Įgyvendinimas,868860,868860,868860,868860,0,2016-04-28
Periodinių mokslo leidinių leidyba ir jos koordinavimas,09.3.3-ESFA-V-711-01-0004,Lietuvos mokslų akademija,Įgyvendinimas,1303290,1303290,1303290,1303290,0,2016-05-20
Akademinio pripažinimo sistemos stiprinimas (KAPRIS-2),09.3.2-ESFA-V-710-01-0001,Studijų kokybės vertinimo centras,Įgyvendinimas,868859,868859,868859,868859,0,2015-10-20
Aukštųjų mokyklų išorinio vertinimo sistemos stiprinimas (AMIS-3),09.3.2-ESFA-V-710-01-0002,Studijų kokybės vertinimo centras,Įgyvendinimas,2766946.25,2766946.25,2766946.25,2766946.25,0,2015-10-20
Bendrojo priėmimo į aukštąsias mokyklas sistemos plėtojimas,09.3.2-ESFA-V-710-01-0003,Lietuvos aukštųjų mokyklų asociacija bendrajam priėmimui organizuoti,Įgyvendinimas,1830304.23,1830304.23,1830304.23,1830304.23,0,2015-10-29
„Bendrojo ugdymo mokyklų (progimnazijų ir pagrindinių mokyklų) modernizavimas: šiuolaikinių mokymosi erdvių kūrimas“,09.1.3-CPVA-V-704-01-0001,Švietimo ir mokslo ministerijos Švietimo aprūpinimo centras,Įgyvendinimas,2896200.18,2896200.18,2896200.18,2896200.18,0,2015-12-28
Tikslinių transporto priemonių (geltonųjų autobusų) įsigijimas,09.1.3-CPVA-V-704-01-0002,Švietimo ir mokslo ministerijos Švietimo aprūpinimo centras,Įgyvendinimas,6082020.39,6082020.39,6082020.39,6082020.39,0,2015-12-21
Tyrėjų tarptautinės kompetencijos ugdymas (TYKU2),09.3.3-ESFA-V-711-01-0005,"Mokslo, inovacijų ir technologijų agentūra",Įgyvendinimas,811550,811550,811550,811550,0,2016-04-27
Mokslo ir studijų pažangos stebėsenos ir vertinimo sistemos sukūrimas ir įdiegimas,09.3.2-ESFA-V-710-02-0001,Mokslo ir studijų stebėsenos ir analizės centras,Įgyvendinimas,2316960.15,2316960.15,2316960.15,2316960.15,0,2015-12-01
Nacionalinės mokslo populiarinimo sistemos plėtra ir įgyvendinimas,09.3.3-ESFA-V-711-01-0006,Lietuvos mokslų akademija,Nesudaryta sutartis,1303290,1303290,0,0,0,
Magistralinių dujotiekių katodinės saugos priežiūros automatizavimas įdiegiant nuotolinio stebėjimo ir valdymo sistemą,06.3.1-LVPA-V-104-01-0001,"AB ""Amber Grid""",Įgyvendinimas,1262700,631350,1262700,631350,0,2016-03-01
"Dujų chromatografų, deguonies kiekio dujose analizatorių ir dujų drėgmės analizatorių su lazeriniu keitikliu įrengimas",06.3.1-LVPA-V-104-01-0002,"AB ""Amber Grid""",Įgyvendinimas,529650,264825,529650,264825,0,2016-03-01
Programinės įrangos perdavimo sistemos operatoriaus ir sistemos naudotojų dujų srautų valdymui ir  keitimuisi informacija užtikrinti diegimas,06.3.1-LVPA-V-104-01-0003,"AB ""Amber Grid""",Įgyvendinimas,739314.06,369657.03,738035.46,369017.73,0,2016-03-01
Programinės įrangos ir modelio dujotiekių saugumui ir vientisumui užtikrinti diegimas,06.3.1-LVPA-V-104-01-0004,"AB ""Amber Grid""",Įgyvendinimas,807812.56,403906.28,807472.56,403736.28,0,2016-03-01
Programinės ir techninės įrangos dujų nuotėkio nustatymui ir lokalizavimui diegimas,06.3.1-LVPA-V-104-01-0005,"AB ""Amber Grid""",Įgyvendinimas,877772.32,438886.16,877432.32,438716.16,0,2016-03-01
Kontrolinio įtaiso paleidimo ir priėmimo kamerų įrengimas ir dujų perdavimo sistemos operatyvaus technologinio valdymo diegimas,06.3.1-LVPA-V-104-01-0006,"AB ""Amber Grid""",Įgyvendinimas,12048000,6024000,12048000,6024000,0,2016-03-01
"Elektrėnų, Jonavos ir Alytaus dujų skirstymo stočių modernizavimas",06.3.1-LVPA-V-104-01-0007,"AB ""Amber Grid""",Įgyvendinimas,7016000,3508000,3965364.02,1982682.01,0,2016-03-01
Panevėžio dujų kompresorių stoties modernizavimas,06.3.1-LVPA-V-104-01-0008,"AB ""Amber Grid""",Įgyvendinimas,6000000,3000000,6000000,3000000,0,2016-03-01
Valstybinės reikšmės krašto kelių rekonstrukcija. I etapas,06.2.1-TID-V-507-01-0001,Lietuvos automobilių kelių direkcija prie Susisiekimo ministerijos,Įgyvendinimas,36001385.19,30410101.95,36001385.19,23153636.01,0,2016-01-07
Krašto kelio Nr. 102 Vilnius-Švenčionys-Zarasai rekonstravimas,06.2.1-TID-V-507-01-0002,Lietuvos automobilių kelių direkcija prie Susisiekimo ministerijos,Įgyvendinimas,13393067.11,11006000,13393067.11,11006000,0,2016-02-29
"Prisitaikymo prie klimato kaitos gerinimas, stiprinant valstybinės priešgaisrinės gelbėjimo  tarnybos reagavimo pajėgumus",05.1.1-CPVA-V-901-01-0001,Priešgaisrinės apsaugos ir gelbėjimo departamentas prie Vidaus reikalų ministerijos,Įgyvendinimas,3715823,3715823,3715823,3715823,0,2016-04-25
Gyventojų perspėjimo apie pavojus sistemos tobulinimas ir plėtra,05.1.1-CPVA-V-901-01-0002,Priešgaisrinės apsaugos ir gelbėjimo departamentas prie Vidaus reikalų ministerijos,Įgyvendinimas,778493,778493,778493,778493,0,2016-04-28
Valdymo sistemų diegimas UAB „Linatė sistemos“,03.3.1-LVPA-K-820-01-0011,"UAB ""Linatė sistemos""",Nesudaryta sutartis,14000,7000,0,0,0,
Kretingos miesto plėtros strategijos rengimas,08.6.1-ESFA-T-909-02-0001,Kretingos miesto vietos veiklos grupė,Baigtas įgyvendinti,4040,3737,4040,3737,0,2016-01-06
Šakių miesto VVG vietos plėtros strategijos rengimas,08.6.1-ESFA-T-909-02-0002,Šakių miesto vietos veiklos grupė,Baigtas įgyvendinti,4320,3996,4320,3996,0,2016-01-07
Rietavo miesto plėtros strategijos parengimas,08.6.1-ESFA-T-909-02-0003,Rietavo miesto vietos veiklos grupė,Nesudaryta sutartis,0,0,0,0,0,
Zarasų miesto vietos plėtros strategijos parengimas,08.6.1-ESFA-T-909-02-0004,Zarasų miesto vietos veiklos grupė,Nesudaryta sutartis,0,0,0,0,0,
Zarasų miesto Vietos plėtros strategijos parengimas,08.6.1-ESFA-T-909-02-0005,Zarasų miesto vietos veiklos grupė,Baigtas įgyvendinti,4495,3996,4495,3996,0,2016-02-01
Palangos miesto vietos plėtros strategijos rengimas,08.6.1-ESFA-T-909-02-0006,Palangos vietos veiklos grupė,Nesudaryta sutartis,4200,4200,0,0,0,
Jonavos miesto vietos plėtros strategijos rengimas,08.6.1-ESFA-T-909-02-0007,Jonavos vietos veiklos grupė,Baigtas įgyvendinti,4320,3996,4320,3996,0,2016-01-22
Šventosios  seniūnijos ir Nemirsetos bei Kunigiškių seniūnaitijų vietos plėtros strategijos rengimas ,08.6.1-ESFA-T-909-02-0008,Šventosios  seniūnijos ir Nemirsetos bei Kunigiškių seniūnaitijų vietos veiklos grupė,Nesudaryta sutartis,4320,4320,0,0,0,
Rietavo miesto plėtros strategijos parengimas,08.6.1-ESFA-T-909-02-0009,Rietavo miesto vietos veiklos grupė,Baigtas įgyvendinti,4320,3996,4320,3996,0,2016-02-02
Naujosios Akmenės miesto vietos veiklos grupės vietos plėtros strategijos parengimas,08.6.1-ESFA-T-909-02-0010,Naujosios Akmenės miesto vietos veiklos grupė,Baigtas įgyvendinti,4310.03,3986.77,4310.03,3986.77,0,2016-01-29
"UAB Klasmann-Deilmann Šilutė žmogiškųjų išteklių  potencialo didinimas, siekiant užtikrinti tolimesnį tiesioginių užsienio investicijų augimą",09.4.3-ESFA-K-805-01-0002,UAB Klasmann-Deilmann Šilutė,Įgyvendinimas,75257.46,37628.73,75257.46,37628.73,0,2016-07-08
"UAB ""EXADEL LT"" darbuotojų mokymai",09.4.3-ESFA-K-805-01-0004,"UAB ""EXADEL LT""",Įgyvendinimas,473075.06,236537,473075.06,236537,0,2016-05-09
"""Lindorff Business Services"", UAB darbuotojų kvalifikacijos kėlimas",09.4.3-ESFA-K-805-01-0005,"""Lindorff Business Services"", UAB",Įgyvendinimas,964596,482297,964596,482297,0,2016-05-11
"UAB ""CSC Baltic"" darbuotojų kvalifikacijos kėlimas",09.4.3-ESFA-K-805-01-0006,"UAB ""CSC Baltic""",Įgyvendinimas,857718.75,428859,810045.28,405022,0,2016-06-30
UAB „BOEN Lietuva“ darbuotojų mokymai ir kvalifikacijos tobulinimas,09.4.3-ESFA-K-805-01-0007,"Uždaroji akcinė bendrovė ""BOEN Lietuva""",Įgyvendinimas,518712.11,259356.05,518712.11,259356.05,0,2016-05-09
"UAB ""Thule Operations Center II"" darbuotojų kvalifikacijos kėlimas",09.4.3-ESFA-K-805-01-0008,"UAB ""Thule Operations Center II""",Įgyvendinimas,294221,147110,294221,147110,0,2016-05-09
"""LV UAB ""Hi-steel"" darbuotojų kvalifikacijos, žinių ir gebėjimų tobulinimas""",09.4.3-ESFA-K-805-01-0009,"Lietuvos ir Vokietijos uždaroji akcinė bendrovė ""HI-STEEL""",Įgyvendinimas,512509.35,256254.67,512509.35,256254.67,0,2016-05-09
Elektros energetikos objektų projektavimo įmonės specialistų profesinių kompetencijų ugdymas ,09.4.3-ESFA-K-805-01-0010,AB Energetikos tinklų institutas,Įgyvendinimas,231280.12,115640.06,231280.12,115640.06,0,2016-05-05
AQ Wiring Systems UAB darbuotojų specifinių kompetencijų ugdymas,09.4.3-ESFA-K-805-01-0011,AQ Wiring Systems UAB,Įgyvendinimas,392166.98,196083.49,392166.98,196083.49,0,2016-05-09
"UAB ""TRANSCOM WORLDWIDE VILNIUS"" darbuotojų kvalifikacijos kėlimas",09.4.3-ESFA-K-805-01-0012,"UAB ""TRANSCOM WORLDWIDE VILNIUS""",Įgyvendinimas,1000000,500000,844933,422466,0,2016-07-11
„Maisto saugos vadybos sistemos diegimas UAB „Herba Humana““,03.3.1-LVPA-K-820-01-0012,UAB „Herba Humana“,Nesudaryta sutartis,15550,7775,0,0,0,
Informacijos saugos vadybos sistemos diegimas,03.3.1-LVPA-K-820-01-0013,"UAB ""Baltic Orthoservice""",Įgyvendinimas,32733,16366.5,16941.11,8470.55,0,2016-06-01
Geros gamybos praktikos (GGP) standartų įdiegimas naujame Biotechpharma padalinyje,03.3.1-LVPA-K-820-01-0014,"UAB Biotechnologinės farmacijos centras ""Biotechpharma""",Nesudaryta sutartis,20953.5,10476.75,0,0,0,
"UAB ""Estina"" informacijos saugumo valdymo sistemos diegimo projektas",03.3.1-LVPA-K-820-01-0015,"UAB ""Estina""",Įgyvendinimas,27190,13595,13490,6745,0,2016-05-31
UAB Bidvest Lietuva darbuotojų profesinių žinių stiprinimas,09.4.3-ESFA-K-805-01-0013,"Uždaroji akcinė bendrovė ""Bidvest Lietuva""",Nesudaryta sutartis,125844.87,62922.43,0,0,0,
"""Be-Ge Baltic"", UAB, žmogiškųjų išteklių kvalifikacijos tobulinimas ir darbo įgūdžių gerinimas, vykdant 2016-2019 m. investicijas",09.4.3-ESFA-K-805-01-0014,"""Be-Ge Baltic"", UAB",Įgyvendinimas,134165.84,67082.92,134165.84,67082.92,0,2016-05-09
"UAB “Visma Lietuva” darbuotojų kvalifikacijos, žinių ir gebėjimų tobulinimas",09.4.3-ESFA-K-805-01-0015,"UAB ""Visma Lietuva""",Įgyvendinimas,963697.58,481848.79,963697.58,481848.79,0,2016-05-09
"UAB ""ES Security"" procesų optimizavimas",03.3.1-LVPA-K-820-01-0016,"UAB ""ES Security""",Nesudaryta sutartis,58995,29497.5,0,0,0,
"UAB ""DS Smith Packaging Lithuania"" darbuotojų profesinės kompetencijos tobulinimas",09.4.3-ESFA-K-805-01-0016,UAB DS Smith Packaging Lithuania,Įgyvendinimas,421959.64,210962.96,421959.64,210962.96,0,2016-05-09
"AB ""Volfas Engelman"" darbuotojų profesinių kompetencijų ugdymas",09.4.3-ESFA-K-805-01-0017,"AB ""Volfas Engelman""",Įgyvendinimas,202435.14,101217.57,177812.86,88906.43,0,2016-07-07
"Rinkodaros žinių ir paslaugų centro darbuotojų kvalifikacijos, žinių ir gebėjimų tobulinimas",09.4.3-ESFA-K-805-01-0018,"UAB ""Inspired Communications""",Įgyvendinimas,128553,77131,128553,77131,0,2016-05-12
"Variklių paslaugų centro darbuotojų kvalifikacijos, žinių ir gebėjimų tobulinimas",09.4.3-ESFA-K-805-01-0019,"UAB ""Nippon Auto""",Nesudaryta sutartis,210000,105000,0,0,0,
UAB TIA Technology IT specialistų profesinių žinių stiprinimas,09.4.3-ESFA-K-805-01-0020,"UAB ""TIA Technology""",Įgyvendinimas,193461.25,116076.75,193461.25,116076.75,0,2016-05-10
SYNLAB LIETUVA darbuotojų mokymas ir kvalifikacijos tobulinimas,09.4.3-ESFA-K-805-01-0021,synlab Lietuva UAB,Įgyvendinimas,156797.95,78398.97,156797.95,78398.97,0,2016-05-09
"PKC Group Lithuania darbuotojų kvalifikacijos, žinių ir gebėjimų tobulinimas",09.4.3-ESFA-K-805-01-0022,PKC Group Lithuania UAB,Įgyvendinimas,912149.42,456074.71,912149.42,456074.71,0,2016-05-13
