Project_Nummer     Project_Number,Actie,Tijdvak,Naam Aanvrager                                                  Beneficiary name,Locatie project      operation postcode; or other appropriate location indicator,Land       Country,Inverventie- categorie  Name of category of intervention,Naam Project                                                           Project Name,Project samenvatting                                                                                           Project Summary,Startdatum project           Project start date,Einddatum project          Project end date,EUSF subsidie toegekend verlening   ESF approved on request Union cofinancing (max 50%),Totale subsidiabele kosten bij verlening            Total eligible expenditure on request
2014EUSF2011940,VSO,2014,gemeente Venlo,Venlo,NL,n.v.t.,Arbeidstoeleiding van Kwetsbare Jongeren,"
Aanleiding:
De invoering van de Participatiewet vanaf 2015 geeft grote invloed op de rechtstreekse arbeidstoeleiding voor leerlingen van het praktijkonderwijs (PrO) en voortgezet speciaal onderwijs (VSO). Deze kwetsbare groep jongeren is vaak aangewezen op intensieve begeleiding en ondersteuning om aan het werk te komen en aan het werk te blijven. Wanneer geen aanvullende activiteiten worden ondernomen komen deze jongeren bij de gemeenten als participatie- of als werkklant. 
Het PRO en VSO zijn veelal eindonderwijs en het einddoel is een zo zelfstandig mogelijke plaats in de maatschappij. Door de landelijke ontwikkelingen Ã©n de recessie komt het uitstroomperspectief richting het mbo, beschermde en reguliere arbeid onder druk te staan. Een integrale benadering en een soepele overgang van school naar werk is van groot belang. 

Activiteiten:
De voorgenomen samenwerking tussen de PRO en VSO scholen, gemeenten en UWV uit onze arbeidsmarktregio is een eerste stap naar een integraal en goed afgestemde uitvoering tussen onderwijs, ondernemers en overheid. Ingezet wordt op het versterken van de bestaande structuur en voorzieningen voor kwetsbare jongeren die kunnen werken, maar niet in staat zijn een startkwalificatie te behalen.

Doelstelling:
Door extra begeleiding bij de genoemde activiteiten krijgen leerlingen met een grotere afstand op de arbeidsmarkt een betere kans op werk. We willen komen tot een sluitend netwerk rondom kwetsbare jongeren en ondernemers: van passend onderwijs naar passend werk.

Beoogde resultaten:
- Met de activiteiten bevorderen we de aansluiting op de arbeidsmarkt of vervolgonderwijs
- De arbeidstoeleiding (begeleiding naar werk) binnen de regio is integraal, toekomst- en preventiegericht
- Voorkomen vroegtijdig schoolverlaten 
- De jongeren worden beter voorbereid op een realistisch arbeidsmarktperspectief gericht op een kansrijk beroep
- Waar mogelijk behalen jongeren een (deel)certificaat gericht op een specifiek kansrijk beroep.",01.11.2014,31.07.2016,€ 659.985,€ 1.319.970
2014EUSF2011941,AMR,2014,gemeente Venlo,Venlo,NL,n.v.t.,Elk talent telt,"In onze arbeidsmarktregio wordt door een samenwerking tussen voortgezet speciaal onderwijs, praktijkonderwijs, entreeonderwijs, UWV, gemeenten en het Werkgeversservicepunt regio Noord-Limburg invulling gegeven aan een integraal en goed afgestemde uitvoering tussen onderwijs, ondernemers en overheid (deze samenwerking wordt ook aangeduid als de netwerkorganisatie Baanwijs). Met de ingezette activiteiten leren we de jongeren de benodigde kennis, vaardigheden en houding die nodig is om werk te kunnen verrichten dat voornamelijk gebeurt met de handen. We kwalificeren de kwetsbare jongeren, afhankelijk van hun belangstelling en arbeidsmogelijkheden leiden we ze op voor verschillende branches zoals onder andere techniek, horeca, groen, zorg, winkel, logistiek, schoonmaak.

Ambitie en doelstelling:
In de arbeidsmarktregio Noord-Limburg benutten we het arbeidspotentieel van jongeren volledig, elk talent telt, door leerwerkarrangementen samen met partners vanuit onderwijs en UWV te organiseren op het gebied van:
 school naar werk
 werk naar werk
 uitkering naar werk 
",01.01.2015,31.12.2016,€ 633.015,€ 1.515.092
2014EUSF2011953,AMR,2014,gemeente Helmond,Helmond,NL,n.v.t.,Peelland work,"Het project Peelland@work is bedoeld als diagnose instrument voor werkzoekenden die bij de gemeente hulp vragen. Gemeente Helmond richt zich op de doelgroepen zoals vermeld in de Subsidieregeling ESF 2014-2020, o.m.  jongeren, 55+, > 6 maanden uitkering, etcetera.

Na een intake bij de poort van de gemeente worden werkzoekenden, indien ze voldoen aan de voorwaarden, doorgeleid naar het project. De werkzoekenden gaan enerzijds de werknemersvaardigheden verbeteren en werken aan de motivatie en anderzijds starten met trainingen zoals professioneel gedrag, omgaan met werk en de training inspiratie en sollicitatie om te werken. Naast het normale traject zijn er ook binnen het project extra instrumenten ontwikkeld voor onder ander anderstaligen en werkzoekenden die nog niet volledig kunnen deelnemen.

Anderstaligen werkzoekenden (Peelland@anderstaligen)
Voor anderstalige werkzoekenden, met een laag Nederlands taalniveau, is binnen het project in samenwerking met Werkvloertaal een instrument ontwikkeld (taal & werk-diagnose). Het doel is om, afhankelijk van de leerbaarheid van de werkzoekende, de instrumenten van Peelland@work zoveel mogelijk in te zetten. De doelen van Peelland@work blijven waar mogelijk gehandhaafd. 

Belemmerde werkzoekenden (Samen bouwen aan de toekomst)
Werkzoekenden met belemmeringen die nog niet volledig kunnen deel nemen aan het normale traject van het project Peelland@work worden via het instrument Samen bouwen aan de toekomst voorbereid.

Doorstromen naar een leerwerkplek (instrument De Kans)
Afhankelijk van het adviesrapportage bestaat een mogelijkheid voor werkzoekenden om door te stromen naar een leerwerkplek Groenvoorziening, V.A.L., Schoonmaak, Horeca en Detailhandel of Facilitaire diensten. De werkzoekenden kunnen hun werknemersvaardigheden en  kansen op de markt vergroten. De begeleiding gebeurt door een werkleider, zijn assistent en een participatiecoach die tevens bemiddelt naar de arbeidsmarkt.
",01.01.2015,31.03.2017,€ 757.200,€ 1.736.509
2014EUSF2011955,VSO,2014,Gemeente Haarlem,HAARLEM,NL,n.v.t.,Werken aan je toekomst,"Aanleiding: 
Vanaf 2015, als de Participatiewet van kracht gaat, worden de arbeidsmarktkansen aanzienlijk kleiner voor leerlingen van het praktijkonderwijs (PRO) en voortgezet speciaal onderwijs (VSO). Voor deze groep jongeren, die vanwege een handicap te kampen hebben met functiebeperkingen, is het vaak niet mogelijk om zonder ondersteuning op de arbeidsmarkt actief te zijn. Wanneer geen aanvullende activiteiten worden ondernomen komen deze jongeren bij de gemeenten als participatie- of als werkklant.

Activiteiten:
De voorgenomen samenwerking tussen de PRO en VSO scholen uit onze arbeidsmarktregio is een eerste stap naar een integraal beleid. Met deze subsidieaanvraag zetten we in op het versterken van de bestaande structuur en voorzieningen voor jongeren: Stage- werkplekleren en Jobcoaching; en op de sub-activiteiten Branchecursus en Leerwerkbedrijf.

Doelstelling:
Door extra begeleiding bij de hierboven genoemde activiteiten krijgen leerlingen met een grotere afstand op de arbeidsmarkt een betere kans op werk of een vervolgopleiding. 

Beoogde resultaten:
Met de activiteiten wordt de aansluiting van PRO en VSO op de arbeidsmarkt of vervolgonderwijs bevorderd. De gezamenlijke ambitie van de scholen en centrumgemeente Haarlem is om voor alle jongeren uit de doelgroep een op de toekomstgericht passend aanbod richting arbeid te doen en te realiseren. De scholen willen samenwerken waardoor instrumenten slimmer ingezet worden. De scholen gaan netwerkbijeenkomsten inplannen, om te komen tot: 
- een efficiÃ«nte inzet van middelen (vso/pro bundeling); 
- een gezamenlijk stagebestand; 
- een betere voorbereiding op de arbeidsmarktgerichte beroepskeuze; 
- het waar mogelijk behalen van een ertificaat gericht op een specifiek beroep door de jongeren; 
- rechtstreekse toeleiding van school naar werk (trajectbegeleiding, werkgeversbenadering, o.a. met jobcoachorganisatie Heliomare); 
- de arbeidstoeleiding van de PRO en VSO scholen binnen de regio is integraal, toekomst- en preventiegericht. ",01.11.2014,31.07.2016,€ 564.150,€ 1.128.300
2014EUSF2011956,AMR,2014,Gemeente Haarlem,HAARLEM,NL,n.v.t.,Toeleiding naar en behoud van werk,"De gemeente Haarlem wil als coÃ¶rdinerende gemeente de werkloosheid in de regio voorkomen en bestrijden door in samenwerking met IJmond, Paswerk en Perspectief Leerwerkbedrijven te investeren in de arbeidstoeleiding en de duurzame arbeidsinpassing binnen de doelgroepen:

- WWB > 6 maanden een uitkering; 
- 55+;
- Kwetsbare jongeren. 

Het succes van het project wordt bepaald door de intensieve (individuele) begeleiding, wat bestaat uit groepsgewijze aanpak, inzet van werkstages, leerwerktrajecten, werkgeverservicepunt, opleiding en training en gerichte communicatietussen de deelnemer, begeleider en (externe) samenwerkingspartners.

Activiteiten: 
In een groep met een vastomlijnd werk- en/of leerprogramma of door middel van individuele begeleiding worden de deelnemers onder leiding van professionele begeleiders toegeleid naar een passende arbeidsplek. Tevens worden coachings- en nazorgactiviteiten ingezet t.b.v. duurzame uitstroom. 

Doelstelling: 
Door begeleidingsactiviteiten in te zetten krijgen de deelnemers met een grotere afstand op de arbeidsmarkt betere kans op werk. 

Beoogde resultaten:
- Re-integratie en bevorderen van de aansluiting op de arbeidsmarkt; 
- In het kader van de arbeidstoeleiding (begeleiding naar werk) het stimuleren van integraal werken,   toekomst- en preventiegerichtheid;
- De deelnemers worden beter voorbereid op het uitoefenen van een beroep.
",29.10.2014,28.01.2017,€ 1.316.350,€ 3.752.249
2014EUSF2011957,AMR,2014,Gemeente Gorinchem,Gorinchem,NL,n.v.t.,ESF Arbeidsmarktregio Gorinchem 2014-2016,"De Arbeidsmarktregio Gorinchem kent een lange geschiedenis van structurele samenwerking op het gebied van sociale zaken en dienstverlening. De in 2002 opgerichte Regionale Sociale Dienst en Kredietbank Alblasserwaard/Vijfheerenlanden (RSD-AV), een samenwerkingsverband tussen zeven gemeenten, voert voor een populatie van ongeveer 140.000 inwoners elf verschillende taken uit op het gebied van werk, uitkeringen, inburgering, bijzondere kosten, inkomen, schulden, scholing, werk en zorg. Zo biedt de RSD-AV hulp, advies en ondersteuning aan jongeren tussen de 18 en 27 jaar op zoek naar werk of een opleiding, wordt maandelijks aan ruim 1.550 cliÃ«nten met een uitkering voor levensonderhoud ondersteuning geboden en helpt het RSD cliÃ«nten bij het vinden van algemeen geaccepteerde arbeid. Hierin werkt de RSD nauw samen met werk-leerbedrijf Avelingen Groep.  
De innovatieve samenwerking van de sociale diensten in de Arbeidsmarktregio Gorinchem is effectief en succesvol. Een bevestiging hiervan kreeg de RSD-AV in 2012 met de uitverkiezing tot beste sociale dienst van Nederland. 
Dit ESF-project heeft vorm gekregen via de geÃ¯nstitutionaliseerde structuur van de RSD-AV. De dagelijkse leiding is in handen van de directeur die wordt aangestuurd door het Dagelijks Bestuur (DB). Het DB wordt gevormd door de wethouders Sociale Zaken van de samenwerkende gemeenten. Boven het Dagelijks Bestuur staat het Algemeen Bestuur (AB). Dit wordt gevormd door de leden van het DB samen met enkele wethouders en  gemeenteraadsleden uit de betrokken gemeenten.
De in deze aanvraag opgenomen activiteiten worden door de  RSD-AV voor alle inwoners van de Arbeidsmarkt Gorinchem uitgevoerd. Bij het vormgeven van het projectplan is gekeken naar activiteiten en instrumenten die effect sorteren, arbeidsmarktrelevant zijn en waarvoor het haalbaar en rendabel is een ESF-administratie uit te voeren. 
De centrumgemeente Gorinchem heeft als aanvrager ingestemd met dit project. Het project is op 31 oktober ingediend, feitelijke uitvoering start op 1 januari 2015.",29.10.2014,31.12.2016,€ 284.550,€ 937.031
2014EUSF2011961,AMR,2014,Gemeente Arnhem,Arnhem,NL,n.v.t.,Actieve inclusie dmv een sluitende aanpak,"Aanleiding:
Vanaf 1 januari 2015 worden gemeenten verantwoordelijk voor de ondersteuning van kwetsbare groepen in de samenleving. De regio Midden Gelderland gaat voor deze kwetsbare groep extra gerichte activiteiten uitvoeren en vraagt hiervoor een bijdrage uit het Europees Sociaal Fonds.

Doelgroep:
De regio Midden Gelderland zet met deze subsidieaanvraag in om een sluitende aanpak naar de arbeidsmarkt te realiseren. Dit project richt zich met name op de doelgroep jongeren tot 28 jaar en op mensen met een WWB- of andere gemeentelijke uitkering.

Activiteiten:
Alle gemeenten in de arbeidsmarktregio Midden Gelderland participeren in de subsidieaanvraag, de activiteiten waarop wordt ingezet zijn:
* Klantmanagers jongerenloket
* Trajectkosten
* Begeleiding leerbanen
* Toeleidingstraject via Presikhaaf bedrijven (SW bedrijf)
* Loonkostensubsidie
* Concept project 55+

Doelstelling:
Door extra begeleiding bij de hierboven genoemde activiteiten krijgen deelnemers met een grotere afstand op de arbeidsmarkt een betere kans op werk, dagbesteding of een vervolgopleiding.",01.01.2015,31.12.2016,€ 2.157.050,€ 5.031.623
2014EUSF2011964,VSO,2014,Gemeente Tiel,Tiel,NL,n.v.t.,VSO PRO project AMR Rivierenland,"Aanleiding van onderhavig project is het feit dat voor veel leerlingen geen passende uitstroom kan worden bereikt. Hierbij gaat het bijvoorbeeld om probleem- en risicojongeren met een slecht perspectief op arbeid, maar ook om leerlingen die zelf een slecht beeld hebben van de voor hun geschikte uitstroomrichtingen. De doelstelling van dit project is dan ook om enerzijds de arbeidsoriÃ«ntatie van de leerlingen reeds in een vroeg stadium te begeleiden, testen en te matchen met de competenties van de leerlingen, en anderzijds het aanbod van stages en concrete opdrachten uit de beroepspraktijk te vergroten. In het kader van onderhavig project worden de leerlingen intensief voorbereid op arbeid middels beroepsgericht onderwijs en stages.",30.10.2014,29.10.2016,€ 413.940,€ 827.880
2014EUSF2011967,AMR,2014,Gemeente Enschede,Enschede,NL,n.v.t.,ESF Arbeidsmarktregio Twente 2014-2016,"De aanvraag ?ESF Arbeidsmarktregio Twente 2014-2016? is de tweede aanvraag die de Arbeidsmarktregio Twente in het kader van Actieve inclusie (ESF 2014-2020) bij het ESF indient. De eerste aanvraag betrof een aanvraag voor de VSO/PRO scholen. Naast de aanvragen voor Actieve inclusie (ESF 2014-2020) heeft de centrumgemeente Enschede voor de Arbeidsmarktregio Twente ook een ESF-aanvraag ingediend voor actie Jeugd 2014. Het project bestaat uit re-integratie activiteiten. De arbeidsmarktaanpak bestaat uit vier strategische doelen. Daarnaast worden plaatsingssubsidies
ingezet, het Leerwerkloket en nazorg VSO/PRO.",01.12.2014,28.02.2017,€ 3.016.650,€ 9.174.499
2014EUSF2011970,AMR,2014,Gemeente Eindhoven,Eindhoven,NL,n.v.t.,ESF project 2014-2020 Regio Eindhoven 1e tranche,"Aanleiding: Arbeidsmarktregio Eindhoven heeft ervoor gekozen om het Participatiebudget in te zetten met het streven naar
uitkeringsonafhankelijkheid van cliÃ«nten. De projecten die in deze ESF aanvraag zijn opgenomen bevorderen de uitstroom van bijstandsgerechtigden naar betaalde arbeid en creÃ«ren een goed functionerende arbeidsmarkt waarbij de match tussen vraag en aanbod voorop staat. Activiteiten: De activiteiten bestaan uit inzet van re-integratietrajecten uitgevoerd door externe partners, klantmanagement door extern ingehuurde klantmanagers, diagnose van het zittend bestand (> 1 jaar uitkering) en loonkostensubsidies en/of
baanbonussen. Doelstelling: Door de hierboven genoemde activiteiten krijgen de cliÃ«nten met een grotere afstand op de arbeidsmarkt een betere kans op werk of een vervolgopleiding.",01.11.2014,31.01.2017,€ 1.774.150,€ 3.548.300
2014EUSF2011974,VSO,2014,Gemeente Den Haag,Den Haag,NL,n.v.t.,Arbeidstoeleiding PrO-vso Haaglanden,"Het Nederlandse kabinet zet ESF 2014-2020 in om actieve inclusie te bevorderen van (ex-)leerlingen PrO/vso. De arbeidsmarktregio Haaglanden wil in de periode 2015 t/m 2016 ESF-middelen investeren in de arbeidstoeleiding en duurzame arbeidsinpassing/arbeidsintegratie van ca. 2.000 (ex-)leerlingen vanaf 15 jaar. Deze jongeren zijn kwetsbaar op de arbeidsmarkt en hebben voor het verkrijgen/behouden van een baan extra aandacht en hulp nodig. Hoewel PrO/vso de afgelopen jaren heeft geÃ¯nvesteerd in de kwaliteitsverbetering van de arbeidstoeleiding, is de ESF-subsidie juist nu zeer gewenst om de (ex-)leerlingen adequate, passende professionele ondersteuning/begeleiding te bieden. 
De arbeidstoeleiding wordt vormgegeven door een intensieve samenwerking van gemeenten met de scholen en andere ketenpartners tijdens de transitiefase, d.w.z. de laatste 2 schooljaren t/m 2 jaren nazorg erna. De arbeidsvoorbereidende inzet in de laatste fase van het onderwijs bevordert een goede startpositie, waardoor een succesvolle entree op de arbeidsmarkt kan worden gemaakt (arbeidinpassing).  De loopbaan van de individuele leerling is leidend en bepaalt de gewenste ondersteuning tijdens de transitie.  Monitoring ervan kan geschieden door koppeling van het Individueel Transitieplan (ITP) aan het individueel ontwikkelingsplan (IOP) van de scholen.  PrO/vso sluit hiermee aan op de Aanpak Jeugdwerkloosheid Haaglanden en Zuid-Holland Centraal, 2013-2014 ?Ruim baan voor de jeugd?, waarin staat dat extra inspanningen nodig zijn om te voorkomen dat jongeren aan de kant komen te staan zonder opleiding of werk.",01.01.2015,31.12.2016,€ 2.686.800,€ 5.753.859
2014EUSF2011976,AMR,2014,Gemeente Den Haag,Den Haag,NL,n.v.t.,Haaglanden 2015-2016,"De arbeidsmarkt is regionaal landelijk georganiseerd. Met name de wat grotere werkgevers houden zich  niet aan gemeentegrenzen. In de AMR Haaglanden zorgen meerdere werkgeversservicepunten voor dienstverlening aan lokale en regionaal wervende werkgevers.
Vanuit de werkgeversservicepunten en jongerenloketten wordt de aansluiting gezocht met werkgevers die vacatures hebben en worden uitkeringsgerechtigden en NUO-ers indien nodig voorbereid op de eisen van de regionale werkgevers. Hiervoor worden verschillende instrumenten ingezet. Het kan gaan om loonkostensubsidies, scholingstrajecten en/of ervaringstrajecten in een (semi-)reguliere setting bij werkgevers. In het ESF-project 2015-2016 worden door de gemeenten Den Haag, Delft, Midden-Delfland, Rijswijk en Westland uitsluitende de begeleidingskosten van de interne medewerkers  en de loonkostensubsidies opgenomen. ",01.01.2015,31.03.2017,€ 6.269.200,€ 15.672.499
2014EUSF2011977,AMR,2014,"Gemeente Amsterdam, Dienst Werk en Inkomen",Amsterdam,NL,n.v.t.,Toeleiding AMR Groot-Amsterdam,"De tussenrapportage is vanuit het voorzichtigheidsbeginsel opgesteld. De onbekendheid met de nieuwe caseload methodiek in relatie met de late publicatie van de HPA en de  onduidelijkheid die deze nog oproept alsook het ontbreken van een vastgesteld controleprogramma, zijn redenen geweest om alleen de kosten te rapporteren die in eerdere controles van het Agentschap szw declarabel zijn beoordeeld. In 2015 zijn, door overlap laatste ESF-aanvraag J, alleen de maanden november en december nog declarabel voor de huidige AMR-aanvraag. In beginsel zijn er meer dan voldoende declarabele projectkosten voor 2015 (zie overzicht in betekenisvolle wijzigingen). ",01.01.2015,31.12.2016,€ 9.566.200,€ 26.485.190
2014EUSF2011980,AMR,2014,Gemeente Emmen,Emmen,NL,n.v.t.,Werk In Uitvoering AMR Drenthe,"De samenwerkende gemeenten uit de arbeidsmarktregio Drenthe zijn voornemens om zich extra in te spannen om de ESF doelgroepen met een afstand tot de arbeidsmarkt inclusief de doelgroep jongeren toe te leiden naar een duurzame plaatsing op de reguliere arbeidsmarkt. Deze doelgroepen hebben veelal extra ondersteuning nodig bij het re-integreren naar de arbeidsmarkt. De klantmanagers van de gemeenten uit de arbeidsmarktregio Drenthe begeleiden en coachen de deelnemers gedurende het gehele toeleidingstraject naar de arbeidsmarkt. 
Gedurende het toeleidingstraject kunnen klantmanagers instrumenten zoals een plaatsingssubsidie/loonkostensubsidie of extern ingekochte trajecten inzetten. Deze instrumenten worden op basis van maatwerk ingezet door de klantmanagers. 
Daarnaast zal er binnen dit ESF project extra formatie worden ingezet voor de begeleiding van de doelgroep VSO/PRO jongeren naar de reguliere arbeidsmarkt.   
De doelgroep bestaat uit deelnemers die behoren tot de doelgroepen zoals gesteld in de ESF regeling 2014-2020. Dit zijn; 
- Jongeren, waaronder de doelgroep VSO/PRO
- 55 plussers
- Arbeidsbelemmerden
- NUO
- > 6 maanden uitkering
Doelstelling van dit ESF project is om deelnemers middels intensieve begeleiding en coaching door de klantmanagers van de gemeente, toe te leiden naar een duurzame uitplaatsing op de reguliere arbeidsmarkt. 
De arbeidsmarktregio Drenthe heeft ervoor gekozen om een hogere ESF aanvraag in te dienen. De kosten zoals opgenomen in deze ESF aanvraag zijn realiseerbaar binnen de gestelde projectduur van 24 maanden. Indien het ESF budget van de huidige aanvraagronde niet volledig zal worden beschikt verzoekt de arbeidsmarktregio Drenthe middels deze ESF aanvraag om een hogere ESF subsidie toe te kennen aan de arbeidsmarktregio Drenthe.   ",01.01.2015,31.12.2016,€ 1.444.052,€ 3.464.432
2014EUSF2011981,VSO,2014,Gemeente Almere,Almere,NL,n.v.t.,OP WEG NAAR WERK I,"De werkloosheid is in de provincie Flevoland in vergelijking met de andere Provincies hoog. Dit maakt het ook voor starters op de arbeidsmarkt erg moeilijk. Voor een deel is dit simpelweg te wijten aan gebrek aan betaald werk. Maar niet alleen, ook het vinden van een geschikte kandidaat voor de bestaande vacatures blijkt lastig. Des te belangrijker dus, dat de werelden van school en arbeidsmarkt optimaal op elkaar aansluiten. De scholen van het Voorgezet Speciaal Onderwijs (VSO) en het Praktijkonderwijs (Pro) in de arbeidsmarktregio Flevoland gaan deze uitdaging aan en zetten gezamenlijk in op een betere aansluiting tussen onderwijs en arbeidsmarkt. Om dit te bereiken hebben zij de focus gelegd op een drietal maatregelen op het raakvlak van school en werk. Deze maatregelen zijn: Branchecursussen, Stage-werkplekken en het Leerwerkbedrijf 

Doel van een Branchecursus is het toeleiden van kwetsbare jongeren met een beperking naar een duurzame plek op de arbeidsmarkt. Het gaat hierbij om de gerichte voorbereiding op een stageplek. De cursus zal de toeleiding naar werk bevorderen en verhoogt de kwaliteit van de werkzaamheden op de stageplek. Bij de stage-werkplekken gaat het om de keuze van de juiste stageplek. Ouders, school, leerling en stagebedrijven maken in deze samen een keuze. Het uiteindelijke doel is, dat de individuele stage uitmondt in een werkplek waar de leerling na zijn schooltijd kan gaan werken. Het leerwerkbedrijf is een samenwerking met een echt bedrijf om een leerwerkbedrijf te kunnen starten. Er wordt een overeenkomst getekend tussen het bedrijf en de school voor praktijkonderwijs. Leerlingen van het praktijkonderwijs lopen bij het leerwerkbedrijf stage. Het doel is om leerlingen in soortgelijke bedrijven te laten uitstromen of binnen het moederbedrijf een werkplek te geven. Zowel medewerkers van het Pro als van het bedrijf zijn werkbegeleider in het leerwerkbedrijf. Er zullen meer dan 996 (ex)leerlingen aan dit project deelnemen.
",30.10.2014,29.10.2016,€ 871.950,€ 2.773.723
2014EUSF2011983,AMR,2014,"Gemeente Utrecht, Werk en Inkomen",Utrecht,NL,n.v.t.,Regio Midden-Utrecht ESF 2015-2016,"Arbeidsmarktregio Midden-Utrecht bestaat uit vijf sub-regio?s: gemeente Utrecht, sub-regio Lekstroom, sub-regio Kromme Rijn Heuvelrug, gemeente Stichtse Vecht en sub-regio Ferm Werk.  
De gemeenten in deze sub-regio?s hebben een samenwerkingsverband gesloten met als doel het genereren van het maximale subsidiebedrag voor de arbeidsmarktregio. 
De ESF-activiteiten die de regio Midden-Utrecht in deze aanvraag opvoert, zijn reguliere activiteiten: (onderdelen van) casemanagement, interne trainingen, externe trainingen, instrumenten en trajecten en plaatsingssubsidies. Al deze activiteiten zijn gericht op het voorkomen van jeugdwerkloosheid en vergroting van de mogelijkheden tot arbeidsinpassing. 
",01.01.2015,31.12.2016,€ 2.520.700,€ 5.670.841
2014EUSF2011985,AMR,2014,Gemeente Roermond,Roermond,NL,n.v.t.,Iedereen doet mee,"Aanleiding:
Het programma arbeidsmarktbeleid van gemeente Roermond is gericht op een goede aansluiting tussen de vraag en het aanbod naar arbeid en een betere afstemming tussen het onderwijs en de arbeidsmarkt. Extra aandacht gaat hierbij uit naar jongeren en kwetsbare groepen op de arbeidsmarkt zoals mensen met een arbeidsbeperking.

Voor werkzoekende jongeren van 18 tot 27 jaar wordt een alternatief geboden voor de uitkering door hen in staat te stellen om gedurende 6 maanden in het bedrijfsleven relevante werkervaring op te doen en competenties te verbeteren. De laagdrempelige regeling is bedoeld voor werkloze jongeren met startkwalificatie en met geen of weinig relevante werkervaring.

Gemeente Roermond wil samen met gemeente Maasgouw, Weert en Nederweert, Startersbeurs en KEC de werkloosheid in de regio voorkomen en bestrijden door te investeren in jongeren en personen die een WWB-uitkering, een aanvullende IOAW-uitkering, een aanvullende IOAZ-uitkering, of een uitkering van het UWV ontvangen en in de twaalf maanden voorafgaand aan hun deelname aan een project deze uitkering(en) in totaal zes maanden of langer hebben ontvangen. In de arbeidsmarktregio Midden-Limburg, waarvan Roermond centrumgemeente is, wordt een regionaal samenwerkingsverband opgezet (Werkbedrijf), dat op een praktische wijze invulling gaat geven en de randvoorwaarden gaat scheppen om deze
doelstelling te bereiken.

Doelstelling:
Verkleinen van de afstand tot en vergroten van de mogelijkheden op de arbeidsmarkt zodat deelnemers betere kansen hebben om aan het werk te gaan. 

Beoogde resultaten:
1. Vergroten van de arbeidskansen voor jongeren door deelname aan werkervaringsplaatsen als opstap naar reguliere arbeid;
2. Re-integratie en bevorderen van de aansluiting op de arbeidsmarkt;
3. In het kader van de arbeidstoeleiding (begeleiding naar werk) het stimuleren van integraal werken, toekomst- en preventiegerichtheid;
4. De deelnemers worden beter voorbereid op het uitoefenen van een beroep.",01.01.2015,31.03.2017,€ 580.000,€ 1.761.601
2014EUSF2011987,VSO,2014,Gemeente Roermond,Roermond,NL,n.v.t.,Actieve inclusie kwetsbare jongeren Midden Limburg,"Aanleiding:
Vanaf 2015, als de Participatiewet van kracht gaat, worden de arbeidsmarktkansen aanzienlijk kleiner voor leerlingen van het praktijkonderwijs (PRO) en voortgezet speciaal onderwijs (VSO). Voor deze groep jongeren, die vanwege een handicap te kampen hebben met functiebeperkingen, is het vaak niet mogelijk om zonder ondersteuning op de arbeidsmarkt actief te zijn. Wanneer geen aanvullende activiteiten worden ondernomen komen deze jongeren bij de gemeenten als participatie- of als werkklant. 
Het PRO en VSO zijn veelal eindonderwijs en het einddoel is een zo zelfstandig mogelijke plaats in de maatschappij. Door de landelijke ontwikkelingen Ã©n de recessie komt het uitstroomperspectief van deze leerlingen richting het mbo, beschermde en reguliere arbeid onder druk te staan. Voor deze jongeren is een integrale benadering en een soepele overgang van school naar werk van groot belang. 

Activiteiten:
De voorgenomen samenwerking tussen de PRO en VSO scholen uit onze arbeidsmarktregio is een eerste stap naar een integraal beleid. Met deze subsidieaanvraag zetten we in op het versterken van de bestaande structuur en voorzieningen voor jongeren. De activiteiten waarop wordt ingezet zijn Stage- werkplekleren, Branchecursus en het Leerwerkbedrijf.

Doelstelling:
Door extra begeleiding bij de hierboven genoemde activiteiten krijgen leerlingen met een grotere afstand op de arbeidsmarkt een betere kans op werk of een vervolgopleiding. 

Beoogde resultaten:
- Met de activiteiten bevorderen we de aansluiting van PRO en VSO op de arbeidsmarkt of vervolgonderwijs
- De arbeidstoeleiding (begeleiding naar werk) van de PRO en VSO scholen binnen de regio is integraal, toekomst- en preventiegericht
- Voorkomen vroegtijdig schoolverlaten binnen PRO en VSO
- De jongeren worden beter voorbereid op de arbeidsmarktgerichte beroepskeuze
- Waar mogelijk behalen jongeren een (deel)certificaat gericht op een specifiek beroep
",01.11.2014,31.07.2016,€ 580.000,€ 1.394.454
