Name,Bezeichnung des Vorhabens,"Zusammenfassung des Vorhabens","Datum des Beginns des Vorhabens","Datum des Endes des Vorhabens","Gesamtbetrag der förderfähigen Ausgaben des Vorhabens in €","Unions-Kofinanzierungssatz","Kofinanzierung aus anderen öffentlichen Mitteln",PLZ,Land,Interventionsbereich,"Finanzierungsform",Art des Gebietes,"Territoriale Umsetzungsmechanismen","Sekundäres ESF-Thema"
Jobcenter Landkreis Aschaffenburg,Coaching von Bedarfsgemeinschaften,Durch konsequentes Coaching soll der Zugang für die Zielgruppe zur Beschäftigung in den ersten Arbeitsmarkt verbessert werden. Das Coaching soll durch die Methoden der „Hilfe zur Selbsthilfe“ sowie der Weiterentwicklung und Steigerung der individuellen Lern- und Leistungsprozesse die Vermittlungs- und Wiedereingliederungschancen in den ersten Arbeitsmarkt erhöhen.,01.04.2015,31.03.2017,"327.939,65",50%,50%,63739,Bayern/DE,109,1,1,7,1
Jobcenter Landkreis Aschaffenburg,Soziale Teilhabe durch Coaching,Durch konsequentes Coaching soll der Zugang für die Zielgruppe zur Beschäftigung in den ersten Arbeitsmarkt verbessert werden. Das Coaching soll durch die Methoden der „Hilfe zur Selbsthilfe“ sowie der Weiterentwicklung und Steigerung der individuellen Lern- und Leistungsprozesse die Vermittlungs- und Wiedereingliederungschancen in den ersten Arbeitsmarkt erhöhen.,01.01.2016,31.12.2017,"318.089,24",50%,50%,63739,Bayern/DE,109,1,1,7,1
Don Bosco Berufsschule,BIJ - Berufsintegrationsjahr an der Don Bosco Berufsschule,"Berufsschulpflichtige junge Menschen ohne Ausbildungsplatz besuchen die Don Bosco Berufsschule. Sie verbessern ihre Sprachkompetenz und die Teilhabe-Chancen an Ausbildung und Arbeit. Zielgruppe sind junge Asylsuchende, Flüchtlinge, EU-Migranten und Migranten. Das BIJ  fördert (kooperativ) die Berufswahl- und Ausbildungsreife mittels Sprachförderung und sozialpädagogischer Betreuung.",01.09.2015,31.08.2016,"68.700,00",55%,0%,97082,Bayern/DE,115,1,1,7,8
Landkreis Altötting,BIJ-Berufssprache Deutsch,"Das Projekt hat zum Ziel, Jugendliche mit erhöhtem Entwicklungspotential im Bereich ""Sprache"", zu fördern und zu fordern, damit zum einen die Ausbildungs- und Arbeitsreife erlangt und zum anderen eine Teilhabe am gesellschaftlichen Leben ermöglicht wird.",01.09.2015,31.08.2016,"67.438,00",53%,47%,,Bayern/DE,115,1,7,7,8
Landkreis Eichstätt,1. Klasse Berufsintegrationsjahr (BIJ) an Berufsschulen,Mithilfe eines höheren Anteils an betrieblicher Praxis und gezielter Sprachförderung sollen die Chancen auf eine dauerhafte Integration in Ausbildung oder Beschäftigung verbessert werden. Auch kann der Hauptschulabschluss erworben werden.,01.09.2015,31.08.2016,"70.050,00",54%,46%,85072,Bayern/DE,115,1,2,7,8
Landkreis Eichstätt,2. Klasse Berufsintegrationsjahr (BIJ) an Berufsschulen,Mithilfe eines höheren Anteils an betrieblicher Praxis und gezielter Sprachförderung sollen die Chancen auf eine dauerhafte Integration in Ausbildung oder Beschäftigung verbessert werden. Auch kann der Hauptschulabschluss erworben werden.,01.09.2015,31.08.2016,"68.700,00",55%,45%,85072,Bayern/DE,115,1,2,7,8
Landkreis Garmisch-Partenkirchen,Klassen des Berufsintegrationsjahrs (BIJ),"Zielgruppe sind insbesondere berufsschulpflichtige Jugendliche mit Migrationshintergrund (z.B. junge Asylsuchende Flüchtlinge).
Im Rahmen eines Berufsintegrationsjahr (BIJ) sollen sie eine gezielte Berufsvorbereitung mit verstärkter Sprachförderung und sozialpädagogischer Betreuung erfahren, um vorhandene Sprachdefizite auszugleichen und die erforderliche Ausbildungsreife zu erlangen.",01.09.2015,31.08.2016,"71.950,00",52%,48%,82467,Bayern/DE,115,1,2,7,8
Landkreis Landsberg am Lech,"Berufliche Schulen Landsberg am Lech, BIJ","Vollzeitschulisches Angebot mit Deutschunterricht und Unterricht in allgemein bildenen Fächern, fachpraktischem Unterricht und Praktika. ",01.09.2015,31.08.2016,"69.650,00",54%,46%,86899,Bayern/DE,115,1,2,7,8
Landkreis Ostallgäu,BIJ Klasse                                                            ,"Das Berufsintegrationsjahr (BIJ) ist ein Angebot der Staatlichen Berufsschule Ostallgäu und richtet sich an berufsschulpflichtige Flüchtlinge und Asylbewerber mit mangelnden bzw. fehlenden Deutschkenntnissen, die das vorbereitende Jahr schon absolviert haben.",01.09.2015,31.08.2016,"65.970,00",54%,46%,87616,Bayern/DE,115,1,2,7,8
Landkreis Pfaffenhofen,BIJ-ESF 2015/2016,"Berufsschulpflichtige Jugendliche und junge Erwachsene mit Migrationshintergrund sollen die Deutsche Sprache, das Bildungssystem und auch den Arbeitsmarkt kennenlernen. Ziel des Projekts ist die Ausbildungs- bzw. Berufsreife u.d. anschließ. Integration oder ggf. Beschäftigung sowie die Erlangung des Hauptschulabschlusses. ",01.09.2015,31.08.2016,"68.900,00",54%,46%,85276,Bayern/DE,115,1,2,7,8
Landkreis Starnberg,Berufsintegrationsjahr (BIJ) ,"Verbesserung der Chancen auf dauerhafte Integration in Ausbildung und Beruf, Berufsvorbereitung mit viel Praxisanteil, Sprachförderung und sozialpädagogische Betreuung, Sprachdefizite ausgleichen, erforderliche Ausbildungsreife erlangen, Hauptschulabschluss erwerben",01.09.2015,31.08.2016,"70.500,00",53%,47%,,Bayern/DE,115,1,7,7,8
Landkreis Unterallgäu,BIJ Kl. 2 an der Staatl. Berufsschule Mindelheim,"Kooperatives Berufsintegrationsjahr (BIJ) für berufsschulpflichtige Flüchtlinge und Asylbewerber mit mangelnden bzw. fehlenden Deutschkenntnissen, die das vorbereitende Jahr schon absolviert haben. Ziel ist der Erwerb sprachlicher Kompetenzen sowie eine breit angelegte Berufsvorbereitung.",01.09.2015,31.08.2016,"70.644,00",53%,47%,87719,Bayern/DE,115,1,2,7,8
Landkreis Unterallgäu,BIJ Kl. 1 an der Staatl. Berufsschule Mindelheim,"Kooperatives Berufsintegrationsjahr (BIJ) für berufsschulpflichtige Flüchtlinge und Asylbewerber mit mangelnden bzw. fehlenden Deutschkenntnissen, die das vorbereitende Jahr schon absolviert haben. Ziel ist der Erwerb sprachlicher Kompetenzen sowie eine breit angelegte Berufsvorbereitung.",01.09.2015,31.08.2016,"67.494,00",56%,44%,87719,Bayern/DE,115,1,2,7,8
Landratsamt Dachau,BIJ für berufsschulpflichtige Asylbewerber und Flüchtlinge Klasse A,"Im Rahmen eines Berufsintegrationsjahrs (BIJ) sollen jugendliche berufsschulpflichtige Asylbewerber und Flüchtlinge eine gezielte Berufsvorbereitung (in kooperativer Form)mit verstärkter Sprachförderung und sozialpädagogischer Betreuung erfahren, um vorhandene Sprachdefizite auszugleichen und die erforderliche Ausbildungsreife zu erlangen.",01.09.2015,31.08.2016,"70.375,00",53%,47%,,Bayern/DE,115,1,7,7,8
Landratsamt Dachau,BIJ für berufsschulpflichtige Asylbewerber und Flüchtlinge Klasse B,"Im Rahmen eines Berufsintegrationsjahrs (BIJ) sollen jugendliche
berufsschulpflichtige Asylbewerber und Flüchtlinge eine gezielte
Berufsvorbereitung (in kooperativer Form)mit verstärkter Sprachförderung
und sozialpädagogischer Betreuung erfahren, um vorhandene
Sprachdefizite auszugleichen und die erforderliche Ausbildungsreife
zu erlangen.",01.09.2015,31.08.2016,"69.925,00",54%,46%,,Bayern/DE,115,1,7,7,8
Landratsamt Erding,BIJ an der staatlichen Berufsschule Erding,Kooperatives Berufsintegrationsjahr (BIJ) für berufsschulpflichtige Jugendliche mit Migrationshintergrund und einem erhöhten Sprachförderbedarf in Deutsch,01.09.2015,31.08.2016,"68.500,00",55%,45%,85435,Bayern/DE,115,1,2,7,8
Landratsamt Miesbach,BIJ/V2 - Berufsschule Miesbach (2),"Berufsschulpflichtige Asylbewerber und Flüchtlinge nach dem Besuch der Vorklasse:
Orientierung und Vorbereitung auf eine berufliche Ausbildung / den Besuch der Berufsschule mit Schwerpunkt Sprachqualifikation,
Vermittlung und Vertiefung mathematischer, gesellschafts- und systemrelevanter Inhalte, Erreichung eines allgemeinbildenden Abschlusses, Sozialpädagogische Unterstützung",01.09.2015,31.08.2016,"70.500,00",53%,47%,83714,Bayern/DE,115,1,2,7,8
Landratsamt Miesbach,BIJ/V2 - Berufsschule Miesbach (1),"Berufsschulpflichtige Asylbewerber und Flüchtlinge nach dem Besuch der Vorklasse:
Orientierung und Vorbereitung auf eine berufliche Ausbildung / den Besuch der Berufsschule mit Schwerpunkt Sprachqualifikation,
Vermittlung und Vertiefung mathematischer, gesellschafts- und systemrelevanter Inhalte, Erreichung eines allgemeinbildenden Abschlusses, Sozialpädagogische Unterstützung",01.09.2015,31.08.2016,"70.050,00",54%,46%,83714,Bayern/DE,115,1,2,7,8
Landratsamt Mühldorf a. Inn,BIJ-MÜ,Durchführung eines kooperativen Berufsintegrationsjahres - BIJ - Schulort Mühldorf a. Inn,01.09.2015,31.08.2016,"71.400,00",53%,47%,84453,Bayern/DE,115,1,2,7,8
Landratsamt Mühldorf a. Inn,BIJ-WW,Durchführung eines kooperativen Berufsintegrationsjahres - BIJ - Schulort Waldwinkel,01.09.2015,31.08.2016,"68.700,00",55%,45%,84544,Bayern/DE,115,1,2,7,8
Stadt Ingolstadt - Schulverwaltungsamt -,BIJ-Maßnahme an der Leo-von-Klenze-Berufsschule II,"Die Maßnahme richtet sich an Jugendliche und junge Erwachsene ohne Ausbildungsplatz, die erst kurze Zeit als Flüchtlinge in Deutschland leben, deren Deutschkenntnisse unzureichend sind und einen erhöhten Sprachförderbedarf haben.",01.09.2015,31.08.2016,"74.573,42",50%,50%,85049,Bayern/DE,115,1,1,7,8
Stadt Ingolstadt - Schulverwaltungsamt -,BIJ-Maßnahme an der Staatlichen Berufsschule I in Ingolstadt,"Die Maßnahme richtet sich an Jugendliche und junge Erwachsene ohne Ausbildungsplatz, die erst kurze Zeit in Deutschland als Flüchtlinge sind und deren Deutschkenntnisse unzureichend sind und Förderbedarf haben.",01.09.2015,31.08.2016,"73.659,58",51%,49%,85049,Bayern/DE,115,1,1,7,8
Stadt Würzburg,"Kooperatives Berufsintegerationsjahr (BIJ) ander Franz-Oberthür-Schule, 97074","Einrichtung einer BIJ Klasse als kooperatives Angebot an der Franz-Oberthür-Schule Würzburg.
Die Ausbildung erfolgt durch Unterricht an der Berufsschule an 2,5 Tagen in de Woche und durch Praktika an 2,5 Tagen pro Woche  die ein Kooperationspartner außerhalb der Schule durchführt, der auh eine besondere Sprachförderung der Teilnehmer durch DaZ Unterricht durchführt.",01.09.2015,31.08.2016,"68.700,00",55%,45%,97074,Bayern/DE,115,1,1,7,8
Stadt Würzburg,"Kooperatives Berufsintegrationsjahr (BIJ) an der Franz-Oberthür-Schule, 97074","Einrichtung einer BIJ Klasse als kooperatives Angebot an der Franz-Oberthür-Schule, Würzburg.
Die Ausbildung erfolgt durch den Unterricht an der Berufsschule an 2,5 Tagen in der Woche und durch Praktika an 2,5 Tagen pro Woche, die ein Kooperationspartner außerhalb der Schule durchführt, der auch eine besondere Sprachförderung  der Teilnehmer durch DaZ Unterricht durchführt.",01.09.2015,31.08.2016,"69.600,00",54%,46%,97072,Bayern/DE,115,1,1,7,8
Frau und Beruf GmbH,"Servicestelle Frau und Beruf Tölz, GAP","Zielgruppe der Servicestellen Frau und Beruf sind Frauen in den
Phasen der Berufsorientierung und Berufsrückkehr. Zielsetzung ist
die Verbesserung der Vereinbarkeit von Familie mit der Erwerbstätigkeit
sowie Verwirklichung von Chancengerechtigkeit im Erwerbsleben.
Das Angebot umfasst durch Beratung, Coaching, Qualifizierung
und Kontakte zu Personalverantwortlichen in Betrieben.",01.08.2015,31.07.2018,"515.947,88",50%,35%,,Bayern/DE,106,1,7,7,1
Frauenakademie München e.V.,MOVE Servicestelle in der Frauenakademie München,"Berufliche Förderung und Verbesserung der Erwerbssituation von hochqualifizierten Frauen in verantwortlichen Positionen in allen Branchen: 
Instrument dazu: Coaching- und Beratungsprozess",01.07.2015,30.06.2018,"645.602,00",50%,37%,80469,Bayern/DE,106,1,1,7,1
GründerRegio M e.V.,guide - Beratung und Unterstützung für Existenzgründerinnen,"guide fördert das Gründungspotenzial von Frauen und Wiedereinsteigerinnen und bereitet Gründerinnen genderorientiert auf eine erfolgreiche und nachhaltige selbstständige Erwerbstätigkeit vor. Das Projekt bietet zielgruppenspezifische Beratung, Arbeitsgruppen, Workshops und Netzwerktreffen. Das Angebot befähigt die Teilnehmerinnen, realisierbare, existenzsichernde Gründungskonzepte zu entwickeln.",01.07.2015,30.06.2018,"845.586,00",50%,34%,80339,Bayern/DE,106,1,1,7,1
Perspektiven für Frauen - Bildung & Beruf e. V. (peff),Service-Zentrum Frauen-Bildung & Beruf,"Das Service-Zentrum Frauen-Bildung & Beruf begleitet und unterstützt Frauen durch ein vielfältiges Coachings, Beratungs- und Qualifizierungsangebot. Das Angebot richtet sich an Frauen aller Alters-, Bildungs- und Berufsgruppen, unabhängig ihrer kulturellen Herkunft und des sozialen Status. Der Zugang zu dem Angebotsspektrum der Servicestelle ist niederschwellig und teilnehmeroffen.",01.05.2015,30.04.2018,"174.792,92",50%,40%,,Bayern/DE,106,1,7,7,1
Pro Beschäftigung e. V.,Servicestelle Frauen-Beruf-Gründung,"Frauen-Beruf-Gründung ist eine Servicestelle mit professionellem Coaching-Angebot für Frauen in der Region 10, die ihre Erwerbssituation verbessern möchten. Dies sind insbesondere Frauen in beruflichen Orientierungs- und Veränderungsprozessen sowie Frauen vor und während der Existenzgründung. Das Coaching für Gründungswillige fokussiert sich auf frauen- und vereinbarkeitsspezifische Belange.",01.05.2015,30.04.2018,"368.856,76",50%,19%,85049,Bayern/DE,106,1,1,7,1
PS:Akademie,Individu:elle berufliche Servicestelle für Frauen ,"Unsere individu:elle berufliche Servicestelle für Frauen hat ihren Wirkungskreis in Nürnberg und der gesamten mittelfränkischen Region mit dem Ziel, die Erwerbssitutation der bayerischen Frauen zu verbessern. Neben Einzel- und Gruppencoachings bietet wir Weiterbildungsberatung, Qualifizierungsbausteine, Mentorinnenprogramme, Matching-Veranstaltungen und einen Gründungskompetenzcheck.",01.05.2015,30.04.2018,"559.768,62",50%,40%,,Bayern/DE,106,1,7,1,1
RSG Bad Kissingen GmbH & Co. KG,Servicestelle Frau & Beruf,"Die Servicestelle Frau & Beruf bietet Frauen Unterstützung in allen beruflichen Fragen, vom Wiedereinstieg, Qualifizierungsberatung, Bewerbungsberatung bis zur Karriereplanung. Mit Einzel- und Gruppencoachings, sowie Kurzworkshops und Abendveranstaltungen wird für jede Frau individuell eine Kombination erarbeitet, die ihr bei der persönlichen Zielerreichung hilft. ",01.05.2015,30.04.2018,"604.124,93",50%,26%,,Bayern/DE,106,1,7,7,1
Stadt Regensburg / Amt für Weiterbildung,Servicestelle Frau und Beruf in Regensburg,"Die Servicestelle Frau und Beruf verbessert die Erwerbssituation von Frauen durch zielgerichtetes berufliches Einzel- und Gruppencoaching zum Wiedereinstieg, zur Veränderung und Neuorientierung, für Bewerbungsstrategien oder zur Realisierung einer tragfähigen Existenzgründung. Ergänzt wird das Coaching durch Qualifizierungsbausteine, Gruppenangebote, Netzwerkarbeit und flankierende Maßnahmen. ",01.06.2015,31.05.2018,"378.097,00",50%,15%,93051,Bayern/DE,106,1,1,7,1
Volkshochschule im Landkreis Cham e. V.,Frauen-Servicestelle Landkreis Cham,Das Projekt unterstützt Frauen durch vielfältige und individuell abgestimmte Coaching- und Beratungsangebote bei der Aufnahme bzw. Wiederaufnahme einer Erwerbstätigkeit sowie bei der Verbesserung der persönlichen Erwerbssituation.,01.09.2015,31.08.2018,"222.025,34",50%,35%,,Bayern/DE,106,1,7,7,1
Gemeinde Niederwerrn,Ganztagsbetreuung für Übergangsklasse,Einrichtung eines gebundenen Ganztagsangebot im Bereich von Übergangsklassen an der Hugo-von-Trimberg-Schule Niederwerrn,01.09.2015,31.08.2016,"58.020,00",46%,54%,97464,Bayern/DE,115,1,2,7,8
Gemeinde Rednitzhembach,Gebundene Ganztagesübergangsklasse an der Mittelschule Rednitzhembach,"Übergangsklassen werden für Schüler/-innen mit nichtdeutscher Muttersprache angeboten, die nur rudimentäre oder gar keine Deutschkenntnisse haben. Durch stark differenzierte Unterrichtsformen sollen Schüler/-innen besonders in der deutschen Sprache gefördert werden und bei entsprechendem Lernfortschritt in diesem Bereich in die Regelklasse zurückgeführt werden.",01.09.2015,31.08.2016,"51.054,72",52%,48%,91126,Bayern/DE,115,1,2,7,8
Mittelschulverband Weidenberg,Ü-Klasse Weidenberg,"Übergangsklasse an der Mittelschule Weidenberg/gebundene Ganztagsklasse
zusätzliche individuelle Förderung gerade auch im sprachlichen und kognitiven Bereich; Intensivierungs-, Lern- und Übungseinheiten; Stärkung der sozialen Kompetenzen und auch der eigenen Persönlichkeit",01.09.2015,31.08.2016,"51.100,00",52%,48%,95445,Bayern/DE,115,1,3,7,8
Schulverwaltungsamt Erlangen,Gebundene Ganztagsklasse im Bereich von Übergangsklassen - Üa,"Beschulung von jungen Zuwanderern, Flüchtlingskindern und Kindern aus Arbeitsmigrantenfamilien im Rahmen des besonderen pädagogischen Konzeptes der gebundenen Ganztagsklasse",01.09.2015,31.08.2016,"50.984,90",52%,48%,91052,Bayern/DE,115,1,1,7,8
Schulverwaltungsamt Erlangen,Gebundene Ganztagsklasse im Bereich von Übergangsklassen - Üb,"Beschulung von jungen Zuwanderern, Flüchtlingskindern und Kindern aus Arbeitsmigrantenfamilien im Rahmen des besonderen pädagogischen Konzeptes der gebundenen Ganztagsklasse",01.09.2015,31.08.2016,"50.984,90",52%,48%,91052,Bayern/DE,115,1,1,7,8
Stadt Bad Tölz,Einrichtung eines gebundenen Ganztagsangebots für Übergangsklassen,Einrichtung einer gebundenen Ganztagsklasse im Bereich von Übergangsklassen an der Mittelschule Bad Tölz-Süd im Schuljahr 2015/2016 mit sozialpädagogischer Begleitung ,01.09.2015,31.08.2016,"51.100,50",52%,48%,83646,Bayern/DE,115,1,2,7,8
Stadt Fürth,Gebundenes Ganztagsangebot für Übergangsklassen - Otto-Seeling-Mittelschule,"Das Ganztagsangebot umfasst über das für Übergangsklassen in Halbtagsform vorgesehene Angebot hinausein Bildungsangebot im Umfang von 12 Lehrerwochenstunden, das durch Lehrkräfte der Mittelschule erbracht wird. Ergänzend dazu wird eine sozialpäd. Betreuung der Klasse im Umfang von 15 Zeitstunden pro Woche gewährleistet. ",01.09.2015,31.08.2016,"49.069,23",54%,46%,90762,Bayern/DE,115,1,1,7,8
Stadt Fürth,Geb. Ganztagsangebot für Ü-Klassen - Dr.-Gustav-Schickedanz-Mittelschule,"Das Ganztagsangebot umfasst über das für Übergangsklassen in Halbtagsform vorgesehene Angebot hinausein Bildungsangebot im Umfang von 12 Lehrerwochenstunden, das durch Lehrkräfte der Mittelschule erbracht wird. Ergänzend dazu wird eine sozialpäd. Betreuung der Klasse im Umfang von 15 Zeitstunden pro Woche gewährleistet.",01.09.2015,31.08.2016,"47.943,81",53%,47%,90766,Bayern/DE,115,1,1,7,8
Stadt Lauf an der Pegnitz,Gebundenes Ganztagsangebot für die Übergangsklasse an der Kunigundenschule,11 - 16-Jährige aus dem Ausland werden in einer gebundenen Ganztagsklasse unterrichtet,01.09.2015,31.08.2016,"50.102,91",53%,47%,91207,Bayern/DE,115,1,2,7,8
Stadt Straubing,Übergangsklasse im gebundenen Ganztag ,"Die Übergangsklasse ist für Schülerinnen und Schüler mit nichtdeutscher Muttersprache, die als Quereinsteiger in das bayerische Schulsystem eintreten und nur über rudimentäre oder gar keine Deutschkenntnisse verfügen. ",01.09.2015,31.08.2016,"41.474,85",46%,54%,94315,Bayern/DE,115,1,2,7,8
Stadt Vöhringen,Ganztagesklasse in der Übergangsklasse der Uli-Wieland-Mittelschule Vöhringen,"Durch intensive Sprachförderung sollen die Schüler befähigt werden, schnell in das reguläre Schulsystem übergeführt und in die Gesellschaft integriert werden. Traumata bzw. Entwurzelung durch den Umzug in eine neue Umwelt werden aufgearbeitet.",01.09.2015,31.08.2016,"43.375,00",48%,52%,89269,Bayern/DE,115,1,2,7,8
ARGE der VHSn im Landkreis Hof e. V.,Zukunftscoach für Stadt und Landkreis Hof,"Entwicklung und Umsetzung eines Strategiekonzeptes für die Region, um den zu erwartenden Auswirkungen des demographischen Wandels durch Entwicklung passgenauer Maßnahmen und Aktionen entgegen zu wirken.",15.09.2015,14.09.2017,"179.110,74",50%,23%,,Bayern/DE,106,1,7,7,1
Landkreis Wunsiedel i. Fichtelgebirge,Zukunftscoach für den Landkreis Wunsiedel i. Fichtelgebirge,"Durch den Zukunftscoach soll Förderbedarf ermittelt und ein regionaler Aktionsplan entwickelt werden. Ziel ist es, Maßnahmen zu entwickeln, die Wettbewerbsfähigkeit von Unternehmen abzusichern, Arbeitslose zu qualifizieren, Unternehmen demografiefest zu machen, benachteiligte Jugendliche für den Arbeitsmarkt fit zu machen, Frauen und ältere Arbeitnehmern einzubinden und Übergänge zu organisieren.",01.09.2015,31.08.2017,"208.983,86",50%,0%,,Bayern/DE,106,1,7,7,1
"Stadt Weiden, Dezernat 3",Projekt Zukunftscoach in der Stadt Weiden in der Oberpfalz,"Die Auswirkungen des demografischen Wandels auf den Arbeitsmarkt erfordern eine Auseinandersetzung mit der Frage: 
Welche Arbeits- und Fachkräfte besetzen in Zukunft Weidens Arbeitsplätze?
Das Projekt Zukunftscoach erarbeitet Antworten und initiiert Vorhaben zur Aktivierung möglichst vieler Potenziale auf dem Arbeitsmarkt.",01.09.2015,31.08.2018,"258.579,40",60%,40%,92637,Bayern/DE,106,1,2,7,8
vhs Landkreis Haßberge e. V.,Zukunftscoach für den Landkreis Haßberge,Projekt Zukunftscoach soll durch statistische Erkenntnisse über die demographische Situation des Landkreises regionale Aktivitätsschwerpunkte gemeinsam mit Netzwerkpartnern festgelegen sowie passende Teilprojekte zur Fachkräftesicherung im Landkreis initiieren.,01.07.2015,30.06.2017,"139.351,01",50%,0%,,Bayern/DE,106,1,7,7,1
Hochschule Aschaffenburg,mainproject 2018,"Zu den Zielregionen des ESF in Bayern zählt auch die Region Bayerischer Untermain, mit den Landkreisen Miltenberg und Aschaffenburg. Die ESF-Maßnahme „mainproject 2018“ ist eine Maßnahme des Wissenstransfers zwischen der Hochschule Aschaffenburg und regionalen KMU am Bayerischen Untermain. Die Projektleistung besteht aus Qualifizierungen und Wissenstransfer.",01.05.2015,30.04.2018,"1.293.150,00",50%,0%,,Bayern/DE,106,1,7,7,1
Julius-Maximilians-Universität Würzburg SFT ,WissensUnion,"Im Rahmen des Projekts „WissensUNION“ sollen neues Wissen und neue Kanäle des Wissenserwerbs, wie Systeme für das Wissensmanagement, Projekte des Wissenstransfers und Kooperationen initiiert und die Resultate an Akteure der Region vermittelt werden. Ein besonderer Fokus liegt in der gegenseitigen Förderung von unternehmerischen Fähigkeiten der Mitarbeiterinnen und Mitarbeiter.",01.05.2015,30.04.2018,"746.200,00",50%,0%,,Bayern/DE,106,1,7,1,1
"Julius-Maximilians-Universität Würzburg, Juristische Fakultät",Virtuelles Kompendium,"Bei dem Virtuellen Kompendium Wirtschaft – Recht – Steuern handelt es sich um eine ganzheitlich ausgerichtete Stärkung unternehmerischer Fähigkeiten durch abstrakt-generelle,  umfassende Wissensvermittlung: „Personal und Arbeit“, „Internet und IT-Recht“, „Gesamt- und Einzelfinanzierungen“, „Geschäftsräume und Immobilien“, „Kooperationen und Geschäftspartner“, „Steuer- und Sozialrecht“.",01.04.2015,31.03.2018,"468.370,00",50%,0%,97070,Bayern/DE,106,1,1,1,1
Virtuelle Hochschule Bayern (vhb),WiT-HuB 1/2014 - 2020,"Die von der Virtuellen Hochschule Bayern (vhb) betreute ESF-Projektträgerschaft „Netzgestützter Wissenstransfer von Hochschulen in Unternehmen“ hat zum Ziel, innovatives Wissen von Hochschulen an Unternehmen weiterzugeben. Dabei werden Netzwerke zwischen den beteiligten Partnern gebildet. Wissensvermittlung und -erwerb finden hauptsächlich netzgestützt statt. ",01.06.2015,31.12.2017,"1.713.130,00",50%,25%,96052,Bayern/DE,106,1,1,7,1
Gemeinde Burgkirchen a.d.Alz,Praxisklasse an der Mittelschule Burgkirchen a.d.Alz 2015/16,"Schülerinnen und Schüler sollen Grundkenntnisse und Grundfertigkeiten erhalten,
die Voraussetzung sind, um anschließend eine Berufsausbildung möglich zu machen.",01.09.2015,31.08.2016,"85.297,19",19%,81%,84508,Bayern/DE,115,1,2,7,6
Mittelschule Marktheidenfeld,P-Klasse 2015/2016,"Dem spezifischen Ziel B1 ""Stärkung der jungen Generation "" folgend, will die Praxisklasse die Anzahl der vorzeitigen Schulabgänger ohne Ausbildung erheblich reduzieren.",01.09.2015,31.08.2016,"105.216,98",29%,71%,97828,Bayern/DE,115,1,2,7,6
Mittelschulverband Pfarrkirchen,Praxisklasse 2015/16 an der Johannes-Hirspeck-Mittelschule,"Lernschwachen Schülern und Schülerinnen, die einen Regelabschluss nicht erreichen würden, die Möglichkeit eines vereinfachten Schulabschlusses und den Einstieg in eine Berufsausbildung bzw. geordnetes Berufsleben ermöglichen",01.09.2015,31.08.2016,"102.130,50",30%,70%,84347,Bayern/DE,115,1,2,7,6
Nikolaus-Fey-Mittelschule Wiesentheid,Praxisklasse,"Ziel der Praxisklasse ist es, einen Ausbildungsplatz für die Schüler zu finden und einen Schulabschluss zu erreichen.",01.09.2015,31.08.2016,"102.300,00",30%,70%,97353,Bayern/DE,115,1,3,7,6
Schulverband Bad Königshofen,Praxisklasse 2015/2016,"Durch die Praxisklasse sollen demotivierte Schüler mit erheblichen Lern- und Leistungsrückständen im letzten Jahr ihres Schulbesuches spezifisch und berufsbezogen gefördert werden, um ihnen nach dem Schulbesuch eine Berufsausbildung zu ermöglichen.",01.09.2015,31.08.2016,"106.050,00",29%,71%,97631,Bayern/DE,115,1,3,7,6
Schulverband Hallertauer Mittelschule,Praxisklasse 2015/2016 an der Hallertauer Mittelschule Mainburg,"Leistungsschwache Jugendliche, die kaum Aussicht auf einen erfolgreichen Schulabschluss haben, erhalten durch schulische und sozialpädagogische Begleitung die Chance für einen Einstieg ins Berufsleben",01.09.2015,31.08.2016,"102.485,26",30%,70%,84048,Bayern/DE,115,1,2,7,6
Schulverband Hofheim i.UFr.,Praxisklasse 2015/2016,"Die Praxisklasse richtet sich an Mittelschüler im letzten Jahr ihres Schulbesuchs, die auf Grund ihrer mangelnden Leistungsbereitschaft und unzureichenden schulischen Leistungen keine Aussicht haben, den Hauptschulabschluss zu erreichen.",01.09.2015,31.08.2016,"97.973,96",31%,69%,97461,Bayern/DE,115,1,3,7,6
Schulverband Hohenroth,Praxisklasse der Edmund-Grom-Mittelschule in Hohenroth,Diese Maßnahme soll die Einstellung der Jugendlichen zum Arbeiten und Lernen verändern und damit die Aussicht auf einen Berufsausbildungsplatz verbessern. Sie soll Langzeitarbeitslosigkeit abwehren.,01.09.2015,31.08.2016,"110.950,00",28%,72%,97618,Bayern/DE,115,1,3,7,6
Schulverband Mittelschule Mellrichstadt ,Praxisklasse in Mellrichstadt,"Ziel ist es, in Kooperation mit außerschulischen Partnern und durch eine auf die Leistungsmöglichkeit dieser SchülerInnen abgestimmte schulische und außerschulische Förderung ihrer Persönlichkeitsentwicklung, den Erwerb von Grundwissen zu unterstützen.",01.09.2015,31.08.2016,"104.613,01",30%,70%,97638,Bayern/DE,115,1,3,7,6
Schulverband Mittelschule St. Georg Vilshofen,Praxisklasse an der Mittelschule St. Georg Vilshofen,Die Praxisklasse an der Mittelschule Vilshofen St. Georg soll Schüler/innen im letzten Jahr ihres Schulbesuches eine spezifische Förderung mit hohen berufsbezogenen Anteilen bieten.,01.09.2015,31.08.2016,"88.340,00",26%,74%,94474,Bayern/DE,115,1,2,7,6
