"ProjektCode / 
code of operation",Name des Begünstigten / name of beneficiary,Bezeichnung des Vorhabens / operation name,Zusammenfassung des Vorhabens / operation summary,Datum des Beginns des Vorhabens / operation start date,Datum des Endes des Vorhabens/ operation end date,Gesamtbetrag der förderfähigen Ausgaben des Vorhabens / total eligible expenditure allocated to the operation,"Unions-Kofinanzierungssatz pro Prioritätsachse / Union co-financing rate, as per priority axis",Regionalcode des Vorhabens / location indicator,Land / country,Bezeichnung der Interventionskategorie für das Vorhaben / name of category of intervention for the operation
2CAEAA_00262,JUGEND AM WERK STEIERMARK GMBH,Jugendcoaching 2017,"Jugendcoaching für die Bezirke Voitsberg, Deutschlandsberg, Leibnitz, Bad Radkersburg
",01.01.2017,31.12.2017,"558208,52","50,00 %",60101 - Graz,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CADAC_00080,BHAK/BHAS (MEDIEN HAK) Graz,"S-1.5 USD ""Förderung der Unterrichtssprache Deutsch"" ",Verringerung und Verhütung des vorzeitigen Schulabbruchs und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung.,12.09.2016,31.08.2017,53900,"50,00 %",221 - Graz (NUTS),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2BADBA_00056,WUK - Verein zur Schaffung offener Kultur- und Werkstättenhäuser,A|B|O Jugend - Arbeit|Beratung|Orientierung,Das Ziel der BBE Jugend ist die Sicherstellung der individuellen Zielerreichung der Jugendlichen im arbeitsmarktpolitischen Kontext. ,01.07.2015,30.06.2016,"426210,4","50,00 %",130 - WIEN (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2CAEAA_00179,"Verein für Training, Integration und Weiterbildung",Produktionsschule Potenzial Jugend,Potenzial Jugend ist eine Produktionsschule. Das Projekt ist für Jugendliche zwischen 16 und 24 Jahren und ist für Jugendliche die nach der Schullaufbahn eine Unterstützung benötigen um fit für eine Ausbildung zu werden.,01.01.2017,31.12.2017,"893661,2","50,00 %","90501 - Wien,  5. Margareten",AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CAEAA_00165,ProVita Bildungs  GmbH,Produktionsschule bildung.bewegt,Die „Produktionsschule Bildung.bewegt“ ist eine Maßnahme für Jugendliche und junge Erwachsene im Alter von 15 bis 24 Jahren,01.01.2017,31.12.2017,"892766,99","50,00 %","90201 - Wien,  2. Leopoldstadt",AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CADAC_00105,BHAK/BHAS Reutte,"S-1.6 KOEL ""Kompetenzorientiertes eigenverantwortliches Lernen"" ","Durchführung einer ganzjährigen standortbezogenen verbindlichen Übung ""KOEL"" im SJ 2016/17
in einer Handelsschule.",08.09.2016,31.08.2017,19250,"50,00 %",331 - Außerfern (NUTS),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2BACAA_00064,itworks Personalservice & Beratung gemeinnützige GmbH,Roma/Romni Qualifizierungs- und Beratungszentrum,"Den inhaltlichen Schwerpunkt dieser Interventionspriorität bildet die Armutsbekämpfung durch eine Förderung der Inklusion von am Arbeitsmarkt marginalisierten Personengruppen.
",01.11.2015,30.04.2019,"431964,68","50,00 %",0 - ÖSTERREICH (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2CAEAA_00234,Wien Work-integrative Betriebe und AusbildungsgmbH,Wien Work Jugendcoaching,Jugendcoaching für Pflichtschulen und AHS im 21. und 22. Wiener Gemeindebezirk  ,01.01.2016,31.12.2016,"1192172,49","50,00 %","92201 - Wien, 22. Donaustadt",AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2BAACA_00195,Gemeinnützige Sanierungs- und Beschäftigungs- GmbH,Fit im Handwerk,"Das berufspraktische Beschäftigungs- und Qualifizierungsprojekt ist ein Beitrag zur Armutsprävention. Über eine Inklusionskette erreichen die TeilnehmerInnen eine zertifizierte Teilqualifizierung im Bau und ReUse, Recycling von Elektroaltgeräten",01.01.2017,31.12.2018,1200000,"50,00 %",123 - Sankt Pölten (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2BADBA_00054,ÖSB Consulting GmbH,A|B|O Jugend - Arbeit|Beratung|Orientierung,Das Ziel der BBE Jugend ist die Sicherstellung der individuellen Zielerreichung der Jugendlichen im arbeitsmarktpolitischen Kontext. ,01.07.2015,30.06.2016,"1253181,6","50,00 %",130 - WIEN (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2CAEAA_00176,BIKU-Treff,Produktionsschule BIKU-Treff ,Produktionsschule BIKU-Treff für Jugendliche und junge Erwachsene mit vorwiegend psychischer Erkrankung/ psychosozialem Förderbedarf im Alter von 15 bis zum vollendeten 24. Lebensjahr.,01.01.2017,31.12.2017,"721988,18","50,00 %","91701 - Wien, 17. Hernals",AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2BAABA_00036,Die Wiener Volkshochschulen GmbH,BBE Deutsch_2015,"Testungen, Einzelgespräche, Zuteilung der TeilnehmerInnen in Deutschkurse. Erstellung eines Erstberichts mit Erfassung der Niveaueinstufung, des Lerntempos, der Lernbiografie, der Ausbildung und der 
beruflichen Qualifikationen.",01.07.2015,30.06.2016,"1007978,04","50,00 %",131 - Wien (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2BAACA_00004,Caritas Diözese St. Pölten,Integration in Niederösterreich (Diözese St. Pölten),"Das Projekt „Integration in Niederösterreich“, welches von Caritas Wien, Caritas St.Pölten, WIFI NÖ und BFI NÖ durchgeführt wird, umfasst sowohl begleitende und sozialpädagogische Beratungen, als auch umfassende Spracherwerbsmaßnahmen.",01.06.2016,31.05.2017,493467,"50,00 %",120 - NIEDERÖSTERREICH (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2CAEAA_00220,PRO MENTE SALZBURG Gemeinnützige Gesellschaft für Arbeitsrehabilitation m.b.H.,Jugendcoaching Schule_Beruf,"Das Jugendcoaching der Pro Mente Salzburg ist ein Angebot für Schülerinnen und Schülern, die ihr letzten Pflichtschuljahr in einer Hauptschule, neuen Mittelschule, polytechnischen Schule oder einem sonderpädagogischem Zentrum absolvieren",01.01.2016,31.12.2016,"1213932,86","50,00 %",50101 - Salzburg,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2BADBA_00072,"abz*austria Verein zur Förderung von Arbeit, Bildung und Zukunft von Frauen",Teilprojekt Training + Beratung,"Die Projektinhalte des Jugendcolleges sind ein Deutschkursangebot, Basisbildung und Spezialmodule sowie eine Bildungs- und Berufsberatung. Gender und Diversity sind ebenso wie Inklusionspädagogik eine Querschnittsmaterie in allen Bereichen.",27.06.2016,26.06.2017,"501977,74","50,00 %",130 - WIEN (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2CAEAA_00189,AUTARK SOZIALE DIENSTLEISTUNGS-GMBH,Jugendcoaching Pflichtschule,Im Jugendcoaching erhalten abbruch- und ausgrenzugsgefährdete Schülerinnen und Schüler individuelle Unterstützung bei persönlichen Themen- und Problemstellungen. Im Zentrum steht das gemeinsame Erarbeiten von realistischen beruflichen Perspektiven.,01.01.2017,31.12.2017,"951108,51","50,00 %",20101 - Klagenfurt,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CADAC_00113,HAK/HAS Vienna Business School Akademiestraße Wien-1,"S-1.6 KOEL ""Kompetenzorientiertes eigenverantwortliches Lernen"" ","Erhöhung der Behaltequote am jeweiligen Schulstandort ca.um 5 % gegenüber
Baselineerhebung ",05.09.2016,31.08.2017,30800,"50,00 %",131 - Wien (NUTS),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CAEAA_00232,"VOLKSHILFE BESCHÄFTIGUNG. Kurz ""VHB""",Produktionsschule Volkshilfe Beschäftigung Jobfabrik,"Die Produktionsschule Volkshilfe Beschäftigung Jobfabrik  bereitet Jugendliche zwischen 15 und 21 Jahren (mit SPF 24 Jahren), auf ihren individuell möglichen nächsten Ausbildungsschritt vor.
Ort: 1150, Stutterheimstraße 16-18/Stiege 3
",01.01.2016,31.12.2016,"1118141,28","50,00 %","91901 - Wien, 19. Döbling",AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2BADFA_00029,KAOS Bildungsservice - Gemeinnützige GmbH,VERA - Vorbeikommen Erleben Arbeiten,Bei VERA haben die Jugendlichen und jungen Erwachsenen die Möglichkeit entweder tageweise oder regelmäßig mitzuarbeiten. In unseren Werkstätten werden kreative Arbeiten durchgeführt und dafür erhalten die TeilnehmerInnen ein Taschengeld.  ,01.09.2016,31.08.2018,"860546,23","50,00 %",330 - TIROL (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2CADAC_00127,BHAK/BHAS Steyr,"S-1.6 KOEL ""Kompetenzorientiertes eigenverantwortliches Lernen"" ","Durchführung einer ganzjährigen standortbezogenen verbindlichen Übung ""KOEL"" im SJ 2016/17.",05.09.2016,31.08.2017,"38552,4","50,00 %",314 - Steyr-Kirchdorf (NUTS),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CADAC_00101,BHAK/BHAS Tamsweg,"S-1.6 KOEL ""Kompetenzorientiertes eigenverantwortliches Lernen"" ",Durch die Lernbegleitung soll Lernversagen – und damit negative Beurteilungen bzw. Schulabbruch – möglichst verhindert werden.,05.09.2016,31.08.2017,38500,"50,00 %",321 - Lungau (NUTS),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CAEAA_00216,WUK - Verein zur Schaffung offener Kultur- und Werkstättenhäuser,WUK Jugendcoaching West,"WUK Jugendcoaching West ist die regionale Jugendcoaching Einrichtung für die Wr. Bezirke 5-9 und 16-19. Das Angebot richtet sich an Schüler_innen ab dem 9. Pflichtschuljahr und an Jugendliche bis zum 19. Lj., die sich nicht in Ausbildung befinden.",01.01.2016,31.12.2016,"1136127,04","50,00 %","90801 - Wien,  8. Josefstadt",AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2BADBA_00069,Projekt Integrationshaus,Start Wien – Das Jugendcollege. Beratung & Begleitung_Integrationshaus,"Die Projektinhalte des Jugendcolleges sind ein Deutschkursangebot, Basisbildung und Spezialmodule sowie eine  Bildungs- und Berufsberatung. Gender und Diversity sind ebenso wie Inklusionspädagogik eine Querschnittsmaterie in allen Bereichen. ",27.06.2016,26.06.2017,"430661,23","50,00 %",130 - WIEN (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2BAABA_00057,DIALOG - Hilfs-und Beratungsstelle für Suchtgefährdete und deren Angehörige,Standfest - Beratungs- und Betreuungseinrichtung,"Standfest-BBE bietet Einzel- und Gruppenberatung für Menschen mit einer Suchtproblematik (Schwerpunkt Alkohol), die sich im Graubereich der Arbeits(un)fähigkeit befinden, mit dem Ziel, sie wieder an den Arbeitsmarkt heranzuführen. ",01.01.2016,31.12.2016,"624579,91","50,00 %",130 - WIEN (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2CAEAA_00261,JUGEND AM WERK STEIERMARK GMBH,Produktionsschule R1 Graz West und Umgebung,Projekt lt. Konzept inkl. Umsetzungsregelung (2014) im Raum Graz West und Umgebung,01.01.2017,31.12.2017,"384507,72","50,00 %",60101 - Graz,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CAEAA_00246,Jugend am Werk Gesellschaft mbH - Gesellschaft für berufliche und soziale Integration,Jugendcoaching Pflichtschulen Nord,Unterstützung für ausgrenzungsgefährdete PflichtschülerInnen ab dem 9. Schulbesuchsjahr bei ihrer beruflichen Laufbahngestaltung mit 3 verschiedenen Intensitätsstufen.,01.01.2017,31.12.2017,1257981,"50,00 %",40101 - Linz,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CADAC_00112,BHAK/BHAS Wien 22,"S-1.6 KOEL ""Kompetenzorientiertes eigenverantwortliches Lernen"" ","Individuelle Förderung und intensive Kommunikation mit dem Ziel, die Drop-out-Rate zu senken.",05.09.2016,31.08.2017,30800,"50,00 %",131 - Wien (NUTS),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2BACAA_00146,Caritas der Erzdiözese Wien - Hilfe in Not,Cambro: Offener Lern- und Beratungsraum,"Mit dem Lern- u. Beratungsraum Cambro entsteht für besonders arbeitsmarktferne Roma ein äußerst niederschwelliges Qualifizierungs- u. Beratungsangebot, um Möglichkeiten zum (Wieder-) Einstieg in den österreichischen Arbeitsmarkt zu bieten.",01.01.2016,30.06.2019,432250,"50,00 %",131 - Wien (NUTS),AUSTRIA,"110 - Sozioökonomische Eingliederung marginalisierter Bevölkerungsgruppen, wie etwa der Roma"
2CAEAA_00160,EINSTIEG - Bildung Beratung Qualifizierung GmbH,Berufsausbildungsassistenz,"Berufsausbildungsassistenz BAS
Begleitung und Betreung von Jugendlichen in der verlängerten Lehre oder in der Teilqualifizierung gemäß BAG §8 b ",01.01.2017,31.12.2017,"898182,56","50,00 %",50101 - Salzburg,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CAEAA_00254,VEREIN ZUR FÖRDERUNG VON ARBEIT UND BESCHÄFTIGUNG (FAB),NÖ PS Weinviertel Ost 2017,"Die Produktionsschule bietet Jugendlichen individualisierte Vorbereitungs-, Trainings- und Qualifizierungsangebote mit dem Ziel, der Erlangung einer individuellen Ausbildungsreife, um den nächsten passenden Schritt ins Berufsleben machen zu können.
",01.01.2017,31.12.2017,"611647,89","50,00 %",40101 - Linz,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CADAC_00099,Bundeshandelsakademie und Bundeshandelsschule Zell am See,"S-1.6 KOEL ""Kompetenzorientiertes eigenverantwortliches Lernen"" ","Verringerung und Verhütung des vorzeitigen Schulabbruchs und Förderung des
gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und
Sekundarausbildung",05.09.2016,31.08.2017,123200,"50,00 %",322 - Pinzgau-Pongau (NUTS),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2BABIA_00024,GPS-Kärnten Gemeinnütziges Personalservice Kärnten Gmbh,Öko & Work - Umwelt und Arbeit,Im Rahmen des Projektes werden niederschwellige Beschäftigungsmöglichkeiten für Personen mit Hemmnissen zur Beschäftigungsintegration angeboten. Durch diverse Maßnahmen werden Aspekte zur nachhaltigen Integration in den Mittelpunkt gestellt. ,01.04.2016,31.03.2017,"1113141,8","50,00 %",210 - KÄRNTEN (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2CADAC_00092,Schulzentrum Ybbs - HAK/HAS Ybbs,"S-1.6 KOEL ""Kompetenzorientiertes eigenverantwortliches Lernen"" ",Verringerung und Verhütung des vorzeitigen Schulabbruchs und Maßnahmen zur Verringerung der Zahl der SchulabbrecherInnen im Bereich des berufsbildenden Schulwesens,05.09.2016,31.08.2017,69300,"50,00 %",121 - Mostviertel-Eisenwurzen (NUTS),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CAEAA_00171,Jugend am Werk Gesellschaft mbH - Gesellschaft für berufliche und soziale Integration,Berufsausbildungsassistenz OÖ,"Die Berufsausbildungsassistenz von Jugend am Werk begleitet und unterstützt Jugendliche und deren Lehrbetriebe bei den Ausbildungswegen Verlängerte Lehre und Teilqualifikation, um so Ausbildungsabbrüche zu vermeiden und Bildungschancen zu erhöhen.",01.01.2017,31.12.2017,"5080420,8","50,00 %",40101 - Linz,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CADAC_00141,Höhere Technische Bundeslehranstalt Wien 10,"S-1.4a Übergangsstufe im Bereich des technisch, gewerblichen und kunstgewerblichen Schulwesens","Übergangsstufe für berufsbildende mittlere und höhere Schulen
",05.12.2016,31.08.2017,"82601,64","50,00 %",131 - Wien (NUTS),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CAEAA_00203,CARITAS DER DIÖZESE ST.PÖLTEN,Berufsausbildungsassistenz Waldviertel,"Massnahmenart: Berufsausbildungsassistenz
Ort der Leistungserbringung: Waldviertel
Zielgruppen: Personen gemäß §8bAbs.4 BAG und Jugendliche gemäß §10a,Abs.2,3aBEinstG",01.01.2017,31.12.2017,"564612,27","50,00 %",30201 - Sankt Pölten,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CAEAA_00242,ibis acam Bildungs GmbH,Produktionsschule STEP4,"Produktionsschule - berufliche Integration von Jugendlichen mit körperlicher, emotionaler und/oder psychischer Beeinträchtigung.",01.01.2016,31.12.2016,"507939,81","50,00 %","91101 - Wien, 11. Simmering",AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CAEAA_00251,Lebenshilfe Ennstal,Produktionsschule,Nachreifungsprojekt für Jugendliche zur Erlangung der individuellen Ausbildungsreife. ,01.01.2017,31.12.2017,"229326,45","50,00 %",61259 - Liezen,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CADAC_00122,HAK II / HAS III Vienna Business School Wien-8,"S-1.5 USD ""Förderung der Unterrichtssprache Deutsch"" ","Durchführung einer ganzjährigen unverbindliche Übung ""Unterstützendes Sprachtraining Deutsch (USD)"" im Ausmaß von 2 Wochenstunden pro Gruppe bzw. Klasse/Jahrgang.",05.09.2016,31.08.2017,"30841,92","50,00 %",131 - Wien (NUTS),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2BADCA_00005,Verein Jugend und Kultur,TRIEBÜHNE Empowerment für Jugendliche,"Das Projekt zielt auf die Persönlichkeitsstärkung von NEET-Jugendlichen ab. Sie werden in der Bearbeitung von Problemlagen und in der Perspektivfindung unterstützt, um sie gemäß ihren Fähigkeiten am Arbeits-/Ausbildungsmarkt zu verankern.",01.07.2016,30.06.2018,"237117,72","50,00 %",122 - Niederösterreich-Süd (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2BAAFA_00075,itworks Personalservice und Beratung gGmbH,Jobservice Tirol,"Jobservice Tirol richtet sich an Asylberechtigte und subsidiär Schutzberechtigte Personen, mit dem Ziel der Vermittlung in den 1. Arbeitsmarkt. Die TeilnehmerInnen absolvieren verschiedene Module und erhalten sozialpädagogische Begleitung",01.12.2016,31.12.2018,"3490346,67","50,00 %",330 - TIROL (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2BAABA_00039,Volkshilfe Beschäftigung,step2job bei Volkshilfe Beschäftigung,"BBE mit Casemanagement-Ansatz für BMS BezieherInnen sowie arbeitsmarktferne Personen. Ziele sind Beschäftigung am ersten oder zweiten Arbeitsmarkt, Beseitigung von schweren Vermittlungshemnissen sowie Aufbau von Motivation und Selbstwertgefühl.",01.07.2015,30.06.2016,"373839,56","50,00 %",130 - WIEN (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2CAEAA_00184,Arbeitsassistenz Tirol gGmbH,Berufsausbildungsassistenz,"Die berufliche und soziale Integration und Inklusion von Menschen mit Behinderungen, Erkrankungen bzw. Beeinträchtigungen bei Ausbildung und Berufsausübung mittels Anstellung und Einsatz geeigneter Fachkräfte in ganz Tirol ohne Bezirk Reute",01.01.2017,31.12.2017,"1229879,32","50,00 %",70101 - Innsbruck,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
