"Code","Title","Project Cost","Beneficiary","Line Ministry","Start Date","End Date","Non Technical Short Summary Of Project","Operational Programme","Fund","Operational Objective","Priority Axis","Focus Area Of Intervention","Project Objectives","Project Results","Project Purpose"
"ERDF 135","Grant Scheme for Sustainable Tourism Projects by Enterprises","€7,942,482","Tourism Sustainable Development Unit","Ministry for Tourism","2008","2015","The Scheme directs public financing to licensed enterprises implementing sustainable tourism projects to strengthen their competitiveness. It aims at financing holistic projects so as to have a stronger impact on the sector.  As a result the intervention areas identified target the promotion of R & I through the intervention of Product Upgrade and Investment in Equipment, the adoption of new technologies through the intervention in Information and Communication Technology and undertaking environmental practices through the intervention relating to investment in Environmentally Friendly Measures. The intervention areas aim at instigating investment in areas which will make Malta more competitive, this can be done through the intervention area relating to investment in marketing and entrepreneurship, whilst addressing Maltaâs weaknesses on service quality, product offer and destination awareness through the intervention area relating to investment in marketing. The scheme supports direct and indirect tourism service providers and SMEs. The financial aid will assist the growth and development of tourism and cultural operators, increase the impetus for the continuous growth of Sustainable Tourism.  The scheme envisages directing aid to all types of enterprises giving particular consideration to SMEs that characterise the sector.  The scheme is expected to achieve a number of benefits which include increase innovation in the sector and the development of tourism and cultural practices that are economically, environmentally and socially sustainable.","OPI Investing in Competitiveness for a Better Quality of Life ERDF","European Regional Development Fund","To support the upgrading of the tourism product;","PA2 Promoting Sustainable Tourism","OPIPA2 Aid Schemes to Tourism / Cultural Undertakings","The schemeâs main aim is to strengthen the competitiveness of Malta and of tourism service providers through the promotion of sustainable tourism.  It will stimulate investment to improve the quality of services offered, enriching visitorsâ experience and satisfaction. This would impact on profitability and turnover, on the type of employment and the quality of life of the locals.","The project also envisages the following results:","The scheme will impact on enterprisesâ competitiveness. It will generate new and better employment opportunities whilst supporting existing ones, thus directly affecting the quality of life of the resident population.  The envisaged benefits for the target groups are:"
"ERDF 136","Grant Scheme for Child Care Facilities","€461,889","Department for Social Welfare Standards","Ministry for Family and Social Solidarity","2008","2014","The scheme focuses on the provision of quality childcare in Malta and supports Government's central policy to promote and sustain quality childcare services in order to enable a better work-family/life balance and encourage an increased participation of females in the local workforce. It also contributes towards attaining the EU targets of providing child placements for at least 33% of children aged between 0-3 years in Malta. The concept of this Aid Scheme, will help to upgrade and improve existing child care facilities by assisting existing child care providers to re-locate premises (if re-location is required for compliance with National Standards), encourage start-ups and facilitate compliance with the National Standards for Child Care Facilities","OPI Investing in Competitiveness for a Better Quality of Life ERDF","European Regional Development Fund","","PA6 Urban Regeneration and Improving the Quality of Life","OPIPA6 Education, Social and Health-related Infrastructure","This Aid Scheme is intended to achieve the following objectives: ","By the end of this Aid Scheme, the following will be achieved: ","The purpose of this scheme is to: "
"ERDF 136.1","ERDF Grant Scheme for Childcare Facilities","€23,763","Teddies Childcare Centre","Family and Social Solidarity","Wednesday, October 12, 2011","Monday, July 16, 2012","","OPI Investing in Competitiveness for a Better Quality of Life ERDF","European Regional Development Fund","To continue investments in the health, social and education sectors;","PA6 Urban Regeneration and Improving the Quality of Life","OPIPA6 Education, Social and Health-related Infrastructure","One of the main objectives of this project was to give an opportunity to females workers that want to return into the labour market.","Through the funds granted to the beneficiary invested in environmental technology such as glass solar films. The funds also helped the beneficiary to purchase furniture which makes it adequately  suited for childcare centres. In this regard such investmen","To aid families adapt to work life balance situations and by helping women entering the labour market, whilst the children receive educational and social skills."
"ERDF 136.2","ERDF Grant Scheme for Childcare Facilities","€33,500","BeeSmart Childcare Centre","Family and Social Solidarity","Tuesday, January 31, 2012","Sunday, June 30, 2013","","OPI Investing in Competitiveness for a Better Quality of Life ERDF","European Regional Development Fund","To continue investments in the health, social and education sectors;","PA6 Urban Regeneration and Improving the Quality of Life","OPIPA6 Education, Social and Health-related Infrastructure","One of the main objectives of this project was to give an opportunity to females workers that want to return into the labour market.","Through the funds granted, the beneficiary invested in environmental technology such as glass solar films. The funds also helped the beneficiary to purchase furniture which makes it adequately  suited for childcare centres. In this regard, such investment","To aid families adapt to work life balance situations and to help women entering the labour market, whilst the children receive educational and social skills."
"ERDF 147","Restoration of San Lawrenz Church to enhance cultural tourism in Gozo","€318,765","San Lawrenz Parish Church","N/A","2009","2013","The proposed project will entail the restoration works required on the main façade of the parish church of San Lawrenz which is a baroque architectural structure which dates back to 1893. The proposed works extend to include works on the parvis structure and the church bells, restoration of the five works of art which the church hosts and the church organ which was built in the early years of the 20th Century. Upon completion of the restoration works, an audio visual interpretation panel will also be installed thus providing tourists with the history that surrounds the church. In addition, a marketing tool in the form of a tourism road map will be produced to promote the diverse tourist attractions that are located in the Western part of Gozo.","OPI Investing in Competitiveness for a Better Quality of Life ERDF","European Regional Development Fund","To support the upgrading of the tourism product;","PA2 Promoting Sustainable Tourism","OPIPA2 Product Development","The objective set out by the project proponents is to promote the Western part of the island of Gozo within the tourism industry by enhancing the tourism product that this side of Gozo, and in particular San Lawrenz, has to offer. The project thus seeks to restore the church's main facade, including its historical bells, to the structure's original glory, restore valuable paintings representative of the nation's art heritage and restore the church organ and in so doing widen the tourism product which San Lawrenz has to offer. Once all the above are restored and the interpretation panels are set up and the tourist road maps are printed, the visitors will have an added cultural attraction to visit and to learn about this, together with the other cultural assets located within the small village of San Lawrenz, tourists, particularly the ever growing cultural enthusiasts, will experience a diversified experience. The project aims to contribute to expanding the product offer which the Maltese islands have to offer thus enhancing Malta's competitiveness within the tourism sector.","1. The church will be open for visitors three times a week (Monday, Wednesday and Friday) from 11.00-13.00 hrs and 15.00 - 17.00 hrs; 2. A sacred organ will be organised every year. This cultural Event aimed at Foreign and Local Tourists will be advertised by leaflets in Tourists accommodations, website and newspapers; 3. As discussed with Transport Malta, once the project is ready, the hop-on hop-off bus operators can commence to offer the service in San Lawrenz; 4. Site visits will be organised (free of charge) during the year specifically on the paintings of Cali. Advertising through various media will be carried out on the paintings and of the opening hours of the church, with the scope to attract Tourists visiting Gozo; 5. The parvis will also serve as a backdrop for evening cultural events to be held in the main square. It is expected that 10 activities will be organised per annum. This will provide an additional attraction of the locality, enhancing the overall visitor experience. There will also be more knowledge dispersal resulting from this project, thus people will be made more aware of the unique characteristics of the church and its significance to the locality and also of the cultural value and history of the organ and paintings housed within it; 7. An innovative audio-visual panel will be installed on site so that visitors will have access to detailed information in various languages; 8. A tourism road map will be printed and distributed to tourists visiting the island.","The purpose of implementing this project is to: 1. protect and preserve a cultural heritage asset which is located within an area which is highly frequented by tourists and Maltese visitors due to the high concentration of cultural assets one finds within the parameters of San Lawrenz; 2. through the envisaged works, the main facade of the church will be restored to its glory thus halting the deterioration process which is currently prevailing on the main structure; 3. through the installation of floor recessed lighting, the church together with the embellished works within the main square to be undertaken by the Local Council (through separate funding) will provide a scenic backdrop to visitors who visit the locality in the evening; 4. through the restoration of the historic church bells halt the deterioration processes which are negatively affecting these bells and provide further attraction to visiting tourists; 5. through the restoration of the organ, provide a further attraction within the church context in general and music enthusiasts in particular and allow its use during cultural events; 6. through the use of the audio-visual interpretation panel a, visitors will have an informative visit through the historic information which will be made available as well as through information provided on the architecture of this baroque structure and the works of art one finds in the interior of the church. Currently, no such information is available for tourists once they arrive on location; 7. through the distribution of the tourist road maps promote the western part of Gozo and in particular three main localities San Lawrenz, Gharb and Ghasri whilst providing a diversified binerary for tourists varying from natural sites to religious, cultural and artistic venues."
"ERDF 151","Renewed Visitor Venues (REVIVE)","€1,980,861","Fondazzjoni Wirt Artna","N/A","2009","2015","The project involves the restoration, conservation, conversion and upgrading of","OPI Investing in Competitiveness for a Better Quality of Life ERDF","European Regional Development Fund","To support the upgrading of the tourism product;","PA2 Promoting Sustainable Tourism","OPIIPA2 Supporting the private sector.","RE.VI.VE will deliver two state-of-the-art cultural tourism attractions that will significantly contribute towards the upgrading and attractiveness of the national tourism product.  The project will support better understanding and preservation of the cultural heritage of the Maltese Islands.","The project will result in the following two high-quality tangible tourism cultural products:","The project purpose is defined as the protection, conservation and management of two specific cultural heritage sites, by means of investing in high-quality facilities for the sustainable development, presentation and interpretation of and changing their use into cultural tourism attractions."
"ERDF 156","Developing National Environmental Monitoring and Infrastructure Capability","€4,206,860","Malta Environment and Planning Authority ","Office of the Prime Minister","2009","2014","The project will radically improve the national, environmental monitoring capacity in five different environmental themes namely: air; water; soil; noise; and radiation. The project will procure environmental monitoring systems; information management systems; deliver  environmental baseline surveys; train staff; and develop and enhance the national monitoring programmes in these five environmental themes.","OPI Investing in Competitiveness for a Better Quality of Life ERDF","European Regional Development Fund","","PA6 Urban Regeneration and Improving the Quality of Life","OPIPA6 Environmental Monitoring","The overall objective is to develop the national environmental monitoring infrastructure and capacity for Malta with a focus on air, water, soil, noise and radiation.","The purpose of the project will be achieved through a series of activities that will lead to the procurement of equipment; the development of information management systems; the gathering of critical baseline data; the development of monitoring programmes; the training of human resources in the operation of equipment and systems.","The purpose of the project is to establish environmental monitoring strategies, infrastructure, methodologies and capacity on a national through:"
"ERDF 159","e-Services: Accessibility for All","€15,953,307","Ministry for Home Affairs and National Security","Ministry for Home Affairs and National Security","2010","2015","The eXS4ALL project, consisting of eID, eForms and eLearning, will enable access to various eServices. The eID Card will create a secure system enhancing accessibility to eServices for businesses and citizens, including services deployed through eForms and eLearning. The eForms Solution will offer rapid deployment of eServices. The eLearning Solution will deliver education-related eServices to students, parents, teachers and administrators.","OPI Investing in Competitiveness for a Better Quality of Life ERDF","European Regional Development Fund","","PA6 Urban Regeneration and Improving the Quality of Life","OPIPA6 E-Accessibility","eID: 1. The current identity handling databases will be converted into a single National Identity Management System (NIDMS) serving all public and private sector requirements for physical and virtual identity registration, authentication and verification. Systems will be implemented to enable Government to produce and disseminate eID Cards. The government will through national funds procure and install hundreds of public smart ID card readers which will be installed across Malta and Gozo to a wider access to e-Government services. 2. The e-ID platform which is part of this ERDF project will allow for e-ID profiling through which citizens can adopt multiple user profiles through the same unique electronic identity. Digital certificates and electronic signatures whin a consolidated national framework will enable the Government to deliver eID cards and services like contract signing and electronic filing of sensitive documents. 3. Set the framework for the development of a new generation of more secure and focused eGovernment services. 4. Establish the database pillar structure, through this project against which all the other identity databases can be eventully reorganised. eForms: As part of the eGovernment vision, the Government of Malta is by way of this project, enhancing its technical infrastructure with an e-Forms Solution. E-Forms will offer the distinct advantage E-Forms will offer the distinct advantage of enabling Government to rapidly develop and deploy e-Services and to tie these into one framework to manage the entire portfolio of public services. The availability of the solution is in fact a core element in Malta's future vision for the delivery of public services as it allows their delivery with distinct benefits to all those concerned. The public sector will deliver and the client will receive: improved customer service, professional management, cost efficiencies, operational efficiencies, user-friendly application, security, environmental friendliness, user centric public service delivery. Elearning: At present, primary and secondary schools do not have access to an eLearning Solution. The investment in an eLearning Solution for schools in Malta and will therefore be the first ever to be made. The overall objectives of the eLearning solution are the following: 1. to increase access to education services by making them available electronically; 2. to make education more accessible anytime and anywhere for students and extend learning beyond the classroom walls by making technology more ordinary for students and teachers; 3. to modernise education and transform it in accordance with the way students learn in today's digital era. Learning is becoming essentially more personalised and collaborative in nature, and students are adopting a more central and participative role; 4. to equip teachers with digital tools that will enable them to monitor their students' learning progress more effectively, tailor education around their students' needs and provide more individualised attention to increase students' attainment, share and exchange knowledge with other teachers locally and abroad for their professional development; and abroad for their professional development; and 5. to give parents unprecedendented access to their children's education and day-to-day activitiesto be able to monitor their children's learning progress and support in their scholastic attainments.","eID: The eID solution will enable various activities. Through the eXS4ALL project approximately 300,000 citizens will have: 1. A new eID card to replace the current identity card which will enable all citizens to access eServices and other online services, such as the services deployed through the eForms Solution, securely due to the security functions deployed through the NIDMS eID System and embedded within the eID card itself; 2. Immediate access to identification, authentication and digning (IAS) functions; 3. an eID card that will provide a higher level of security and trust when using the services offered by the Maltese Government online; 5. essential access to the security and trust offered by the use of the eID card through IAS functions needed to access other online platforms, current and future ones; and 6. access to the services of the National Identification Management System (NIDMS), eForms and eLearning projects, amongst others and those that may be launched in the future. The eID card is not co-financed through EU funds. eForms: Within the scope and period of this application 70 new eServices will be deployed by the end of the eXS4ALL project through the eForms platform. An increase of 3,350 citizens that will be using eGovernment services by 2015. A list of 53 new eServices has already been identified and also published with the eForms Tender. Currently there are more than 70 eGovernment services online. An additional 17 services shall be identified and implemented once the first 53 services are implemented. eLearning and Interactive Boards: The eLearning Solution will enable various activities currently undertaken offline by students, teachers, parents and administrators of approximately 103 schools to be carried online. Currently an eLearning platform is not available within schools. Approximately a total of 35,000 students will start using the eLearning Solution. Approximately 15,753 students will start using the solution by 2012 and approximately a further 19,247 students will use the eLearning solution by 2013. Through the eLearning solution the students will be able to carry out the following activities: - access an online repository of learning materials created by the teachers or other Education Officials during or after school hours; 2. store on the platform any school-related work such as notes, assignments, and homework, amongst others; 3. create an online portfolio of scholastic achievements that accumulates year after year; 4. receive and submit homework and/or assignments online; communicate by email  and instant messaging, amongst others, with teachers and students; and access online school-related news and information and receive alerts through emails and SMS. The number of students' parents that will be able to use the Solution is proportionate to the above mentioned amounts for students. The students' parents will be able to carry out the following activities: 1. access the eLearning solution to view their children's personal home page to access their children's curriculum and learning material and track homework and assignments, amongst others; 2. view teachers' reports, attendance data, and grades in assessment activities; 3. communicate with teachers' through email and social networking tools; 4. view school news and information relevant to their children. Approximately a total of 4,500 teachers will start using the eLearning Solution in the  following two years. Approximately 1,709 teachers will start using the solution by 2012 and approximately a further 2,791 teachers will use the solution by 2013. The teachers will be able to carry out the following activities: 1. access teaching resources created by others and customise, and create and share interactive and multimedia teaching material that can be accessed online by students and teachers; 2. store any resources and relevant work in a repository; 3. prepare and manage lesson plans online, and share with others; 4. distribute and receive homework and assignments online; 5. track students' progress in submitting homework and assignments, and use online tools to correct and grade students' work; 5. access online and manage timetables and any school-related information and news and receive alerts through email or SMS; and 6. communicate with teachers, students, parents, and administrators online through email and other communication tools. Approximately a total of 103 schools will start using the eLearning Solution in the coming two years. Approximately 58 schools will start using the solution in 2012 and 45 schools in 2013. School administrators will be able to carry out the following activities: 1. collect, store, use and manage pupil and teacher data in an effective and timely manner; 2. extract up-to-date management information such as students' attendance and attainments, amongst others, upon request from education policy makers; 3. develop automated reports and assessments for education policy makers upon request; 4. publish and disseminate information online through email and SMS alerts to students, teachers and parents; and 5. collate management information of one school or a number of schools as necessary. The educators and students of approximately 103 schools will also have access to approximately 1,876 interactive whiteboards.",""
"ERDF 164","Masterplan: development of Applied Science and Business and Commerce Institutes","€20,039,064","Malta College of Arts, Science and Technology","Ministry for Education and Employment","2010","2015","This project concerns the construction of premises for the Institute of Applied Science and the Institute of Business and Commerce and equipping the same with modern teaching resources and equipment. The proposed investment in this educational state-of-the-art infrastructure will provide access to high quality education, a broader spectrum of courses and more relevant skills.","OPI Investing in Competitiveness for a Better Quality of Life ERDF","European Regional Development Fund","","PA6 Urban Regeneration and Improving the Quality of Life","OPIPA6 Education, Social and Health-related Infrastructure","The objectives of this project are: ","The results of the Masterplan will be as follows;","The core purposes of this project are to: "
"ERDF 183","Vertical Connection - Better accessibility through innovative and cleaner transport","€2,355,570","Grand Harbour Regeneration Corporation","Ministry for Transport and Infrastructure","2009","2013","The project will connect the lowest part of Valletta and the highest point of the City through the installation of a lift. The lift will facilitate accessibility to the centre of the City and the waterfront guaranteeing modal shift adopting a cleaner transport technology.","OPI Investing in Competitiveness for a Better Quality of Life ERDF","European Regional Development Fund","","PA6 Urban Regeneration and Improving the Quality of Life","OPIPA6 Internal Mobility","The project is designed to provide greater access between Valletta's waterfront and the heart of the City through a vertical link. Hence encourage a modal shift towards non-car modes when commuting to Valletta. In general terms the objectives are:","The direct beneficiaries of the project include:","The project is designed to provide greater access between Valletta's waterfront and the heart of the City through a vertical link. With the redevelopment of the Location of Valletta's main area will have a new lease of life. This new project would sustain the projects already underway and encourage further public and private investment in the area. It would sustain ancillary operational transit systems. It will spur the urban resistance more sustainable and make Valletta a more attractive City for living and enhance the quality of life of the existing local and working community."
"ERDF 189","Educational Infrastructure Development at Bishop's Conservatory Secondary School - Phase 2","€243,484","Bishop's Conservatory Secondary School","n/a","2010","2013","This continuation of the building of Bishop's Conservatory Secondary School is to continue developing educational services addressing issues relating to social inclusion, job preparedness and promotion physical education, the arts and healthy living amongst students. These facilities will also form part of a community-based programme that will further enhance the school's presence at a social level in the community.","OPI Investing in Competitiveness for a Better Quality of Life ERDF","European Regional Development Fund","","PA6 Urban Regeneration and Improving the Quality of Life","OPIPA6 Education, Social and Health-related Infrastructure","Phase 2 will enable Bishop's Conservatory Secondary School to have the necessary infrastructure setup to offer new subjects to its students in line with the recommendations of the National Minimum Curriculum, namely: design and technology workshops for technology studies and gym/dance carpet for performing art. Further, the investment will also address the theme of accessibility whereby the whole school premises will be made accessible to persons with mobility challenges, where such investment is yet another measure to enable all students to participate fully in all subjects of the curriculum, including learning of science and technology and performing arts, and also access to play areas of the School for physical education and development.","The following results shall be achieved during the implementation of Phase 2 and continued at finalisation and these are being attained through investment in appropriate infrastructure:","The direct benefit to students using the facilities is that they are and will be enjoying an appropriate learning environment to undertake their chosen activity. Learning these skills from an early stage from an early age will give them a head-start in life to reach professional levels that could not be reached before. Developing talent is a priority for a small country like ours. This will ensure higher levels of employability and competitiveness for a broader spectrum of the population."
"ERDF 192","Photovoltaic System at the University Gozo Centre","€67,894","University of Malta","Ministry for Education and Employment","Q 3, 2010","Q 2, 2012","The project is about  the installation of PV panels on the roof of the Gozo University Centre in order to generate 100% of the energy needs of the centre. The relevant generation data will be available online in real time in order to raise public awareness about the use of renewable energy sources.","OPI Investing in Competitiveness for a Better Quality of Life ERDF","European Regional Development Fund","To promote the use of RES and energy efficiency and reduction in the use of non-renewable energy sources;","PA4 Mitigation and Adaptation to Climate Change","OPIPA4 Energy","The project aims to contribute towards the reduction of 30 tons of CO2 emissions with consequent environmental benefits to society.  The project will also contribute to the Eco Gozo objective of the Government through a reduction in the use of grid-connected energy, as well as the RES policy, by contributing towards the Government's aim in establishing a decentralised system of power generation with small and medium scale environmentally friendly RE facilities. This would also be in line with the Lisbon objectives of ensuring that Malta's long term energy supply shall take advantage of RES.","Through the installation of this system the project will contribute towards:","1) The development of PV systems in Gozo and the University Gozo Centre"
"ERDF 193","Gozo Dioceseâs contribution to turn Gozo into an Eco-Island","€63,984","Diocese of Gozo","N/A","2010","2012","The project entails the installation of a number of photovoltaic panels on the roofs of four different centres, all owned by the Diocese of Gozo, in three different localities in Gozo thus setting an example in adopting Renewable Energy measures to combat Climate Change.","OPI Investing in Competitiveness for a Better Quality of Life ERDF","European Regional Development Fund","To promote the use of RES and energy efficiency and reduction in the use of non-renewable energy sources;","PA4 Mitigation and Adaptation to Climate Change","OPIPA4 Energy","The project's aim is to reduce the carbon footprint of the Maltese Islands to help in the fight against climate change. The Gozo Diocese wants to set an example as an important stakeholder in the local community and focusing on the needs of sustainable development. According to, ""The proposal for a national energy policy"", published in May 2009, the Maltese Government has addressed Gozo as a pilot location for Renewable Energy Sources at a district level. Therefore our proposed project will also help to reach the Government's target to promote Gozo as an eco-island and achieve Malta's final target of 10% of renewable energy share in the final consumption of 2020. [Energy policy for Malta chapter 2A.4 page 15]","1) An average power generation of 75,108 kWh per annum;","The installation of a grid-connected PV system to supply electrical energy to the local networks. These will be installed on the roof-tops of:-"
"ERDF 196","Mater Dei Hospital Oncology Centre","€42,298,462","Ministry for Energy and Health ","Ministry for Energy and Health","2012","2015","The project concerns the development of an Oncology Centre (Mater Dei Oncology Centre) as an extension of the public general hospital (Mater Dei Hospital) in Msida. The new Mater Dei Oncology Centre will replace the existing Sir Paul Boffa Hospital and instead provide an oncology centre offering advanced cancer treatment facilities in a comprehensive care setting.","OPI Investing in Competitiveness for a Better Quality of Life ERDF","European Regional Development Fund","","PA6 Urban Regeneration and Improving the Quality of Life","OPIPA6 Education, Social and Health-related Infrastructure","","To address this projected demand for cancer treatment, the design of the new facility is based on requirements set out within the Medical Brief. In analysing demand against capacity, one notes that by 2020 there will be 78% utilisation of patient bed capacity for the inpatient acute oncology area, this figure is closely in line with the optimal occupancy for calculating inpatient ward capacity of 80%. In all other inpatient, outpatient and day care service areas, however, capacity is expected to be closed to 100% by 2020. In order to mitigate under capacity, it is understood that the MHEC will also be seeking alternative ways to better manage demand by adopting best-practice to reduce the time that patients spend in acute hospitals. In addition, it is assumed that there will be a review of existing policy, at both a political and operational level, in favour of increased community care and supporting hospice infrastructures. One must also consider any advances in technology, as well as for drugs treatment, that may also reduce the demand for inpatient treatment.","It is the Government's commitment that Malta should make every effort towards the over arching goal of developing excellent quality and patient centric services and treatment propositions which are entirely designed around the clinical and non-clinical needs of the patient. As part of the broader Draft National Cancer Plan 2010-2015 the quality of care expected to be provided through the new oncology centre forms part of selected priority areas and intervention including: prevention, screening, research, and evaluation."
"ERDF 199","Biomalta - Setting up a Life Sciences Centre","€20,000,000","Malta Enterprise","Ministry for the Economy, Investment and Small Business","2008","2015","The building of a Life Sciences Centre located close to the Hospital and","OPI Investing in Competitiveness for a Better Quality of Life ERDF","European Regional Development Fund","To promote and strengthen high value-added economic activity, including attraction of Foreign Direct Investment through investments in enterprise support infrastructure, including industrial facilities;","PA1 Enhancing Knowledge and Innovation","OPIPA1 Enterprise Infrastructure","1. Creation, incubation and attraction of new knowledge-based companies;","This project is expected to result in the following benefits:","The project will provide a facility with the right functional environment whereby target companies will achieve expansion and growth through specialisation in key knowledge based activities and networking with companies from the same sectors, hospital, academia (close proximity to both) and other  service providers like laboratories who choose to set an operation within the centre as well as generate employment by incubating new enterprises in the sector."
"ERDF 205","Regenerating Balzan Square and Implementing a Tourist Heritage Trail","€387,269","Hal Balzan Local Council","Ministry for Justice, Culture and Local Government","2011","2014","The project aims to attract tourists to the core of Hal Balzan with a view to enhance the village characteristics as well as the creation of a heritage trail within the village core.","OPI Investing in Competitiveness for a Better Quality of Life ERDF","European Regional Development Fund","To support the upgrading of the tourism product;","PA2 Promoting Sustainable Tourism","OPIPA2 Product Development","The Local Council of Balzan is aiming at reviving the authenticity and traditional characteristics of this village which have been lost in some areas especially in the village core. The Local Council is aiming at achieving such final targets through the following objectives: ","* Increasing the number of tourists visiting the San Anton Gardens (a cultural attraction that will be included in the tourist heritage trail) by 10% per annum.",""
"ERDF 212","The Regeneration of the Tourism Market in Marsaskala","€244,538","Marsaskala Local Council","Ministry for Justice, Culture and Local Government","2011","2013","This project being proposed by the local council of Marsaskala involves the","OPI Investing in Competitiveness for a Better Quality of Life ERDF","European Regional Development Fund","To support the upgrading of the tourism product;","PA2 Promoting Sustainable Tourism","OPIPA2 Product Development","The project will address the need for recreational tourism through the upgrading of of the promenade complimented with the revival of the cultural sights in the locality of Marsaskala. Moreover:","1) A 10% growth in the number of tourists staying in Marsaskala;",""
"ERDF 213","Sustainable Tourism in a Village of Culture & Heritage","€285,457","Hal Tarxien Local Council","Ministry for Justice, Culture and Local Government","2011","2014","This projectâs aim is to attract tourism to the locality by providing Hal Tarxien a holistic package incorporating the entire localityâs richness in the fields of history, culture and the urban built environment. The projects aims to undertake interventions aimed at improving the area near the Tarxien temples and through the provision of tourist information services. Through these interventions, the project will promote the Maltese Islands as a year-round destination.","OPI Investing in Competitiveness for a Better Quality of Life ERDF","European Regional Development Fund","To support the upgrading of the tourism product;","PA2 Promoting Sustainable Tourism","OPIPA2 Product Development","The Local Council of Hal Tarxien is aiming at reviving the traditional characteristics of this village. The Local Council is aiming at achieving such final targets through the following objectives: 1. Creating a new public space and recreational area to be benefited by visiting tourists; 2. Upgrading the environment of Tarxien by making the embellished area more accessible to tourists; 3. Encouraging more social interaction between tourists and locals through the implementation of cultural activities; 4. Initiating an information centre in the locality to make information more accessible to tourists visiting the locality; 5. Better promotion of local cultural monuments and attractions through the creation and dissemination of an interactive DVD; 6. Providing a holistic package to combine the localityâs cultural and heritage richness; and 7. Promoting the locality as a year-round destination and reduce seasonality tourism.","1. Creation of water conservation by 30 cubic meters (static capacity)","By creating a linking between cultural heritage and the arts, Hal Tarxien Local Council is aiming to derive the idea of having the Maltese Islands promoted as the staple sun-and-sea destination. Instead, the council is aiming to promote the locality of Hal Tarxien and the whole Maltese Islands as a long-year round destination, by offering a holistic package targeted to a number of different tourists â business tourists, cultural tourists, artistic tourists, religious tourists, etc. "
"ERDF 221","Birkirkara Heritage Route - Discovering our past by uncovering Historical Gems","€378,683","Birkirkara Local Council","Ministry for Justice, Culture and Local Government","2011","2014","This projectâs aim is to attract tourism to the locality of Birkirkara by providing a","OPI Investing in Competitiveness for a Better Quality of Life ERDF","European Regional Development Fund","To support the upgrading of the tourism product;","PA2 Promoting Sustainable Tourism","OPIPA2 Product Development","Birkirkara Local council will address the need for recreational tourism by reviving the authenticity and traditional characteristic of the village.  The local council is aiming to: ","1) An increase of 80% satisfaction rate based on 5000 tourists currently visiting Birkirkara.  The percentage derives from a questionnaire conducted by the local council where 80% of the respondents indicated their increase satisfaction when asked what their expected satisfaction rate would be  once the site is upgraded.  ",""
"ERDF 230","Birkirkara - Energy Generation and Conservation project","€47,104","Birkirkara Local Council","N/A","2011","2013","This project shall utilize the best available innovative technology in the renewable energy sector which will contribute towards reducing the carbon footprint of three sites in Birkirkara while simultaneously reducing reliance on imported fuels.","OPI Investing in Competitiveness for a Better Quality of Life ERDF","European Regional Development Fund","","PA4 Mitigation and Adaptation to Climate Change","OPIPA4 Energy","The objectives of this project emanate from the need to reduce the energy consumption levels which are generated from fossil fuels and therefore generate pollutants in the process. ","â¢ 66% reduction in the annual energy consumption following the commissioning of the PV systems",""
"ERDF 234","Holy Family Home - Energy Generation and Conservation Project","€24,942","Holy Family Home - Naxxar","N/A","Q 4, 2011","Q 4, 2012","This project shall utilize the best available innovative Renewable Energy Sources (RES) technology that will significantly reduce the carbon footprint of the present facilities while simultaneously leading to a considerable reduction in the current costs for energy. The applicant is furthermore committed to contribute to wider national efforts to mitigate negative effects caused by climate change","OPI Investing in Competitiveness for a Better Quality of Life ERDF","European Regional Development Fund","To promote the use of RES and energy efficiency and reduction in the use of non-renewable energy sources;","PA4 Mitigation and Adaptation to Climate Change","OPIPA4 Energy","Increase electricity generation from Renewable Energy Sources and reducing CO2 emissions","After the completion of the project, Holy Family Home will benefit from the following:",""
"ERDF 243","Saura Home - Energy Generation and Conversation Project","€24,071","Saura Home - Elderly Home (Church Entity)","n/a","Q 4, 2011","Q 1, 2013","This project shall utilize the best available innovative Renewable Energy Sources (RES) technology that will significantly reduce the carbon footprint of the present facilities while simultaneously leading to a considerable reduction in the current costs for energy. The applicant is furthermore committed to contribute to wider national efforts to mitigate negative effects caused by climate change.","OPI Investing in Competitiveness for a Better Quality of Life ERDF","European Regional Development Fund","","PA4 Mitigation and Adaptation to Climate Change","OPIPA4 Energy","Increase electricity generation  from Renewable Energy Sources and reducing CO2 emissions","After the completion of the project, Saura Home will benefit from the following:",""
