Name des Begünstigten,Bezeichnung des Vorhabens,Zusammenfassung des Vorhabens,Datum des Beginns,Datum des Endes,"Gesamtbetrag förderfähiger 
Ausgaben","Kofinanzierungssatz","PLZ 
Begünstigter",Land,Themenfeld
BTB Bildungszentrum,PflMigr_3-16 Pflegebasiskurs mit Sprachförderung DaZ,"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.

Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.

",01.06.2016,30.11.2016,"121.256,00 €","49,92%",10178,DE300,"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
BTB Bildungszentrum,AiS-F-1-16_Ausbildung in Sicht für junge Geflüchtete,AiS-F-1-16_Ausbildung in Sicht für junge Geflüchtete,01.10.2016,31.08.2017,"66.896,40 €",50%,10178,DE300,115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs...
BTB Bildungszentrum,PBFK_2-16   Fachkraft für Pflege und Betreuung,"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.

Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.

 

 

",12.09.2016,28.02.2017,"86.197,20 €","49,92%",10178,DE300,"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
BTB Bildungszentrum,AiS-M_1-16  Ausbildung in Sicht für junge Zugewanderte mit Migrationshintergrund,AiS-M_1-16  Ausbildung in Sicht für junge Zugewanderte mit Migrationshintergrund,01.11.2016,31.07.2017,"63.044,40 €",50%,10178,DE300,115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs...
BUF im Berufsförderungswerk Bekleidung Berlin e.V.,Grundlage des professionellen Nähens,"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.

Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.

",15.06.2016,09.12.2016,"75.916,80 €","49,92%",10247,DE300,"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
BUS gGmbH,PerspektivWechsel,"Durchführung von Maßnahmen der Beschäftigung und Qualifizierung für Menschen mit Behinderungen in Berlin aus Mitteln des Europäischen Sozialfonds (ESF), die nicht nach dem SGB III oder anderen gesetzlichen Grundlagen gefördert werden können 

",01.04.2016,31.03.2018,"424.508,23 €",49%,10997,DE300,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung..."
BUS gGmbH,USE Digital 1.0,"Durchführung von Maßnahmen der Beschäftigung und Qualifizierung für Menschen mit Behinderungen in Berlin aus Mitteln des Europäischen Sozialfonds (ESF), die nicht nach dem SGB III oder anderen gesetzlichen Grundlagen gefördert werden können 

",01.01.2016,31.12.2017,"435.200,00 €",49%,10997,DE300,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung..."
BUS gGmbH,Neue Wege keine Hürden +,"Durchführung von Maßnahmen der Beschäftigung und Qualifizierung für Menschen mit Behinderungen in Berlin aus Mitteln des Europäischen Sozialfonds (ESF), die nicht nach dem SGB III oder anderen gesetzlichen Grundlagen gefördert werden können 

",01.01.2016,31.12.2017,"424.508,23 €",49%,10997,DE300,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung..."
BUS gGmbH,Qualifizierung innovativ und Zertifiziert - QuiZ,"Durchführung von Maßnahmen der Beschäftigung und Qualifizierung für Menschen mit Behinderungen in Berlin aus Mitteln des Europäischen Sozialfonds (ESF), die nicht nach dem SGB III oder anderen gesetzlichen Grundlagen gefördert werden können 

",01.04.2016,31.03.2018,"424.508,23 €",49%,10997,DE300,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung..."
BUS gGmbH,"LiVeMAP    – LAG im Verbund für Menschen, Arbeitgeber und Partner ","Aktive Gestaltung des Übergangs behinderter Menschen von den Werkstätten (WfbM) in den 1. Arbeitsmarkt durch: 
 - Qualifizierungsmaßnahmen zur  Integration in das Arbeits- und Berufsleben  - Erprobung der Arbeitsbelastung bzw. der im Projekt erworbenen Kenntnisse und Fertigkeiten  - Coaching und eine sozialpädagogische Betreuung - Kompetenzbilanzierung bei Eintritt in die Maßnahme sowie Messung des Kompetenzfortschritts bei Beendigung der Maßnahme. 

  Zielgruppe: Menschen mit Behinderungen in Berlin, die nicht nach dem SGB III oder anderen gesetzlichen Grundlagen gefördert werden können 

",01.10.2016,30.09.2018,"455.517,33 €",49%,10997,DE300,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung..."
BUS gGmbH,"""BWB-BAK: Beratung, Akquise, Karriere“","Durchführung von Maßnahmen der Beschäftigung und Qualifizierung für Menschen mit Behinderungen in Berlin, die nicht nach dem SGB III oder anderen gesetzlichen Grundlagen gefördert werden können 

Förderschwerpunkt 2 - Qualifizierungsmaßnahmen, die den Übergang behinderter Menschen von den Werkstätten (WfbM) in den 1. Arbeitsmarkt aktiv gestalten - durch Integration der o.g. Zielgruppe in das Arbeits- und Berufsleben,  - durch Erprobung der Arbeitsbelastung bzw. der im Projekt erworbenen Kenntnisse und Fertigkeiten sowie  - Coaching und eine sozialpädagogische Betreuung - Kompetenzbilanzierung bei Eintritt in die Maßnahme sowie Messung des Kompetenzfortschritts bei Beendigung der Maßnahme. 

 ",01.10.2016,30.09.2018,"409.402,61 €",49%,10997,DE300,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung..."
BUS gGmbH,BWB-Berufschule und praktische Erprobung auf dem Ersten Arbeitsmarkt,"Durchführung von Maßnahmen der Beschäftigung und Qualifizierung für Menschen mit Behinderungen in Berlin, die nicht nach dem SGB III oder anderen gesetzlichen Grundlagen gefördert werden können 

  Förderschwerpunkt 2 - Qualifizierungsmaßnahmen, die den Übergang behinderter Menschen von den Werkstätten (WfbM) in den 1. Arbeitsmarkt aktiv gestalten durch - Integration der o.g. Zielgruppe in das Arbeits- und Berufsleben, - Erprobung der Arbeitsbelastung bzw. der im Projekt erworbenen Kenntnisse und Fertigkeiten, - Coaching und eine sozialpädagogische Betreuung, - Kompetenzbilanzierung bei Eintritt in die Maßnahme sowie Messung des Kompetenzfortschritts bei Beendigung der Maßnahme. 

",01.10.2016,30.09.2018,"385.063,98 €",49%,10997,DE300,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung..."
BWK BildungsWerk in Kreuzberg GmbH,Qualifizierung im kaufm Bereich mit berufsbez. Sprachanteil C1 (kompetente Sprachverwendung),"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.

Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.

Die Änderung gegenüber dem Ursprungsantrag erfolgte, weil aufgrund der Urlaubssaison die Projektlaufzeit kostenneutral verlängert wurde (siehe Projektbeschreibung).

 

",01.04.2016,30.09.2016,"88.727,76 €","49,92%",10997,DE300,"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
BWK BildungsWerk in Kreuzberg GmbH,Qualifizierung im kaufmännischen Bereich mit berufsbezogenem Sprachanteil,"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.

Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.

",25.08.2016,01.03.2017,"87.067,08 €","49,92%",10997,DE300,"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
Chance BJS gGmbH,Fachkraft für Handel und Dienstleistungen mit berufsbezogenem Deutsch und telc-Sprachprüfungen (B2) 2,"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.

Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.

 

",06.06.2016,09.12.2016,"91.601,00 €","49,92%",12347,DE300,"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
Chance BJS gGmbH,Vorbereitung auf den Erwerb des MSA 1,"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.

Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.

 

",05.09.2016,30.06.2017,"183.465,60 €","49,92%",12347,DE300,"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
Chance BJS gGmbH,Vorbereitung auf den Erwerb des MSA 3,"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.

Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.

",05.09.2016,30.06.2017,"183.465,60 €","49,92%",12347,DE300,"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
Chance BJS gGmbH,Vorbereitung auf den Erwerb des MSA 2,"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.

Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.

",05.09.2016,30.06.2017,"183.465,60 €","49,92%",12347,DE300,"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
Chance BJS gGmbH,Vorbereitung auf den Erwerb des MSA 4,"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.

Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.

",05.09.2016,30.06.2017,"183.465,60 €","49,92%",12347,DE300,"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
Chance BJS gGmbH,Erwerb der (Erweiterten) Berufsbildingsreife (1),Erwerb der (Erweiterten) Berufsbildingsreife (1),05.09.2016,30.06.2017,"89.366,40 €",50%,12347,DE300,115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs...
Chance BJS gGmbH,Erwerb der (Erweiterten) Berufsbildungsreife (2),Erwerb der (Erweiterten) Berufsbildungsreife (2),05.09.2016,30.06.2017,"89.366,40 €",50%,12347,DE300,115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs...
Chance BJS gGmbH,Erwerb der (Erweiterten) Berufsbildungsreife (3),Erwerb der (Erweiterten) Berufsbildungsreife (3),05.09.2016,30.06.2017,"89.366,40 €",50%,12347,DE300,115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs...
Chance BJS gGmbH,Erwerb der (Erweiterten) Berufsbildungsreife (4),Erwerb der (Erweiterten) Berufsbildungsreife (4),14.11.2016,30.06.2017,"77.040,00 €",50%,12347,DE300,115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs...
Chance BJS gGmbH,Erwerb der (Erweiterten) Berufsbildungsreife (5),Erwerb der (Erweiterten) Berufsbildungsreife (5),05.09.2016,30.06.2017,"89.366,40 €",50%,12347,DE300,115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs...
Chance BJS gGmbH,Erwerb der (Erweiterten) Berufsbildungsreife (6),Erwerb der (Erweiterten) Berufsbildungsreife (6),05.09.2016,30.06.2017,"89.366,40 €",50%,12347,DE300,115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs...
Chance BJS gGmbH,Fachkraft für Handel und Dienstleistungen mit berufsbezogenem Deutsch und telc-Sprachprüfungen (B2) 3,"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.

Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.

",05.09.2016,07.02.2017,"91.601,00 €","49,92%",12347,DE300,"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
Chance BJS gGmbH,Übergangsmanagement in betriebliche Ausbildung für junge Flüchtlinge (ÜMBAF-I),Übergangsmanagement in betriebliche Ausbildung für junge Flüchtlinge (ÜMBAF-I),21.10.2016,28.04.2017,"42.217,92 €",50%,12347,DE300,115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs...
Chance BJS gGmbH,Fachkraft für Änderungsschneiderei mit berufsbezogenem Deutsch und telc-Sprachprüfungen (B2),"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.

Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.

",24.10.2016,17.03.2017,"78.289,20 €","49,92%",12347,DE300,"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
Chance BJS gGmbH,Übergangsmanagement in betriebliche Ausbildung für junge Flüchtlinge (ÜMBAF-II),Übergangsmanagement in betriebliche Ausbildung für junge Flüchtlinge (ÜMBAF-II),21.10.2016,28.04.2017,"42.217,92 €",50%,12347,DE300,115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs...
Chance BJS gGmbH,Übergangsmanagement in betriebliche Ausbildung für junge Flüchtlinge (ÜMBAF-V),Übergangsmanagement in betriebliche Ausbildung für junge Flüchtlinge (ÜMBAF-V),21.10.2016,28.04.2017,"42.217,92 €",50%,12347,DE300,115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs...
Chance BJS gGmbH,Übergangsmanagement in betriebliche Ausbildung für junge Flüchtlinge (ÜMBAF-IV),Übergangsmanagement in betriebliche Ausbildung für junge Flüchtlinge (ÜMBAF-IV),21.10.2016,28.04.2017,"42.217,92 €",50%,12347,DE300,115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs...
Chance BJS gGmbH,Übergangsmanagement in betriebliche Ausbildung für junge Flüchtlinge (ÜMBAF-III),Übergangsmanagement in betriebliche Ausbildung für junge Flüchtlinge (ÜMBAF-III),21.10.2016,28.04.2017,"42.217,92 €",50%,12347,DE300,115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs...
ComFort-Schulungszentrum GmbH,MmB VMC_06 Vermittlungscoaching Begleitung und Hilfe bei der Arbeitsplatzsuche,"Durchführung von Maßnahmen der Beschäftigung und Qualifizierung für Menschen mit Behinderungen in Berlin aus Mitteln des Europäischen Sozialfonds (ESF), die nicht nach dem SGB III oder anderen gesetzlichen Grundlagen gefördert werden können 

",01.01.2016,31.12.2017,"702.735,99 €","49,31%",10409,DE300,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung..."
ComFort-Schulungszentrum GmbH,QvBS_17  Qualifizierung für Jugendliche ohne Schulabschluss,"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.

Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.

",01.07.2016,30.06.2017,"244.620,80 €","49,92%",10409,DE300,"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
ComFort-Schulungszentrum GmbH,QvBS_16  Qualifizierung für Jugendliche ohne Schulabschluss,"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.

Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.

",01.07.2016,30.06.2017,"244.620,80 €","49,92%",10409,DE300,"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
ComFort-Schulungszentrum GmbH,AiS_28  Zur Ausbildung reifen mit erfolgreichem Schulabschluss,AiS_28  Zur Ausbildung reifen mit erfolgreichem Schulabschluss,01.08.2016,31.07.2017,"115.560,00 €",50%,10409,DE300,115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs...
ComFort-Schulungszentrum GmbH,AiS_29  Zur Ausbildung reifen mit erfolgreichem Schulabschluss,AiS_29  Zur Ausbildung reifen mit erfolgreichem Schulabschluss,01.08.2016,31.07.2017,"115.560,00 €",50%,10409,DE300,115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs...
ComFort-Schulungszentrum GmbH,SIFA_17   Sicherheitsfachkraft - mit Sachkundeprüfung §34a GewO,"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.

Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.

",01.08.2016,30.12.2016,"107.706,96 €","49,92%",10409,DE300,"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
ComFort-Schulungszentrum GmbH,SIFA_18   Sicherheitsfachkraft - mit Sachkundeprüfung §34a GewO,"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.

Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.

",05.09.2016,30.11.2016,"53.853,48 €","49,92%",10409,DE300,"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
ComFort-Schulungszentrum GmbH,QvBS_18    Qualifizierung für Jugendliche ohne Schulabschluss,"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.

Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.

 

",01.09.2016,30.06.2017,"206.662,40 €","49,92%",10409,DE300,"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
ComFort-Schulungszentrum GmbH,QvB_13    Berufseinstieg Metall (Schweißen),"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.

Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.

",01.09.2016,22.12.2016,"74.730,60 €","49,92%",10409,DE300,"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
Comhard Ges. f. Bildung und Personalentwicklung mbH,Kaufmännisches Training für Menschen mit gesundheitlichen Einschränkungen,"Durchführung   von Maßnahmen der Beschäftigung und Qualifizierung für Menschen mit   Behinderungen in Berlin aus Mitteln des Europäischen Sozialfonds (ESF),   die nicht nach dem SGB III oder anderen gesetzlichen Grundlagen   gefördert werden können 

",29.02.2016,27.11.2017,"484.475,86 €",50%,10367,DE300,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung..."
"D&B, Dienstleistung und Bildung gGmbH",MSA 16,"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.

Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.

",12.09.2016,15.07.2017,"206.662,40 €","49,92%",10365,DE300,"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
"D&B, Dienstleistung und Bildung gGmbH",MSA 17,"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.

Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.

 

",12.09.2016,15.07.2017,"206.662,40 €","49,92%",10365,DE300,"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
dbi projekt + Bildung GmbH,Assistent/in für Altenpflege mit berufsbezogener Sprachförderung,"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.

Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.

 

",09.05.2016,04.11.2016,"109.130,40 €","49,92%",12489,DE300,"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
dbi projekt + Bildung GmbH,Fachkraft für Sicherheitstechnik mit berufsbezogener Sprachförderung,"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.

Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.

 

",09.05.2016,04.11.2016,"109.130,40 €","49,92%",12489,DE300,"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
dbi projekt + Bildung GmbH,Assistent/in für Personen- und Objektschutz mit berufsbezogener Sprachförderung,"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.

Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.

 

",09.05.2016,04.11.2016,"109.130,40 €","49,92%",12489,DE300,"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
Diakoniegemeinschaft Bethania e.V.,Frauen auf dem Weg - Gesamtqualifikation Kiezmütter,"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.

Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.

 

",15.04.2016,31.12.2016,"169.758,40 €","49,92%",10551,DE300,"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
Diakonisches Werk Berlin-Stadtmitte e.V.,Individuelle Begleitung zu und in Qualifikationsmaßnahmen für Menschen mit seelischer Erkrankung,"Die Projektförderung aus Mitteln des Europäischen Sozialfonds (ESF) richtet sich an die Durchführung von Maßnahmen für eine Beschäftigung und Qualifizierung für langzeitarbeitslose suchtmittelgefährdete und suchtmittelabhängige Menschen in Berlin, die nicht nach dem SGB III oder anderen gesetzlichen Grundlagen gefördert werden können.  

 Zuwendungszweck und Ziel: Integration der Zielgruppe in das Arbeits- und Berufsleben und (Wieder-) und Erlangung von arbeitsrelevanten Grundkompetenzen. 

",01.01.2016,31.12.2017,"145.445,36 €",39%,10963,DE300,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung..."
DIDACTICA priv. kfm. Berufsbildungs GmbH,Berufliches Deutsch für Büroassistenten/innen,"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.

Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.

",11.04.2016,30.09.2016,"92.523,60 €","49,92%",10627,DE300,"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
DIDACTICA priv. kfm. Berufsbildungs GmbH,Business Communications,"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.

Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.

 

",02.05.2016,14.10.2016,"69.590,40 €","49,92%",10627,DE300,"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
DIDACTICA priv. kfm. Berufsbildungs GmbH,Berufliches Deutsch für  Büroassistenten/innen,"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.

Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.

",30.05.2016,28.10.2016,"86.197,20 €","49,92%",10627,DE300,"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
